Fecha de la Medida,Hora de la Medida,AB,BC,AC,FASE A,FASE B,FASE C,NEUTRO,POTENCIA ACTIVA AB [W],POTENCIA ACTIVA BC [W],POTENCIA ACTIVA C [W],
03.12.2013, 12:07:16,427.41,437.34,432.06,8.66,7.92,7.93,,,,,6414.92
03.12.2013, 12:12:16,426.92,436.48,431.76,8.77,7.9,8.04,,,,,6486.98
03.12.2013, 12:17:16,427.1,437.11,432.19,8.84,7.87,8.04,,,,,6530.61
03.12.2013, 12:22:16,426.46,435.81,431.37,8.83,7.88,8.03,,,,,6511.06
03.12.2013, 12:27:16,425.99,435.37,430.7,8.79,7.85,8,,,,,6487.33
03.12.2013, 12:32:16,426.34,436.44,431.64,8.81,7.86,8.05,,,,,6514.21
03.12.2013, 12:37:16,430.08,440.31,435.47,8.68,7.71,7.87,,,,,6465.1
03.12.2013, 12:42:16,426.26,435.62,431.18,8.7,7.74,7.95,,,,,6427.63
03.12.2013, 12:47:16,425.04,434.91,430.5,8.73,7.84,7.94,,,,,6422.68
03.12.2013, 12:52:16,426.37,436.07,431.34,8.7,7.79,7.96,,,,,6427.66
03.12.2013, 12:57:16,427.01,436.65,432.17,8.63,7.71,7.86,,,,,6385.58
03.12.2013, 13:02:16,429.56,438.98,434.59,8.6,7.66,7.86,,,,,6405.25
03.12.2013, 13:07:16,428.78,438.12,433.51,8.57,7.67,7.78,,,,,6358.59
03.12.2013, 13:12:16,429,438.69,434.93,8.59,7.64,7.82,,,,,6379.75
03.12.2013, 13:17:16,429.12,438.64,434.38,8.51,7.64,7.81,,,,,6342.04
03.12.2013, 13:22:16,429.59,438.92,434.3,8.62,7.78,7.93,,,,,6440.22
03.12.2013, 13:27:16,429.1,438.96,434.41,8.46,7.57,7.72,,,,,6293.03
03.12.2013, 13:32:16,426.82,436.26,432.06,8.32,7.45,7.61,,,,,6159.5
03.12.2013, 13:37:16,426.8,435.89,431.53,8.3,7.43,7.57,,,,,6135.4
03.12.2013, 13:42:16,428.37,437.22,432.94,8.37,7.52,7.65,,,,,6237.58
03.12.2013, 13:47:16,428.25,437.66,433.1,8.4,7.52,7.65,,,,,6235.67
03.12.2013, 13:52:16,428.95,438.11,433.77,8.36,7.46,7.58,,,,,6211.02
03.12.2013, 13:57:16,428.51,438.24,433.97,8.18,7.28,7.37,,,,,6065.68
03.12.2013, 14:02:16,429.11,438.87,434.54,8.29,7.37,7.51,,,,,6175.62
03.12.2013, 14:07:16,427.41,436.76,432.32,7.95,7.1,7.2,,,,,5889.72
03.12.2013, 14:12:16,428.01,437.57,433.14,7.94,7.01,7.17,,,,,5878.21
03.12.2013, 14:17:16,427.17,436.85,432.48,8.11,7.21,7.28,,,,,5984.28
03.12.2013, 14:22:16,427.51,437.1,432.44,7.82,6.96,7.06,,,,,5793.09
03.12.2013, 14:27:16,427.01,436.89,432.89,7.73,6.81,6.98,,,,,5705.64
03.12.2013, 14:32:16,423.61,432.85,429.33,1.25,0,0,,,,,433.31
03.12.2013, 14:37:16,419.74,429.29,425.63,1.29,0,0,,,,,441.86
03.12.2013, 14:42:16,427.15,437.39,433.35,6.76,5.92,6.09,,,,,5009.8
03.12.2013, 14:47:16,427.65,437.24,433.28,6.66,5.8,5.9,,,,,4909.01
03.12.2013, 14:52:16,420.72,429.8,426.41,6.45,5.68,5.79,,,,,4695.28
03.12.2013, 14:57:16,417.76,426.96,422.87,1.29,0,0,,,,,484.61
03.12.2013, 15:02:16,423.37,433.27,428.82,5.77,4.96,5.05,,,,,4212.9
03.12.2013, 15:07:16,422.05,431.27,427.42,5.64,4.89,4.96,,,,,4106.63
03.12.2013, 15:12:16,419.54,429.22,425.49,5.39,4.6,4.71,,,,,3894.62
03.12.2013, 15:17:16,424.66,434.2,430.73,5.07,4.22,4.37,,,,,3697.56
03.12.2013, 15:22:16,424.53,433.73,429.57,3.98,3.15,3.3,,,,,2882.01
03.12.2013, 15:27:16,420.75,430.44,425.81,4.33,3.53,3.67,,,,,3123.75
03.12.2013, 15:32:16,425.69,435.12,431.26,3.98,3.19,3.33,,,,,2904.26
03.12.2013, 15:37:16,419.43,428.91,425.01,3.58,2.63,2.9,,,,,2532.5
03.12.2013, 15:42:16,418.33,427.59,423.64,3.42,2.56,2.77,,,,,2415.07
03.12.2013, 15:47:16,419.4,428.76,424.64,3.45,2.6,2.83,,,,,2460.02
03.12.2013, 15:52:16,416.99,426.43,422.85,3.33,2.49,2.73,,,,,2349.79
03.12.2013, 15:57:16,418.64,428.22,423.99,3.06,2.26,2.4,,,,,2147.54
03.12.2013, 16:02:16,418.86,428.39,424.49,2.99,2.18,2.37,,,,,2102.82
03.12.2013, 16:07:16,419.39,429.1,424.97,2.77,1.96,2.17,,,,,1944.41
03.12.2013, 16:12:16,416.52,425.79,421.82,1.01,0,0,,,,,342.16
03.12.2013, 16:17:16,415.61,425.61,421.39,1.05,0,0,,,,,355.92
03.12.2013, 16:22:16,416.12,425.9,421.65,1.07,0,0,,,,,364.41
03.12.2013, 16:27:16,415.41,425.63,420.97,1.04,0,0,,,,,349.07
03.12.2013, 16:32:16,416.42,426.62,422.69,1.05,0,0,,,,,355.94
03.12.2013, 16:37:16,415.15,425.24,421.27,1.05,0,0,,,,,371.34
03.12.2013, 16:42:16,416.82,426.94,422.85,1.05,0,0,,,,,393.23
03.12.2013, 16:47:16,416.78,426.86,422.76,1.25,0,0,,,,,485.24
03.12.2013, 16:52:16,416.79,427.38,422.95,1.18,0,0,,,,,455.55
03.12.2013, 16:57:16,421.71,431.57,427.18,1.11,0,0,,,,,418.85
03.12.2013, 17:02:16,416.41,426.27,422.13,0.96,0,0,,,,,353.56
03.12.2013, 17:07:16,421.24,430.82,427.26,0.98,0,0,,,,,348.7
03.12.2013, 17:12:16,421.87,432.04,427.77,1.66,0,0,,,,,486.54
03.12.2013, 17:17:16,419.7,430.14,426.05,0,0,0,,,,,0
03.12.2013, 17:22:16,417.25,426.87,422.88,0,0,0,,,,,0
03.12.2013, 17:27:16,416.49,427.28,422.72,0,0,0,,,,,0
03.12.2013, 17:32:16,417.46,427.55,423.41,0,0,0,,,,,0
03.12.2013, 17:37:16,417.05,427.48,423.27,0,0,0,,,,,0
03.12.2013, 17:42:16,417.66,427.94,424.18,0,0,0,,,,,0
03.12.2013, 17:47:16,416.8,427.6,423.08,0,0,0,,,,,0
03.12.2013, 17:52:16,417.58,428.28,423.69,0,0,0,,,,,0
03.12.2013, 17:57:16,417.2,428.35,423.32,0,0,0,,,,,0
03.12.2013, 18:02:16,420.09,430.7,426.62,0,0,0,,,,,0
03.12.2013, 18:07:16,418.71,429.87,425.45,0,0,0,,,,,0
03.12.2013, 18:12:16,416.9,428.13,423.77,0,0,0,,,,,0
03.12.2013, 18:17:16,416.48,427.73,423.35,0,0,0,,,,,0
03.12.2013, 18:22:16,421.48,433,428.41,0,0,0,,,,,0
03.12.2013, 18:27:16,421.88,433.73,429.47,0,0,0,,,,,0
03.12.2013, 18:32:16,417.24,428.47,423.65,0,0,0,,,,,0
03.12.2013, 18:37:16,415.59,427.13,422.55,0,0,0,,,,,0
