Fecha de la Medida,Hora de la Medida,V12,V23,C,FASE A,FASE B,FASE C,NEUTRO,POTENCIA ACTIVA 12 [W],POTENCIA ACTIVA 23 [W],POTENCIA ACTIVA C [W]
19/02/2013,14:40:00,429.5,425.7,428.3,3.974,6.332,4.681,,1274,1455,
19/02/2013,14:45:00,424.9,421.1,424.1,0.655,2.711,1.532,,73.51,225.1,
19/02/2013,14:50:00,424,420.4,423.8,0.537,1.802,0.989,,0,0,
19/02/2013,14:55:00,423.9,420.5,423.6,0.948,1.739,1.076,,0,0,
19/02/2013,15:00:00,423.5,420.6,423.4,1.102,1.713,1.087,,0,0,
19/02/2013,15:05:00,423.4,420.2,423.1,1.064,1.711,1.081,,0,0,
19/02/2013,15:10:00,424.1,420.8,423.8,1.023,1.729,1.088,,0,0,
19/02/2013,15:15:00,428.6,425.1,427.6,2.844,4.859,3.443,,960.3,1113,
19/02/2013,15:20:00,429.2,425.7,428.5,3.694,6.029,4.452,,1185,1360,
19/02/2013,15:25:00,424.9,421.4,424.3,1.365,2.442,1.519,,474.4,578.5,
19/02/2013,15:30:00,425.3,421.5,424.5,0.85,2.372,1.476,,110.5,410.2,
19/02/2013,15:35:00,425.4,421.6,424.6,0.904,2.414,1.426,,124.6,376.9,
19/02/2013,15:40:00,428.3,424.8,427.4,2.435,4.637,3.179,,739.4,902.9,
19/02/2013,15:45:00,428.7,425.4,427.9,2.612,4.921,3.397,,782.7,4,
19/02/2013,15:50:00,428.5,424.8,427.5,2.543,4.802,3.282,,749,897.3,
19/02/2013,15:55:00,427.7,424,426.9,1.983,4.174,2.699,,545.3,664.8,
19/02/2013,16:00:00,427,423.1,426.2,1.552,3.358,2.049,,368.1,511.1,
19/02/2013,16:05:00,425.8,422,425.2,0.707,1.798,1.106,,0,0,
19/02/2013,16:10:00,425.7,422.1,425.3,0.983,1.844,1.04,,0,0,
19/02/2013,16:15:00,425.5,422,425.1,1.003,1.766,1.107,,0,0,
19/02/2013,16:20:00,425.7,421.8,425.3,0.754,1.821,1.025,,0,0,
19/02/2013,16:25:00,425.4,421.8,425.4,1.04,1.769,1.123,,0,0,
19/02/2013,16:30:00,425.3,422,425.3,1.06,1.762,1.126,,0,0,
19/02/2013,16:35:00,425.3,422.1,425.2,1.103,1.75,1.129,,0,0,
19/02/2013,16:40:00,425.1,421.9,425,1.113,1.745,1.131,,0,0,
19/02/2013,16:45:00,425.7,422.2,425.6,0.907,1.911,1.109,,0,0.276,
19/02/2013,16:50:00,425.7,422.3,425.6,1.083,1.764,1.131,,0,0,
19/02/2013,16:55:00,426.2,423,426.1,1.101,1.769,1.138,,0,0,
19/02/2013,17:00:00,426.3,423.2,426.4,0.499,2.165,1.322,,0,55.31,
19/02/2013,17:05:00,426.6,423.5,426.8,1.167,1.798,1.066,,0,0,
19/02/2013,17:10:00,426.1,423.2,426.5,1.142,1.769,1.159,,0,0,
19/02/2013,17:15:00,425.8,422.9,425.9,1.136,1.759,1.149,,0,0,
19/02/2013,17:20:00,425.9,422.7,426.2,1.14,1.761,1.15,,0,0,
19/02/2013,17:25:00,425.8,422.8,426.2,1.143,1.755,1.144,,0,0,
19/02/2013,17:30:00,425.4,422.1,425.5,1.133,1.752,1.147,,0,0,
19/02/2013,17:35:00,425.2,422.1,425.4,1.146,1.744,1.148,,0,0,
19/02/2013,17:40:00,425.4,422.4,425.5,1.18,1.733,1.147,,0,0,
19/02/2013,17:45:00,425.8,423.1,426.3,1.193,1.75,1.148,,0,0,
19/02/2013,17:50:00,426.5,423.5,426.8,1.154,1.768,1.133,,0,0,
19/02/2013,17:55:00,427.4,424.7,427.8,1.176,1.777,1.145,,0,0,
19/02/2013,18:00:00,427.5,424.7,428,1.138,1.798,1.139,,0,0,
19/02/2013,18:05:00,427.2,424.2,427.6,1.157,1.78,1.144,,0,0,
19/02/2013,18:10:00,427.3,424,427.7,1.163,1.783,1.147,,0,0,
19/02/2013,18:15:00,427.2,424.2,427.8,1.208,1.77,1.167,,0,0,
19/02/2013,18:20:00,425.9,423,426.4,1.194,1.747,1.145,,0,0,
19/02/2013,18:25:00,424.8,421.6,425.3,1.152,1.744,1.13,,0,0,
19/02/2013,18:30:00,424.3,421.1,424.8,1.145,1.736,1.124,,0,0,
19/02/2013,18:35:00,424.3,421.1,424.6,1.106,1.743,1.105,,0,0,
19/02/2013,18:40:00,424,420.9,424.4,1.134,1.732,1.118,,0,0,
19/02/2013,18:45:00,422.9,419.7,423.1,1.128,1.718,1.103,,0,0,
19/02/2013,18:50:00,426.6,423,426.6,1.137,1.777,1.124,,0,0,
19/02/2013,18:55:00,427.2,424.2,427.3,1.163,1.779,1.131,,0,0,
19/02/2013,19:00:00,427.7,424.7,427.7,1.174,1.785,1.129,,0,0,
19/02/2013,19:05:00,427.9,424.5,427.9,1.061,1.819,1.118,,0,0,
19/02/2013,19:10:00,427.8,424.6,427.9,1.124,1.805,1.133,,0,0,
19/02/2013,19:15:00,428,424.7,428,1.101,1.814,1.132,,0,0,
19/02/2013,19:20:00,428,425,428.3,1.101,1.817,1.129,,0,0,
19/02/2013,19:25:00,428.5,425.4,428.7,1.111,1.825,1.126,,0,0,
19/02/2013,19:30:00,428.6,425.7,429.1,1.127,1.825,1.141,,0,0,
19/02/2013,19:35:00,428.9,426,429.2,1.134,1.826,1.138,,0,0,
19/02/2013,19:40:00,429.2,426.6,429.5,1.105,1.845,1.138,,0,0,
19/02/2013,19:45:00,429.6,426.8,429.8,1.114,1.847,1.135,,0,0,
19/02/2013,19:50:00,425.9,423.1,426.2,1.074,1.795,1.111,,0,0,
19/02/2013,19:55:00,425.4,422.6,425.6,1.08,1.782,1.109,,0,0,
19/02/2013,20:00:00,426.3,423.5,426.7,1.083,1.799,1.115,,0,0,
19/02/2013,20:05:00,426.8,423.9,427.3,1.068,1.814,1.107,,0,0,
19/02/2013,20:10:00,427,424.1,427.3,1.104,1.806,1.127,,0,0,
19/02/2013,20:15:00,427,424.2,427.3,1.101,1.807,1.13,,0,0,
19/02/2013,20:20:00,427.2,424.2,427.4,1.091,1.815,1.125,,0,0,
19/02/2013,20:25:00,427.9,424.7,428,1.082,1.829,1.121,,0,0,
19/02/2013,20:30:00,428,425,428.2,1.092,1.833,1.12,,0,0,
