Fecha de la Medida,Hora de la Medida,AB,BC,CA,FASE A,FASE B,FASE C,NEUTRO,POTENCIA ACTIVA AB [W],POTENCIA ACTIVA BC [W],POTENCIA ACTIVA CA [W],
12/06/2013,11:30:00,433.7,430.9,433.6,5.748,5.735,6.323,,2131,2492,,4628
12/06/2013,11:35:00,435.9,433.1,435.8,5.569,5.552,6.148,,2075,2439,,4519
12/06/2013,11:40:00,434.5,431.8,434.4,5.656,5.653,6.227,,2104,2460,,4568
12/06/2013,11:45:00,433.8,430.8,433.3,6.174,6.165,6.748,,2291,2653,,4948
12/06/2013,11:50:00,435.9,432.8,435.4,6.573,6.579,7.158,,2454,2823,,5281
12/06/2013,11:55:00,435.8,432.7,435.5,6.399,6.384,6.993,,2383,2761,,5148
12/06/2013,12:00:00,436.3,433.3,436,5.873,5.86,6.469,,2189,2567,,4761
12/06/2013,12:05:00,434.8,431.7,434.4,5.405,5.377,5.972,,2006,2363,,4374
12/06/2013,12:10:00,429.7,426.4,429.8,1.523,1.478,1.875,,375.2,510.2,,1315
12/06/2013,12:15:00,427.3,423.9,427.5,0,0,0,,0,0,,0
12/06/2013,12:20:00,427.6,424.2,427.6,0,0,0,,0,0,,0
12/06/2013,12:25:00,427.8,424.6,427.8,0.05,0.005,0.107,,0,12.47,,5.078
12/06/2013,12:30:00,429.8,426.7,429.8,1.494,1.511,2.036,,411.4,716.8,,1433
12/06/2013,12:35:00,433.3,430.3,433.2,4.749,4.738,5.31,,1606,1963,,3962
12/06/2013,12:40:00,435,431.9,434.9,5.929,5.952,6.498,,2212,2564,,4780
12/06/2013,12:45:00,435,431.9,434.7,5.947,5.952,6.525,,2215,2575,,4795
12/06/2013,12:50:00,432.1,429.2,432.3,3.281,3.303,3.8,,1209,1513,,2726
12/06/2013,12:55:00,433.5,430.6,433.8,4.139,4.102,4.68,,1459,1761,,3474
12/06/2013,13:00:00,428.5,425.3,429,0.036,0.002,0.057,,0,6.019,,0.518
12/06/2013,13:05:00,430.2,427.1,430.4,1.03,0.957,1.492,,225.5,398.3,,988.6
12/06/2013,13:10:00,430.7,427.6,430.8,1.738,1.788,2.239,,445.5,700.8,,1615
12/06/2013,13:15:00,428.2,425.3,428.6,0.261,0.219,0.562,,38.64,120.3,,233.4
12/06/2013,13:20:00,427.9,424.9,428,0,0,0,,0,0,,0
12/06/2013,13:25:00,427.8,424.7,427.9,0,0,0,,0,0,,0
12/06/2013,13:30:00,427.8,424.9,428.2,0,0,0,,0,0,,0
12/06/2013,13:35:00,428.5,425.7,428.9,0,0,0,,0,0,,0
12/06/2013,13:40:00,428.6,425.5,428.8,0,0,0,,0,0,,0
12/06/2013,13:45:00,428.7,425.9,429.4,0,0,0,,0,0,,0
12/06/2013,13:50:00,429,426.2,429.5,0,0,0,,0,0,,0
12/06/2013,13:55:00,429.3,426.5,429.9,0,0,0,,0,0,,0
12/06/2013,14:00:00,429.3,426.6,429.8,0,0,0,,0,0,,0
12/06/2013,14:05:00,428.8,426.4,429.6,0,0,0,,0,0,,0
12/06/2013,14:10:00,429.4,426.7,430.1,0,0,0,,0,0,,0
12/06/2013,14:15:00,429.7,427.3,430.4,0,0,0,,0,0,,0
12/06/2013,14:20:00,429.8,427.3,430.5,0,0,0,,0,0,,0
12/06/2013,14:25:00,429.7,427,430.3,0,0,0,,0,0.083,,0.083
12/06/2013,14:30:00,428.5,425.9,429.3,0,0,0,,0,0.087,,0.087
12/06/2013,14:35:00,428.4,426,428.8,0,0,0,,0,0,,0
12/06/2013,14:40:00,425.9,423.4,426.9,0,0,0,,0,0,,0
12/06/2013,14:45:00,425.6,423.4,426.7,0,0,0,,0,0,,0
12/06/2013,14:50:00,426.2,423.8,427.1,0,0,0,,0,0,,0
12/06/2013,14:55:00,426.1,423.6,426.9,0,0,0,,0,0,,0
12/06/2013,15:00:00,426.3,423.7,427,0,0,0,,0,0,,0
12/06/2013,15:05:00,426,423.5,426.8,0,0,0,,0,0,,0
12/06/2013,15:10:00,426.1,423.6,427,0,0,0,,0,0,,0
12/06/2013,15:15:00,425.9,423.5,426.8,0,0,0,,0,0,,0
12/06/2013,15:20:00,425.8,423.4,426.7,0,0,0,,0,0,,0
12/06/2013,15:25:00,426.1,423.8,427.2,0.015,0,0.253,,0,29.91,,27.5
12/06/2013,15:30:00,427.2,423.9,427.8,0.037,0.096,0.201,,6.357,39.8,,61.85
12/06/2013,15:35:00,428.2,424.5,428.6,0.724,0.839,1.284,,181.1,447.6,,807.1
12/06/2013,15:40:00,427.1,423.5,427.8,0.001,0,0.145,,0,16.2,,15.94
12/06/2013,15:45:00,427.2,423.4,427.8,0,0,0,,0,0,,0
12/06/2013,15:50:00,427.3,423.6,428,0,0,0,,0,0,,0
12/06/2013,15:55:00,431.1,427.2,431.6,0.15,0.22,0.469,,28.04,107.6,,201.8
12/06/2013,16:00:00,428.3,424.5,429,0,0,0.412,,0,55.15,,55.15
12/06/2013,16:05:00,430.9,427,431.7,0,0.039,0.494,,0.115,89.93,,90.07
12/06/2013,16:10:00,430.3,426.7,430.8,0,0,0,,0,0,,0
12/06/2013,16:15:00,430.5,426.9,431.1,0,0,0,,0,0,,0
