Fecha de la Medida,Hora de la Medida,AB,BC,CA,FASE A,FASE B,FASE C,NEUTRO,POTENCIA ACTIVA AB [W],POTENCIA ACTIVA BC [W],POTENCIA ACTIVA CA [W]
14/05/2013,10:30:00,430.7,426.8,430.4,1.124,0,6.741,,0,1961,
14/05/2013,10:35:00,273.1,427,273.5,1.165,0,6.767,,0.125,1963,
14/05/2013,10:40:00,218.9,426.5,246.6,1.288,1.039,6.363,,6.999,1853,
14/05/2013,10:45:00,429.7,425.9,429.4,1.263,1.22,6.294,,0,1844,
14/05/2013,10:50:00,429.8,425.6,429.4,1.241,1.22,6.366,,0,1877,
14/05/2013,10:55:00,429.2,425,428.8,1.239,1.212,6.309,,0,1865,
14/05/2013,11:00:00,429.2,425.2,428.9,1.249,1.213,6.309,,0,1853,
14/05/2013,11:05:00,429.3,425.1,428.8,1.244,1.213,6.281,,0,1834,
14/05/2013,11:10:00,429.5,425.3,429.1,1.245,1.219,6.342,,0,1865,
14/05/2013,11:15:00,429.2,424.9,428.8,1.234,1.213,6.346,,0,1879,
14/05/2013,11:20:00,431,427.2,430.8,1.285,1.797,6.494,,131.8,2090,
14/05/2013,11:25:00,433.3,429.4,433,2.004,3.089,7.169,,359.9,2642,
14/05/2013,11:30:00,433,429.2,432.6,2.219,3.328,7.29,,456.5,2722,
14/05/2013,11:35:00,433.6,429.7,433.6,2.693,3.909,7.696,,631.3,2985,
14/05/2013,11:40:00,431.1,427.1,431.1,1.541,1.764,6.674,,338.6,2106,
14/05/2013,11:45:00,429.9,425.9,429.8,1.269,1.219,6.378,,0,1879,
14/05/2013,11:50:00,430.2,426.6,430.1,1.271,1.229,6.41,,0,1896,
14/05/2013,11:55:00,431.1,427.4,431.1,1.291,1.24,6.436,,0,1903,
14/05/2013,12:00:00,431.5,427.6,431.3,1.482,1.524,6.581,,994.6,2011,
14/05/2013,12:05:00,436.1,432,435.7,3.78,5.08,8.498,,1047,3457,
14/05/2013,12:10:00,436.8,432.9,436.2,4.287,5.609,8.903,,1239,3677,
14/05/2013,12:15:00,435,431.1,434.5,3.358,4.567,8.158,,939.3,3232,
14/05/2013,12:20:00,432.2,428.6,431.8,2.948,3.86,7.741,,1057,2915,
