Fecha de la Medida,Hora de la Medida,A,B,C,VN,FASE A,FASE B,FASE C,NEUTRO,POTENCIA ACTIVA A [W],POTENCIA ACTIVA B [W],POTENCIA ACTIVA C [W],,ACTIVA TOTAL [kW]
07/11/2013,12:00:00,250.5,213.4,245.9,37.23,4.183,4.664,4.464,,927.6,886.7,1035,3287,3.287
07/11/2013,12:05:00,250.8,197.4,246.1,37.25,5.107,5.516,5.333,,1203,903.4,1270,3617,3.617
07/11/2013,12:10:00,250.4,205.2,245.7,37.16,4.988,5.438,5.268,,1094,946.9,1206,3598,3.598
07/11/2013,12:15:00,249.9,219.6,245,21.91,3.214,3.424,3.362,,546.8,389.5,564.1,1652,1.652
07/11/2013,12:20:00,251.7,188.7,246.9,37.38,5.266,5.693,5.481,,1175,813.8,1229,3509,3.509
07/11/2013,12:25:00,249.9,193,245.2,37.06,4.107,4.585,4.341,,915.9,715.2,991.9,2908,2.908
07/11/2013,12:30:00,249.4,197.7,244.6,33.09,3.305,3.792,3.607,,568.2,514.6,647.4,2168,2.168
07/11/2013,12:35:00,251.7,213.5,247,37.48,7.022,7.36,7.247,,1749,1350,1779,4970,4.97
07/11/2013,12:40:00,251.4,196,246.7,37.4,6.124,6.508,6.35,,1452,991.5,1494,4062,4.062
07/11/2013,12:45:00,252.4,188.7,247.7,37.58,7.051,7.368,7.257,,1761,1045,1786,4618,4.618
07/11/2013,12:50:00,251.6,198,246.9,37.46,6.182,6.535,6.396,,1537,1031,1569,4188,4.188
07/11/2013,12:55:00,249.9,217.1,245,27.19,3.613,3.927,3.842,,658.8,536.1,708.8,2121,2.121
07/11/2013,13:00:00,247.9,231.3,242.9,10.36,0.652,0.782,0.764,,85.6,66.11,95.56,263.6,0.2636
07/11/2013,13:05:00,247.5,244.7,242.1,1.307,0,0.006,0,,0,0.605,0,0.605,0.000605
07/11/2013,13:10:00,250.5,221.3,245.6,33.07,4.503,4.881,4.722,,982.2,846.1,1020,3131,3.131
07/11/2013,13:15:00,251.8,222.6,246.9,37.47,5.861,6.251,6.092,,1458,1258,1494,4380,4.38
07/11/2013,13:20:00,248.4,232.5,243.1,12.71,0.952,1.104,1.073,,129.8,113.7,141.9,465.4,0.4654
07/11/2013,13:25:00,248,245,242.6,1.787,0,0.003,0,,0,0.348,0,0.348,0.000348
07/11/2013,13:30:00,247.8,244.9,242.4,2.038,0,0.005,0,,0,0.514,0,0.514,0.000514
07/11/2013,13:35:00,246.8,229.1,242.8,12.72,0.292,0.509,0.434,,31.96,43.5,47.34,150.2,0.1502
07/11/2013,13:40:00,247,197.5,244.6,36.12,3.488,3.96,3.706,,721.6,564.3,789.1,2279,2.279
07/11/2013,13:45:00,252.4,200.5,247.4,37.52,6.246,6.607,6.449,,1558,1066,1584,4277,4.277
07/11/2013,13:50:00,252.7,193.3,247.5,37.56,6.343,6.746,6.579,,1585,1005,1617,4235,4.235
07/11/2013,13:55:00,252.6,194.9,247.8,37.78,6.539,6.986,6.807,,1632,1055,1675,4402,4.402
07/11/2013,14:00:00,232.7,194.8,244.4,39.12,5.929,6.42,6.202,,1265,977.5,1504,3895,3.895
07/11/2013,14:05:00,252.8,181.6,247.4,37.66,6.174,6.682,6.457,,1542,867.8,1587,4001,4.001
07/11/2013,14:10:00,251.7,183.8,246.5,37.39,4.786,5.319,5.019,,1109,713.8,1160,3147,3.147
07/11/2013,14:15:00,252.6,182.6,247.4,37.66,6.36,6.789,6.591,,1588,893,1620,4107,4.107
07/11/2013,14:20:00,252.2,179.2,246.9,37.47,5.293,5.71,5.49,,1311,720.5,1345,3383,3.383
07/11/2013,14:25:00,251.2,195.2,245.9,29.55,4.185,4.551,4.408,,790.8,472.9,856.4,2191,2.191
07/11/2013,14:30:00,251.4,192.5,246.2,32.93,5.008,5.322,5.152,,1103,640.3,1112,2896,2.896
07/11/2013,14:35:00,252.8,180.3,247.6,37.61,6.216,6.553,6.375,,1553,834.7,1568,3956,3.956
07/11/2013,14:40:00,251.6,191.4,246.3,31.07,4.091,4.46,4.304,,808.3,476.9,873.7,2227,2.227
07/11/2013,14:45:00,249.4,208.1,244.2,22.25,1.372,1.706,1.563,,213.1,150.5,244.6,656.8,0.6568
07/11/2013,14:50:00,248.6,245.8,243.4,2.492,0,0.011,0,,0,1.18,0,1.18,0.00118
07/11/2013,14:55:00,248.6,245.8,243.4,1.868,0,0,0,,0,0.086,0,0.086,0.000086
07/11/2013,15:00:00,248.5,245.8,243.3,1.878,0,0.005,0,,0,0.521,0,0.521,0.000521
07/11/2013,15:05:00,248.5,241.3,243.3,5.531,0.004,0.082,0.09,,0.178,4.775,3.946,8.914,0.008914
07/11/2013,15:10:00,248.6,245.8,243.1,2.094,0,0.01,0,,0,0.987,0,0.987,0.000987
07/11/2013,15:15:00,249.2,228.6,244,12.71,0.482,0.702,0.618,,63.36,60.44,76.4,240.7,0.2407
07/11/2013,15:20:00,248.8,246,243.5,2.042,0,0.01,0,,0,0.987,0,0.987,0.000987
07/11/2013,15:25:00,248.7,245.8,243.3,2.083,0,0.017,0,,0,1.758,0,1.758,0.001758
07/11/2013,15:30:00,248.8,246.1,243.5,2.015,0,0.004,0,,0,0.438,0,0.438,0.000438
07/11/2013,15:35:00,248.8,246.1,243.5,1.924,0,0.005,0,,0,0.515,0,0.515,0.000515
07/11/2013,15:40:00,248.8,246.1,243.5,1.904,0,0.001,0,,0,0.175,0,0.175,0.000175
07/11/2013,15:45:00,248.8,245.9,243.6,2.251,0,0.014,0,,0,1.466,0,1.466,0.001466
07/11/2013,15:50:00,248.9,245.9,243.7,3.007,0,0.016,0,,0,1.651,0,1.651,0.001651
07/11/2013,15:55:00,248.9,246,243.8,2.832,0,0.015,0,,0,1.558,0,1.558,0.001558
07/11/2013,16:00:00,248.9,246.1,243.7,2.493,0,0.003,0,,0,0.35,0,0.35,0.00035
07/11/2013,16:05:00,248.9,246.1,243.7,2.14,0,0.012,0,,0,1.277,0,1.277,0.001277
07/11/2013,16:10:00,249,246.3,243.9,1.861,0,0.005,0,,0,0.533,0,0.533,0.000533
07/11/2013,16:15:00,248.9,246.2,243.8,1.829,0,0.006,0,,0,0.618,0,0.618,0.000618
07/11/2013,16:20:00,248.8,246,243.8,1.814,0,0.005,0,,0,0.522,0,0.522,0.000522
07/11/2013,16:25:00,248.9,246.3,243.9,1.822,0,0.002,0,,0,0.258,0,0.258,0.000258
07/11/2013,16:30:00,248.9,246.2,243.9,1.83,0,0.017,0,,0,1.775,0,1.775,0.001775
07/11/2013,16:35:00,248.9,246.1,243.9,1.825,0,0.01,0,,0,0.991,0,0.991,0.000991
07/11/2013,16:40:00,248.9,246,243.9,1.822,0,0.007,0,,0,0.707,0,0.707,0.000707
07/11/2013,16:45:00,248.8,245.8,243.8,1.816,0,0.007,0,,0,0.696,0,0.696,0.000696
07/11/2013,16:50:00,248.9,246,244,1.815,0,0.005,0,,0,0.521,0,0.521,0.000521
07/11/2013,16:55:00,249,246.1,244,1.813,0,0.002,0,,0,0.254,0,0.254,0.000254
07/11/2013,17:00:00,249.2,246.4,244.2,1.818,0,0.007,0,,0,0.697,0,0.697,0.000697
07/11/2013,17:05:00,248.9,246.1,244,1.813,0,0,0,,0,0.087,0,0.087,0.000087
07/11/2013,17:10:00,249.1,246.1,244.1,1.825,0,0.011,0,,0,1.166,0,1.166,0.001166
07/11/2013,17:15:00,249.3,246.2,244.2,1.823,0,0.01,0,,0,1.063,0,1.063,0.001063
07/11/2013,17:20:00,249.1,246.3,244.3,1.77,0,0.001,0,,0,0.174,0,0.174,0.000174
07/11/2013,17:25:00,247.8,245,242.9,1.486,0,0,0,,0,0.085,0,0.085,0.000085
07/11/2013,17:30:00,248,245,243.1,1.398,0,0.004,0,,0,0.443,0,0.443,0.000443
07/11/2013,17:35:00,247.5,244.7,242.7,0.318,0,0.005,0,,0,0.51,0,0.51,0.00051
07/11/2013,17:40:00,247.3,244.3,242.3,0.004,0,0.001,0,,0,0.171,0,0.171,0.000171
07/11/2013,17:45:00,247.4,244.4,242.3,0,0,0,0,,0,0.085,0,0.085,0.000085
07/11/2013,17:50:00,249.2,246.2,244.3,0.073,0,0.012,0,,0,1.274,0,1.274,0.001274
07/11/2013,17:55:00,247.4,244.4,242.6,0,0,0.005,0,,0,0.521,0,0.521,0.000521
07/11/2013,18:00:00,247.4,244.4,242.4,0,0,0.002,0,,0,0.259,0,0.259,0.000259
07/11/2013,18:05:00,247.2,244.1,242.1,0,0,0.006,0,,0,0.607,0,0.607,0.000607
07/11/2013,18:10:00,249.3,246.3,244.1,0.113,0,0.017,0,,0,1.755,0,1.755,0.001755
07/11/2013,18:15:00,249.5,246.5,244.4,0.006,0,0.019,0,,0,1.971,0,1.971,0.001971
07/11/2013,18:20:00,249.7,246.5,244.6,0,0,0.027,0,,0,2.842,0,2.842,0.002842
07/11/2013,18:25:00,250,246.7,244.7,0,0,0.033,0,,0,3.567,0,3.567,0.003567
07/11/2013,18:30:00,249.4,246.1,244,0,0,0.032,0,,0,3.512,0,3.512,0.003512
07/11/2013,18:35:00,250.3,247,244.9,0,0,0.022,0,,0,2.347,0,2.347,0.002347
07/11/2013,18:40:00,250.3,247.2,245,0,0,0.017,0,,0,1.776,0,1.776,0.001776
07/11/2013,18:45:00,248.4,245.4,243.2,0,0,0.005,0,,0,0.548,0,0.548,0.000548
07/11/2013,18:50:00,248.8,245.7,243.6,0,0,0.008,0,,0,0.827,0,0.827,0.000827
07/11/2013,18:55:00,248.3,245.3,243.1,0,0,0.005,0,,0,0.538,0,0.538,0.000538
07/11/2013,19:00:00,248.3,245.2,243.1,0,0,0,0,,0,0.089,0,0.089,0.000089
07/11/2013,19:05:00,248.4,245.4,243.3,0,0,0.002,0,,0,0.26,0,0.26,0.00026
07/11/2013,19:10:00,248.5,245.4,243.3,0,0,0.006,0,,0,0.616,0,0.616,0.000616
07/11/2013,19:15:00,248.6,245.6,243.4,0,0,0.002,0,,0,0.267,0,0.267,0.000267
07/11/2013,19:20:00,248.4,245.4,243.3,0,0,0.004,0,,0,0.425,0,0.425,0.000425
07/11/2013,19:25:00,248.5,245.5,243.4,0,0,0.001,0,,0,0.171,0,0.171,0.000171
07/11/2013,19:30:00,248.9,245.9,243.9,0,0,0.004,0,,0,0.436,0,0.436,0.000436
07/11/2013,19:35:00,248.9,245.8,243.8,0,0,0.003,0,,0,0.35,0,0.35,0.00035
07/11/2013,19:40:00,249.3,246.2,244.1,0,0,0.007,0,,0,0.721,0,0.721,0.000721
07/11/2013,19:45:00,249.6,246.5,244.3,0,0,0.016,0,,0,1.682,0,1.682,0.001682
07/11/2013,19:50:00,249.9,246.7,244.6,0,0,0.015,0,,0,1.583,0,1.583,0.001583
07/11/2013,19:55:00,250.4,247.2,245.2,0,0,0.004,0,,0,0.463,0,0.463,0.000463
07/11/2013,20:00:00,249.2,246.1,244.1,0,0,0.007,0,,0,0.705,0,0.705,0.000705
07/11/2013,20:05:00,248.1,245,243.1,0,0,0.001,0,,0,0.171,0,0.171,0.000171
07/11/2013,20:10:00,248.5,245.3,243.3,0,0,0.003,0,,0,0.348,0,0.348,0.000348
07/11/2013,20:15:00,248.8,245.5,243.5,0,0,0.002,0,,0,0.259,0,0.259,0.000259
07/11/2013,20:20:00,249,245.8,243.7,0,0,0.009,0,,0,0.922,0,0.922,0.000922
07/11/2013,20:25:00,249.3,246.1,244,0,0,0.015,0,,0,1.548,0,1.548,0.001548
07/11/2013,20:30:00,249.6,246.4,244.3,0,0,0,0,,0,0.09,0,0.09,0.00009
07/11/2013,20:35:00,249.6,246.4,244.3,0,0,0.004,0,,0,0.448,0,0.448,0.000448
07/11/2013,20:40:00,248.7,245.5,243.5,0,0,0,0,,0,0.088,0,0.088,0.000088
07/11/2013,20:45:00,249.1,245.9,243.8,0,0,0.002,0,,0,0.264,0,0.264,0.000264
07/11/2013,20:50:00,249.7,246.3,244.2,0,0,0.007,0,,0,0.736,0,0.736,0.000736
07/11/2013,20:55:00,250.2,246.8,244.6,0,0,0.009,0,,0,1.025,0,1.025,0.001025
07/11/2013,21:00:00,250.1,246.7,244.6,0,0,0.002,0,,0,0.27,0,0.27,0.00027
07/11/2013,21:05:00,250.4,247,244.9,0,0,0.01,0,,0,1.085,0,1.085,0.001085
07/11/2013,21:10:00,250.7,247.3,245.2,0,0,0.003,0,,0,0.355,0,0.355,0.000355
07/11/2013,21:15:00,250.2,246.6,244.7,0,0,0.002,0,,0,0.269,0,0.269,0.000269
07/11/2013,21:20:00,249.6,246.1,244.2,0,0,0.003,0,,0,0.353,0,0.353,0.000353
07/11/2013,21:25:00,250.2,246.7,244.7,0,0,0.002,0,,0,0.272,0,0.272,0.000272
07/11/2013,21:30:00,250.4,247,245,0,0,0.009,0,,0,0.918,0,0.918,0.000918
07/11/2013,21:35:00,250.6,247.2,245.2,0,0,0,0,,0,0.087,0,0.087,0.000087
07/11/2013,21:40:00,250.9,247.4,245.4,0,0,0.004,0,,0,0.446,0,0.446,0.000446
07/11/2013,21:45:00,251.3,247.8,245.7,0.003,0,0.008,0,,0,0.818,0,0.818,0.000818
07/11/2013,21:50:00,251.4,247.9,246,0,0,0.009,0,,0,0.921,0,0.921,0.000921
07/11/2013,21:55:00,251,247.5,245.5,0,0,0.01,0,,0,1.102,0,1.102,0.001102
07/11/2013,22:00:00,251.1,247.6,245.5,0,0,0.014,0,,0,1.478,0,1.478,0.001478
07/11/2013,22:05:00,251.4,247.8,245.7,0,0,0.02,0,,0,2.087,0,2.087,0.002087
07/11/2013,22:10:00,251.2,247.6,245.5,0,0,0.009,0,,0,0.922,0,0.922,0.000922
07/11/2013,22:15:00,251.4,247.9,245.8,0,0,0.01,0,,0,1.096,0,1.096,0.001096
07/11/2013,22:20:00,251.4,247.9,245.9,0,0,0.01,0,,0,1.103,0,1.103,0.001103
07/11/2013,22:25:00,251.6,248.1,246,0,0,0.012,0,,0,1.295,0,1.295,0.001295
07/11/2013,22:30:00,251.6,247.9,245.9,0,0,0.012,0,,0,1.298,0,1.298,0.001298
07/11/2013,22:35:00,251.6,248,246.2,0,0,0.01,0,,0,1.039,0,1.039,0.001039
07/11/2013,22:40:00,251.7,248,246.2,0,0,0.028,0,,0,2.975,0,2.975,0.002975
07/11/2013,22:45:00,252,248.4,246.5,0,0,0.033,0,,0,3.589,0,3.589,0.003589
07/11/2013,22:50:00,252,248.4,246.5,0,0,0.015,0,,0,1.601,0,1.601,0.001601
07/11/2013,22:55:00,252,248.3,246.4,0,0,0.009,0,,0,1.019,0,1.019,0.001019
07/11/2013,23:00:00,252.4,248.7,246.8,0,0,0.018,0,,0,1.89,0,1.89,0.00189
07/11/2013,23:05:00,252.6,249,247.1,0,0,0.009,0,,0,0.947,0,0.947,0.000947
07/11/2013,23:10:00,252.6,248.9,247.1,0,0,0.02,0,,0,2.197,0,2.197,0.002197
07/11/2013,23:15:00,251.6,247.9,246,0.006,0,0.018,0,,0,1.901,0,1.901,0.001901
07/11/2013,23:20:00,251.1,247.4,245.4,0,0,0.023,0,,0,2.512,0,2.512,0.002512
07/11/2013,23:25:00,251.7,247.9,246,0,0,0.023,0,,0,2.493,0,2.493,0.002493
07/11/2013,23:30:00,251.6,248,246,0,0,0.01,0,,0,1.129,0,1.129,0.001129
07/11/2013,23:35:00,250.7,247,245.2,0,0,0.005,0,,0,0.539,0,0.539,0.000539
07/11/2013,23:40:00,250.7,247.1,245.2,0,0,0.004,0,,0,0.455,0,0.455,0.000455
07/11/2013,23:45:00,251.1,247.5,245.4,0,0,0.014,0,,0,1.492,0,1.492,0.001492
07/11/2013,23:50:00,251.5,248,246,0,0,0.013,0,,0,1.401,0,1.401,0.001401
07/11/2013,23:55:00,251.2,247.7,245.7,0,0,0.024,0,,0,2.552,0,2.552,0.002552
08/11/2013,00:00:00,250.8,247.2,245.1,0,0,0.026,0,,0,2.77,0,2.77,0.00277
08/11/2013,00:05:00,251.1,247.6,245.5,0,0,0.013,0,,0,1.406,0,1.406,0.001406
08/11/2013,00:10:00,251.1,247.6,245.6,0,0,0.01,0,,0,1.012,0,1.012,0.001012
08/11/2013,00:15:00,250.9,247.4,245.3,0,0,0.007,0,,0,0.733,0,0.733,0.000733
08/11/2013,00:20:00,251.2,247.7,245.6,0,0,0.013,0,,0,1.4,0,1.4,0.0014
08/11/2013,00:25:00,251.4,247.9,245.8,0,0,0.015,0,,0,1.587,0,1.587,0.001587
