Fecha de la Medida,Hora de la Medida,A,B,C,FASE A,FASE B,FASE C,NEUTRO,POTENCIA ACTIVA A [W],POTENCIA ACTIVA B [W],POTENCIA ACTIVA C [W],
25/09/2013,14:50:00,251.8,180.8,252,5.162,6.142,4.17,,1272,720.8,1021,3015
25/09/2013,14:55:00,252.1,181.5,252.3,6.065,6.922,5.02,,1499,829.7,1238,3578
25/09/2013,15:00:00,252.8,182.3,253,6.503,7.333,5.428,,1613,889.6,1344,3858
25/09/2013,15:05:00,253.9,182.5,254.1,6.967,7.778,5.869,,1737,944.9,1461,4159
25/09/2013,15:10:00,252.5,181.8,252.8,6.911,7.718,5.858,,1713,936.9,1451,4116
25/09/2013,15:15:00,253.7,182.7,254,6.425,7.237,5.326,,1599,877.5,1323,3817
25/09/2013,15:20:00,253.7,183.1,253.9,6.218,7.073,5.144,,1547,858.2,1277,3692
25/09/2013,15:25:00,253,181.7,253.3,5.288,6.207,4.262,,1309,731.3,1051,3103
25/09/2013,15:30:00,251.1,180.5,251.2,4.104,5.049,3.11,,1004,575.3,754.9,2338
25/09/2013,15:35:00,249.1,178.9,249.1,3.108,4.086,2.146,,748.7,440.9,505.6,1696
25/09/2013,15:40:00,246.4,199.9,246.2,0.605,1.936,0.641,,49.28,163.4,27.83,313.6
25/09/2013,15:45:00,244.4,237.7,243.6,0.14,1.754,0.652,,2.577,196,0,111.4
25/09/2013,15:50:00,244.4,246,243.2,0,1.788,0.967,,0,212.9,0,28.08
25/09/2013,15:55:00,244.3,244.3,243.2,0,1.775,1.056,,0,211.7,0,17.67
25/09/2013,16:00:00,244.7,244.8,243.4,0,1.819,1.006,,0,218.9,0,27.06
25/09/2013,16:05:00,244.9,246.6,243.8,0,1.798,1.051,,0,212.5,0,9.76
25/09/2013,16:10:00,244.3,246,243.2,0,1.791,1.04,,0,212.7,0,12.25
25/09/2013,16:15:00,244.3,245.9,243.2,0,1.796,1.011,,0,214.3,0,18.52
25/09/2013,16:20:00,244.5,245.3,243.4,0,1.811,0.962,,0,214.8,0,29.97
25/09/2013,16:25:00,244.8,246.1,243.6,0,1.807,1.051,,0,216.9,0,12.6
25/09/2013,16:30:00,245,246.6,243.8,0,1.8,1.066,,0,218,0,10.69
25/09/2013,16:35:00,244.9,246.5,243.7,0,1.793,1.075,,0,219.5,0,12.69
25/09/2013,16:40:00,244.7,246.5,243.3,0,1.756,1.088,,0,206.5,0,5.162
25/09/2013,16:45:00,245,246.7,243.7,0,1.795,1.066,,0,214.6,0,7.44
25/09/2013,16:50:00,244.7,246.5,243.5,0,1.787,1.07,,0,212.2,0,6.393
25/09/2013,16:55:00,244.5,246.4,243.4,0,1.76,1.094,,0,211.2,0,7.393
25/09/2013,17:00:00,244.8,246.8,243.6,0,1.791,1.085,,0,216.6,0,8.78
25/09/2013,17:05:00,245.1,246.8,243.9,0,1.812,1.073,,0,220,0,13.5
25/09/2013,17:10:00,245.2,247,243.8,0,1.819,1.081,,0,222.9,0,16.95
