Feha de la Medda,Hora de la Medda,FASE AB,FASE BC, FASE AC,FASE A,FASE B,FASE C ,NEUTRO,POTENA ATVA AB [W],POTENA ATVA B [W],POTENA ATVA  [W],,
01/04/2014,11:30:58,410.66,415.9,415.13,6.63,5.9,6.29,,,,,"4,707.01",4.71
01/04/2014,11:35:58,409.77,414.7,413.54,6.54,5.78,6.21,,,,,"4,642.71",4.64
01/04/2014,11:40:58,411.12,416.35,415.12,6.74,5.91,6.4,,,,,"4,798.62",4.8
01/04/2014,11:45:58,411.68,417.4,416.19,7.03,6.13,6.68,,,,,"5,005.61",5.01
01/04/2014,11:50:58,412.41,417.73,416.21,7.08,6.17,6.74,,,,,"5,057.36",5.06
01/04/2014,11:55:58,411.99,417.39,415.66,6.78,5.85,6.45,,,,,"4,838.23",4.84
01/04/2014,12:00:58,412.68,418.03,416.52,7.1,6.09,6.74,,,,,"5,069.28",5.07
01/04/2014,12:05:58,411.63,417.35,415.67,7.05,6.03,6.7,,,,,"5,021.21",5.02
01/04/2014,12:10:58,410.59,416.03,414.71,6.96,5.93,6.6,,,,,"4,935.72",4.94
01/04/2014,12:15:58,411.5,416.52,415.14,6.78,5.77,6.42,,,,,"4,827.46",4.83
01/04/2014,12:20:58,411.37,417.06,415.36,6.94,5.89,6.59,,,,,"4,941.79",4.94
01/04/2014,12:25:58,410.75,416.09,414.1,7.07,6.01,6.72,,,,,"5,016.16",5.02
01/04/2014,12:30:58,410.74,417.35,415.43,6.81,5.76,6.49,,,,,"4,847.69",4.85
01/04/2014,12:35:58,410.72,415.87,414.51,6.34,5.23,6.01,,,,,"4,503.67",4.5
01/04/2014,12:40:58,402.8,408.93,406.33,0,1.14,1.1,,,,,209.82,0.21
01/04/2014,12:45:58,410.8,416.73,415.11,6.92,5.9,6.56,,,,,"4,916.43",4.92
01/04/2014,12:50:58,406.95,411.86,410.58,3.58,2.4,3.26,,,,,"2,494.55",2.49
01/04/2014,12:55:58,402.92,409.02,407.1,0,0,0,,,,,0,0
01/04/2014,13:00:58,411.23,417.13,415.5,7.29,6.24,6.91,,,,,"5,178.87",5.18
01/04/2014,13:05:58,409.43,414.81,413.77,7.18,6.05,6.83,,,,,"5,074.86",5.07
01/04/2014,13:10:58,411.3,416.59,415.41,7.13,5.98,6.78,,,,,"5,072.72",5.07
01/04/2014,13:15:58,410.47,416.43,414.92,7.21,6.09,6.87,,,,,"5,125.18",5.13
01/04/2014,13:20:58,404.06,409.88,408.92,0,0,0,,,,,0,0
01/04/2014,13:25:58,403.22,408.35,407.63,0,0,0,,,,,0,0
01/04/2014,13:30:58,405.51,411.45,410.31,2.91,1.75,2.54,,,,,"1,989.77",1.99
01/04/2014,13:35:58,409.83,415.96,414.48,7.21,6.16,6.88,,,,,"5,116.67",5.12
01/04/2014,13:40:58,409.91,415.86,414.37,7.09,6.02,6.76,,,,,"5,034.90",5.03
01/04/2014,13:45:58,410.65,416.36,414.85,6.64,5.62,6.33,,,,,"4,731.31",4.73
01/04/2014,13:50:58,404.56,410,408.93,0,0,0,,,,,0,0
01/04/2014,13:55:58,413.29,417.63,416.49,6.58,5.47,6.26,,,,,"4,709.04",4.71
01/04/2014,14:00:58,413.16,417.9,416.66,7.14,6.11,6.8,,,,,"5,112.73",5.11
01/04/2014,14:05:58,412.29,416.83,415.74,6.77,5.68,6.44,,,,,"4,833.52",4.83
01/04/2014,14:10:58,412.33,416.65,416.09,6.52,5.35,6.19,,,,,"4,640.53",4.64
01/04/2014,14:15:58,405.51,410.37,409.37,0,0,0,,,,,0,0
01/04/2014,14:20:58,413.17,418.73,417.06,6.79,5.75,6.51,,,,,"4,882.02",4.88
01/04/2014,14:25:58,412.77,417.07,415.57,6.67,5.63,6.33,,,,,"4,766.36",4.77
01/04/2014,14:30:58,412.82,418.32,416.63,6.84,5.77,6.5,,,,,"4,893.15",4.89
01/04/2014,14:35:58,411.73,416.44,415.52,6.6,5.45,6.28,,,,,"4,709.36",4.71
01/04/2014,14:40:58,410.89,415.8,414.5,6.56,5.49,6.25,,,,,"4,673.15",4.67
01/04/2014,14:45:58,412.93,417.15,416.06,6.15,5,5.81,,,,,"4,386.93",4.39
01/04/2014,14:50:58,411.89,416.73,415.5,5.98,4.85,5.67,,,,,"4,273.03",4.27
01/04/2014,14:55:58,409.24,414.27,413,3.35,2.07,3.08,,,,,"2,364.97",2.36
01/04/2014,15:00:58,411.5,415.69,414.91,5.21,4.01,4.87,,,,,"3,696.16",3.7
01/04/2014,15:05:58,405.51,410.12,408.5,0,0,0,,,,,0,0
01/04/2014,15:10:58,405.83,409.88,408.9,0,0,0,,,,,0,0
01/04/2014,15:15:58,407.39,411.54,410.33,0,0.98,0,,,,,0,0
01/04/2014,15:20:58,405.98,410.7,409.36,0,0,0,,,,,0,0
01/04/2014,15:25:58,411.83,416.11,414.52,5.37,4.22,5.07,,,,,"3,829.33",3.83
01/04/2014,15:30:58,412.51,416.36,415.3,5.12,3.96,4.85,,,,,"3,667.49",3.67
01/04/2014,15:35:58,411.21,415.38,414.11,4.22,3.08,3.92,,,,,"2,994.73",2.99
01/04/2014,15:40:58,408.27,412.48,411.45,1.88,0,1.67,,,,,"1,310.10",1.31
01/04/2014,15:45:58,406.76,411.14,409.92,0,0,0,,,,,0,0
01/04/2014,15:50:58,405.47,410.07,408.83,0,0.96,0,,,,,0,0
01/04/2014,15:55:58,406.02,410.2,409.25,0,1.29,1.09,,,,,215.16,0.22
01/04/2014,16:00:58,405.67,410.36,409.51,0,0,0,,,,,0,0
01/04/2014,16:05:58,406.54,410.96,409.82,0,0.97,0,,,,,0,0
01/04/2014,16:10:58,406.94,410.88,409.64,0,0,0,,,,,0,0
01/04/2014,16:15:58,407.44,412.04,410.94,0,0.98,0,,,,,0,0
01/04/2014,16:20:58,407.27,411.65,410.66,0,0,0,,,,,0,0
01/04/2014,16:25:58,406.69,411.54,410.5,0,0,0,,,,,0,0
01/04/2014,16:30:58,405.28,409.96,409.06,0,0,0,,,,,0,0
01/04/2014,16:35:58,406.39,410.94,409.9,0,0,0,,,,,0,0
01/04/2014,16:40:58,405.17,409.81,409.12,0,0,0,,,,,0,0
01/04/2014,16:45:58,405.72,410.55,409.61,0,0,0,,,,,0,0
01/04/2014,16:50:58,406.99,412.16,411.01,0,0,0,,,,,0,0
01/04/2014,16:55:58,407.49,412.29,411.28,0,0,0,,,,,0,0
01/04/2014,17:00:58,406.92,412.11,410.91,0,0,0,,,,,0,0
01/04/2014,17:05:58,404.2,409.29,408.32,0,0,0,,,,,0,0
01/04/2014,17:10:58,404.73,409.86,408.94,0,0,0,,,,,0,0
01/04/2014,17:15:58,404.98,410.24,408.93,0,0,0,,,,,0,0
01/04/2014,17:20:58,405.58,410.82,409.57,0,0,0,,,,,0,0
01/04/2014,17:25:58,404.94,410.77,409.26,0,0,0,,,,,0,0
01/04/2014,17:30:58,405.34,411.11,409.9,0,0,0,,,,,0,0
01/04/2014,17:35:58,405.4,411.26,410.06,0,0,0,,,,,0,0
01/04/2014,17:40:58,405.6,411.69,410.59,0,0,0,,,,,0,0
01/04/2014,17:45:58,406.91,412.38,411.45,0,0,0,,,,,0,0
01/04/2014,17:50:58,406.67,412.08,411.2,0,0,0,,,,,0,0
01/04/2014,17:55:58,407.56,413.19,412.18,0,0,0,,,,,0,0
01/04/2014,18:00:58,407.49,412.92,411.88,0,0,0,,,,,0,0
01/04/2014,18:05:58,407.42,413,411.84,0,0,0,,,,,0,0
01/04/2014,18:10:58,403.78,409.11,408.02,0,0,0,,,,,0,0
01/04/2014,18:15:58,403.29,408.81,407.79,0,0,0,,,,,0,0
01/04/2014,18:20:58,404.06,409.76,408.51,0,0,0,,,,,0,0
01/04/2014,18:25:58,404.58,409.97,409.06,0,0,0,,,,,0,0
01/04/2014,18:30:58,404.83,410.07,409.19,0,0,0,,,,,0,0
01/04/2014,18:35:58,404.46,410,409.25,0,0,0,,,,,0,0
01/04/2014,18:40:58,403.22,408.43,408.28,0,0,0,,,,,0,0
01/04/2014,18:45:58,404.02,408.79,408.42,0,0,0,,,,,0,0
01/04/2014,18:50:58,403.14,408.74,408.44,0,0,0,,,,,0,0
01/04/2014,18:55:58,403.29,408.59,408.22,0,0,0,,,,,0,0
01/04/2014,19:00:58,403.76,409.36,408.85,0,0,0,,,,,0,0
01/04/2014,19:05:58,402.66,407.99,407.38,0,0,0,,,,,0,0
01/04/2014,19:10:58,403.56,408.9,408.8,0,0,0,,,,,0,0
01/04/2014,19:15:58,403.46,407.91,408.12,0,0,0,,,,,0,0
01/04/2014,19:20:58,403.75,408.64,408.78,0,0,0,,,,,0,0
01/04/2014,19:25:58,403.11,408.44,408.31,0,0,0,,,,,0,0
01/04/2014,19:30:58,403.55,408.67,409.12,0,0,0,,,,,0,0
01/04/2014,19:35:58,406.09,410.82,410.72,0,0,0,,,,,0,0
01/04/2014,19:40:58,407.1,412.08,412.14,0,0,0,,,,,0,0
01/04/2014,19:45:58,406.57,411.81,412.07,0,0,0,,,,,0,0
01/04/2014,19:50:58,407.43,412.7,413.02,0,0,0,,,,,0,0
01/04/2014,19:55:58,406.86,411.93,412.13,0,0,0,,,,,0,0
01/04/2014,20:00:58,408.01,412.65,412.87,0,0,0,,,,,0,0
01/04/2014,20:05:58,407.69,412.62,412.83,0,0,0,,,,,0,0
01/04/2014,20:10:58,405.23,410.35,410.37,0,0,0,,,,,0,0
01/04/2014,20:15:58,405.41,410.74,410.52,0,0,0,,,,,0,0
01/04/2014,20:20:58,406.79,411.96,411.87,0,0,0,,,,,0,0
01/04/2014,20:25:58,406.11,411.22,411.22,0,0,0,,,,,0,0
01/04/2014,20:30:58,405.76,411.06,411.12,0,0,0,,,,,0,0
01/04/2014,20:35:58,405.09,410.31,410.32,0,0,0,,,,,0,0
01/04/2014,20:40:58,405.02,410.34,410.38,0,0,0,,,,,0,0
01/04/2014,20:45:58,406.53,411.91,411.91,0,0,0,,,,,0,0
01/04/2014,20:50:58,407.34,412.03,412.13,0,0,0,,,,,0,0
01/04/2014,20:55:58,407.53,412.41,412.52,0,0,0,,,,,0,0
01/04/2014,21:00:58,406.47,411.86,411.78,0,0,0,,,,,0,0
01/04/2014,21:05:58,406.59,411.25,411.72,0,0,0,,,,,0,0
01/04/2014,21:10:58,407.13,412.18,412.53,0,0,0,,,,,0,0
01/04/2014,21:15:58,407.87,412.63,412.85,0,0,0,,,,,0,0
01/04/2014,21:20:58,408.52,412.74,413.05,0,0,0,,,,,0,0
01/04/2014,21:25:58,407.18,412.19,412.47,0,0,0,,,,,0,0
01/04/2014,21:30:58,407.58,412.26,412.66,0,0,0,,,,,0,0
01/04/2014,21:35:58,407.74,412.8,413.04,0,0,0,,,,,0,0
01/04/2014,21:40:58,408.01,412.95,413.02,0,0,0,,,,,0,0
01/04/2014,21:45:58,407.93,412.59,412.83,0,0,0,,,,,0,0
01/04/2014,21:50:58,406.44,411.83,411.96,0,0,0,,,,,0,0
01/04/2014,21:55:58,406.75,412.19,412.1,0,0,0,,,,,0,0
01/04/2014,22:00:58,406.85,412.01,411.52,0,0,0,,,,,0,0
01/04/2014,22:05:58,407.96,413.48,412.77,0,0,0,,,,,0,0
01/04/2014,22:10:58,408.97,413.86,413.62,0,0,0,,,,,0,0
01/04/2014,22:15:58,407.76,412.86,412.99,0,0,0,,,,,0,0
01/04/2014,22:20:58,407.05,412.2,412.07,0,0,0,,,,,0,0
01/04/2014,22:25:58,407.4,412.81,412.44,0,0,0,,,,,0,0
01/04/2014,22:30:58,404.86,409.35,410.06,0,0,0,,,,,0,0
01/04/2014,22:35:58,404.54,409.38,409.4,0,0,0,,,,,0,0
01/04/2014,22:40:58,403.91,408.97,409.11,0,0,0,,,,,0,0
01/04/2014,22:45:58,404.85,410.21,410.22,0,0,0,,,,,0,0
01/04/2014,22:50:58,405.12,410.42,409.73,0,0,0,,,,,0,0
01/04/2014,22:55:58,405.51,410.79,410.7,0,0,0,,,,,0,0
01/04/2014,23:00:58,406.06,411.31,411.54,0,0,0,,,,,0,0
01/04/2014,23:05:58,406.05,411.28,411.19,0,0,0,,,,,0,0
01/04/2014,23:10:58,406.13,411.92,411.92,0,0,0,,,,,0,0
01/04/2014,23:15:58,406.79,411.83,411.78,0,0,0,,,,,0,0
01/04/2014,23:20:58,405.95,411,411.38,0,0,0,,,,,0,0
01/04/2014,23:25:58,407.59,412.69,412.41,0,0,0,,,,,0,0
01/04/2014,23:30:58,407.23,412.66,412.44,0,0,0,,,,,0,0
01/04/2014,23:35:58,407.15,412.87,412.46,0,0,0,,,,,0,0
01/04/2014,23:40:58,407.23,412.99,412.73,0,0,0,,,,,0,0
01/04/2014,23:45:58,407.35,412.97,412.58,0,0,0,,,,,0,0
01/04/2014,23:50:58,407.25,412.84,412.61,0,0,0,,,,,0,0
01/04/2014,23:55:58,407.48,412.79,412.36,0,0,0,,,,,0,0
02/04/2014,00:00:58,406.67,412.26,411.75,0,0,0,,,,,0,0
02/04/2014,00:05:58,406.89,412.21,411.92,0,0,0,,,,,0,0
02/04/2014,00:10:58,407,412.4,412.41,0,0,0,,,,,0,0
