Feha de la Medda,Hora de la Medda,FASE AB,FASE BC,FASE AC,FASE A,FASE B,FASE  C,NEUTRO,POTENA ATVA AB [W],POTENA ATVA B [W],POTENA ATVA  [W],
01/08/2014,14:17:00,414.74,420.73,418.17,7.83,7.42,7.66,,,,,5716.01
01/08/2014,14:22:00,414.09,421.48,418.4,8.07,7.72,7.91,,,,,5891.57
01/08/2014,14:27:00,414.61,421.27,418.56,8.01,7.69,7.88,,,,,5848.45
01/08/2014,14:32:00,415.23,422.59,419.68,8.34,8.13,8.25,,,,,6086.77
01/08/2014,14:37:00,415.48,422.32,419.83,7.98,7.83,7.96,,,,,5839.4
01/08/2014,14:42:00,415.73,422.45,419.61,7.9,7.83,7.99,,,,,5783.42
01/08/2014,14:47:00,407.21,413.27,411.08,0,0,1.05,,,,,381.16
01/08/2014,14:52:00,415,422.08,419.13,7.4,7.29,7.44,,,,,5398.9
01/08/2014,14:57:00,410.84,417.56,414.75,4.52,4.41,4.7,,,,,3318.65
01/08/2014,15:02:00,405.79,411.83,408.6,0,0,0,,,,,0
01/08/2014,15:07:00,415.11,420.37,418.65,7.97,7.95,8.12,,,,,5835.71
01/08/2014,15:12:00,414.46,420.87,418.3,7.91,7.9,7.98,,,,,5766.4
01/08/2014,15:17:00,415.05,421.4,418.98,7.1,7.17,7.2,,,,,5199.26
01/08/2014,15:22:00,415.6,421.99,419.5,7.53,7.54,7.66,,,,,5527.07
01/08/2014,15:27:00,406.01,412.25,409.58,0,0,0,,,,,0
01/08/2014,15:32:00,408.22,414.3,411.82,0,0,0,,,,,0
01/08/2014,15:37:00,415.76,422.22,420.08,7,6.98,7.1,,,,,5141.29
01/08/2014,15:42:00,407.23,412.94,411.26,0,0,0,,,,,0
01/08/2014,15:47:00,416.52,422.41,420.1,7.58,7.58,7.67,,,,,5560.07
01/08/2014,15:52:00,416.16,422.21,420.35,7.08,7.06,7.21,,,,,5214.09
01/08/2014,15:57:00,407.07,413.58,411.1,0,0,0,,,,,0
01/08/2014,16:02:00,417.19,423.38,420.69,7.74,7.77,7.8,,,,,5684.57
01/08/2014,16:07:00,417.53,424.12,421.88,7.57,7.56,7.66,,,,,5568.86
01/08/2014,16:12:00,417.37,423.82,421.55,7.3,7.25,7.39,,,,,5369.42
01/08/2014,16:17:00,408.01,413.88,411.86,0,0,0,,,,,0
01/08/2014,16:22:00,416.79,423.45,421.18,7.16,7.12,7.23,,,,,5250.73
01/08/2014,16:27:00,416.12,423.02,420.54,7.05,7.04,7.15,,,,,5177.47
01/08/2014,16:32:00,407.92,414.51,412.15,0,0,0,,,,,0
