Feha de la Medda,Hora de la Medda,FASE AB,FASE BC,FASE AC,FASE A,FASE B,FASE  C,NEUTRO,POTENA ATVA AB [W],POTENA ATVA B [W],POTENA ATVA  [W],,
01/12/2014,00:03:15,409.68,414.12,412.62,0,0,0,,,,,0,0
01/12/2014,00:08:15,408.69,413.27,413.08,0,0,0,,,,,0,0
01/12/2014,00:13:15,409.37,413.27,412.21,0,0,0,,,,,0,0
01/12/2014,00:18:15,409.67,414.46,412.94,0,0,0,,,,,0,0
01/12/2014,00:23:15,409.61,414.54,412.99,0,0,0,,,,,0,0
01/12/2014,00:28:15,410.52,414.89,413.53,0,0,0,,,,,0,0
01/12/2014,00:33:15,409.28,413.32,412.99,0,0,0,,,,,0,0
01/12/2014,00:38:15,409.73,414.38,413.2,0,0,0,,,,,0,0
01/12/2014,00:43:15,410.5,414.81,413.33,0,0,0,,,,,0,0
01/12/2014,00:48:15,409.94,414.42,413.28,0,0,0,,,,,0,0
01/12/2014,00:53:15,410.82,415.04,413.79,0,0,0,,,,,0,0
01/12/2014,00:58:15,409.92,414.51,413.84,0,0,0,,,,,0,0
01/12/2014,01:03:15,410.15,414.86,413.09,0,0,0,,,,,0,0
01/12/2014,01:08:15,410.07,414.34,412.88,0,0,0,,,,,0,0
01/12/2014,01:13:15,410.47,414.75,413.64,0,0,0,,,,,0,0
01/12/2014,01:18:15,409.84,414.96,412.86,0,0,0,,,,,0,0
01/12/2014,01:23:15,411.2,415.91,414.35,0,0,0,,,,,0,0
01/12/2014,01:28:15,411.18,415.74,414.41,0,0,0,,,,,0,0
01/12/2014,01:33:15,411.53,415.85,414.86,0,0,0,,,,,0,0
01/12/2014,01:38:15,411.29,415.62,414.03,0,0,0,,,,,0,0
01/12/2014,01:43:15,408.39,413.17,412.41,0,0,0,,,,,0,0
01/12/2014,01:48:15,408.85,413.24,412.05,0,0,0,,,,,0,0
01/12/2014,01:53:15,409.36,413.95,412.66,0,0,0,,,,,0,0
01/12/2014,01:58:15,409.45,414.06,412.2,0,0,0,,,,,0,0
01/12/2014,02:03:15,409.03,413.65,412.15,0,0,0,,,,,0,0
01/12/2014,02:08:15,408.46,412.92,412.42,0,0,0,,,,,0,0
01/12/2014,02:13:15,409.43,413.53,412.29,0,0,0,,,,,0,0
01/12/2014,02:18:15,408.12,412.58,412.18,0,0,0,,,,,0,0
01/12/2014,02:23:15,408.52,413.28,412.18,0,0,0,,,,,0,0
01/12/2014,02:28:15,408.2,412.78,411.38,0,0,0,,,,,0,0
01/12/2014,02:33:15,407.72,412.19,411.08,0,0,0,,,,,0,0
01/12/2014,02:38:15,407.86,412.27,411.13,0,0,0,,,,,0,0
01/12/2014,02:43:15,407.63,412.15,411.67,0,0,0,,,,,0,0
01/12/2014,02:48:15,408.57,412.98,411.93,0,0,0,,,,,0,0
01/12/2014,02:53:15,407.05,412.16,410.42,0,0,0,,,,,0,0
01/12/2014,02:58:15,408.54,412.75,411.65,0,0,0,,,,,0,0
01/12/2014,03:03:15,407.97,412.44,411.25,0,0,0,,,,,0,0
01/12/2014,03:08:15,407.59,412.54,411.01,0,0,0,,,,,0,0
01/12/2014,03:13:15,407.83,412.36,411.24,0,0,0,,,,,0,0
01/12/2014,03:18:15,407.45,411.92,411.52,0,0,0,,,,,0,0
01/12/2014,03:23:15,408.16,412.95,411.84,0,0,0,,,,,0,0
01/12/2014,03:28:15,408.01,412.59,411.1,0,0,0,,,,,0,0
01/12/2014,03:33:15,408.15,412.08,410.73,0,0,0,,,,,0,0
01/12/2014,03:38:15,406.9,411.79,410.93,0,0,0,,,,,0,0
01/12/2014,03:43:15,407.57,412.48,410.73,0,0,0,,,,,0,0
01/12/2014,03:48:15,408.13,412.24,411.07,0,0,0,,,,,0,0
01/12/2014,03:53:15,407.75,411.98,410.66,0,0,0,,,,,0,0
01/12/2014,03:58:15,407.35,412.11,411.28,0,0,0,,,,,0,0
01/12/2014,04:03:15,406.92,411.2,410.77,0,0,0,,,,,0,0
01/12/2014,04:08:15,408.01,412.37,411.01,0,0,0,,,,,0,0
01/12/2014,04:13:15,408.33,413.44,411.98,0,0,0,,,,,0,0
01/12/2014,04:18:15,408.97,413.79,412.21,0,0,0,,,,,0,0
01/12/2014,04:23:15,408.4,412.99,411.5,0,0,0,,,,,0,0
01/12/2014,04:28:15,406.98,410.92,409.75,0,0,0,,,,,0,0
01/12/2014,04:33:15,409.6,414.24,412.38,0,0,0,,,,,0,0
01/12/2014,04:38:15,409.62,414.06,412.75,0,0,0,,,,,0,0
01/12/2014,04:43:15,409.15,413.48,412.52,0,0,0,,,,,0,0
01/12/2014,04:48:15,409.83,413.94,412.81,0,0,0,,,,,0,0
01/12/2014,04:53:15,409.41,413.72,412.53,0,0,0,,,,,0,0
01/12/2014,04:58:15,408.22,412.9,412.34,0,0,0,,,,,0,0
01/12/2014,05:03:15,408.75,413.38,412.21,0,0,0,,,,,0,0
01/12/2014,05:08:15,408.59,412.97,411.75,0,0,0,,,,,0,0
01/12/2014,05:13:15,408.36,413.03,411.38,0,0,0,,,,,0,0
01/12/2014,05:18:15,409.22,413.63,412.72,0,0,0,,,,,0,0
01/12/2014,05:23:15,408.78,413.34,412.18,0,0,0,,,,,0,0
01/12/2014,05:28:15,407.71,412.19,410.86,0,0,0,,,,,0,0
01/12/2014,05:33:15,407,411.48,410.54,0,0,0,,,,,0,0
01/12/2014,05:38:15,407.13,411.64,410.67,0,0,0,,,,,0,0
01/12/2014,05:43:15,406.44,410.83,410.06,0,0,0,,,,,0,0
01/12/2014,05:48:15,407.02,411.51,410.37,0,0,0,,,,,0,0
01/12/2014,05:53:15,405.65,410.21,410.02,0,0,0,,,,,0,0
01/12/2014,05:58:15,407.46,412.18,411.08,0,0,0,,,,,0,0
01/12/2014,06:03:15,407.04,412.19,411.18,0,0,0,,,,,0,0
01/12/2014,06:08:15,406.41,410.61,410.02,0,0,0,,,,,0,0
01/12/2014,06:13:15,407.65,412.6,411.13,0,0,0,,,,,0,0
01/12/2014,06:18:15,407.27,411.63,411.01,0,0,0,,,,,0,0
01/12/2014,06:23:15,408.82,412.89,411.81,0,0,0,,,,,0,0
01/12/2014,06:28:15,407.42,412.01,410.93,0,0,0,,,,,0,0
01/12/2014,06:33:15,406.43,410.87,409.85,0,0,0,,,,,0,0
01/12/2014,06:38:15,410.13,414.56,413.57,0,0,0,,,,,0,0
01/12/2014,06:43:15,408.5,413.63,412.27,0,0,0,,,,,0,0
01/12/2014,06:48:15,409.65,414.3,412.66,0,0,0,,,,,0,0
01/12/2014,06:53:15,408.05,413.05,411.41,0,0,0,,,,,0,0
01/12/2014,06:58:15,406.5,412.36,410.98,0,0,0,,,,,0,0
01/12/2014,07:03:15,408.01,413.43,412.07,0,0,0,,,,,0,0
01/12/2014,07:08:15,407.17,412.94,411.53,0,0,0,,,,,0,0
01/12/2014,07:13:15,406.5,412.27,410.48,0,0,0,,,,,0,0
01/12/2014,07:18:15,407.54,412.93,410.89,0,0,0,,,,,0,0
01/12/2014,07:23:15,408.47,414.27,411.89,0,0,0,,,,,0,0
01/12/2014,07:28:15,407.81,413.62,412,0,0,0,,,,,0,0
01/12/2014,07:33:15,407.25,413.63,411.28,0,0,0,,,,,0,0
01/12/2014,07:38:15,408.57,414.71,412.5,0,0,0,,,,,0,0
01/12/2014,07:43:15,408.82,414.49,411.96,1.2,1.39,1.26,,,,,861.96,0.86
01/12/2014,07:48:15,407.4,413.12,411.44,1.43,1.67,1.52,,,,,1061.28,1.06
01/12/2014,07:53:15,409.79,415.31,412.68,2.12,2.31,2.23,,,,,1572.84,1.57
01/12/2014,07:58:15,408.26,414.54,411.47,3.03,3.32,3.18,,,,,2246.28,2.25
01/12/2014,08:03:15,410.18,416.02,414.26,3.73,3.92,3.73,,,,,2705.37,2.71
01/12/2014,08:08:15,410.63,416.47,413.75,4.19,4.38,4.15,,,,,3029.6,3.03
01/12/2014,08:13:15,411.64,416.52,414.69,4.81,5.02,4.74,,,,,3471.38,3.47
01/12/2014,08:18:15,412.48,417.88,416.22,5.42,5.64,5.35,,,,,3920.04,3.92
01/12/2014,08:23:15,412.89,418.58,416.61,5.8,6.04,5.71,,,,,4200.79,4.2
01/12/2014,08:28:15,413.25,418.87,417.09,6.15,6.37,6.06,,,,,4456.04,4.46
01/12/2014,08:33:15,413.8,419.51,417.33,6.3,6.52,6.23,,,,,4577.59,4.58
01/12/2014,08:38:15,413.74,419.6,416.8,6.45,6.61,6.35,,,,,4669.84,4.67
01/12/2014,08:43:15,413.57,419.89,416.96,6.42,6.54,6.33,,,,,4649.2,4.65
01/12/2014,08:48:15,413.8,419.66,416.76,6.5,6.67,6.39,,,,,4710.06,4.71
01/12/2014,08:53:15,412.49,417.56,415.42,6.76,6.98,6.63,,,,,4873.68,4.87
01/12/2014,08:58:15,412.55,418.66,416.11,6.81,6.98,6.67,,,,,4910.07,4.91
01/12/2014,09:03:15,417.17,423.13,420.14,6.81,6.97,6.71,,,,,4977,4.98
01/12/2014,09:08:15,417.74,423.72,421.19,7.02,7.17,6.89,,,,,5122.57,5.12
01/12/2014,09:13:15,418.31,423.81,421.73,7.11,7.22,6.96,,,,,5174.97,5.17
01/12/2014,09:18:15,417.68,423.34,421.62,7.17,7.34,7.04,,,,,5229.72,5.23
01/12/2014,09:23:15,417.64,423.19,420.52,7.3,7.51,7.21,,,,,5344.31,5.34
01/12/2014,09:28:15,417.89,423.39,420.9,7.38,7.53,7.24,,,,,5374.28,5.37
01/12/2014,09:33:15,417.32,423.67,421.25,7.45,7.62,7.28,,,,,5432.26,5.43
01/12/2014,09:38:15,416.2,422.67,420.13,7.33,7.48,7.21,,,,,5332.1,5.33
01/12/2014,09:43:15,416.37,422.03,419.38,7.57,7.71,7.46,,,,,5513.48,5.51
01/12/2014,09:48:15,416.98,422.74,420.2,7.62,7.78,7.45,,,,,5536.67,5.54
01/12/2014,09:53:15,415.73,421.57,420.17,7.58,7.79,7.39,,,,,5498.84,5.5
01/12/2014,09:58:15,414.87,421.03,418.1,7.9,8.02,7.74,,,,,5706.1,5.71
01/12/2014,10:03:15,415.67,421.91,419.43,7.91,8.1,7.71,,,,,5735.49,5.74
01/12/2014,10:08:15,415.98,422.08,419.57,7.83,8,7.67,,,,,5685.87,5.69
01/12/2014,10:13:15,415.25,420.91,418.55,7.85,8.02,7.69,,,,,5682.39,5.68
01/12/2014,10:18:15,415.05,420.79,418.35,7.86,7.98,7.71,,,,,5682.18,5.68
01/12/2014,10:23:15,415.69,420.96,418.92,7.86,8.09,7.73,,,,,5704.29,5.7
01/12/2014,10:28:15,415.5,420.46,418.37,7.96,8.16,7.78,,,,,5757.78,5.76
01/12/2014,10:33:15,415.05,420.09,417.42,7.94,8.12,7.77,,,,,5736.73,5.74
01/12/2014,10:38:15,414.98,419.85,418.36,7.86,8.05,7.68,,,,,5670.54,5.67
01/12/2014,10:43:15,414.64,419.91,418.19,8.05,8.27,7.88,,,,,5818.13,5.82
01/12/2014,10:48:15,414.68,419.59,418.05,8.09,8.32,7.93,,,,,5845.78,5.85
01/12/2014,10:53:15,414.01,419.38,417.33,8.23,8.39,8.04,,,,,5923.98,5.92
01/12/2014,10:58:15,413.5,417.87,415.88,8.42,8.63,8.23,,,,,6044.12,6.04
01/12/2014,11:03:15,414.19,418.4,416.86,8.12,8.38,7.93,,,,,5841.1,5.84
01/12/2014,11:08:15,413.22,417.75,416.76,8.29,8.48,8.06,,,,,5938.98,5.94
01/12/2014,11:13:15,414.76,418.4,416.36,8.53,8.77,8.26,,,,,6128.93,6.13
01/12/2014,11:18:15,414.55,419.91,417.75,8.66,8.85,8.44,,,,,6239.78,6.24
01/12/2014,11:23:15,414.15,419.66,417.53,8.85,9.05,8.67,,,,,6381.68,6.38
01/12/2014,11:28:15,414.48,419.24,417.01,8.97,9.17,8.75,,,,,6451.94,6.45
01/12/2014,11:33:15,416.64,420.8,419.05,8.96,9.16,8.76,,,,,6476.62,6.48
01/12/2014,11:38:15,414.92,420.46,418.14,8.76,9.09,8.58,,,,,6325.85,6.33
01/12/2014,11:43:15,413.42,418.04,416.11,8.97,9.33,8.76,,,,,6423.37,6.42
01/12/2014,11:48:15,414.31,418.63,415.56,8.1,8.3,7.95,,,,,5836.74,5.84
