Fecha de la Medida,Hora de la Medida,FASE   AB,FASE   BC,FASE   AC,FASE A,FASE B,FASE C,NEUTRO,POTENCIA ACTIVA AB [W],POTENCIA ACTIVA BC [W],POTENCIA ACTIVA C [W],,TOTAL    [kW]
05/02/2014,11:45:05,428.26,433.73,432.81,6.1,5.92,5.66,,,,,2082.77,2.08277
05/02/2014,11:50:05,428.2,433.73,433.15,5.61,5.65,5.4,,,,,2002.2,2.0022
05/02/2014,11:55:05,428.21,433.12,433.23,5.3,5.41,5.16,,,,,1927.33,1.92733
05/02/2014,12:00:05,425.01,430.83,430.29,5.62,5.79,5.54,,,,,2070.7,2.0707
05/02/2014,12:05:05,426.02,431.31,430.95,5.93,6.17,5.9,,,,,2199.27,2.19927
05/02/2014,12:10:05,427.37,432.73,432.3,5.91,6.13,5.86,,,,,2223.91,2.22391
05/02/2014,12:15:05,427.45,432.96,432.35,5.85,6.1,5.85,,,,,2197.31,2.19731
05/02/2014,12:20:05,427,432.13,431.53,5.69,5.96,5.7,,,,,2132.91,2.13291
05/02/2014,12:25:05,427.13,432.64,431.56,5.14,5.36,5.13,,,,,1955.38,1.95538
05/02/2014,12:30:05,427.07,432.71,432.21,5.17,5.46,5.21,,,,,1957.16,1.95716
05/02/2014,12:35:05,425.26,431.28,430.24,5.31,5.57,5.33,,,,,2011.52,2.01152
05/02/2014,12:40:05,424.93,430.6,429.88,5.17,5.43,5.19,,,,,1955.21,1.95521
05/02/2014,12:45:05,426.68,431.58,431.36,5.16,5.48,5.21,,,,,1959.19,1.95919
05/02/2014,12:50:05,427.75,433.71,432.64,5.08,5.39,5.11,,,,,1943.95,1.94395
05/02/2014,12:55:05,427.75,433.33,432.48,5.08,5.39,5.17,,,,,1947.88,1.94788
05/02/2014,13:00:05,426.52,431.62,431.57,5.02,5.29,5.09,,,,,1920.79,1.92079
05/02/2014,13:05:05,426.69,432.69,431.59,4.89,5.17,4.95,,,,,1871.21,1.87121
05/02/2014,13:10:05,426.62,432.32,431.13,4.93,5.21,4.98,,,,,1896.5,1.8965
