Feha de la Medda,Hora de la Medda,FASE AB,FASE BC,FASE AC,FASE A,FASE B,FASE  C,NEUTRO,POTENA ATVA AB [W],POTENA ATVA B [W],POTENA ATVA  [W],,,GENERACION [kWh]
30/06/2014,14:09:14,405.95,5.71,403.98,0,0,0,,,,,0,0,0
30/06/2014,14:14:14,405.85,5.65,403.9,0,0,0,,,,,0,0,0
30/06/2014,14:19:14,406.38,5.69,404.42,0,0,0,,,,,0,0,0
30/06/2014,14:24:14,405.88,5.74,403.86,0,0,0,,,,,0,0,0
30/06/2014,14:29:14,406.27,5.74,404.2,0,0,0,,,,,0,0,0
30/06/2014,14:34:14,406.77,5.76,404.62,0,0,0,,,,,0,0,0
30/06/2014,14:39:14,407.22,5.83,405.07,0,0,0,,,,,0,0,0
30/06/2014,14:44:14,407.15,5.83,404.99,0,0,0,,,,,0,0,0
30/06/2014,14:49:14,406.9,5.86,404.66,0,0,0,,,,,0,0,0
30/06/2014,14:54:14,406.25,5.92,403.95,0,0,0,,,,,0,0,0
30/06/2014,14:59:14,407.58,6.06,405.16,0,0,0,,,,,0,0,0
30/06/2014,15:04:14,406.5,6.01,404.08,0,0,0,,,,,0,0,0
30/06/2014,15:09:14,406.3,6.08,403.85,0,0,0,,,,,0,0,0
30/06/2014,15:14:14,406.66,6.06,404.17,0,0,0,,,,,0,0,0
30/06/2014,15:19:14,407.34,6.16,404.75,0,0,0,,,,,0,0,0
30/06/2014,15:24:14,407.01,6.27,404.34,0,0,0,,,,,0,0,0
30/06/2014,15:29:14,407.09,6.11,404.52,0,0,0,,,,,0,0,0
30/06/2014,15:34:14,407.73,6.07,405.23,0,0,0,,,,,0,0,0
30/06/2014,15:39:14,407.49,45.1,401.58,2.2,1.35,11.94,,,,,466.06,0.46606,0.04
30/06/2014,15:44:14,408.08,63.76,400.5,0,1.17,3.23,,,,,87.08,0.08708,0.05
30/06/2014,15:49:14,405.78,83.31,396.04,0,1.4,4.26,,,,,164.16,0.16416,0.06
30/06/2014,15:54:14,406.14,91.7,394.41,3.23,1.49,7.05,,,,,430.1,0.4301,0.1
30/06/2014,15:59:14,406.63,91.68,397.04,3.19,5.6,19.97,,,,,1334.55,1.33455,0.21
30/06/2014,16:04:14,406.07,390.46,400.77,0,0,0,,,,,0,0,0.21
30/06/2014,16:09:14,406.11,377.06,395.86,0,0,0,,,,,0,0,0.21
30/06/2014,16:14:14,405.68,382.3,398.68,0,0,0,,,,,0,0,0.21
30/06/2014,16:19:14,406.28,384.82,398.96,0,0,0,,,,,0,0,0.21
30/06/2014,16:24:14,406.05,5.71,404.05,0,0,0,,,,,0,0,0.21
30/06/2014,16:29:14,406.25,5.7,404.23,0,0,0,,,,,0,0,0.21
30/06/2014,16:34:14,406.84,5.76,404.83,0,0,0,,,,,0,0,0.21
30/06/2014,16:39:14,406.94,5.73,404.94,0,0,0,,,,,0,0,0.21
30/06/2014,16:44:14,405.79,5.7,403.8,0,0,0,,,,,0,0,0.21
30/06/2014,16:49:14,406.51,5.67,404.51,0,0,0,,,,,0,0,0.21
30/06/2014,16:54:14,406.94,5.73,404.93,0,0,0,,,,,0,0,0.21
30/06/2014,16:59:14,407.14,5.72,405.05,0,0,0,,,,,0,0,0.21
30/06/2014,17:04:14,407.61,5.8,405.44,0,0,0,,,,,0,0,0.21
30/06/2014,17:09:14,407.02,5.74,404.98,0,0,0,,,,,0,0,0.21
30/06/2014,17:14:14,407.03,5.76,404.96,0,0,0,,,,,0,0,0.21
30/06/2014,17:19:14,407.01,5.73,405.02,0,0,0,,,,,0,0,0.21
30/06/2014,17:24:14,406.25,5.7,404.29,0,0,0,,,,,0,0,0.21
30/06/2014,17:29:14,406.1,5.68,404.15,0,0,0,,,,,0,0,0.21
30/06/2014,17:34:14,406.95,5.72,404.98,0,0,0,,,,,0,0,0.21
30/06/2014,17:39:14,406.96,5.71,405,0,0,0,,,,,0,0,0.21
30/06/2014,17:44:14,407.74,5.71,405.72,0,0,0,,,,,0,0,0.21
30/06/2014,17:49:14,406.67,5.75,404.56,0,0,0,,,,,0,0,0.21
30/06/2014,17:54:14,407.48,5.87,405.28,0,0,0,,,,,0,0,0.21
30/06/2014,17:59:14,407.32,5.94,405.03,0,0,0,,,,,0,0,0.21
30/06/2014,18:04:14,405.83,5.91,403.55,0,0,0,,,,,0,0,0.21
