Fecha de la Medida,Hora de la Medida,AB,BC,AC,FASE A,FASE B,FASE C,NEUTRO,POTENCIA ACTIVA AB [W],POTENCIA ACTIVA BC [W],POTENCIA ACTIVA C [W],,
04/03/2014,13:07:20,408.67,416.24,411.1,5.87,5.63,5.66,,,,,"4,128.73",4.13
04/03/2014,13:12:20,403.09,410.65,405.37,1.28,1.11,1.22,,,,,856.74,0.86
04/03/2014,13:17:20,408.2,415.77,410.42,5.92,5.65,5.71,,,,,"4,156.02",4.16
04/03/2014,13:22:20,402.65,410.78,404.84,0,0,0,,,,,0,0
04/03/2014,13:27:20,402.74,410.47,404.66,0,0,0,,,,,0,0
04/03/2014,13:32:20,401.95,409.65,403.94,0,0,0,,,,,0,0
04/03/2014,13:37:20,401.96,410.18,404.73,0,0,0,,,,,0,0
04/03/2014,13:42:20,402.02,410.07,404.85,0,0,0,,,,,0,0
04/03/2014,13:47:20,401.6,409.52,403.87,0,0,0,,,,,0,0
04/03/2014,13:52:20,401.27,410.12,404.78,0,0,0,,,,,0,0
04/03/2014,13:57:20,402.56,410.7,404.86,0,0,0,,,,,0,0
04/03/2014,14:02:20,401.45,409.59,403.72,0,0,0,,,,,0,0
04/03/2014,14:07:20,410.32,418.79,412.23,6.09,5.89,5.92,,,,,"4,300.87",4.3
04/03/2014,14:12:20,410.05,417.88,411.58,6.13,5.91,5.97,,,,,"4,326.00",4.33
04/03/2014,14:17:20,408.48,416.75,410.63,6.3,6.1,6.16,,,,,"4,421.83",4.42
04/03/2014,14:22:20,409.31,417.35,411.99,6.1,5.84,5.92,,,,,"4,285.98",4.29
04/03/2014,14:27:20,409.08,417.43,411.33,6.19,5.99,6.03,,,,,"4,360.19",4.36
04/03/2014,14:32:20,410.09,418.18,411.79,6.42,6.23,6.25,,,,,"4,537.62",4.54
04/03/2014,14:37:20,409.83,417.93,411.71,6.35,6.13,6.16,,,,,"4,483.00",4.48
04/03/2014,14:42:20,406.52,415.03,409.14,6.3,6.11,6.12,,,,,"4,406.11",4.41
04/03/2014,14:47:20,410.19,418.77,412.36,6.33,6.12,6.15,,,,,"4,488.41",4.49
04/03/2014,14:52:20,410.46,419.41,412.82,6.23,6.12,6.12,,,,,"4,426.94",4.43
04/03/2014,14:57:20,409.79,417.65,411.91,6.04,5.88,5.93,,,,,"4,260.73",4.26
04/03/2014,15:02:20,404.39,412.3,406.38,1.42,1.36,1.44,,,,,979.11,0.98
04/03/2014,15:07:20,404.21,413.39,406.98,1.26,1.19,1.26,,,,,846.33,0.85
04/03/2014,15:12:20,409.09,418.02,411.15,5.72,5.62,5.62,,,,,"4,048.00",4.05
04/03/2014,15:17:20,406.03,414.73,408.24,2.51,2.37,2.46,,,,,"1,753.92",1.75
04/03/2014,15:22:20,407.49,416.09,409.83,5.02,4.85,4.88,,,,,"3,513.80",3.51
04/03/2014,15:27:20,404.3,412.1,406.44,1.14,0.97,1.05,,,,,737.23,0.74
04/03/2014,15:32:20,408.97,416.99,411.23,5.37,5.21,5.22,,,,,"3,791.74",3.79
04/03/2014,15:37:20,409.95,418.52,412.01,5.28,5.14,5.15,,,,,"3,740.70",3.74
04/03/2014,15:42:20,409.09,417.36,410.86,4.91,4.75,4.76,,,,,"3,453.75",3.45
04/03/2014,15:47:20,408.05,416.58,409.75,4.87,4.69,4.72,,,,,"3,420.42",3.42
04/03/2014,15:52:20,408.07,416.43,410.55,4.63,4.4,4.47,,,,,"3,244.68",3.24
04/03/2014,15:57:20,406.25,414.45,407.94,3.59,3.4,3.46,,,,,"2,492.69",2.49
04/03/2014,16:02:20,404.93,413.3,406.79,2.31,2.15,2.26,,,,,"1,612.00",1.61
04/03/2014,16:07:20,403.54,412.15,406.14,0,0,0,,,,,0,0
04/03/2014,16:12:20,402.24,410.69,404.79,0,0,0,,,,,0,0
04/03/2014,16:17:20,402.06,410.28,405.02,0,0,0,,,,,0,0
04/03/2014,16:22:20,401.96,410.3,404.26,0,0,0,,,,,0,0
04/03/2014,16:27:20,403.57,412.41,406.72,0,0,0,,,,,0,0
04/03/2014,16:32:20,402.05,411.26,405.34,0,0,0,,,,,0,0
04/03/2014,16:37:20,403.78,412.48,406.73,0,0,0,,,,,0,0
04/03/2014,16:42:20,402.58,411.6,405.95,0,0,0,,,,,0,0
04/03/2014,16:47:20,403.55,411.64,406.52,0,0,0,,,,,0,0
04/03/2014,16:52:20,404.11,413.19,406.77,0,0,0,,,,,0,0
04/03/2014,16:57:20,404.99,413.07,407.6,0,0,0,,,,,0,0
04/03/2014,17:02:20,401.88,410.81,404.94,0,0,0,,,,,0,0
04/03/2014,17:07:20,402.4,411.1,405.35,0,0,0,,,,,0,0
04/03/2014,17:12:20,403.01,411.22,405.34,0,0,0,,,,,0,0
04/03/2014,17:17:20,402.19,410.85,405.07,0,0,0,,,,,0,0
04/03/2014,17:22:20,402.06,410.73,405.24,0,0,0,,,,,0,0
04/03/2014,17:27:20,403.62,412.79,406.5,0,0,0,,,,,0,0
04/03/2014,17:32:20,402.9,411.12,405.84,0,0,0,,,,,0,0
04/03/2014,17:37:20,403.02,412.56,406.34,0,0,0,,,,,0,0
04/03/2014,17:42:20,403.61,412.84,406.48,0,0,0,,,,,0,0
04/03/2014,17:47:20,404.6,412.82,407.5,0,0,0,,,,,0,0
04/03/2014,17:52:20,404.74,412.6,406.97,0,0,0,,,,,0,0
04/03/2014,17:57:20,405,412.71,407.28,0,0,0,,,,,0,0
04/03/2014,18:02:20,404.9,413.14,407.41,0,0,0,,,,,0,0
04/03/2014,18:07:20,405.52,413.06,408.03,0,0,0,,,,,0,0
04/03/2014,18:12:20,403.67,411.73,405.61,0,0,0,,,,,0,0
04/03/2014,18:17:20,403.41,410.96,405.55,0,0,0,,,,,0,0
04/03/2014,18:22:20,403.3,411.26,405.41,0,0,0,,,,,0,0
04/03/2014,18:27:20,404.01,412.09,405.41,0,0,0,,,,,0,0
04/03/2014,18:32:20,402.69,410.77,405.07,0,0,0,,,,,0,0
04/03/2014,18:37:20,402.69,410.08,404.76,0,0,0,,,,,0,0
04/03/2014,18:42:20,401.07,409.53,403.7,0,0,0,,,,,0,0
04/03/2014,18:47:20,398.98,408.39,401.8,0,0,0,,,,,0,0
04/03/2014,18:52:20,399.88,408.03,402.53,0,0,0,,,,,0,0
04/03/2014,18:57:20,398.19,406.73,401.31,0,0,0,,,,,0,0
04/03/2014,19:02:20,398.36,406.98,401.25,0,0,0,,,,,0,0
04/03/2014,19:07:20,399.18,407.52,401.69,0,0,0,,,,,0,0
04/03/2014,19:12:20,397.49,405.62,400.08,0,0,0,,,,,0,0
04/03/2014,19:17:20,401.79,410.29,404.11,0,0,0,,,,,0,0
04/03/2014,19:22:20,401.57,410.66,404.05,0,0,0,,,,,0,0
04/03/2014,19:27:20,400.76,409.8,403.45,0,0,0,,,,,0,0
04/03/2014,19:32:20,402.57,411.14,404.74,0,0,0,,,,,0,0
04/03/2014,19:37:20,402.58,411.16,405.07,0,0,0,,,,,0,0
04/03/2014,19:42:20,402.17,410.95,404.65,0,0,0,,,,,0,0
04/03/2014,19:47:20,402.6,411.14,404.93,0,0,0,,,,,0,0
04/03/2014,19:52:20,403.86,412.7,406.37,0,0,0,,,,,0,0
04/03/2014,19:57:20,403.04,412.21,406.06,0,0,0,,,,,0,0
04/03/2014,20:02:20,404.47,413.59,407.09,0,0,0,,,,,0,0
04/03/2014,20:07:20,404.39,412.95,406.8,0,0,0,,,,,0,0
04/03/2014,20:12:20,404.63,413.12,407.39,0,0,0,,,,,0,0
04/03/2014,20:17:20,405.14,413.82,407.87,0,0,0,,,,,0,0
04/03/2014,20:22:20,405.05,414.58,407.97,0,0,0,,,,,0,0
04/03/2014,20:27:20,405.49,414.8,408.73,0,0,0,,,,,0,0
04/03/2014,20:32:20,406.61,415.89,409.58,0,0,0,,,,,0,0
04/03/2014,20:37:20,405.17,414.06,407.93,0,0,0,,,,,0,0
04/03/2014,20:42:20,405.49,414.14,407.84,0,0,0,,,,,0,0
04/03/2014,20:47:20,406.17,415.09,409.03,0,0,0,,,,,0,0
04/03/2014,20:52:20,405.6,413.55,407.66,0,0,0,,,,,0,0
04/03/2014,20:57:20,407.01,415.6,409.51,0,0,0,,,,,0,0
04/03/2014,21:02:20,407.67,416.35,409.94,0,0,0,,,,,0,0
04/03/2014,21:07:20,407.64,416.94,410.49,0,0,0,,,,,0,0
04/03/2014,21:12:20,408.01,417.26,410.8,0,0,0,,,,,0,0
04/03/2014,21:17:20,408.24,417.65,411,0,0,0,,,,,0,0
04/03/2014,21:22:20,406.07,414.83,408.72,0,0,0,,,,,0,0
04/03/2014,21:27:20,406.59,415.09,409.12,0,0,0,,,,,0,0
04/03/2014,21:32:20,407,415.38,409.52,0,0,0,,,,,0,0
04/03/2014,21:37:20,407.66,416.66,410.33,0,0,0,,,,,0,0
04/03/2014,21:42:20,407.44,416.08,410.27,0,0,0,,,,,0,0
04/03/2014,21:47:20,408.35,416.93,411.2,0,0,0,,,,,0,0
04/03/2014,21:52:20,407.5,416.59,410.45,0,0,0,,,,,0,0
04/03/2014,21:57:20,408.45,417.32,411.49,0,0,0,,,,,0,0
04/03/2014,22:02:20,408.76,416.87,411.23,0,0,0,,,,,0,0
04/03/2014,22:07:20,408.13,416.89,410.83,0,0,0,,,,,0,0
04/03/2014,22:12:20,407.69,416.49,410.26,0,0,0,,,,,0,0
04/03/2014,22:17:20,408.73,417.63,411.66,0,0,0,,,,,0,0
04/03/2014,22:22:20,408.48,416.25,410.87,0,0,0,,,,,0,0
04/03/2014,22:27:20,408.21,417.05,411.16,0,0,0,,,,,0,0
04/03/2014,22:32:20,409.07,417.84,412.2,0,0,0,,,,,0,0
04/03/2014,22:37:20,409.48,418.15,412.33,0,0,0,,,,,0,0
04/03/2014,22:42:20,410.01,418.55,413.32,0,0,0,,,,,0,0
04/03/2014,22:47:20,410.14,418.27,413.15,0,0,0,,,,,0,0
04/03/2014,22:52:20,409.21,417.73,412.76,0,0,0,,,,,0,0
04/03/2014,22:57:20,406.29,414.73,409.68,0,0,0,,,,,0,0
04/03/2014,23:02:20,408.08,416.68,411.38,0,0,0,,,,,0,0
04/03/2014,23:07:20,408.23,417.28,412.52,0,0,0,,,,,0,0
04/03/2014,23:12:20,408.41,416.88,411.87,0,0,0,,,,,0,0
04/03/2014,23:17:20,408.55,417.11,411.65,0,0,0,,,,,0,0
04/03/2014,23:22:20,408.52,416.87,411.74,0,0,0,,,,,0,0
04/03/2014,23:27:20,408.02,416.4,411.15,0,0,0,,,,,0,0
04/03/2014,23:32:20,408.91,416.77,411.62,0,0,0,,,,,0,0
04/03/2014,23:37:20,408.38,416.88,411.16,0,0,0,,,,,0,0
04/03/2014,23:42:20,408.77,416.37,411.3,0,0,0,,,,,0,0
04/03/2014,23:47:20,408.86,416.7,412.08,0,0,0,,,,,0,0
04/03/2014,23:52:20,408.85,417.29,411.84,0,0,0,,,,,0,0
04/03/2014,23:57:20,409.04,416.54,411.54,0,0,0,,,,,0,0
05/03/2014,00:02:20,408.44,415.99,411.36,0,0,0,,,,,0,0
05/03/2014,00:07:20,408.36,416.62,411.34,0,0,0,,,,,0,0
05/03/2014,00:12:20,408.83,416.71,411.55,0,0,0,,,,,0,0
05/03/2014,00:17:20,408.86,417.03,411.96,0,0,0,,,,,0,0
05/03/2014,00:22:20,409.32,417.39,411.99,0,0,0,,,,,0,0
05/03/2014,00:27:20,409.35,417.75,412.27,0,0,0,,,,,0,0
05/03/2014,00:32:20,409.42,417.64,412.32,0,0,0,,,,,0,0
05/03/2014,00:37:20,409.63,417.76,412.68,0,0,0,,,,,0,0
05/03/2014,00:42:20,409.36,417.49,412.39,0,0,0,,,,,0,0
05/03/2014,00:47:20,409.71,417.58,412.65,0,0,0,,,,,0,0
05/03/2014,00:52:20,409.97,417.79,412.9,0,0,0,,,,,0,0
05/03/2014,00:57:20,409.88,418.02,412.84,0,0,0,,,,,0,0
05/03/2014,01:02:20,409.7,417.77,412.9,0,0,0,,,,,0,0
05/03/2014,01:07:20,409.74,417.76,413.04,0,0,0,,,,,0,0
05/03/2014,01:12:20,410.42,418.63,413.64,0,0,0,,,,,0,0
