Feha de la Medda,Hora de la Medda,FASE AB,FASE BC,FASE AC,FASE A,FASE B,FASE  C,NEUTRO,POTENA ATVA AB [W],POTENA ATVA B [W],POTENA ATVA  [W],
02/05/2014,14:53:19,405.64,412.66,409.77,0,0,0,,,,,0
02/05/2014,14:58:19,412.27,420.15,416.38,5.59,5.56,5.62,,,,,4048.99
02/05/2014,15:03:19,405.59,412.64,409.75,0,0,0,,,,,0
02/05/2014,15:08:19,406.58,413.35,410.46,0,0,0,,,,,0
02/05/2014,15:13:19,406.04,412.97,409.57,0,0,0,,,,,0
02/05/2014,15:18:19,405.66,413.1,410.12,0,0,0,,,,,0
02/05/2014,15:23:19,406.64,413.83,410.66,0,0,0,,,,,0
02/05/2014,15:28:19,406.86,413.94,411.36,0,0,0,,,,,0
02/05/2014,15:33:19,407.85,414.74,412.44,0,0,0,,,,,0
02/05/2014,15:38:19,408.07,414.8,412.32,0,0,0,,,,,0
02/05/2014,15:43:19,407.31,413.95,411.81,0,0,0,,,,,0
02/05/2014,15:48:19,407.91,414.51,411.9,0,0,0,,,,,0
02/05/2014,15:53:19,407.18,414.23,411.52,0,0,0,,,,,0
02/05/2014,15:58:19,408.06,415.01,412.16,0,0,0,,,,,0
02/05/2014,16:03:19,414.59,421.49,418.5,5.62,5.58,5.59,,,,,4070.08
02/05/2014,16:08:19,406.19,412.82,410.31,0,0,0,,,,,0
02/05/2014,16:13:19,406.19,412.88,410.3,0,0,0,,,,,0
02/05/2014,16:18:19,412.26,418.68,415.69,4.7,4.67,4.66,,,,,3370.48
02/05/2014,16:23:19,406.53,412.68,409.64,0,0,0,,,,,0
02/05/2014,16:28:19,405.74,411.35,409.11,0,0,0,,,,,0
02/05/2014,16:33:19,406.13,412.51,409.58,0,0,0,,,,,0
02/05/2014,16:38:19,413.06,419.87,416.95,5.94,5.91,5.91,,,,,4292.2
02/05/2014,16:43:19,406.52,412.75,410.6,0,0,0,,,,,0
02/05/2014,16:48:19,412.48,419.22,416.23,5.53,5.51,5.49,,,,,3981.8
02/05/2014,16:53:19,410.4,416.93,414.15,4.43,4.44,4.41,,,,,3170.45
02/05/2014,16:58:19,410.79,417.93,415,5.53,5.5,5.47,,,,,3959.46
02/05/2014,17:03:19,405.34,412,409.19,0,0,0,,,,,0
02/05/2014,17:08:19,411.51,418.48,415.38,5.71,5.67,5.67,,,,,4100.27
02/05/2014,17:13:19,412.55,419.27,416.98,5.46,5.43,5.43,,,,,3930.59
02/05/2014,17:18:19,410.72,417.64,415.24,4.59,4.58,4.59,,,,,3297.02
02/05/2014,17:23:19,406.02,412.26,409.82,0,0,0,,,,,0
02/05/2014,17:28:19,406.51,413.73,410.98,0,0,0,,,,,0
02/05/2014,17:33:19,409.55,416.78,414.03,3.74,3.75,3.71,,,,,2662.19
02/05/2014,17:38:19,410.39,417.13,414.55,3.75,3.72,3.67,,,,,2647.25
02/05/2014,17:43:19,410.96,418.28,415.68,3.28,3.24,3.23,,,,,2321.07
02/05/2014,17:48:19,411.03,417.95,415.7,3.62,3.56,3.58,,,,,2564.44
02/05/2014,17:53:19,411.12,418.05,415.14,3.68,3.67,3.64,,,,,2617.43
02/05/2014,17:58:19,410.76,418.46,415.46,3.67,3.65,3.64,,,,,2609.95
02/05/2014,18:03:19,410.88,418.71,415.79,3.58,3.57,3.57,,,,,2555.63
02/05/2014,18:08:19,410.73,418.03,415.71,3.44,3.4,3.4,,,,,2435.67
02/05/2014,18:13:19,412.67,419.17,416.84,3.33,3.32,3.3,,,,,2370.57
02/05/2014,18:18:19,409.93,416.72,414.57,3.38,3.37,3.37,,,,,2400.61
02/05/2014,18:23:19,410.2,416.45,414.23,3.19,3.17,3.16,,,,,2251.87
02/05/2014,18:28:19,408.81,415.91,413.4,2.26,2.21,2.26,,,,,1579.45
02/05/2014,18:33:19,408.54,415.51,413.04,2.73,2.66,2.72,,,,,1913.51
