Feha de la Medda,Hora de la Medda,FASE AB,FASE BC,FASE AC,FASE A,FASE B,FASE  C,NEUTRO,POTENA ATVA AB [W],POTENA ATVA B [W],POTENA ATVA  [W],,,GENERACION [kWh]
12/09/2014,00:03:24,405.05,410.15,409.37,0,0,0,,,,,0,0,0
12/09/2014,00:08:24,405.04,410.08,409.37,0,0,0,,,,,0,0,0
12/09/2014,00:13:24,405.17,410.73,409.56,0,0,0,,,,,0,0,0
12/09/2014,00:18:24,405.18,410.27,409.38,0,0,0,,,,,0,0,0
12/09/2014,00:23:24,405.75,411.09,409.69,0,0,0,,,,,0,0,0
12/09/2014,00:28:24,406.38,411.76,410.4,0,0,0,,,,,0,0,0
12/09/2014,00:33:24,406.99,412.06,410.61,0,0,0,,,,,0,0,0
12/09/2014,00:38:24,406.65,412.17,410.88,0,0,0,,,,,0,0,0
12/09/2014,00:43:24,406.4,411.57,411.25,0,0,0,,,,,0,0,0
12/09/2014,00:48:24,406.21,410.81,410.59,0,0,0,,,,,0,0,0
12/09/2014,00:53:24,405.44,411.23,409.33,0,0,0,,,,,0,0,0
12/09/2014,00:58:24,406.33,410.8,409.83,0,0,0,,,,,0,0,0
12/09/2014,01:03:24,406.26,411.29,411.05,0,0,0,,,,,0,0,0
12/09/2014,01:08:24,407.06,412.24,410.59,0,0,0,,,,,0,0,0
12/09/2014,01:13:24,407.08,411.86,410.43,0,0,0,,,,,0,0,0
12/09/2014,01:18:24,407.1,411.65,410.44,0,0,0,,,,,0,0,0
12/09/2014,01:23:24,406.45,410.91,410.89,0,0,0,,,,,0,0,0
12/09/2014,01:28:24,407.78,412.45,411.23,0,0,0,,,,,0,0,0
12/09/2014,01:33:24,407.45,412.19,411.18,0,0,0,,,,,0,0,0
12/09/2014,01:38:24,406.94,411.66,410.83,0,0,0,,,,,0,0,0
12/09/2014,01:43:24,406.7,411.57,411.18,0,0,0,,,,,0,0,0
12/09/2014,01:48:24,407.53,412.54,411.07,0,0,0,,,,,0,0,0
12/09/2014,01:53:24,407.27,411.4,410.43,0,0,0,,,,,0,0,0
12/09/2014,01:58:24,407.28,411.66,410.87,0,0,0,,,,,0,0,0
12/09/2014,02:03:24,406.6,410.92,410.89,0,0,0,,,,,0,0,0
12/09/2014,02:08:24,406.79,411.69,410.41,0,0,0,,,,,0,0,0
12/09/2014,02:13:24,407.47,412.33,410.92,0,0,0,,,,,0,0,0
12/09/2014,02:18:24,407.29,411.98,411.17,0,0,0,,,,,0,0,0
12/09/2014,02:23:24,406.63,411.48,410.16,0,0,0,,,,,0,0,0
12/09/2014,02:28:24,406.74,411.42,410.05,0,0,0,,,,,0,0,0
12/09/2014,02:33:24,406.92,411.81,410.64,0,0,0,,,,,0,0,0
12/09/2014,02:38:24,405.74,410.63,410.41,0,0,0,,,,,0,0,0
12/09/2014,02:43:24,406.98,411.81,410.44,0,0,0,,,,,0,0,0
12/09/2014,02:48:24,407.15,411.98,410.79,0,0,0,,,,,0,0,0
12/09/2014,02:53:24,407.37,412.16,411.02,0,0,0,,,,,0,0,0
12/09/2014,02:58:24,406.73,411.23,411.14,0,0,0,,,,,0,0,0
12/09/2014,03:03:24,407.43,412.25,411.33,0,0,0,,,,,0,0,0
12/09/2014,03:08:24,406.57,410.93,410.04,0,0,0,,,,,0,0,0
12/09/2014,03:13:24,406.63,411.43,410.72,0,0,0,,,,,0,0,0
12/09/2014,03:18:24,405.93,410.45,410.39,0,0,0,,,,,0,0,0
12/09/2014,03:23:24,406.54,411.75,410.58,0,0,0,,,,,0,0,0
12/09/2014,03:28:24,407.29,412.01,410.98,0,0,0,,,,,0,0,0
12/09/2014,03:33:24,407.1,411.85,410.8,0,0,0,,,,,0,0,0
12/09/2014,03:38:24,406.21,410.85,410.83,0,0,0,,,,,0,0,0
12/09/2014,03:43:24,406.24,410.89,410,0,0,0,,,,,0,0,0
12/09/2014,03:48:24,406.61,410.93,409.97,0,0,0,,,,,0,0,0
12/09/2014,03:53:24,406.11,410.89,409.68,0,0,0,,,,,0,0,0
12/09/2014,03:58:24,405.96,410.61,410,0,0,0,,,,,0,0,0
12/09/2014,04:03:24,407.85,412.71,411.47,0,0,0,,,,,0,0,0
12/09/2014,04:08:24,408.12,412.84,411.88,0,0,0,,,,,0,0,0
12/09/2014,04:13:24,408.43,413.3,412.1,0,0,0,,,,,0,0,0
12/09/2014,04:18:24,407.27,411.91,412.12,0,0,0,,,,,0,0,0
12/09/2014,04:23:24,407.84,412.59,411.23,0,0,0,,,,,0,0,0
12/09/2014,04:28:24,408.05,412.86,411.8,0,0,0,,,,,0,0,0
12/09/2014,04:33:24,407.99,413.03,411.76,0,0,0,,,,,0,0,0
12/09/2014,04:38:24,407.05,412.11,411.52,0,0,0,,,,,0,0,0
12/09/2014,04:43:24,407.47,412.49,411.27,0,0,0,,,,,0,0,0
12/09/2014,04:48:24,406.96,411.92,410.69,0,0,0,,,,,0,0,0
12/09/2014,04:53:24,406.72,411.3,410.78,0,0,0,,,,,0,0,0
12/09/2014,04:58:24,406.71,411.16,411.31,0,0,0,,,,,0,0,0
12/09/2014,05:03:24,407.06,411.85,410.77,0,0,0,,,,,0,0,0
12/09/2014,05:08:24,407.12,412,411.12,0,0,0,,,,,0,0,0
12/09/2014,05:13:24,406.95,411.65,410.79,0,0,0,,,,,0,0,0
12/09/2014,05:18:24,405.37,410.7,410.1,0,0,0,,,,,0,0,0
12/09/2014,05:23:24,406.92,412.2,410.84,0,0,0,,,,,0,0,0
12/09/2014,05:28:24,406.59,411.71,410.73,0,0,0,,,,,0,0,0
12/09/2014,05:33:24,405.79,410.76,409.96,0,0,0,,,,,0,0,0
12/09/2014,05:38:24,404.33,409.57,409.54,0,0,0,,,,,0,0,0
12/09/2014,05:43:24,405.79,410.83,410.29,0,0,0,,,,,0,0,0
12/09/2014,05:48:24,405.34,410.01,409.07,0,0,0,,,,,0,0,0
12/09/2014,05:53:24,405.24,410.18,409.61,0,0,0,,,,,0,0,0
12/09/2014,05:58:24,406.07,410.59,410.8,0,0,0,,,,,0,0,0
12/09/2014,06:03:24,406.52,411.62,410.86,0,0,0,,,,,0,0,0
12/09/2014,06:08:24,406.11,411.19,410.38,0,0,0,,,,,0,0,0
12/09/2014,06:13:24,406.64,411.62,411.09,0,0,0,,,,,0,0,0
12/09/2014,06:18:24,406.83,411.71,411.17,0,0,0,,,,,0,0,0
12/09/2014,06:23:24,406.76,412.07,411.21,0,0,0,,,,,0,0,0
12/09/2014,06:28:24,407.44,412.83,412.15,0,0,0,,,,,0,0,0
12/09/2014,06:33:24,408.54,413.46,413.13,0,0,0,,,,,0,0,0
12/09/2014,06:38:24,407.58,412.45,412.07,0,0,0,,,,,0,0,0
12/09/2014,06:43:24,407.21,412.15,411.18,0,0,0,,,,,0,0,0
12/09/2014,06:48:24,407.05,411.86,411.26,0,0,0,,,,,0,0,0
12/09/2014,06:53:24,404.47,410.26,408.79,0,0,0,,,,,0,0,0
12/09/2014,06:58:24,405.02,410.22,409.23,0,0,0,,,,,0,0,0
12/09/2014,07:03:24,405.14,410.2,409.66,0,0,0,,,,,0,0,0
12/09/2014,07:08:24,405.35,410.25,409.17,0,0,0,,,,,0,0,0
12/09/2014,07:13:24,404.94,410.26,409.46,0,0,0,,,,,0,0,0
12/09/2014,07:18:24,405.79,411.4,410.27,0,0,0,,,,,0,0,0
12/09/2014,07:23:24,405.65,410.79,409.39,0,0,0,,,,,0,0,0
12/09/2014,07:28:24,405.82,411.81,409.95,0,0,0,,,,,0,0,0
