Feha de la Medda,Hora de la Medda,FASE AB,FASE B,FASE A,FASE A,FASE B,FASE  ,NEUTRO,POTENA ATVA AB [W],POTENA ATVA B [W],POTENA ATVA  [W],[w]
09/04/2015,12:51:45,235.64,239.25,411.94,5.45,5.5,5.41,,,,,2554.55
09/04/2015,12:56:45,235.87,238.9,411.45,5.59,5.81,5.69,,,,,2654.07
09/04/2015,13:01:45,235.48,238.45,410.94,5.51,5.77,5.69,,,,,2631.72
09/04/2015,13:06:45,237.25,240.31,414.08,6.75,7.1,6.95,,,,,3249.67
09/04/2015,13:11:45,237.22,239.7,413.38,6.96,7.32,7.16,,,,,3344.91
09/04/2015,13:16:45,236.95,239.59,413.16,6.46,6.86,6.78,,,,,3131.17
09/04/2015,13:21:45,237.15,240.12,413.67,6.78,7.17,7.05,,,,,3278.57
09/04/2015,13:26:45,236.97,240.07,414.01,6.51,6.94,6.78,,,,,3145.16
09/04/2015,13:31:45,236.96,239.9,413.39,6,6.53,6.36,,,,,2921.03
09/04/2015,13:36:45,236.32,238.67,411.81,5.91,6.4,6.26,,,,,2864.94
09/04/2015,13:41:45,236.59,239.39,412.71,5.71,6.31,6.13,,,,,2794.32
09/04/2015,13:46:45,236.34,239.4,412.34,5.48,6.15,5.95,,,,,2694.45
09/04/2015,13:51:45,235.96,238.95,411.7,5.24,5.91,5.68,,,,,2565.84
09/04/2015,13:56:45,235.83,239.28,412.01,5.08,5.78,5.52,,,,,2490.56
09/04/2015,14:01:45,235.85,239.06,411.8,5.34,6.01,5.8,,,,,2620.64
09/04/2015,14:06:45,235.87,238.94,411.83,5.21,5.91,5.73,,,,,2569.94
09/04/2015,14:11:45,236.49,239.48,412.87,5.01,5.71,5.49,,,,,2470.17
09/04/2015,14:16:45,235.95,238.7,411.42,4.93,5.64,5.4,,,,,2424.09
09/04/2015,14:21:45,235.58,239.15,411.62,4.89,5.59,5.39,,,,,2414.56
09/04/2015,14:26:45,235.56,238.9,411.21,4.67,5.38,5.16,,,,,2305.65
09/04/2015,14:31:45,235.44,238.83,411.19,4.43,5.11,4.94,,,,,2193.05
09/04/2015,14:36:45,235.48,238.78,411.03,4.5,5.22,4.98,,,,,2219.34
09/04/2015,14:41:45,239.53,242.82,418.21,4.11,4.83,4.66,,,,,2084.68
09/04/2015,14:46:45,236.79,240.01,413.8,4.12,4.75,4.66,,,,,2064.24
09/04/2015,14:51:45,236.94,240.41,413.8,4.19,4.88,4.73,,,,,2098.79
09/04/2015,14:56:45,236.73,239.88,413.44,4.02,4.66,4.51,,,,,1997.23
09/04/2015,15:01:45,236.86,239.64,413.07,4.49,5.14,4.97,,,,,2224.15
09/04/2015,15:06:45,237.57,240.56,414.6,5.21,5.75,5.61,,,,,2560.96
09/04/2015,15:11:45,237.79,240.88,415.15,5.34,5.88,5.76,,,,,2630.29
09/04/2015,15:16:45,237.46,240.93,414.75,5.23,5.84,5.71,,,,,2590.11
09/04/2015,15:21:45,237.78,241.11,415.25,5.55,6.08,5.91,,,,,2718.76
09/04/2015,15:26:45,238.22,241.28,415.62,5.56,6.11,5.99,,,,,2744.36
09/04/2015,15:31:45,238.42,241.62,416.28,5.41,6.01,5.82,,,,,2669.36
09/04/2015,15:36:45,237.93,241.03,415.27,5.26,5.88,5.68,,,,,2592.5
09/04/2015,15:41:45,237.56,240.48,414.24,4.7,5.35,5.2,,,,,2337.46
09/04/2015,15:46:45,235.55,238.8,411.39,2.36,3.06,3.01,,,,,1224.79
09/04/2015,15:51:45,236,239.64,412.33,2.7,3.41,3.37,,,,,1402.37
09/04/2015,15:56:45,235.84,239.64,412.31,2.76,3.45,3.4,,,,,1424.86
09/04/2015,16:01:45,236.83,240.09,413.39,3.87,4.46,4.34,,,,,1924.01
09/04/2015,16:06:45,236.31,239.61,412.71,3.7,4.26,4.19,,,,,1844.2
09/04/2015,16:11:45,237.03,240.17,413.66,4.24,4.78,4.69,,,,,2100.06
09/04/2015,16:16:45,236.88,240.6,413.94,4.39,4.89,4.85,,,,,2176.52
09/04/2015,16:21:45,237.09,240.33,413.91,4.31,4.77,4.75,,,,,2133.84
09/04/2015,16:26:45,236.61,240.59,413.86,4.25,4.72,4.76,,,,,2122.02
09/04/2015,16:31:45,235.75,239.52,411.94,3.05,3.67,3.66,,,,,1557.58
09/04/2015,16:36:45,236.26,239.63,412.63,2.97,3.52,3.58,,,,,1523.22
09/04/2015,16:41:45,236.94,240,413.49,3.82,4.3,4.28,,,,,1902.43
09/04/2015,16:46:45,237.19,240.3,413.9,3.99,4.47,4.44,,,,,1981.5
09/04/2015,16:51:45,236.28,240.54,413.96,3.91,4.26,4.5,,,,,1980.87
09/04/2015,16:56:45,236.81,239.94,413.34,3.48,3.89,3.94,,,,,1735.44
09/04/2015,17:01:45,236.22,240.12,413.1,3.56,3.99,4.07,,,,,1786.56
09/04/2015,17:06:45,236.06,239.79,412.58,2.81,3.34,3.43,,,,,1448.35
09/04/2015,17:11:45,235.91,239.63,412.55,2.62,3.07,3.19,,,,,1340.33
09/04/2015,17:16:45,236.17,239.84,412.62,2.18,2.5,2.7,,,,,1109.92
09/04/2015,17:21:45,234.9,238.62,410.67,1.19,1.48,1.73,,,,,609.18
09/04/2015,17:26:45,234.86,238.59,410.61,0,1.22,1.51,,,,,303.37
09/04/2015,17:31:45,235.24,238.85,411.11,0,0,1.17,,,,,202.51
09/04/2015,17:36:45,232.43,239.24,410.43,0,1.01,1.44,,,,,288.29
09/04/2015,17:41:45,235.19,239.22,411.34,0,0,0,,,,,0
09/04/2015,17:46:45,235.08,239.12,411.17,0,0,0,,,,,0
09/04/2015,17:51:45,235.33,239.19,411.35,0,0,0,,,,,0
09/04/2015,17:56:45,235.32,239.17,411.4,0,0,0,,,,,0
09/04/2015,18:01:45,235.76,239.38,412.1,0,0,0,,,,,0
09/04/2015,18:06:45,235.54,239.14,411.71,0,0,0,,,,,0
09/04/2015,18:11:45,232.91,236.52,407.06,0,0,0,,,,,0
09/04/2015,18:16:45,233.17,237.03,408.05,0,0,0,,,,,0
09/04/2015,18:21:45,233.59,237.61,408.78,0,0,0,,,,,0
09/04/2015,18:26:45,233.45,237,407.96,0,0,0,,,,,0
09/04/2015,18:31:45,232.97,236.89,407.42,0,0,0,,,,,0
09/04/2015,18:36:45,233.35,237.29,408.3,0,0,0,,,,,0
09/04/2015,18:41:45,233.75,237.5,408.73,0,0,0,,,,,0
09/04/2015,18:46:45,233.56,237.55,408.6,0,0,0,,,,,0
09/04/2015,18:51:45,234.39,238.51,410.23,0,0,0,,,,,0
09/04/2015,18:56:45,235.08,239.06,411.4,0,0,0,,,,,0
09/04/2015,19:01:45,234.21,237.93,409.48,0,0,0,,,,,0
09/04/2015,19:06:45,234.55,238.21,410.11,0,0,0,,,,,0
09/04/2015,19:11:45,234.9,238.38,410.66,0,0,0,,,,,0
09/04/2015,19:16:45,234.72,238.39,410.29,0,0,0,,,,,0
09/04/2015,19:21:45,234.77,238.07,410.28,0,0,0,,,,,0
09/04/2015,19:26:45,234.97,237.97,410.22,0,0,0,,,,,0
09/04/2015,19:31:45,234.45,237.94,409.86,0,0,0,,,,,0
09/04/2015,19:36:45,234.49,237.9,409.86,0,0,0,,,,,0
09/04/2015,19:41:45,234.44,237.75,409.63,0,0,0,,,,,0
09/04/2015,19:46:45,234.4,237.28,409.06,0,0,0,,,,,0
09/04/2015,19:51:45,404.3,410.42,410.13,0,0,0,,,,,0
09/04/2015,19:56:45,402.98,408.26,409.72,0,0,0,,,,,0
09/04/2015,20:01:45,234.4,237.2,409.19,0,0,0,,,,,0
09/04/2015,20:06:45,234.52,237.55,409.73,0,0,0,,,,,0
09/04/2015,20:11:45,234.79,237.25,409.58,0,0,0,,,,,0
09/04/2015,20:16:45,234.3,236.93,408.73,0,0,0,,,,,0
09/04/2015,20:21:45,235.02,237.45,410.2,0,0,0,,,,,0
09/04/2015,20:26:45,404.13,409.98,409.32,0,0,0,,,,,0
09/04/2015,20:31:45,236.43,242.76,411.54,0,0,1,,,,,71.01
09/04/2015,20:36:45,405.56,411.04,410.04,0,0,0,,,,,0
09/04/2015,20:41:45,406.92,411.38,410.6,0,0,0,,,,,0
09/04/2015,20:46:45,405.07,410.47,411.55,0,0,0,,,,,0
09/04/2015,20:51:45,407.32,411.74,411.76,0,0,0,,,,,0
09/04/2015,20:56:45,407.22,412.21,411.73,0,0,0,,,,,0
09/04/2015,21:01:45,407.35,412.16,411.75,0,0,0,,,,,0
09/04/2015,21:06:45,407.74,412.91,412.19,0,0,0,,,,,0
09/04/2015,21:11:45,407.9,412.83,413.4,0,0,0,,,,,0
09/04/2015,21:16:45,407.69,413.01,413.31,0,0,0,,,,,0
09/04/2015,21:21:45,404.56,409.96,409.12,0,0,0,,,,,0
