Feha de la Medda,Hora de la Medda,FASE AB,FASE BC,FASE AC,FASE A,FASE B,FASE  C,NEUTRO,POTENA ATVA AB [W],POTENA ATVA B [W],POTENA ATVA  [W],
04/08/2015,16:35:00,416,415.5,418,4.521,5.394,3.675,,,,3010,3.01
04/08/2015,16:40:00,415.2,414.6,417.1,3.653,4.415,2.789,,,,2408,2.41
04/08/2015,16:45:00,413.6,413.1,415.2,2.596,3.267,1.706,,,,1626,1.63
04/08/2015,16:50:00,411.2,410.7,413.2,0.187,1.157,0.008,,,,25.88,0.03
04/08/2015,16:55:00,412,411.4,414.3,0.332,1.148,0,,,,41.9,0.04
04/08/2015,17:00:00,411.9,411.1,414.2,0.736,1.186,0,,,,125.6,0.13
04/08/2015,17:05:00,412.3,411.6,414.6,0.821,1.189,0,,,,151.4,0.15
04/08/2015,17:10:00,412.8,412.1,414.5,0.702,1.179,0,,,,117.5,0.12
04/08/2015,17:15:00,412.1,411.7,414.6,0.62,1.172,0,,,,95.33,0.1
04/08/2015,17:20:00,412.5,412,414.9,0.448,1.155,0,,,,60.85,0.06
04/08/2015,17:25:00,413.1,412.7,415.3,0.377,1.144,0,,,,49.58,0.05
04/08/2015,17:30:00,413.1,412.7,415.2,0.205,1.119,0,,,,24.09,0.02
04/08/2015,17:35:00,413.3,413.3,415.6,0.339,1.145,0,,,,42.65,0.04
04/08/2015,17:40:00,414.4,414,416.7,0.777,1.181,0,,,,135.7,0.14
04/08/2015,17:45:00,411.4,411,413.7,0.307,1.154,0,,,,38.79,0.04
04/08/2015,17:50:00,410.9,410.5,413.1,0.232,1.144,0,,,,28.46,0.03
04/08/2015,17:55:00,410.4,410.4,412.6,0.101,1.104,0,,,,11.14,0.01
04/08/2015,18:00:00,410.4,410.3,412.8,0.079,1.101,0,,,,8.537,0.01
04/08/2015,18:05:00,410.9,410.9,413.3,0.111,1.119,0,,,,12.15,0.01
04/08/2015,18:10:00,411.2,411,413.5,0.145,1.123,0,,,,16.34,0.02
04/08/2015,18:15:00,410.8,410.8,413.6,0.207,1.125,0,,,,23.29,0.02
04/08/2015,18:20:00,410.9,411.2,413.7,0.209,1.125,0,,,,23.48,0.02
04/08/2015,18:25:00,411.9,411.9,414.5,0.407,1.138,0,,,,53.29,0.05
04/08/2015,18:30:00,412.3,412.2,415,0.443,1.127,0,,,,59.3,0.06
04/08/2015,18:35:00,412.6,412.6,415.2,0.4,1.125,0,,,,52.53,0.05
