Feha de la Medda,Hora de la Medda,FASE AB,FASE BC,FASE AC,FASE A,FASE B,FASE  C,NEUTRO,POTENA ATVA AB [W],POTENA ATVA B [W],POTENA ATVA  [W],
04/02/2015,13:16:40,417.72,4.93,419.1,8.15,7.76,8.04,,,,,3081.3
04/02/2015,13:21:40,417.18,4.92,418.53,8.08,7.71,8.01,,,,,3047.6
04/02/2015,13:26:40,416.56,4.92,417.93,8.02,7.63,7.91,,,,,3019.17
04/02/2015,13:31:40,417.37,4.95,418.79,7.98,7.68,7.88,,,,,3016.21
04/02/2015,13:36:40,416.6,4.83,418,7.9,7.67,7.83,,,,,2999.09
04/02/2015,13:41:40,415.59,4.92,416.99,7.12,6.83,7.15,,,,,2685.35
04/02/2015,13:46:40,417.66,4.88,419.06,7.76,7.46,7.81,,,,,2933.27
04/02/2015,13:51:40,417.71,4.9,419.1,7.76,7.5,7.83,,,,,2934.31
04/02/2015,13:56:40,416.97,4.87,418.35,7.63,7.29,7.7,,,,,2854.68
04/02/2015,14:01:40,417.37,4.92,418.73,7.68,7.47,7.78,,,,,2902.12
04/02/2015,14:06:40,406.08,4.58,407.45,0,0,0,,,,,0
04/02/2015,14:11:40,406.02,4.58,407.42,0,0,0,,,,,0
04/02/2015,14:16:40,406.71,4.6,408.1,0,0,0,,,,,0
04/02/2015,14:21:40,407.35,4.7,408.7,0,0,1.67,,,,,-0.61
04/02/2015,14:26:40,415.12,5.01,416.52,7.76,7.5,7.88,,,,,2919.37
04/02/2015,14:31:40,406.97,4.61,408.38,0,0,0,,,,,0
04/02/2015,14:36:40,408,4.62,409.4,0,0,0,,,,,0
04/02/2015,14:41:40,417.73,4.89,419.13,7.85,7.59,8.01,,,,,2968.63
04/02/2015,14:46:40,418.04,4.87,419.4,7.75,7.44,7.95,,,,,2929.36
04/02/2015,14:51:40,416.97,4.93,418.35,7.65,7.33,7.83,,,,,2884.88
04/02/2015,14:56:40,416.06,4.87,417.47,7.46,7.16,7.67,,,,,2813.56
04/02/2015,15:01:40,415.41,4.91,416.82,7.08,6.74,7.2,,,,,2669.48
04/02/2015,15:06:40,416.28,4.85,417.67,7.04,6.75,7.23,,,,,2658.02
04/02/2015,15:11:40,415.73,4.86,417.1,7.04,6.75,7.18,,,,,2653.33
04/02/2015,15:16:40,410.42,4.84,411.81,2.2,2.04,2.54,,,,,843.01
04/02/2015,15:21:40,405.79,4.58,407.2,0,0,0,,,,,0
04/02/2015,15:26:40,406.43,4.6,407.82,0,0,0,,,,,0
04/02/2015,15:31:40,415.55,4.92,416.95,6.27,5.94,6.48,,,,,2362.11
04/02/2015,15:36:40,414.49,4.93,415.86,5.93,5.62,6.14,,,,,2233.2
04/02/2015,15:41:40,414.22,4.89,415.59,5.39,5.08,5.63,,,,,2031.95
04/02/2015,15:46:40,414.19,4.9,415.6,5.32,5.03,5.51,,,,,2008.31
04/02/2015,15:51:40,413.9,4.85,415.29,5.14,4.88,5.28,,,,,1937.49
04/02/2015,15:56:40,412.5,4.9,413.89,5,4.67,5.21,,,,,1878.49
04/02/2015,16:01:40,413.71,4.89,415.09,4.68,4.4,4.86,,,,,1766.49
04/02/2015,16:06:40,413.31,4.9,414.71,4.34,4.05,4.51,,,,,1639.57
04/02/2015,16:11:40,407.9,4.82,409.27,3.05,2.84,3.29,,,,,1149.53
04/02/2015,16:16:40,409.27,4.94,410.68,2.05,1.85,2.2,,,,,775.61
04/02/2015,16:21:40,406.35,4.58,407.75,0,0,0,,,,,0
04/02/2015,16:26:40,405.75,4.58,407.13,0,0,0,,,,,0
04/02/2015,16:31:40,406.47,4.6,407.88,0,0,0,,,,,0
04/02/2015,16:36:40,406.06,4.58,407.43,0,0,0,,,,,0
04/02/2015,16:41:40,407.26,4.64,408.64,0,0,0,,,,,0
04/02/2015,16:46:40,406.97,4.62,408.37,0,0,0,,,,,0
04/02/2015,16:51:40,407.18,4.59,408.56,0,0,0,,,,,0
04/02/2015,16:56:40,407.08,4.62,408.48,0,0,0,,,,,0
04/02/2015,17:01:40,407.74,4.6,409.14,0,0,0,,,,,0
04/02/2015,17:06:40,406.83,4.76,408.22,0,0,0,,,,,0
04/02/2015,17:11:40,407.21,4.79,408.58,0,0,0,,,,,0
04/02/2015,17:16:40,408.67,4.81,409.99,0,0,0,,,,,0
04/02/2015,17:21:40,407.19,4.81,408.54,1.03,0,1.15,,,,,375.46
04/02/2015,17:26:40,408.11,4.83,409.45,1.31,1.1,1.43,,,,,490.15
04/02/2015,17:31:40,408.23,4.81,409.59,0,0,0.96,,,,,3.01
04/02/2015,17:36:40,406.31,4.77,407.64,0,0,0,,,,,0
04/02/2015,17:41:40,406.31,4.59,407.74,0,0,0,,,,,0
04/02/2015,17:46:40,408.16,4.62,409.55,0,0,0,,,,,0
04/02/2015,17:51:40,405.87,4.6,407.26,0,0,0,,,,,0
04/02/2015,17:56:40,405.94,4.61,407.34,0,0,0,,,,,0
04/02/2015,18:01:40,406.79,4.61,408.22,0,0,0,,,,,0
04/02/2015,18:06:40,405.57,4.59,406.97,0,0,0,,,,,0
04/02/2015,18:11:40,406.62,4.59,408.03,0,0,0,,,,,0
04/02/2015,18:16:40,405.48,4.6,406.88,0,0,0,,,,,0
04/02/2015,18:21:40,405.42,4.58,406.79,0,0,0,,,,,0
04/02/2015,18:26:40,404.42,4.58,405.8,0,0,0,,,,,0
04/02/2015,18:31:40,403.79,4.58,405.16,0,0,0,,,,,0
04/02/2015,18:36:40,402.67,4.57,404.03,0,0,0,,,,,0
04/02/2015,18:41:40,403.22,4.55,404.61,0,0,0,,,,,0
04/02/2015,18:46:40,403.37,4.58,404.73,0,0,0,,,,,0
04/02/2015,18:51:40,403.34,4.55,404.72,0,0,0,,,,,0
04/02/2015,18:56:40,404.03,4.6,405.4,0,0,0,,,,,0
04/02/2015,19:01:40,403.7,4.59,405.09,0,0,0,,,,,0
04/02/2015,19:06:40,404.87,4.56,406.25,0,0,0,,,,,0
04/02/2015,19:11:40,405.51,4.57,406.9,0,0,0,,,,,0
04/02/2015,19:16:40,405.59,4.61,406.98,0,0,0,,,,,0
04/02/2015,19:21:40,404.15,4.57,405.54,0,0,0,,,,,0
04/02/2015,19:26:40,404.82,4.59,406.19,0,0,0,,,,,0
04/02/2015,19:31:40,405.35,4.58,406.74,0,0,0,,,,,0
04/02/2015,19:36:40,406.19,4.59,407.59,0,0,0,,,,,0
04/02/2015,19:41:40,405.99,4.61,407.41,0,0,0,,,,,0
04/02/2015,19:46:40,407.14,4.6,408.54,0,0,0,,,,,0
04/02/2015,19:51:40,406.22,4.62,407.6,0,0,0,,,,,0
04/02/2015,19:56:40,406.56,4.61,407.97,0,0,0,,,,,0
04/02/2015,20:01:40,407.19,4.59,408.59,0,0,0,,,,,0
04/02/2015,20:06:40,407.76,4.63,409.17,0,0,0,,,,,0
04/02/2015,20:11:40,408.37,4.62,409.76,0,0,0,,,,,0
04/02/2015,20:16:40,408.29,4.64,409.69,0,0,0,,,,,0
04/02/2015,20:21:40,407.58,4.61,408.97,0,0,0,,,,,0
04/02/2015,20:26:40,409.05,4.63,410.45,0,0,0,,,,,0
04/02/2015,20:31:40,408.45,4.61,409.85,0,0,0,,,,,0
04/02/2015,20:36:40,409.05,4.64,410.47,0,0,0,,,,,0
04/02/2015,20:41:40,408.19,4.6,409.59,0,0,0,,,,,0
04/02/2015,20:46:40,409.36,4.63,410.79,0,0,0,,,,,0
04/02/2015,20:51:40,407.6,4.6,409.02,0,0,0,,,,,0
04/02/2015,20:56:40,408.76,4.63,410.14,0,0,0,,,,,0
04/02/2015,21:01:40,409.17,4.63,410.56,0,0,0,,,,,0
04/02/2015,21:06:40,407.04,4.59,408.41,0,0,0,,,,,0
04/02/2015,21:11:40,408.13,4.61,409.52,0,0,0,,,,,0
04/02/2015,21:16:40,406.12,4.59,407.5,0,0,0,,,,,0
04/02/2015,21:21:40,405.69,4.62,407.06,0,0,0,,,,,0
04/02/2015,21:26:40,406.01,4.63,407.42,0,0,0,,,,,0
04/02/2015,21:31:40,407.04,4.63,408.45,0,0,0,,,,,0
04/02/2015,21:36:40,408.42,4.63,409.81,0,0,0,,,,,0
04/02/2015,21:41:40,407.49,4.63,408.92,0,0,0,,,,,0
04/02/2015,21:46:40,409.05,4.64,410.44,0,0,0,,,,,0
04/02/2015,21:51:40,407.79,4.64,409.21,0,0,0,,,,,0
04/02/2015,21:56:40,408.43,4.62,409.81,0,0,0,,,,,0
04/02/2015,22:01:40,409.2,4.62,410.57,0,0,0,,,,,0
04/02/2015,22:06:40,407.64,4.62,409.07,0,0,0,,,,,0
04/02/2015,22:11:40,407.75,4.62,409.12,0,0,0,,,,,0
04/02/2015,22:16:40,407.57,4.62,408.95,0,0,0,,,,,0
04/02/2015,22:21:40,407.89,4.62,409.26,0,0,0,,,,,0
04/02/2015,22:26:40,408.8,4.63,410.19,0,0,0,,,,,0
04/02/2015,22:31:40,408.39,4.64,409.79,0,0,0,,,,,0
04/02/2015,22:36:40,410.06,4.62,411.44,0,0,0,,,,,0
04/02/2015,22:41:40,409.53,4.62,410.94,0,0,0,,,,,0
04/02/2015,22:46:40,409.51,4.66,410.89,0,0,0,,,,,0
04/02/2015,22:51:40,409.19,4.62,410.57,0,0,0,,,,,0
04/02/2015,22:56:40,409.49,4.62,410.89,0,0,0,,,,,0
04/02/2015,23:01:40,410.35,4.66,411.73,0,0,0,,,,,0
04/02/2015,23:06:40,410.48,4.66,411.9,0,0,0,,,,,0
04/02/2015,23:11:40,409.98,4.67,411.38,0,0,0,,,,,0
04/02/2015,23:16:40,409.69,4.63,411.09,0,0,0,,,,,0
04/02/2015,23:21:40,409.28,4.62,410.67,0,0,0,,,,,0
04/02/2015,23:26:40,409.25,4.64,410.65,0,0,0,,,,,0
04/02/2015,23:31:40,410.69,4.64,412.08,0,0,0,,,,,0
04/02/2015,23:36:40,413.16,4.7,414.6,0,0,0,,,,,0
04/02/2015,23:41:40,405.2,4.59,406.57,0,0,0,,,,,0
04/02/2015,23:46:40,406.45,4.63,407.86,0,0,0,,,,,0
04/02/2015,23:51:40,405.82,4.61,407.21,0,0,0,,,,,0
04/02/2015,23:56:40,404.88,4.61,406.24,0,0,0,,,,,0
05/02/2015,00:01:40,403.32,4.57,404.71,0,0,0,,,,,0
05/02/2015,00:06:40,403.62,4.59,404.98,0,0,0,,,,,0
05/02/2015,00:11:40,404.67,4.6,406.04,0,0,0,,,,,0
05/02/2015,00:16:40,404.76,4.57,406.12,0,0,0,,,,,0
05/02/2015,00:21:40,404.73,4.61,406.1,0,0,0,,,,,0
05/02/2015,00:26:40,404.62,4.61,406.04,0,0,0,,,,,0
05/02/2015,00:31:40,405.31,4.58,406.68,0,0,0,,,,,0
05/02/2015,00:36:40,404.92,4.62,406.3,0,0,0,,,,,0
05/02/2015,00:41:40,405.63,4.6,407.03,0,0,0,,,,,0
05/02/2015,00:46:40,405.51,4.6,406.92,0,0,0,,,,,0
05/02/2015,00:51:40,406.52,4.59,407.89,0,0,0,,,,,0
