Feha de la Medda,Hora de la Medda,FASE AB,FASE B,FASE A,FASE A,FASE B,FASE  ,NEUTRO,POTENA ATVA AB [W],POTENA ATVA B [W],POTENA ATVA  [W],
05/03/2015,16:07:36,410.63,416.18,413.88,1.8,1.78,2.12,"1,78","2,12",,,1383.84
05/03/2015,16:12:36,408.34,414.65,412.3,1.62,1.6,1.92,"1,60","1,92",,,1240.18
05/03/2015,16:17:36,410.33,416.14,414.01,1.68,1.66,2.06,"1,66","2,06",,,1294.87
05/03/2015,16:22:36,408.33,413.62,411.93,1.38,1.36,1.7,"1,36","1,70",,,1065.19
05/03/2015,16:27:36,410.15,416.16,413.93,1.47,1.41,1.83,"1,41","1,83",,,1123.92
05/03/2015,16:32:36,409.06,414.77,412.4,1.24,1.17,1.55,"1,17","1,55",,,932.14
05/03/2015,16:37:36,409.69,415.43,413.18,1.05,0.96,1.34,"0,96","1,34",,,744.75
05/03/2015,16:42:36,409.43,415.13,412.39,1.08,1,1.35,"1,00","1,35",,,773.47
05/03/2015,16:47:36,409.04,415.01,412.78,0.96,0,1.22,"0,00","1,22",,,647
05/03/2015,16:52:36,410.07,415.81,413.49,0.97,0,1.19,"0,00","1,19",,,606.31
05/03/2015,16:57:36,407.1,413.38,410.35,0,0,1.02,"0,00","1,02",,,332.12
05/03/2015,17:02:36,409.36,415,412.53,0,0,1.03,"0,00","1,03",,,332.51
05/03/2015,17:07:36,407.62,413.94,411.21,0,0,0,"0,00","0,00",,,0
05/03/2015,17:12:36,409.14,414.7,412.66,0,0,0,"0,00","0,00",,,0
05/03/2015,17:17:36,408.97,415.05,412.67,0,0,0,"0,00","0,00",,,0
05/03/2015,17:22:36,409.93,415.32,413.49,0,0,0,"0,00","0,00",,,0
05/03/2015,17:27:36,409.1,414.89,412.49,0,0,0,"0,00","0,00",,,0
05/03/2015,17:32:36,408.9,414.31,412.18,0,0,0,"0,00","0,00",,,0
05/03/2015,17:37:36,409.07,415.25,412.62,0,0,0,"0,00","0,00",,,0
05/03/2015,17:42:36,409.29,414.42,412.33,0,0,0,"0,00","0,00",,,0
05/03/2015,17:47:36,407.16,412.63,410.19,0,0,0,"0,00","0,00",,,0
05/03/2015,17:52:36,408.57,414.19,411.33,0,0,0,"0,00","0,00",,,0
05/03/2015,17:57:36,408.5,413.98,411.53,0,0,0,"0,00","0,00",,,0
05/03/2015,18:02:36,406,411.47,409.21,0,0,0,"0,00","0,00",,,0
05/03/2015,18:07:36,405.49,411,408.39,0,0,0,"0,00","0,00",,,0
05/03/2015,18:12:36,403.74,409.81,407.22,0,0,0,"0,00","0,00",,,0
05/03/2015,18:17:36,404.59,410.49,407.48,0,0,0,"0,00","0,00",,,0
05/03/2015,18:22:36,404.82,410.04,407.85,0,0,0,"0,00","0,00",,,0
05/03/2015,18:27:36,404.58,409.37,407.21,0,0,0,"0,00","0,00",,,0
05/03/2015,18:32:36,402.94,407.64,405.53,0,0,0,"0,00","0,00",,,0
05/03/2015,18:37:36,403.39,408.62,406.51,0,0,0,"0,00","0,00",,,0
05/03/2015,18:42:36,402.52,407.07,405.26,0,0,0,"0,00","0,00",,,0
05/03/2015,18:47:36,404.28,408.41,407.59,0,0,0,"0,00","0,00",,,0
05/03/2015,18:52:36,406.1,410.41,409.49,0,0,0,"0,00","0,00",,,0
05/03/2015,18:57:36,406.06,410.33,409.24,0,0,0,"0,00","0,00",,,0
05/03/2015,19:02:36,406.01,410.78,409.3,0,0,0,"0,00","0,00",,,0
