Feha de la Medda,Hora de la Medda,FASE AB,FASE BC,FASE AC,FASE A,FASE B,FASE  C,NEUTRO,POTENA ATVA AB [W],POTENA ATVA B [W],POTENA ATVA  [W],
14/05/2015,13:17:19,411.7,417.58,416.19,5.01,4.55,4.99,,,,,3636.72
14/05/2015,13:22:19,404.64,410.37,409.06,0,0,0,,,,,0
14/05/2015,13:27:19,407.56,412.73,411.18,2.18,1.76,2.27,,,,,1610.73
14/05/2015,13:32:19,410.47,415.46,414.23,4.22,3.74,4.19,,,,,3056.99
14/05/2015,13:37:19,408.13,413.29,412.15,2.57,2.13,2.63,,,,,1885.01
14/05/2015,13:42:19,408.81,413.56,412.13,2.12,1.7,2.19,,,,,1563
14/05/2015,13:47:19,410.89,415.74,415.07,3.67,3.2,3.67,,,,,2677.11
14/05/2015,13:52:19,405.34,411.05,409.84,0,0,0,,,,,0
14/05/2015,13:57:19,402.81,408.53,407.4,0,0,0,,,,,0
14/05/2015,14:02:19,404.64,410.46,408.71,0,0,0,,,,,0
14/05/2015,14:07:19,404.94,410.06,408.01,0,0,0,,,,,0
14/05/2015,14:12:19,404.39,410.4,408.41,0,0,0,,,,,0
14/05/2015,14:17:19,405.44,409.99,408.45,0,0,0,,,,,0
14/05/2015,14:22:19,404.79,409.26,407.98,0,0,0,,,,,0
14/05/2015,14:27:19,405.3,410.47,408.79,0,0,0,,,,,0
14/05/2015,14:32:19,404.92,409.7,408.72,0,0,0,,,,,0
14/05/2015,14:37:19,405.99,411.16,409.42,0,0,0,,,,,0
14/05/2015,14:42:19,403.56,409.48,407.7,0,0,0,,,,,0
14/05/2015,14:47:19,405.02,410.22,408.77,0,0,0,,,,,0
14/05/2015,14:52:19,404.43,409.47,408.73,0,0,0,,,,,0
14/05/2015,14:57:19,403.67,408.47,408.34,0,0,0,,,,,0
14/05/2015,15:02:19,404.86,409.46,408.7,0,0,0,,,,,0
14/05/2015,15:07:19,405.2,410.54,408.82,0,0,0,,,,,0
14/05/2015,15:12:19,405.7,410.63,409.16,0,0,0,,,,,0
14/05/2015,15:17:19,405.37,410.57,409.01,0,0,0,,,,,0
14/05/2015,15:22:19,407.22,411.79,410.16,1.72,1.47,1.79,,,,,1278.7
14/05/2015,15:27:19,414.39,418.97,417.43,7.13,6.77,6.98,,,,,5150.57
14/05/2015,15:32:19,405.49,410.3,409,0,0,0,,,,,0
14/05/2015,15:37:19,406.15,411.11,409.53,0,0,0,,,,,0
14/05/2015,15:42:19,407.59,412.28,411.17,0,0,0,,,,,0
14/05/2015,15:47:19,406.14,410.95,410.27,0,0,0,,,,,0
14/05/2015,15:52:19,407,412.09,410.21,0,0,0,,,,,0
14/05/2015,15:57:19,407.77,412.46,410.86,0,0,0,,,,,0
14/05/2015,16:02:19,405.86,411.26,409.44,0,0,0,,,,,0
14/05/2015,16:07:19,406.26,411.38,409.5,0,0,0,,,,,0
14/05/2015,16:12:19,405.76,410.79,409.05,0,0,0,,,,,0
14/05/2015,16:17:19,405.84,412,409.39,0,0,0,,,,,0
14/05/2015,16:22:19,413.53,419.4,416.75,6.9,6.58,6.78,,,,,4983.11
14/05/2015,16:27:19,409.92,415.6,414.26,3.16,2.88,3.15,,,,,2298.24
14/05/2015,16:32:19,408.94,414.43,413.38,3.53,3.24,3.46,,,,,2540.56
14/05/2015,16:37:19,407.11,412.5,410.96,0,0,0,,,,,0
14/05/2015,16:42:19,408.07,414.67,413.38,2.08,1.8,2.16,,,,,1534.53
14/05/2015,16:47:19,409.9,416.2,413.66,2.55,2.27,2.61,,,,,1877.48
14/05/2015,16:52:19,413.36,419.16,418.43,6.67,6.31,6.5,,,,,4805.02
14/05/2015,16:57:19,414.46,419.86,418.03,6.22,5.86,6.1,,,,,4493.18
14/05/2015,17:02:19,408.25,414.36,413.64,1.48,1.21,1.55,,,,,1089.75
14/05/2015,17:07:19,407.73,413.71,411.97,0,0,0,,,,,0
14/05/2015,17:12:19,409.53,415.26,413.23,1.48,1.21,1.52,,,,,1079.18
14/05/2015,17:17:19,412.55,418,416.21,4.06,3.79,4,,,,,2954.19
14/05/2015,17:22:19,410.76,416.76,414.86,3.1,2.84,3.08,,,,,2258.99
14/05/2015,17:27:19,411.09,417.44,415.03,2.91,2.62,2.97,,,,,2155.05
14/05/2015,17:32:19,412.04,417.62,415.3,3.14,2.86,3.13,,,,,2294.96
14/05/2015,17:37:19,412.71,418,416.44,3.08,2.79,3.06,,,,,2251.88
14/05/2015,17:42:19,408.56,413.41,411.48,0,0,1.16,,,,,250.18
14/05/2015,17:47:19,409.24,414.73,413.52,0,0,0,,,,,0
14/05/2015,17:52:19,408.68,413.96,411.72,0,0,0,,,,,0
14/05/2015,17:57:19,408.27,414.31,413.49,0,0,1.18,,,,,259.4
14/05/2015,18:02:19,407.02,412.78,410.23,0,0,0,,,,,0
14/05/2015,18:07:19,404.2,409.71,407.6,0,0,0,,,,,0
14/05/2015,18:12:19,405.67,411.26,409.31,0,0,0,,,,,0
14/05/2015,18:17:19,405.59,411.03,409.18,0,0,0,,,,,0
14/05/2015,18:22:19,405.27,411.39,409.2,0,0,0,,,,,0
14/05/2015,18:27:19,406.21,412.11,409.64,0,0,0,,,,,0
14/05/2015,18:32:19,405.99,411.95,409.57,0,0,0,,,,,0
14/05/2015,18:37:19,407.08,413.29,411.26,0,0,0,,,,,0
14/05/2015,18:42:19,406.21,411.79,410.31,0,0,0,,,,,0
14/05/2015,18:47:19,406.75,411.88,410.42,0,0,0,,,,,0
14/05/2015,18:52:19,407.59,412.74,411.06,0,0,0,,,,,0
14/05/2015,18:57:19,408.49,413.27,411.62,0,0,0,,,,,0
14/05/2015,19:02:19,408.58,413.37,411.8,0,0,0,,,,,0
14/05/2015,19:07:19,408.27,413.13,411.51,0,0,0,,,,,0
14/05/2015,19:12:19,408.93,414.17,412.3,0,0,0,,,,,0
14/05/2015,19:17:19,409.04,413.81,412.19,0,0,0,,,,,0
14/05/2015,19:22:19,408.42,412.65,412.1,0,0,0,,,,,0
14/05/2015,19:27:19,409.02,413.08,411.67,0,0,0,,,,,0
14/05/2015,19:32:19,409.52,413.65,412.13,0,0,0,,,,,0
14/05/2015,19:37:19,407.87,411.68,411.4,0,0,0,,,,,0
14/05/2015,19:42:19,408.94,412.82,411.63,0,0,0,,,,,0
14/05/2015,19:47:19,408.69,412.31,411.1,0,0,0,,,,,0
14/05/2015,19:52:19,408.56,412.07,410.93,0,0,0,,,,,0
14/05/2015,19:57:19,407.5,411.25,410.23,0,0,0,,,,,0
14/05/2015,20:02:19,408.3,411.63,410.87,0,0,0,,,,,0
14/05/2015,20:07:19,407.49,410.92,410.74,0,0,0,,,,,0
14/05/2015,20:12:19,407.24,410.9,410.2,0,0,0,,,,,0
14/05/2015,20:17:19,407.16,410.88,410.08,0,0,0,,,,,0
14/05/2015,20:22:19,406.94,410.57,410.45,0,0,0,,,,,0
14/05/2015,20:27:19,407.33,411.2,410.87,0,0,0,,,,,0
14/05/2015,20:32:19,407.69,411.51,410.67,0,0,0,,,,,0
14/05/2015,20:37:19,408.49,412.29,411.62,0,0,0,,,,,0
14/05/2015,20:42:19,408.65,412.64,412.1,0,0,0,,,,,0
14/05/2015,20:47:19,408.43,412.68,412.86,0,0,0,,,,,0
14/05/2015,20:52:19,409.56,413.66,413.11,0,0,0,,,,,0
14/05/2015,20:57:19,409,413.57,413.03,0,0,0,,,,,0
14/05/2015,21:02:19,409.7,414.02,413.99,0,0,0,,,,,0
14/05/2015,21:07:19,410.75,415.02,414.07,0,0,0,,,,,0
14/05/2015,21:12:19,410.49,414.77,414.94,0,0,0,,,,,0
14/05/2015,21:17:19,411.58,416.03,415.18,0,0,0,,,,,0
14/05/2015,21:22:19,410.67,414.99,414.25,0,0,0,,,,,0
14/05/2015,21:27:19,406.1,410.35,409.61,0,0,0,,,,,0
14/05/2015,21:32:19,405.64,410.25,409.08,0,0,0,,,,,0
14/05/2015,21:37:19,406.55,411.18,410.15,0,0,0,,,,,0
14/05/2015,21:42:19,405.86,410.43,410.39,0,0,0,,,,,0
14/05/2015,21:47:19,405.97,411.2,409.82,0,0,0,,,,,0
14/05/2015,21:52:19,406.08,410.51,409.72,0,0,0,,,,,0
14/05/2015,21:57:19,406.64,411.14,409.97,0,0,0,,,,,0
14/05/2015,22:02:19,406.25,411.1,410.86,0,0,0,,,,,0
14/05/2015,22:07:19,406,410.62,409.38,0,0,0,,,,,0
14/05/2015,22:12:19,406.75,411.53,410.26,0,0,0,,,,,0
14/05/2015,22:17:19,406.91,411.58,410.3,0,0,0,,,,,0
14/05/2015,22:22:19,407.07,412.09,410.53,0,0,0,,,,,0
14/05/2015,22:27:19,407.37,412.07,410.57,0,0,0,,,,,0
14/05/2015,22:32:19,406.9,411.67,410,0,0,0,,,,,0
14/05/2015,22:37:19,407.69,412.35,411.07,0,0,0,,,,,0
14/05/2015,22:42:19,407.02,411.59,410.51,0,0,0,,,,,0
14/05/2015,22:47:19,407.55,412.23,410.98,0,0,0,,,,,0
14/05/2015,22:52:19,408.42,412.92,412.14,0,0,0,,,,,0
14/05/2015,22:57:19,409.6,413.78,412.68,0,0,0,,,,,0
14/05/2015,23:02:19,408.58,412.82,411.73,0,0,0,,,,,0
14/05/2015,23:07:19,409.16,413.94,412.58,0,0,0,,,,,0
14/05/2015,23:12:19,410.91,415.21,413.98,0,0,0,,,,,0
14/05/2015,23:17:19,407.41,411.96,410.74,0,0,0,,,,,0
14/05/2015,23:22:19,406.29,411.13,409.23,0,0,0,,,,,0
14/05/2015,23:27:19,407.87,412,410.62,0,0,0,,,,,0
14/05/2015,23:32:19,407.43,412.18,410.35,0,0,0,,,,,0
14/05/2015,23:37:19,407.84,412.09,410.72,0,0,0,,,,,0
14/05/2015,23:42:19,408.03,412.45,410.99,0,0,0,,,,,0
14/05/2015,23:47:19,408.18,411.98,411.09,0,0,0,,,,,0
14/05/2015,23:52:19,408.02,412.81,411.58,0,0,0,,,,,0
14/05/2015,23:57:19,407.82,412.81,411.02,0,0,0,,,,,0
15/05/2015,00:02:19,408.25,413.41,411.92,0,0,0,,,,,0
