Feha de la Medda,Hora de la Medda,FASE AB,FASE BC,FASE AC,FASE A,FASE B,FASE  C,NEUTRO,POTENA ATVA AB [W],POTENA ATVA B [W],POTENA ATVA  [W],
01/11/2015,00:05:00,414.2,411.3,415,0.014,1.027,0,,,,0,0
01/11/2015,00:15:00,415.2,412.5,416.2,0.017,1.057,0,,,,0,0
01/11/2015,00:25:00,415,412.3,416,0.009,1.066,0,,,,0,0
01/11/2015,00:35:00,414.8,412.2,415.8,0.018,1.066,0,,,,0,0
01/11/2015,00:45:00,414.7,411.9,415.5,0.011,1.061,0,,,,0,0
01/11/2015,00:55:00,415,412.3,416.1,0.005,1.049,0,,,,0,0
01/11/2015,01:05:00,415.1,412.3,416.2,0.011,0.942,0,,,,0,0
01/11/2015,01:15:00,415.3,412.4,416.4,0.007,1.048,0,,,,0,0
01/11/2015,01:25:00,415.1,412.1,416.1,0.015,0.912,0,,,,0,0
01/11/2015,01:35:00,415.2,412.3,416.1,0.014,1.055,0,,,,0,0
01/11/2015,01:45:00,415.5,412.7,416.5,0.018,1.059,0,,,,0,0
01/11/2015,01:55:00,415.4,412.8,416.5,0.015,1.042,0,,,,0,0
01/11/2015,02:05:00,415.7,413,416.9,0.016,1.079,0,,,,0,0
01/11/2015,02:15:00,416.5,413.9,417.6,0.026,1.074,0,,,,0,0
01/11/2015,02:25:00,416,413.4,416.9,0.031,1.061,0,,,,0,0
01/11/2015,02:35:00,414.5,412,415.5,0.018,1.061,0,,,,0,0
01/11/2015,02:45:00,414.3,411.8,415.3,0.014,1.065,0,,,,0,0
01/11/2015,02:55:00,414.9,412.3,416,0.015,1.043,0,,,,0,0
01/11/2015,03:05:00,415,412.3,416.2,0.021,1.055,0,,,,0,0
01/11/2015,03:15:00,415.5,413,416.7,0.02,1.052,0,,,,0,0
01/11/2015,03:25:00,415.2,412.8,416.5,0.024,1.038,0,,,,0,0
01/11/2015,03:35:00,415.1,412.5,416.2,0.018,1.039,0,,,,0,0
01/11/2015,03:45:00,414.7,412.1,415.8,0.017,1.025,0,,,,0,0
01/11/2015,03:55:00,415.3,412.6,416.4,0.025,1.057,0,,,,0,0
01/11/2015,04:05:00,415.7,413.1,416.8,0.028,1.06,0,,,,0,0
01/11/2015,04:15:00,415.9,413.4,416.9,0.02,1.059,0,,,,0,0
01/11/2015,04:25:00,415.4,413.1,416.6,0.01,1.089,0,,,,0,0
01/11/2015,04:35:00,415,412.7,416.3,0.011,1.081,0,,,,0,0
01/11/2015,04:45:00,414.9,412.5,416.3,0.018,1.072,0,,,,0,0
01/11/2015,04:55:00,415.3,412.8,416.5,0.012,1.076,0,,,,0,0
01/11/2015,05:05:00,415.8,413.3,416.9,0.023,1.054,0,,,,0,0
01/11/2015,05:15:00,415.6,413,416.7,0.03,1.051,0,,,,0,0
01/11/2015,05:25:00,415.7,413,416.7,0.021,1.055,0,,,,0,0
01/11/2015,05:35:00,415.5,412.9,416.7,0.024,1.059,0,,,,0,0
01/11/2015,05:45:00,415.4,412.8,416.6,0.029,1.06,0,,,,0,0
01/11/2015,05:55:00,415.6,413,416.7,0.024,1.055,0,,,,0,0
01/11/2015,06:05:00,416.5,413.8,417.6,0.024,1.075,0,,,,0,0
01/11/2015,06:15:00,416.3,413.8,417.3,0.031,1.041,0,,,,0,0
01/11/2015,06:25:00,416.1,413.5,417.3,0.029,1.062,0,,,,0,0
01/11/2015,06:35:00,416.2,413.7,417.4,0.023,1.074,0,,,,0,0
01/11/2015,06:45:00,416.2,413.7,417.3,0.03,1.069,0,,,,0,0
01/11/2015,06:55:00,416.2,413.7,417.3,0.016,1.08,0,,,,0,0
