Feha de la Medda,Hora de la Medda,FASE AB,FASE BC,FASE AC,FASE A,FASE B,FASE  C,NEUTRO,POTENA ATVA AB [W],POTENA ATVA B [W],POTENA ATVA  [W],
02/10/2015,10:55:00,418.6,419.1,421,7.732,8.846,8.762,,,,5844,5.844
02/10/2015,11:05:00,419.5,418.5,420.3,7.722,8.805,8.712,,,,5830,5.83
02/10/2015,11:15:00,419.4,418.6,420.3,7.345,8.414,8.322,,,,5547,5.547
02/10/2015,11:25:00,419.3,418.9,420.5,7.346,8.409,8.34,,,,5552,5.552
02/10/2015,11:35:00,418.9,418.3,419.9,7.393,8.44,8.355,,,,5568,5.568
02/10/2015,11:45:00,419,418.4,420.1,7.233,8.284,8.216,,,,5457,5.457
02/10/2015,11:55:00,420.1,419.8,421.3,7.112,8.158,8.104,,,,5382,5.382
02/10/2015,12:05:00,421.3,421,422.6,7.14,8.235,8.158,,,,5430,5.43
02/10/2015,12:15:00,421.7,421,422.9,7.23,8.364,8.214,,,,5496,5.496
02/10/2015,12:25:00,421.1,420.8,422.7,7.3,8.456,8.327,,,,5558,5.558
02/10/2015,12:35:00,421.3,420.6,422.6,7.609,8.776,8.605,,,,5779,5.779
02/10/2015,12:45:00,421.3,420.6,422.5,7.354,8.476,8.346,,,,5582,5.582
02/10/2015,12:55:00,421.6,420.6,422.3,7.357,8.437,8.327,,,,5574,5.574
02/10/2015,13:05:00,422.1,421.3,423.1,7.577,8.622,8.549,,,,5739,5.739
02/10/2015,13:15:00,422.9,422,423.8,7.842,8.933,8.845,,,,5959,5.959
02/10/2015,13:25:00,422.5,421.8,423.6,7.757,8.873,8.768,,,,5900,5.9
02/10/2015,13:35:00,422.8,422.1,423.8,7.589,8.68,8.574,,,,5769,5.769
02/10/2015,13:45:00,423.5,422.9,424.7,7.697,8.759,8.687,,,,5854,5.854
02/10/2015,13:55:00,421.8,421.3,422.7,7.576,8.528,8.538,,,,5721,5.721
02/10/2015,14:05:00,420.7,421,421.7,7.521,8.446,8.487,,,,5667,5.667
02/10/2015,14:15:00,421.4,421.5,422.5,7.559,8.523,8.538,,,,5712,5.712
02/10/2015,14:25:00,421.7,421.1,422.6,7.583,8.525,8.533,,,,5720,5.72
02/10/2015,14:35:00,422.3,421.9,423.2,7.517,8.421,8.456,,,,5669,5.669
02/10/2015,14:45:00,422.2,421.9,423.2,7.399,8.331,8.347,,,,5588,5.588
02/10/2015,14:55:00,421.5,421.2,422.5,7.535,8.446,8.483,,,,5678,5.678
02/10/2015,15:05:00,421.3,420.8,422.2,7.487,8.441,8.444,,,,5648,5.648
02/10/2015,15:15:00,421,420.8,422,7.464,8.375,8.418,,,,5622,5.622
02/10/2015,15:25:00,421,420.6,421.9,7.485,8.404,8.434,,,,5635,5.635
