Feha de la Medda,Hora de la Medda,FASE AB,FASE BC,FASE AC,FASE A,FASE B,FASE  C,NEUTRO,POTENA ATVA AB [W],POTENA ATVA B [W],POTENA ATVA  [W],
01/09/2015,14:10:00,410.5,410.3,412.7,2.835,0,1.37,,,,1950,1.95
01/09/2015,14:15:00,408.9,408.9,411.3,2.006,0,0,,,,623.8,0.6238
01/09/2015,14:20:00,410.4,410,412.6,2.393,0,0.882,,,,1356,1.356
01/09/2015,14:25:00,410.1,409.7,412,2.016,0,0,,,,618.9,0.6189
01/09/2015,14:30:00,409.5,408.7,411.7,1.949,0,0,,,,575.9,0.5759
01/09/2015,14:35:00,409.8,409.2,412,1.955,0,0,,,,598.3,0.5983
01/09/2015,14:40:00,410,409.3,412.2,1.999,0.001,0.315,,,,730.9,0.7309
01/09/2015,14:45:00,409.7,408.9,411.8,1.936,0,0,,,,560.6,0.5606
01/09/2015,14:50:00,410.1,409.4,412.1,1.928,0,0,,,,559,0.559
01/09/2015,14:55:00,409.8,409.1,411.9,1.926,0,0,,,,574.5,0.5745
01/09/2015,15:00:00,409.9,409.1,412.1,1.931,0,0,,,,588.3,0.5883
01/09/2015,15:05:00,410.1,409.2,412.2,1.854,0,0,,,,553.4,0.5534
01/09/2015,15:10:00,410.7,409.9,412.7,1.923,0,0,,,,591.7,0.5917
01/09/2015,15:15:00,410.3,409.9,412.6,1.963,0,0,,,,607.1,0.6071
01/09/2015,15:20:00,410.2,409.6,412.4,1.901,0,0,,,,590,0.59
01/09/2015,15:25:00,410.5,409.7,412.4,1.917,0,0,,,,585.1,0.5851
01/09/2015,15:30:00,410.9,410.3,412.7,1.99,0,0,,,,606.6,0.6066
01/09/2015,15:35:00,410,409.5,412.4,1.923,0,0,,,,606.4,0.6064
01/09/2015,15:40:00,410.2,409.7,412.7,1.906,0,0,,,,602.1,0.6021
01/09/2015,15:45:00,410.2,410,412.8,1.97,0,0,,,,639.8,0.6398
01/09/2015,15:50:00,410.7,410.5,413.1,1.952,0,0,,,,628.8,0.6288
01/09/2015,15:55:00,410.5,410.1,413.2,1.928,0,0,,,,617,0.617
01/09/2015,16:00:00,410.7,410.2,413.5,1.892,0,0,,,,593.3,0.5933
01/09/2015,16:05:00,411.3,410.9,413.8,1.958,0,0,,,,623,0.623
01/09/2015,16:10:00,411,410.6,414,1.903,0,0,,,,608.1,0.6081
01/09/2015,16:15:00,411,410.3,413.6,1.879,0,0,,,,590.8,0.5908
01/09/2015,16:20:00,411.4,410.8,414,1.883,0,0,,,,588.8,0.5888
01/09/2015,16:25:00,411.6,410.9,413.5,1.953,0,0,,,,603.8,0.6038
01/09/2015,16:30:00,411.6,411.2,414.1,1.934,0,0,,,,610.6,0.6106
01/09/2015,16:35:00,411.4,411,414,1.947,0,0,,,,620.5,0.6205
01/09/2015,16:40:00,411.6,411.2,414.4,1.918,0,0,,,,610.4,0.6104
01/09/2015,16:45:00,411.5,411.2,414.2,1.907,0,0,,,,611.3,0.6113
01/09/2015,16:50:00,412,411.5,414.5,1.891,0,0,,,,602.9,0.6029
01/09/2015,16:55:00,411.8,411.2,414.4,1.911,0,0,,,,608.1,0.6081
01/09/2015,17:00:00,411.5,411.3,414.3,1.935,0,0,,,,622.7,0.6227
01/09/2015,17:05:00,411.4,411.5,414.3,2.006,0,0.017,,,,664,0.664
01/09/2015,17:10:00,411.8,411.7,414.6,1.906,0,0.147,,,,679,0.679
01/09/2015,17:15:00,412.3,411.7,414.7,1.829,0,0.168,,,,645.5,0.6455
01/09/2015,17:20:00,411.9,411.1,414.6,1.841,0,0,,,,591.7,0.5917
01/09/2015,17:25:00,411.7,411,414.3,1.802,0,0,,,,570.9,0.5709
01/09/2015,17:30:00,412,411.2,414.7,1.827,0,0,,,,579.8,0.5798
01/09/2015,17:35:00,412.2,411.5,414.9,1.859,0,0,,,,591.5,0.5915
01/09/2015,17:40:00,412.4,412.2,415.2,1.894,0,0,,,,607.9,0.6079
01/09/2015,17:45:00,413.1,412.5,416,1.885,0,0,,,,600.2,0.6002
01/09/2015,17:50:00,413.2,412.8,416.2,1.912,0,0,,,,604.6,0.6046
01/09/2015,17:55:00,411.4,411,414.2,1.84,0,0.129,,,,640.8,0.6408
01/09/2015,18:00:00,411,410.9,414,1.909,0,0,,,,620.6,0.6206
01/09/2015,18:05:00,411.9,411.5,414.6,1.913,0,0,,,,609.2,0.6092
01/09/2015,18:10:00,411.9,411.9,414.8,1.995,0,0.009,,,,645.9,0.6459
01/09/2015,18:15:00,411.8,411.9,414.8,2.253,0,0.009,,,,755.4,0.7554
01/09/2015,18:20:00,412,412.3,415,2.283,0,0.002,,,,764.9,0.7649
01/09/2015,18:25:00,412.1,412.5,415.1,2.278,0,0.026,,,,771.9,0.7719
01/09/2015,18:30:00,412.4,412.7,415,1.928,0,0.246,,,,719.2,0.7192
01/09/2015,18:35:00,412.7,412.9,415.6,2.037,0,0,,,,648.8,0.6488
01/09/2015,18:40:00,411,411.2,414,1.972,0,0,,,,626.9,0.6269
01/09/2015,18:45:00,410.8,410.8,413.4,1.954,0,0,,,,618.4,0.6184
01/09/2015,18:50:00,410.7,410.8,413.5,1.959,0,0,,,,622.7,0.6227
01/09/2015,18:55:00,411.1,411.3,413.8,2.007,0,0,,,,638.3,0.6383
01/09/2015,19:00:00,411.1,411.1,413.8,2.014,0,0,,,,638,0.638
01/09/2015,19:05:00,411.4,411.2,413.9,2,0,0,,,,635.1,0.6351
01/09/2015,19:10:00,411.2,410.9,413.8,1.981,0,0,,,,622.6,0.6226
01/09/2015,19:15:00,411.3,410.8,413.9,1.934,0,0,,,,605.8,0.6058
01/09/2015,19:20:00,412.1,410.5,413.8,1.845,0,0,,,,563.4,0.5634
01/09/2015,19:25:00,411.5,409.8,413.2,1.885,0,0,,,,572.8,0.5728
01/09/2015,19:30:00,411.1,409.4,412.7,1.879,0,0,,,,557.1,0.5571
01/09/2015,19:35:00,410.6,408.9,412.2,1.884,0,0,,,,560.2,0.5602
01/09/2015,19:40:00,409.8,407.9,411.4,1.847,0,0,,,,544.3,0.5443
01/09/2015,19:45:00,410.2,408.3,412.1,1.879,0,0,,,,547,0.547
01/09/2015,19:50:00,410.1,407.8,411.5,1.887,0,0,,,,556.9,0.5569
01/09/2015,19:55:00,411.2,408.8,412.9,1.831,0,0,,,,540.7,0.5407
01/09/2015,20:00:00,412.8,410.2,414.4,1.839,0,0,,,,554.3,0.5543
01/09/2015,20:05:00,412.9,410.6,414.6,1.888,0,0,,,,563.7,0.5637
01/09/2015,20:10:00,414,411.4,415.2,1.893,0,0,,,,563.8,0.5638
01/09/2015,20:15:00,413.6,411.5,415.4,1.932,0,0,,,,583.1,0.5831
01/09/2015,20:20:00,413.7,411.4,415,1.924,0,0,,,,565.8,0.5658
01/09/2015,20:25:00,414.3,412,415.8,1.891,0,0,,,,560.6,0.5606
