Fecha de la Medida,Hora de la Medida,FASE AB,FASE BC,FASE AC,FASE A,FASE B,FASE  C,NEUTRO,POTENA ATVA AB [W],POTENA ATVA B [W],POTENCIA ACTIVA  [W]
08/04/2016,13:30:00,415.1,414.4,417.2,5.037,4.201,3.813,,,,3275
08/04/2016,13:45:00,415.2,414.4,417.4,4.888,4.073,3.631,,,,3152
08/04/2016,14:00:00,415.6,414.6,417.4,4.572,3.737,3.348,,,,2939
08/04/2016,14:15:00,414.8,413.8,416.6,4.123,3.3,2.926,,,,2597
08/04/2016,14:30:00,414.7,414,416.9,4.068,3.276,2.863,,,,2588
08/04/2016,14:45:00,414.6,413.8,416.8,3.845,3.045,2.595,,,,2388
08/04/2016,15:00:00,409.9,409.5,413.1,1.287,0.028,0.244,,,,264.3
08/04/2016,15:15:00,408.1,407.6,411.7,1.283,0,0.099,,,,258.5
08/04/2016,15:30:00,410.8,410.3,413.3,1.304,0,0.273,,,,266.2
08/04/2016,15:45:00,410.5,410.2,413.3,1.331,0,0.674,,,,268.8
08/04/2016,16:00:00,411.5,410.7,414.3,1.337,0,0.638,,,,281.8
08/04/2016,16:15:00,411.6,410.8,414.5,1.306,0.017,0.665,,,,281.9
08/04/2016,16:30:00,412.2,411.2,415.6,1.65,0.175,0.566,,,,662.8
08/04/2016,16:45:00,412.3,411.4,415.4,1.396,0.022,0.993,,,,218.3
08/04/2016,17:00:00,410.6,409.7,413.2,1.348,0,0.961,,,,283.7
08/04/2016,17:15:00,408.7,408,411.3,1.325,0,0.856,,,,285.4
08/04/2016,17:30:00,404.6,404.1,409.1,1.325,0,0.777,,,,273.5
08/04/2016,17:45:00,397.1,396.8,412.5,1.324,0,0.786,,,,249.5
08/04/2016,18:00:00,391.5,391.4,413.4,1.3,0,0.217,,,,241.8
08/04/2016,18:15:00,408.7,408.4,414,1.316,0,0.319,,,,261.5
08/04/2016,18:30:00,411.7,411.1,414,1.277,0,0.047,,,,279.9
08/04/2016,18:45:00,411.9,411.5,414.5,1.295,0,0.058,,,,270.2
08/04/2016,19:00:00,413.2,412.8,416,1.305,0,0.068,,,,259.6
08/04/2016,19:15:00,411.9,411.7,414.6,1.281,0,0.037,,,,252
08/04/2016,19:30:00,411.9,411.2,414.6,1.278,0,0.043,,,,256
08/04/2016,19:45:00,411.6,410.3,414.2,1.25,0,0.011,,,,258.2
08/04/2016,20:00:00,411.1,409.6,413.6,1.262,0,0.032,,,,262.1
08/04/2016,20:15:00,411.3,409.4,413.6,1.258,0,0.022,,,,274.8
08/04/2016,20:30:00,411.9,409.9,414.4,1.273,0,0.05,,,,276.3
08/04/2016,20:45:00,412.6,410.6,415.3,1.29,0,0.213,,,,279.3
08/04/2016,21:00:00,412,410,414.6,1.272,0,0.146,,,,273.1
08/04/2016,21:15:00,412.1,410.1,414.6,1.226,0,0.001,,,,268.1
08/04/2016,21:30:00,412.7,410.8,415.2,1.244,0,0.012,,,,272.6
08/04/2016,21:45:00,412.9,411.1,415.5,1.245,0,0.006,,,,273.4
08/04/2016,22:00:00,413.4,411.5,415.7,1.268,0,0.054,,,,274.2
08/04/2016,22:15:00,413,411.2,415.6,1.263,0,0.015,,,,274.5
08/04/2016,22:30:00,413.3,411.4,415.5,1.248,0,0.027,,,,269.3
08/04/2016,22:45:00,414,412.2,416.3,1.24,0,0.041,,,,266.1
08/04/2016,23:00:00,415,413.1,417.1,1.234,0,0.014,,,,268.9
08/04/2016,23:15:00,414.6,412.8,416.6,1.194,0,0.002,,,,263.3
08/04/2016,23:30:00,411.5,409.9,414,1.197,0,0.008,,,,259
08/04/2016,23:45:00,411.9,410.2,414.2,1.197,0,0.01,,,,260.7
09/04/2016,00:00:00,412.5,410.9,414.8,1.214,0,0.023,,,,266.8
09/04/2016,00:15:00,413.3,411.8,415.6,1.219,0,0.023,,,,262.6
09/04/2016,00:30:00,413.2,411.7,415.3,1.221,0,0.026,,,,264.1
09/04/2016,00:45:00,413.2,411.8,415.4,1.218,0,0.031,,,,266.8
09/04/2016,01:00:00,414.2,412.6,416.3,1.227,0,0.044,,,,273
09/04/2016,01:15:00,414.2,412.6,416.1,1.214,0,0.014,,,,263.5
09/04/2016,01:30:00,413.7,412.2,415.6,1.209,0,0.021,,,,262.3
09/04/2016,01:45:00,413.9,412.4,415.8,1.214,0,0.031,,,,264.6
09/04/2016,02:00:00,414.2,412.7,416.1,1.227,0,0.07,,,,268.3
09/04/2016,02:15:00,414.4,413.1,416.5,1.228,0,0.104,,,,267.3
09/04/2016,02:30:00,414.8,413.5,417,1.229,0,0.077,,,,268.6
09/04/2016,02:45:00,415.5,414.1,417.5,1.225,0,0.031,,,,272
09/04/2016,03:00:00,415.5,414.2,417.6,1.233,0,0.105,,,,272.5
09/04/2016,03:15:00,415.5,414.1,417.6,1.234,0,0.104,,,,274.1
09/04/2016,03:30:00,415.5,414.1,417.5,1.222,0,0.052,,,,268.4
09/04/2016,03:45:00,415.4,414.1,417.5,1.227,0,0.103,,,,265
09/04/2016,04:00:00,415.3,413.9,417.3,1.237,0,0.249,,,,269.1
