Fecha de la Medida,Hora de la Medida,FASE AB,FASE BC,FASE AC,FASE A,FASE B,FASE C,POTENA ATVA AB [W],POTENA ATVA B [W],POTENCIA ACTIVA  [W],,GENERACION [kWh]
01/12/2016,00:00:00,414.9,413.7,416.6,0.406,1.143,0.151,,,335.1,0.26813,763419.4
01/12/2016,00:15:00,412.5,411.5,414.3,0.368,1.122,0.112,,,335,0.26803,763784.6
01/12/2016,00:30:00,413.3,412.4,415,0.407,1.125,0.093,,,356.4,0.28943,764156.9
01/12/2016,00:45:00,413.3,412.3,415,0.376,1.106,0.13,,,331.4,0.26443,764528.6
01/12/2016,01:00:00,413.4,412.5,415.2,0.406,1.108,0.103,,,354.2,0.28723,764856.6
01/12/2016,01:15:00,413.5,412.7,415.2,0.41,1.136,0.114,,,351,0.28403,765156.1
01/12/2016,01:30:00,413.4,412.4,415.1,0.372,1.133,0.134,,,330.1,0.26313,765504.9
01/12/2016,01:45:00,411.9,411,413.5,0.358,1.112,0.098,,,338.3,0.27133,765867.9
01/12/2016,02:00:00,412.1,411.2,413.6,0.345,1.154,0.121,,,323.7,0.25673,765868.5
01/12/2016,02:15:00,412.2,411.5,414.1,0.358,1.146,0.114,,,330.9,0.26393,765868.5
01/12/2016,02:30:00,411.9,411.3,413.9,0.353,1.133,0.112,,,329.8,0.26283,765868.5
01/12/2016,02:45:00,412.4,411.6,414.2,0.362,1.137,0.119,,,331.1,0.26413,765889.9
01/12/2016,03:00:00,412.1,411.4,413.7,0.387,1.104,0.08,,,356,0.28903,765892.8
01/12/2016,03:15:00,414.6,413.8,416.2,0.421,1.125,0.129,,,349.4,0.28243,765893.6
01/12/2016,03:30:00,414.8,414.1,416.6,0.416,1.153,0.148,,,340,0.27303,765893.6
01/12/2016,03:45:00,415.3,414.6,417,0.423,1.112,0.146,,,342,0.27503,765893.6
01/12/2016,04:00:00,414.6,413.8,416.2,0.394,1.133,0.155,,,328.3,0.26133,765893.6
01/12/2016,04:15:00,414.4,413.6,416.1,0.414,1.127,0.131,,,345.4,0.27843,765893.6
01/12/2016,04:30:00,414.4,413.8,416.2,0.405,1.16,0.141,,,339.9,0.27293,765893.6
01/12/2016,04:45:00,414.1,413,415.6,0.348,1.196,0.191,,,299.7,0.23273,765893.6
01/12/2016,05:00:00,413.5,412.6,415.2,0.391,1.136,0.126,,,340,0.27303,765893.6
01/12/2016,05:15:00,414.1,413.1,415.9,0.37,1.173,0.167,,,316.2,0.24923,765893.6
01/12/2016,05:30:00,414.3,413.4,416.1,0.377,1.184,0.152,,,323.9,0.25693,765893.6
01/12/2016,05:45:00,413.1,412.2,415,0.36,1.163,0.14,,,321.5,0.25453,765893.6
01/12/2016,06:00:00,411.5,410.5,413.5,0.317,1.185,0.147,,,302.7,0.23573,765893.6
01/12/2016,06:15:00,411.6,410.6,413.8,0.317,1.19,0.143,,,304.5,0.23753,765904.4
01/12/2016,06:30:00,413.1,412.1,415.3,0.341,1.199,0.176,,,300.2,0.23323,765944.7
01/12/2016,06:45:00,414,413.5,416.2,0.387,1.254,0.167,,,322.4,0.25543,765990.9
01/12/2016,07:00:00,413.2,412.4,414.9,0.35,1.202,0.16,,,311.3,0.24433,766027
01/12/2016,07:15:00,411.4,410.9,414.2,0.324,1.099,0.156,,,300.1,0.23313,766192.7
01/12/2016,07:30:00,411.8,411.1,414.7,0.422,0.934,0.342,,,262.4,0.19543,766394.2
01/12/2016,07:45:00,416.1,414.6,417.4,1.961,1.937,2.171,,,278.5,0.21153,766419.8
01/12/2016,08:00:00,419.3,418,420.3,4.479,4.731,4.843,,,326.7,0.25973,766505.6
01/12/2016,08:15:00,421.7,420.4,422.6,6.321,6.603,6.868,,,285.2,0.21823,766621.9
01/12/2016,08:30:00,422.1,421.1,423.4,7.782,8.115,8.391,,,284.8,0.21783,766693.5
