Fecha de la Medida,Hora de la Medida,FASE AB,FASE BC,FASE AC,FASE A,FASE B,FASE  C,NEUTRO,POTENA ATVA AB [W],POTENA ATVA B [W],POTENCIA ACTIVA  [W],
13/05/2016,16:30:00,411.1,410.2,413.8,4.141,0.283,0.327,,,,1729,449
13/05/2016,16:45:00,411.7,410.8,414.3,3.927,0.185,0,,,,1424,144
13/05/2016,17:00:00,412.3,411.3,414.7,3.974,0.163,0,,,,1431,151
13/05/2016,17:15:00,412.8,411.9,415.4,4.012,0.261,0,,,,1455,175
13/05/2016,17:30:00,413.3,412.5,416.1,4.038,0.345,0,,,,1473,193
13/05/2016,17:45:00,409.6,408.7,414.8,4.427,0.396,0.722,,,,1916,636
13/05/2016,18:00:00,409,408.3,415.1,4.297,0.119,0.455,,,,1746,466
13/05/2016,18:15:00,403.9,403.3,416,4.161,0.142,0,,,,1464,184
13/05/2016,18:30:00,404.2,403.7,415.7,4.242,0.118,0,,,,1502,222
13/05/2016,18:45:00,409.9,409.4,415.1,4.294,0.084,0.35,,,,1704,424
13/05/2016,19:00:00,405,404.2,411.9,4.206,0.2,0,,,,1492,212
13/05/2016,19:15:00,404.8,403.8,409.8,4.285,0.216,0,,,,1511,231
13/05/2016,19:30:00,414.9,414.2,417.9,4.391,0.18,0,,,,1619,339
13/05/2016,19:45:00,416.7,415.6,419.2,4.489,0.201,0,,,,1651,371
13/05/2016,20:00:00,414.2,412.9,416.8,4.415,0.194,0,,,,1620,340
13/05/2016,20:15:00,410.2,408.7,412.8,4.334,0.006,0,,,,1571,291
13/05/2016,20:30:00,410.6,409.1,413.2,4.299,0.018,0,,,,1562,282
13/05/2016,20:45:00,411.6,410,414.2,4.278,0.037,0,,,,1550,270
13/05/2016,21:00:00,412.7,411.1,415.2,4.342,0.062,0,,,,1561,281
13/05/2016,21:15:00,413,411.2,415.5,4.315,0.098,0,,,,1555,275
13/05/2016,21:30:00,414.2,412.4,416.7,4.392,0.157,0,,,,1594,314
13/05/2016,21:45:00,414.5,412.7,417,4.37,0.234,0,,,,1584,304
13/05/2016,22:00:00,414,412.1,416.4,4.373,0.168,0,,,,1589,309
13/05/2016,22:15:00,413.9,411.7,416.2,4.279,0.26,0,,,,1544,264
13/05/2016,22:30:00,414,412,416.4,4.284,0.242,0,,,,1545,265
13/05/2016,22:45:00,414.7,412.7,416.9,4.352,0.245,0,,,,1567,287
13/05/2016,23:00:00,415.9,413.6,417.8,4.321,0.508,0,,,,1544,264
13/05/2016,23:15:00,417.4,415.3,419.1,4.404,0.71,0,,,,1583,303
13/05/2016,23:30:00,416.8,414.8,418.3,4.416,0.48,0,,,,1593,313
13/05/2016,23:45:00,417.8,415.8,419.3,4.469,0.654,0,,,,1625,345
14/05/2016,00:00:00,416.8,415,418.4,4.45,0.489,0,,,,1613,333
14/05/2016,00:15:00,416.4,414.6,418,4.418,0.465,0,,,,1597,317
14/05/2016,00:30:00,416.3,414.6,418.1,4.279,0.899,0,,,,1549,269
14/05/2016,00:45:00,417.8,415.8,419.2,4.331,0.995,0,,,,1565,285
14/05/2016,01:00:00,417.8,415.9,419.3,4.349,1.003,0,,,,1577,297
14/05/2016,01:15:00,416,414.2,417.6,4.284,0.825,0,,,,1547,267
14/05/2016,01:30:00,416.1,414.4,417.8,4.284,0.855,0,,,,1548,268
14/05/2016,01:45:00,416,414.2,417.7,4.291,0.859,0,,,,1548,268
14/05/2016,02:00:00,416.5,414.6,418,4.31,0.89,0,,,,1556,276
14/05/2016,02:15:00,417,415.1,418.6,4.341,0.928,0,,,,1567,287
14/05/2016,02:30:00,415.9,413.9,417.4,4.267,0.78,0,,,,1539,259
14/05/2016,02:45:00,414.9,412.9,416.4,4.218,0.672,0,,,,1512,232
14/05/2016,03:00:00,415.6,413.6,417.1,4.288,0.722,0,,,,1548,268
14/05/2016,03:15:00,415.7,413.7,417,4.31,0.656,0,,,,1556,276
14/05/2016,03:30:00,415.7,413.7,417,4.31,0.69,0,,,,1561,281
14/05/2016,03:45:00,415.9,413.9,417.2,4.313,0.779,0,,,,1552,272
14/05/2016,04:00:00,415.5,413.5,416.8,4.284,0.708,0,,,,1540,260
14/05/2016,04:15:00,415.6,413.6,416.9,4.307,0.662,0,,,,1555,275
14/05/2016,04:30:00,415.4,413.3,416.7,4.32,0.623,0,,,,1560,280
14/05/2016,04:45:00,415.6,413.6,416.9,4.313,0.695,0,,,,1559,279
14/05/2016,05:00:00,415.6,413.6,417,4.313,0.733,0,,,,1555,275
14/05/2016,05:15:00,414.6,412.5,415.8,4.284,0.608,0,,,,1542,262
14/05/2016,05:30:00,414.9,412.9,416.1,4.313,0.513,0,,,,1552,272
14/05/2016,05:45:00,415.3,413.3,416.5,4.326,0.646,0,,,,1565,285
14/05/2016,06:00:00,415.9,413.9,417.1,4.381,0.711,0,,,,1582,302
14/05/2016,06:15:00,415,412.9,416.4,4.274,0.694,0,,,,1538,258
14/05/2016,06:30:00,414.5,412.5,416,4.317,0.445,0,,,,1554,274
14/05/2016,06:45:00,414.8,413,416.1,4.374,0.498,0,,,,1581,301
14/05/2016,07:00:00,414.6,412.9,416,4.351,0.545,0,,,,1573,293
14/05/2016,07:15:00,415.3,413.7,416.6,4.426,0.454,0,,,,1577,297
14/05/2016,07:30:00,413.8,412.5,415.4,4.367,0.328,0,,,,1553,273
