Fecha de la Medida,Hora de la Medida,FASE AB,FASE BC,FASE AC,FASE A,FASE B,FASE  C,NEUTRO,POTENA ATVA AB [W],POTENA ATVA B [W],POTENCIA ACTIVA  [W],
03/08/2016,17:15:00,411.1,409.4,413.8,2.066,1.619,2.307,,,,1702,1.702
03/08/2016,17:30:00,412.1,410.4,413.5,1.727,1.017,1.824,,,,1338,1.338
03/08/2016,17:45:00,411.5,409.9,414,1.676,1.171,1.84,,,,1331,1.331
03/08/2016,18:00:00,411.9,410.6,414.4,1.089,0.131,1.154,,,,736.1,0.7361
03/08/2016,18:15:00,410.7,409.2,415.1,1.076,0,1.082,,,,706.6,0.7066
03/08/2016,18:30:00,407.1,405.8,415.6,1.064,0,1.063,,,,683.9,0.6839
03/08/2016,18:45:00,412,410.7,416.2,1.073,0,1.071,,,,705.8,0.7058
03/08/2016,19:00:00,412.5,411,413.5,1.016,0,1.057,,,,692,0.692
03/08/2016,19:15:00,411.5,410.1,412.8,1.022,0,1.054,,,,693.5,0.6935
03/08/2016,19:30:00,411.5,409.9,412.9,1.072,0,1.087,,,,718.7,0.7187
03/08/2016,19:45:00,411.9,410.3,413.3,1.068,0,1.079,,,,715.5,0.7155
03/08/2016,20:00:00,411.7,410.2,413.7,1.086,0,1.097,,,,730.1,0.7301
03/08/2016,20:15:00,411.1,409.3,413.1,1.084,0,1.099,,,,728.9,0.7289
03/08/2016,20:30:00,410.8,409.2,412.9,1.07,0,1.076,,,,715.9,0.7159
03/08/2016,20:45:00,411.8,410.3,413.8,1.067,0,1.067,,,,714.9,0.7149
03/08/2016,21:00:00,413.1,411.6,415.1,1.076,0,1.076,,,,723.7,0.7237
03/08/2016,21:15:00,414.4,413,416.1,1.067,0,1.057,,,,715.6,0.7156
03/08/2016,21:30:00,415.1,413.7,416.8,1.083,0,1.073,,,,728.7,0.7287
03/08/2016,21:45:00,414.9,413.3,416.6,1.08,0,1.076,,,,729.4,0.7294
03/08/2016,22:00:00,412.7,411.4,414.6,1.056,0,1.059,,,,710.9,0.7109
03/08/2016,22:15:00,413.5,412.3,415.2,1.064,0,1.069,,,,719.2,0.7192
03/08/2016,22:30:00,414.1,412.5,415.7,1.077,0,1.09,,,,732.6,0.7326
03/08/2016,22:45:00,415,413.6,416.5,1.073,0,1.09,,,,730.8,0.7308
03/08/2016,23:00:00,415.4,413.9,416.7,1.065,0,1.087,,,,729.5,0.7295
03/08/2016,23:15:00,414.2,412.8,415.8,1.065,0,1.093,,,,731.4,0.7314
03/08/2016,23:30:00,414.7,413.4,416.3,1.049,0,1.071,,,,718,0.718
03/08/2016,23:45:00,415.5,414.3,416.9,1.063,0,1.08,,,,728,0.728
04/08/2016,00:00:00,416.3,415.2,417.6,1.075,0,1.096,,,,740.5,0.7405
04/08/2016,00:15:00,417.3,416.2,418.5,1.076,0,1.095,,,,742.4,0.7424
04/08/2016,00:30:00,418,417,419.2,1.072,0,1.092,,,,740.5,0.7405
04/08/2016,00:45:00,416.7,415.5,417.7,1.074,0,1.095,,,,739.3,0.7393
04/08/2016,01:00:00,417,416,418.2,1.072,0,1.089,,,,736.5,0.7365
04/08/2016,01:15:00,417.3,416.2,418.4,1.061,0,1.084,,,,732.5,0.7325
04/08/2016,01:30:00,417.6,416.5,418.8,1.079,0.001,1.101,,,,746.8,0.7468
04/08/2016,01:45:00,417.7,416.7,418.7,1.068,0,1.088,,,,738.5,0.7385
04/08/2016,02:00:00,417.8,416.9,418.9,1.076,0,1.097,,,,745.7,0.7457
04/08/2016,02:15:00,418.4,417.3,419.4,1.086,0,1.111,,,,756.7,0.7567
04/08/2016,02:30:00,418.4,417.3,419.6,1.075,0,1.097,,,,746.6,0.7466
04/08/2016,02:45:00,418.5,417.5,419.7,1.07,0,1.091,,,,741,0.741
04/08/2016,03:00:00,418.1,416.9,419.4,1.081,0.002,1.113,,,,753.6,0.7536
04/08/2016,03:15:00,418.5,417.3,419.7,1.064,0,1.092,,,,740.2,0.7402
04/08/2016,03:30:00,418.1,417,419.4,1.069,0.003,1.105,,,,748.9,0.7489
04/08/2016,03:45:00,418.3,417.2,419.6,1.08,0.002,1.12,,,,760.2,0.7602
04/08/2016,04:00:00,418,416.9,419.4,1.067,0.001,1.105,,,,747.7,0.7477
04/08/2016,04:15:00,418.2,417.1,419.6,1.079,0.006,1.118,,,,757.2,0.7572
04/08/2016,04:30:00,417.6,416.5,419,1.058,0,1.095,,,,739.3,0.7393
04/08/2016,04:45:00,417.7,416.5,419.1,1.065,0.001,1.097,,,,743.9,0.7439
04/08/2016,05:00:00,416.9,415.8,418.6,1.056,0.001,1.097,,,,739.3,0.7393
04/08/2016,05:15:00,416.4,415.2,417.9,1.048,0,1.085,,,,732.3,0.7323
04/08/2016,05:30:00,416.1,415.1,417.7,1.062,0,1.093,,,,741.1,0.7411
04/08/2016,05:45:00,416,414.9,417.6,1.055,0.011,1.097,,,,741.5,0.7415
04/08/2016,06:00:00,414.6,413.6,416.5,0.988,0,1.064,,,,702.9,0.7029
