Fecha de la Medida,Hora de la Medida,FASE AB,FASE BC,FASE AC,FASE A,FASE B,FASE  C,NEUTRO,POTENA ATVA AB [W],POTENA ATVA B [W],POTENCIA ACTIVA  [W],
10/10/2016,11:45:00,410.8,409.7,411.8,2.775,1.127,0,,,,1635,0.6761
10/10/2016,12:00:00,409.7,408.9,411,3.027,1.201,0,,,,1706,0.7471
10/10/2016,12:15:00,410,408.6,410.9,2.703,1.109,0,,,,1557,0.5981
10/10/2016,12:30:00,410.2,408.5,412,2.585,1.542,0.85,,,,1615,0.6561
10/10/2016,12:45:00,411.6,410.5,412.5,2.693,1.61,1.418,,,,1885,0.9261
10/10/2016,13:00:00,421.8,420.3,422.5,4.776,8.53,10.23,,,,2037,1.0781
10/10/2016,13:15:00,412.3,410.5,415,2.97,3.53,3.694,,,,1623,0.6641
10/10/2016,13:30:00,419.4,417.9,421,4.068,7.254,8.59,,,,1890,0.9311
10/10/2016,13:45:00,422.5,420.9,423.8,3.662,7.008,8.454,,,,1860,0.9011
10/10/2016,14:00:00,423.1,421.4,423.9,3.754,7.364,8.919,,,,1874,0.9151
10/10/2016,14:15:00,421.1,419.7,421.8,3.2,5.947,7.287,,,,1913,0.9541
10/10/2016,14:30:00,423.6,422,424.5,3.983,7.736,9.287,,,,1783,0.8241
10/10/2016,14:45:00,424.5,422.7,425.1,4.47,8.182,9.759,,,,1733,0.7741
10/10/2016,15:00:00,422.9,421,423.6,3.555,7.049,8.506,,,,1663,0.7041
10/10/2016,15:15:00,422.1,420.1,422.6,3.368,6.803,8.208,,,,1554,0.5951
10/10/2016,15:30:00,418.1,416.4,419.1,1.909,4.161,5.07,,,,1541,0.5821
10/10/2016,15:45:00,422,420.1,422.8,2.604,6.301,7.662,,,,1594,0.6351
10/10/2016,16:00:00,417.8,415.9,418.8,0.983,3.947,5.047,,,,1490,0.5311
10/10/2016,16:15:00,414.5,412.8,416,0.965,1.746,2.419,,,,1517,0.5581
10/10/2016,16:30:00,414.7,413.7,416.6,0.825,2.101,2.88,,,,1516,0.5571
10/10/2016,16:45:00,413.1,411.9,414.7,1.761,0.576,0.92,,,,1559,0.6001
10/10/2016,17:00:00,412.6,411.1,414.7,1.842,0.218,0.044,,,,1309,0.3501
10/10/2016,17:15:00,413,411.2,414,1.053,0.923,1.48,,,,1349,0.3901
10/10/2016,17:30:00,409.8,407.9,412.1,1.526,0.347,0.473,,,,1265,0.3061
10/10/2016,17:45:00,407.5,405.8,410.7,1.63,0.259,0.477,,,,1310,0.3511
10/10/2016,18:00:00,408.2,406.7,413,1.834,0.41,0.228,,,,1343,0.3841
10/10/2016,18:15:00,406.4,404.6,413.1,2.016,0.472,0,,,,1326,0.3671
10/10/2016,18:30:00,411.2,409.9,413.8,2.063,0.601,0,,,,1391,0.4321
10/10/2016,18:45:00,412.5,411,414.3,2.025,0.518,0,,,,1397,0.4381
10/10/2016,19:00:00,413.9,412.5,415,2.082,0.616,0,,,,1425,0.4661
10/10/2016,19:15:00,412.8,411.5,414.1,2.056,0.653,0,,,,1412,0.4531
10/10/2016,19:30:00,411.3,409.6,412.7,1.857,0.154,0,,,,1330,0.3711
10/10/2016,19:45:00,411.8,410.1,412.9,1.832,0.128,0,,,,1324,0.3651
10/10/2016,20:00:00,412.7,410.8,414.1,1.851,0.095,0,,,,1335,0.3761
10/10/2016,20:15:00,413.6,411.7,415.1,1.802,0.04,0,,,,1312,0.3531
10/10/2016,20:30:00,414.1,412.3,415.6,1.954,0.148,0,,,,1419,0.4601
10/10/2016,20:45:00,415,413.3,416.5,2.072,0.356,0,,,,1493,0.5341
10/10/2016,21:00:00,414,412.5,415.9,2.186,0.532,0,,,,1556,0.5971
10/10/2016,21:15:00,412.1,410.9,414.1,2.225,0.595,0,,,,1590,0.6311
10/10/2016,21:30:00,412.1,410.8,414,2.172,0.349,0,,,,1560,0.6011
10/10/2016,21:45:00,412.9,411.7,414.7,2.301,0.723,0,,,,1634,0.6751
10/10/2016,22:00:00,414.2,412.7,415.8,2.196,0.35,0,,,,1590,0.6311
