Fecha de la Medida,Hora de la Medida,FASE AB,FASE BC,FASE AC,FASE A,FASE B,FASE C,POTENA ATVA AB [W],POTENA ATVA B [W],POTENCIA ACTIVA  [W],,GENERACION [kWh]
06/09/2016,04:45:00 p. m.,410.8,408.6,412.8,0,1.421,1.145,,,1005,0.5513,723651.5
06/09/2016,05:00:00 p. m.,411.1,409,412,0,1.392,1.074,,,990.1,0.5364,723651.5
06/09/2016,05:15:00 p. m.,408.9,406.9,412.3,0.211,1.334,1.26,,,1129,0.6753,723651.5
06/09/2016,05:30:00 p. m.,409.3,407.3,412.9,0,1.471,1.178,,,1032,0.5783,723651.5
06/09/2016,05:45:00 p. m.,415,413.1,416.1,1.563,1.185,2.493,,,2147,1.6933,723651.5
06/09/2016,06:00:00 p. m.,417.5,415.7,418.4,3.81,2.096,4.246,,,3652,3.1983,723651.5
06/09/2016,06:15:00 p. m.,415.4,413.6,416.2,2.898,1.642,3.441,,,2989,2.5353,723651.5
06/09/2016,06:30:00 p. m.,413.2,411.5,414.3,0.382,0.849,1.413,,,1268,0.8143,723651.5
06/09/2016,06:45:00 p. m.,408.6,406.9,414.4,0.198,1.342,1.06,,,916.8,0.4631,723651.5
06/09/2016,07:00:00 p. m.,409.2,407.4,412.9,0,1.29,0.952,,,929.8,0.4761,723651.5
06/09/2016,07:15:00 p. m.,412.4,410.3,413.3,0,1.299,0.992,,,943.9,0.4902,723651.5
06/09/2016,07:30:00 p. m.,411.9,410,412.9,0,1.198,0.854,,,880.2,0.4265,723651.5
06/09/2016,07:45:00 p. m.,410.2,408.2,411.7,0,1.167,0.837,,,865.4,0.4117,723651.5
06/09/2016,08:00:00 p. m.,410.5,408.4,411.9,0,1.23,0.907,,,909.1,0.4554,723651.5
06/09/2016,08:15:00 p. m.,411,408.9,412.6,0,1.259,0.955,,,929.2,0.4755,723651.5
06/09/2016,08:30:00 p. m.,411.5,409.6,413.1,0,1.255,0.943,,,928.5,0.4748,723651.5
06/09/2016,08:45:00 p. m.,412.7,410.6,414,0,1.256,0.937,,,931.4,0.4777,723651.5
06/09/2016,09:00:00 p. m.,413.8,411.9,415.4,0,1.275,0.947,,,946.7,0.493,723651.5
06/09/2016,09:15:00 p. m.,413.7,412,415.4,0,1.286,0.975,,,958,0.5043,723651.5
06/09/2016,09:30:00 p. m.,413.5,411.7,415,0,1.29,1.012,,,968.2,0.5145,723651.5
06/09/2016,09:45:00 p. m.,413.7,411.9,415.2,0,1.304,1.037,,,982.6,0.5289,723651.5
06/09/2016,10:00:00 p. m.,414.3,412.5,415.8,0,1.301,1.02,,,982,0.5283,723651.5
06/09/2016,10:15:00 p. m.,414.9,413,416.2,0,1.348,1.104,,,1011,0.5573,723651.5
06/09/2016,10:30:00 p. m.,415.8,413.7,416.8,0,1.341,1.12,,,1008,0.5543,723651.5
06/09/2016,10:45:00 p. m.,416.2,414.1,417.1,0,1.338,1.117,,,1007,0.5533,723651.5
06/09/2016,11:00:00 p. m.,416.1,414.2,417.2,0,1.376,1.178,,,1035,0.5813,723651.5
06/09/2016,11:15:00 p. m.,414.6,412.5,415.5,0,1.329,1.11,,,1004,0.5503,723651.5
06/09/2016,11:30:00 p. m.,414.9,412.9,415.8,0,1.301,1.07,,,987.6,0.5339,723651.5
06/09/2016,11:45:00 p. m.,415.4,413.5,416.3,0,1.313,1.089,,,1000,0.5463,723651.5
07/09/2016,12:00:00 a. m.,416,414.2,417,0,1.34,1.147,,,1021,0.5673,723651.5
07/09/2016,12:15:00 a. m.,416,414.5,417.1,0,1.312,1.094,,,1006,0.5523,723651.5
07/09/2016,12:30:00 a. m.,415.8,414.2,416.8,0,1.329,1.122,,,1015,0.5613,723651.5
