Fecha de la Medida,Hora de la Medida,FASE AB,FASE BC,FASE AC,FASE A,FASE B,FASE C,POTENA ATVA AB [W],POTENA ATVA B [W],POTENCIA ACTIVA  [W],,GENERACION [kWh]
19/04/2017,13:15:00,416.3,415.6,419.2,5.25,5.69,6.397,,,4285,4.285,1.0713
19/04/2017,13:30:00,410.3,411.2,414.7,3.417,2.654,3.089,,,3556,3.556,1.9603
19/04/2017,13:45:00,411.2,411.5,415,3.215,2.644,3.214,,,3020,3.02,2.7153
19/04/2017,14:00:00,417.1,416.2,419,4.979,5.487,6.449,,,3896,3.896,3.6893
19/04/2017,14:15:00,404.4,407,410.8,2.389,0.11,0,,,531,0.531,3.822
19/04/2017,14:30:00,408.9,408.4,410.9,2.405,0.129,0.122,,,624.7,0.6247,3.9782
19/04/2017,14:45:00,408.4,408.7,412.3,2.625,0.572,0.644,,,3419,3.419,4.8329
19/04/2017,15:00:00,407.8,408.5,411.9,2.436,0.173,0.129,,,2719,2.719,5.5127
19/04/2017,15:15:00,405.8,408.9,413.1,2.867,1.194,1.325,,,3411,3.411,6.3654
19/04/2017,15:30:00,407.9,409.4,412.8,2.562,0.805,0.91,,,2434,2.434,6.9739
19/04/2017,15:45:00,418.2,416.4,419.8,4.946,5.485,6.563,,,3792,3.792,7.9219
19/04/2017,16:00:00,412,411.1,414.7,3.188,1.755,1.977,,,3896,3.896,8.8959
19/04/2017,16:15:00,417,415.7,419.1,4.843,5.03,5.92,,,3990,3.99,9.8934
19/04/2017,16:30:00,419.7,417.7,420.7,5.113,5.622,6.683,,,3957,3.957,10.8827
19/04/2017,16:45:00,419.7,417.7,420.9,5.16,5.683,6.741,,,3935,3.935,11.8664
19/04/2017,17:00:00,419.6,417.7,420.6,4.648,5.146,6.218,,,3545,3.545,12.7527
19/04/2017,17:15:00,417.5,416.1,419.5,3.68,3.801,4.756,,,2944,2.944,13.4887
19/04/2017,17:30:00,405.7,411.1,414.3,2.342,0.416,0.605,,,581.3,0.5813,13.634
19/04/2017,17:45:00,409.7,411.7,415.9,2.233,0.822,1.201,,,865,0.865,13.8503
19/04/2017,18:00:00,414.9,413.7,416.5,2,0.728,1.601,,,616.8,0.6168,14.0045
19/04/2017,18:15:00,412.1,411.5,414.6,1.989,0.041,1.09,,,221.3,0.2213,14.0598
19/04/2017,18:30:00,408.9,410.5,414.3,2.385,0.202,0.142,,,533.8,0.5338,14.1932
19/04/2017,18:45:00,414.8,413.3,416.5,1.803,0.593,1.923,,,399.1,0.3991,14.293
19/04/2017,19:00:00,410.7,412.2,415.9,2.175,0.132,0.765,,,35.73,0.0357,14.3019
19/04/2017,19:15:00,409,409.6,415.8,2.492,0.241,0,,,0,0,14.3019
19/04/2017,19:30:00,414.1,412.7,415.9,2.505,0.048,0,,,0,0,14.3019
19/04/2017,19:45:00,414.4,412.8,416.3,2.548,0.014,0,,,0,0,14.3019
19/04/2017,20:00:00,414.2,412.7,416.1,2.556,0.015,0,,,0,0,14.3019
19/04/2017,20:15:00,412.7,411.2,415,2.526,0.007,0,,,0,0,14.3019
19/04/2017,20:30:00,413.2,411.7,415.4,2.544,0.015,0,,,0,0,14.3019
19/04/2017,20:45:00,413.9,412.5,416.5,2.596,0.01,0,,,0,0,14.3019
19/04/2017,21:00:00,415.4,414,417.5,2.625,0.01,0,,,0,0,14.3019
19/04/2017,21:15:00,415.7,414.5,418.2,2.688,0.004,0,,,0,0,14.3019
19/04/2017,21:30:00,416.1,414.9,418.1,2.716,0.001,0,,,0,0,14.3019
19/04/2017,21:45:00,416,414.9,418.4,2.721,0,0,,,0,0,14.3019
19/04/2017,22:00:00,412.6,411.5,414.5,2.632,0,0,,,0,0,14.3019
19/04/2017,22:15:00,412.8,411.6,415.1,2.643,0,0,,,0,0,14.3019
19/04/2017,22:30:00,413.5,412.5,415.4,2.659,0,0,,,0,0,14.3019
19/04/2017,22:45:00,414,413,416.1,2.679,0,0,,,0,0,14.3019
19/04/2017,23:00:00,415,414,416.8,2.705,0,0,,,0,0,14.3019
19/04/2017,23:15:00,413.5,412.6,415.7,2.671,0,0,,,0,0,14.3019
19/04/2017,23:30:00,415,414.2,416.9,2.735,0,0,,,0,0,14.3019
19/04/2017,23:45:00,415.5,414.6,417.6,2.758,0,0,,,0,0,14.3019
20/04/2017,00:00:00,414.7,413.8,416.6,2.738,0,0,,,0,0,14.3019
20/04/2017,00:15:00,413.4,412.6,415.5,2.711,0,0,,,0,0,14.3019
20/04/2017,00:30:00,413.9,413.2,416,2.745,0,0,,,0,0,14.3019
20/04/2017,00:45:00,413.7,413,416,2.734,0,0,,,0,0,14.3019
20/04/2017,01:00:00,414.1,413.5,416.2,2.752,0,0,,,0,0,14.3019
20/04/2017,01:15:00,414.5,413.9,416.9,2.761,0,0,,,0,0,14.3019
20/04/2017,01:30:00,414.5,413.9,416.8,2.749,0,0,,,0,0,14.3019
20/04/2017,01:45:00,414.2,413.6,416.5,2.74,0,0,,,0,0,14.3019
20/04/2017,02:00:00,415.2,414.4,417,2.779,0,0,,,0,0,14.3019
20/04/2017,02:15:00,415.1,414.3,417.1,2.771,0,0,,,0,0,14.3019
20/04/2017,02:30:00,415.4,414.6,417.2,2.802,0,0,,,0,0,14.3019
20/04/2017,02:45:00,415.3,414.5,417.3,2.814,0,0,,,0,0,14.3019
20/04/2017,03:00:00,415.8,414.9,417.6,2.818,0,0,,,0,0,14.3019
20/04/2017,03:15:00,415.6,414.7,417.6,2.821,0,0,,,0,0,14.3019
20/04/2017,03:30:00,415.2,414.4,417.1,2.813,0,0,,,0,0,14.3019
20/04/2017,03:45:00,414.8,414,416.7,2.795,0,0,,,0,0,14.3019
20/04/2017,04:00:00,415,414.1,416.8,2.806,0,0,,,0,0,14.3019
20/04/2017,04:15:00,415.2,414.3,417.1,2.824,0,0,,,0,0,14.3019
20/04/2017,04:30:00,414.9,413.9,416.7,2.804,0,0,,,0,0,14.3019
20/04/2017,04:45:00,413.9,413,415.7,2.775,0,0,,,0,0,14.3019
20/04/2017,05:00:00,414,413,415.8,2.782,0,0,,,0,0,14.3019
20/04/2017,05:15:00,413.5,412.7,415.7,2.774,0,0,,,0,0,14.3019
20/04/2017,05:30:00,412.8,411.8,414.8,2.751,0,0,,,0,0,14.3019
20/04/2017,05:45:00,412.8,411.8,414.9,2.754,0,0,,,0,0,14.3019
20/04/2017,06:00:00,413.3,412.3,415.5,2.77,0,0,,,0,0,14.3019
20/04/2017,06:15:00,412.9,411.9,415.3,2.76,0,0,,,0,0,14.3019
20/04/2017,06:30:00,411.8,410.9,414.2,2.753,0,0,,,0,0,14.3019
20/04/2017,06:45:00,410.8,410.1,413.5,2.741,0,0,,,0,0,14.3019
20/04/2017,07:00:00,412.6,412.1,415,2.786,0,0,,,0,0,14.3019
20/04/2017,07:15:00,414.8,414.3,417,2.821,0.001,0,,,0,0,14.3019
