Fecha de la Medida,Hora de la Medida,FASE AB,FASE BC,FASE AC,FASE A,FASE B,FASE C,POTENA ATVA AB [W],POTENA ATVA B [W],POTENCIA ACTIVA  [W],,GENERACION [kWh]
04/08/2017,00:00:00,,,,,,,,,0,0,0
04/08/2017,00:15:00,,,,,,,,,0,0,0
04/08/2017,00:30:00,,,,,,,,,0,0,0
04/08/2017,00:45:00,,,,,,,,,0,0,0
04/08/2017,01:00:00,,,,,,,,,0,0,0
04/08/2017,01:15:00,,,,,,,,,0,0,0
04/08/2017,01:30:00,,,,,,,,,0,0,0
04/08/2017,01:45:00,,,,,,,,,0,0,0
04/08/2017,02:00:00,,,,,,,,,0,0,0
04/08/2017,02:15:00,,,,,,,,,0,0,0
04/08/2017,02:30:00,,,,,,,,,0,0,0
04/08/2017,02:45:00,,,,,,,,,0,0,0
04/08/2017,03:00:00,,,,,,,,,0,0,0
04/08/2017,03:15:00,,,,,,,,,0,0,0
04/08/2017,03:30:00,,,,,,,,,0,0,0
04/08/2017,03:45:00,,,,,,,,,0,0,0
04/08/2017,04:00:00,,,,,,,,,0,0,0
04/08/2017,04:15:00,,,,,,,,,0,0,0
04/08/2017,04:30:00,,,,,,,,,0,0,0
04/08/2017,04:45:00,,,,,,,,,0,0,0
04/08/2017,05:00:00,,,,,,,,,0,0,0
04/08/2017,05:15:00,,,,,,,,,0,0,0
04/08/2017,05:30:00,,,,,,,,,0,0,0
04/08/2017,05:45:00,,,,,,,,,0,0,0
04/08/2017,06:00:00,,,,,,,,,0,0,0
04/08/2017,06:15:00,,,,,,,,,0,0,0
04/08/2017,06:30:00,,,,,,,,,0,0,0
04/08/2017,06:45:00,,,,,,,,,0,0,0
04/08/2017,07:00:00,,,,,,,,,0,0,0
04/08/2017,07:15:00,,,,,,,,,0,0,0
04/08/2017,07:30:00,,,,,,,,,0,0,0
04/08/2017,07:45:00,,,,,,,,,0,0,0
04/08/2017,08:00:00,,,,,,,,,0,0,0
04/08/2017,08:15:00,,,,,,,,,0,0,0
04/08/2017,08:30:00,,,,,,,,,0,0,0
04/08/2017,08:45:00,,,,,,,,,384,0.384,0.096
04/08/2017,09:00:00,,,,,,,,,456,0.456,0.21
04/08/2017,09:15:00,,,,,,,,,456,0.456,0.324
04/08/2017,09:30:00,,,,,,,,,384,0.384,0.42
04/08/2017,09:45:00,,,,,,,,,0,0,0.42
04/08/2017,10:00:00,,,,,,,,,0,0,0.42
04/08/2017,10:15:00,,,,,,,,,0,0,0.42
04/08/2017,10:30:00,,,,,,,,,0,0,0.42
04/08/2017,10:45:00,,,,,,,,,144,0.144,0.456
04/08/2017,11:00:00,,,,,,,,,348,0.348,0.543
04/08/2017,11:15:00,,,,,,,,,4080,4.08,1.563
04/08/2017,11:30:00,,,,,,,,,4368,4.368,2.655
04/08/2017,11:45:00,,,,,,,,,0,0,2.655
04/08/2017,12:00:00,,,,,,,,,4044,4.044,3.666
04/08/2017,12:15:00,,,,,,,,,4296,4.296,4.74
04/08/2017,12:30:00,,,,,,,,,3588,3.588,5.637
04/08/2017,12:45:00,,,,,,,,,2220,2.22,6.192
04/08/2017,13:00:00,,,,,,,,,36,0.036,6.201
04/08/2017,13:15:00,,,,,,,,,1236,1.236,6.51
04/08/2017,13:30:00,,,,,,,,,1512,1.512,6.888
04/08/2017,13:45:00,,,,,,,,,1416,1.416,7.242
04/08/2017,14:00:00,,,,,,,,,1656,1.656,7.656
04/08/2017,14:15:00,,,,,,,,,0,0,7.656
04/08/2017,14:30:00,,,,,,,,,936,0.936,7.89
04/08/2017,14:45:00,,,,,,,,,216,0.216,7.944
04/08/2017,15:00:00,,,,,,,,,0,0,7.944
04/08/2017,15:15:00,,,,,,,,,132,0.132,7.977
04/08/2017,15:30:00,,,,,,,,,3996,3.996,8.976
04/08/2017,15:45:00,,,,,,,,,2820,2.82,9.681
04/08/2017,16:00:00,,,,,,,,,3756,3.756,10.62
04/08/2017,16:15:00,,,,,,,,,480,0.48,10.74
04/08/2017,16:30:00,,,,,,,,,2280,2.28,11.31
04/08/2017,16:45:00,,,,,,,,,0,0,11.31
04/08/2017,17:00:00,,,,,,,,,0,0,11.31
04/08/2017,17:15:00,,,,,,,,,0,0,11.31
04/08/2017,17:30:00,,,,,,,,,0,0,11.31
04/08/2017,17:45:00,,,,,,,,,0,0,11.31
04/08/2017,18:00:00,,,,,,,,,0,0,11.31
04/08/2017,18:15:00,,,,,,,,,0,0,11.31
04/08/2017,18:30:00,,,,,,,,,0,0,11.31
04/08/2017,18:45:00,,,,,,,,,0,0,11.31
04/08/2017,19:00:00,,,,,,,,,0,0,11.31
04/08/2017,19:15:00,,,,,,,,,0,0,11.31
04/08/2017,19:30:00,,,,,,,,,0,0,11.31
04/08/2017,19:45:00,,,,,,,,,0,0,11.31
04/08/2017,20:00:00,,,,,,,,,0,0,11.31
04/08/2017,20:15:00,,,,,,,,,0,0,11.31
04/08/2017,20:30:00,,,,,,,,,0,0,11.31
04/08/2017,20:45:00,,,,,,,,,0,0,11.31
04/08/2017,21:00:00,,,,,,,,,0,0,11.31
04/08/2017,21:15:00,,,,,,,,,0,0,11.31
04/08/2017,21:30:00,,,,,,,,,0,0,11.31
