Fecha de la Medida,Hora de la Medida,FASE AB,FASE BC,FASE AC,FASE A,FASE B,FASE C,POTENA ATVA AB [W],POTENA ATVA B [W],POTENCIA ACTIVA  [W],,GENERACION [kWh]
09/02/2017,12:25:00,423.6,421.2,424.2,8.665,6.19,8.667,,,6233,6.233,1.5583
09/02/2017,12:40:00,423.4,421,424.1,8.281,5.737,8.291,,,5946,5.946,3.0448
09/02/2017,12:55:00,423.5,421.3,424.2,8.107,5.527,8.111,,,5819,5.819,4.4995
09/02/2017,13:10:00,423.5,421.7,424.3,8.253,5.734,8.259,,,5931,5.931,5.9823
09/02/2017,13:25:00,423.9,421.8,424.7,8.335,5.797,8.365,,,6013,6.013,7.4855
09/02/2017,13:40:00,423.8,422,424.6,8.258,5.771,8.264,,,5946,5.946,8.972
09/02/2017,13:55:00,422.1,420,422.5,8.215,5.777,8.236,,,5904,5.904,10.448
09/02/2017,14:10:00,421.5,419.3,421.8,7.989,5.568,8.017,,,5738,5.738,11.8825
09/02/2017,14:25:00,420.9,418.7,421.3,7.635,5.217,7.65,,,5467,5.467,13.2493
09/02/2017,14:40:00,421,418.7,421.1,7.579,5.158,7.593,,,5429,5.429,14.6065
09/02/2017,14:55:00,420.5,418.2,420.7,7.177,4.718,7.202,,,5135,5.135,15.8903
09/02/2017,15:10:00,420.1,417.6,420.1,6.712,4.244,6.747,,,4797,4.797,17.0895
09/02/2017,15:25:00,419.3,417,419.6,6.295,3.778,6.351,,,4490,4.49,18.212
09/02/2017,15:40:00,417.2,414.6,417.4,5.319,2.775,5.4,,,3771,3.771,19.1548
09/02/2017,15:55:00,415.9,413.1,416.3,4.698,2.111,4.812,,,3326,3.326,19.9863
09/02/2017,16:10:00,415.3,412.5,415.7,3.902,1.389,3.995,,,2738,2.738,20.6708
09/02/2017,16:25:00,414.5,411.7,414.9,3.023,0.077,3.131,,,2101,2.101,21.196
09/02/2017,16:40:00,414.6,411.9,415,2.827,0.003,2.92,,,1952,1.952,21.684
09/02/2017,16:55:00,414.3,411.7,415,2.523,0.01,2.616,,,1728,1.728,22.116
09/02/2017,17:10:00,413.9,411.4,414.4,1.989,1.001,2.074,,,1330,1.33,22.4485
09/02/2017,17:25:00,413.1,410.8,413.9,1.03,1.895,1.201,,,683.6,0.6836,22.6194
09/02/2017,17:40:00,412.9,410.7,413.7,0,2.619,0.008,,,1.273,0.0013,22.6197
09/02/2017,17:55:00,409.1,409.9,414.2,0.088,2.853,0.028,,,0.402,0.0004,22.6198
09/02/2017,18:10:00,412.8,411.2,414.1,0,2.758,0,,,0,0,22.6198
09/02/2017,18:25:00,412.9,410.9,414.3,0,2.814,0,,,0,0,22.6198
09/02/2017,18:40:00,411.1,409.3,412.7,0,2.751,0,,,0,0,22.6198
09/02/2017,18:55:00,410.8,409,412.5,0,2.708,0,,,0,0,22.6198
09/02/2017,19:10:00,411.4,409.3,413,0,2.766,0,,,0,0,22.6198
09/02/2017,19:25:00,412.2,410.1,413.8,0,2.781,0,,,0,0,22.6198
09/02/2017,19:40:00,412.9,410.9,414.5,0,2.792,0,,,0,0,22.6198
09/02/2017,19:55:00,413.6,411.7,415.5,0,2.885,0,,,0,0,22.6198
09/02/2017,20:10:00,412.2,410.5,414.5,0,2.812,0,,,0,0,22.6198
09/02/2017,20:25:00,413.2,411.5,415.5,0,2.81,0,,,0,0,22.6198
09/02/2017,20:40:00,414.1,412.4,416.5,0,2.848,0,,,0,0,22.6198
09/02/2017,20:55:00,413.6,411.9,415.7,0,2.815,0,,,0,0,22.6198
09/02/2017,21:10:00,410.9,409.4,413,0,2.744,0,,,0,0,22.6198
09/02/2017,21:25:00,412.1,410.5,414.1,0,2.792,0,,,0,0,22.6198
09/02/2017,21:40:00,412.5,411.2,414.6,0,2.759,0,,,0,0,22.6198
09/02/2017,21:55:00,412.1,410.9,414.1,0,2.778,0,,,0,0,22.6198
09/02/2017,22:10:00,411.3,409.8,413,0,2.765,0,,,0,0,22.6198
09/02/2017,22:25:00,411.7,410.3,413.3,0,2.753,0,,,0,0,22.6198
09/02/2017,22:40:00,412.9,411.5,414.3,0,2.765,0,,,0,0,22.6198
09/02/2017,22:55:00,412.9,411.2,414.2,0,2.808,0,,,0,0,22.6198
09/02/2017,23:10:00,413.6,411.9,414.8,0,2.796,0,,,0,0,22.6198
09/02/2017,23:25:00,414.4,412.6,415.7,0,2.851,0,,,0,0,22.6198
09/02/2017,23:40:00,414.3,412.5,415.6,0,2.859,0,,,0,0,22.6198
09/02/2017,23:55:00,414.7,412.9,415.9,0,2.853,0,,,0,0,22.6198
10/02/2017,00:10:00,414.2,412.5,415.4,0,2.872,0,,,0,0,22.6198
10/02/2017,00:25:00,415,413.4,416.2,0,2.859,0,,,0,0,22.6198
10/02/2017,00:40:00,415.9,414.4,417.1,0,2.868,0,,,0,0,22.6198
10/02/2017,00:55:00,415.9,414.3,417.2,0,2.895,0,,,0,0,22.6198
10/02/2017,01:10:00,415.9,414.5,417.3,0,2.883,0,,,0,0,22.6198
10/02/2017,01:25:00,416,414.6,417.3,0,2.915,0,,,0,0,22.6198
