Fecha de la Medida,Hora de la Medida,FASE AB,FASE BC,FASE AC,FASE A,FASE B,FASE C,POTENA ATVA AB [W],POTENA ATVA B [W],POTENCIA ACTIVA  [W],,GENERACION [kWh]
14/07/2017, 0:00:00 ,,,,,,,,,0,0,0
14/07/2017,00:15:00,,,,,,,,,0,0,0
14/07/2017,00:30:00,,,,,,,,,0,0,0
14/07/2017,00:45:00,,,,,,,,,0,0,0
14/07/2017,01:00:00,,,,,,,,,0,0,0
14/07/2017,01:15:00,,,,,,,,,0,0,0
14/07/2017,01:30:00,,,,,,,,,0,0,0
14/07/2017,01:45:00,,,,,,,,,0,0,0
14/07/2017,02:00:00,,,,,,,,,0,0,0
14/07/2017,02:15:00,,,,,,,,,0,0,0
14/07/2017,02:30:00,,,,,,,,,0,0,0
14/07/2017,02:45:00,,,,,,,,,0,0,0
14/07/2017,03:00:00,,,,,,,,,0,0,0
14/07/2017,03:15:00,,,,,,,,,0,0,0
14/07/2017,03:30:00,,,,,,,,,0,0,0
14/07/2017,03:45:00,,,,,,,,,0,0,0
14/07/2017,04:00:00,,,,,,,,,0,0,0
14/07/2017,04:15:00,,,,,,,,,0,0,0
14/07/2017,04:30:00,,,,,,,,,0,0,0
14/07/2017,04:45:00,,,,,,,,,0,0,0
14/07/2017,05:00:00,,,,,,,,,0,0,0
14/07/2017,05:15:00,,,,,,,,,0,0,0
14/07/2017,05:30:00,,,,,,,,,0,0,0
14/07/2017,05:45:00,,,,,,,,,0,0,0
14/07/2017,06:00:00,,,,,,,,,0,0,0
14/07/2017,06:15:00,,,,,,,,,0,0,0
14/07/2017,06:30:00,,,,,,,,,0,0,0
14/07/2017,06:45:00,,,,,,,,,0,0,0
14/07/2017,07:00:00,,,,,,,,,0,0,0
14/07/2017,07:15:00,,,,,,,,,0,0,0
14/07/2017,07:30:00,,,,,,,,,0,0,0
14/07/2017,07:45:00,,,,,,,,,0,0,0
14/07/2017,08:00:00,,,,,,,,,0,0,0
14/07/2017,08:15:00,,,,,,,,,0,0,0
14/07/2017,08:30:00,,,,,,,,,0,0,0
14/07/2017,08:45:00,,,,,,,,,876,0.876,0.219
14/07/2017,09:00:00,,,,,,,,,2388,2.388,0.816
14/07/2017,09:15:00,,,,,,,,,3024,3.024,1.572
14/07/2017,09:30:00,,,,,,,,,3684,3.684,2.493
14/07/2017,09:45:00,,,,,,,,,4476,4.476,3.612
14/07/2017,10:00:00,,,,,,,,,4476,4.476,4.731
14/07/2017,10:15:00,,,,,,,,,3948,3.948,5.718
14/07/2017,10:30:00,,,,,,,,,4404,4.404,6.819
14/07/2017,10:45:00,,,,,,,,,4824,4.824,8.025
14/07/2017,11:00:00,,,,,,,,,5124,5.124,9.306
14/07/2017,11:15:00,,,,,,,,,4872,4.872,10.524
14/07/2017,11:30:00,,,,,,,,,4140,4.14,11.559
14/07/2017,11:45:00,,,,,,,,,3684,3.684,12.48
14/07/2017,12:00:00,,,,,,,,,2520,2.52,13.11
14/07/2017,12:15:00,,,,,,,,,3840,3.84,14.07
14/07/2017,12:30:00,,,,,,,,,5520,5.52,15.45
14/07/2017,12:45:00,,,,,,,,,5412,5.412,16.803
14/07/2017,13:00:00,,,,,,,,,5520,5.52,18.183
14/07/2017,13:15:00,,,,,,,,,5100,5.1,19.458
14/07/2017,13:30:00,,,,,,,,,5256,5.256,20.772
14/07/2017,13:45:00,,,,,,,,,4848,4.848,21.984
14/07/2017,14:00:00,,,,,,,,,4284,4.284,23.055
14/07/2017,14:15:00,,,,,,,,,4884,4.884,24.276
14/07/2017,14:30:00,,,,,,,,,5376,5.376,25.62
14/07/2017,14:45:00,,,,,,,,,5556,5.556,27.009
14/07/2017,15:00:00,,,,,,,,,5100,5.1,28.284
14/07/2017,15:15:00,,,,,,,,,4824,4.824,29.49
14/07/2017,15:30:00,,,,,,,,,4872,4.872,30.708
14/07/2017,15:45:00,,,,,,,,,4560,4.56,31.848
14/07/2017,16:00:00,,,,,,,,,0,0,31.848
14/07/2017,16:15:00,,,,,,,,,48,0.048,31.86
14/07/2017,16:30:00,,,,,,,,,0,0,31.86
14/07/2017,16:45:00,,,,,,,,,204,0.204,31.911
14/07/2017,17:00:00,,,,,,,,,4260,4.26,32.976
14/07/2017,17:15:00,,,,,,,,,0,0,32.976
14/07/2017,17:30:00,,,,,,,,,0,0,32.976
14/07/2017,17:45:00,,,,,,,,,0,0,32.976
14/07/2017,18:00:00,,,,,,,,,0,0,32.976
14/07/2017,18:15:00,,,,,,,,,0,0,32.976
14/07/2017,18:30:00,,,,,,,,,0,0,32.976
14/07/2017,18:45:00,,,,,,,,,0,0,32.976
14/07/2017,19:00:00,,,,,,,,,0,0,32.976
14/07/2017,19:15:00,,,,,,,,,0,0,32.976
14/07/2017,19:30:00,,,,,,,,,0,0,32.976
14/07/2017,19:45:00,,,,,,,,,0,0,32.976
14/07/2017,20:00:00,,,,,,,,,0,0,32.976
14/07/2017,20:15:00,,,,,,,,,0,0,32.976
14/07/2017,20:30:00,,,,,,,,,0,0,32.976
14/07/2017,20:45:00,,,,,,,,,0,0,32.976
14/07/2017,21:00:00,,,,,,,,,0,0,32.976
14/07/2017,21:15:00,,,,,,,,,0,0,32.976
14/07/2017,21:30:00,,,,,,,,,0,0,32.976
14/07/2017,21:45:00,,,,,,,,,0,0,32.976
14/07/2017,22:00:00,,,,,,,,,0,0,32.976
14/07/2017,22:15:00,,,,,,,,,0,0,32.976
14/07/2017,22:30:00,,,,,,,,,0,0,32.976
14/07/2017,22:45:00,,,,,,,,,0,0,32.976
14/07/2017,23:00:00,,,,,,,,,0,0,32.976
14/07/2017,23:15:00,,,,,,,,,0,0,32.976
14/07/2017,23:30:00,,,,,,,,,0,0,32.976
14/07/2017,23:45:00,,,,,,,,,0,0,32.976
15/07/2017, 0:00:00 ,,,,,,,,,0,0,32.976
15/07/2017,00:15:00,,,,,,,,,0,0,32.976
15/07/2017,00:30:00,,,,,,,,,0,0,32.976
15/07/2017,00:45:00,,,,,,,,,0,0,32.976
15/07/2017,01:00:00,,,,,,,,,0,0,32.976
15/07/2017,01:15:00,,,,,,,,,0,0,32.976
15/07/2017,01:30:00,,,,,,,,,0,0,32.976
15/07/2017,01:45:00,,,,,,,,,0,0,32.976
15/07/2017,02:00:00,,,,,,,,,0,0,32.976
15/07/2017,02:15:00,,,,,,,,,0,0,32.976
15/07/2017,02:30:00,,,,,,,,,0,0,32.976
15/07/2017,02:45:00,,,,,,,,,0,0,32.976
15/07/2017,03:00:00,,,,,,,,,0,0,32.976
15/07/2017,03:15:00,,,,,,,,,0,0,32.976
15/07/2017,03:30:00,,,,,,,,,0,0,32.976
15/07/2017,03:45:00,,,,,,,,,0,0,32.976
15/07/2017,04:00:00,,,,,,,,,0,0,32.976
15/07/2017,04:15:00,,,,,,,,,0,0,32.976
15/07/2017,04:30:00,,,,,,,,,0,0,32.976
15/07/2017,04:45:00,,,,,,,,,0,0,32.976
15/07/2017,05:00:00,,,,,,,,,0,0,32.976
15/07/2017,05:15:00,,,,,,,,,0,0,32.976
15/07/2017,05:30:00,,,,,,,,,0,0,32.976
15/07/2017,05:45:00,,,,,,,,,0,0,32.976
15/07/2017,06:00:00,,,,,,,,,0,0,32.976
15/07/2017,06:15:00,,,,,,,,,0,0,32.976
15/07/2017,06:30:00,,,,,,,,,0,0,32.976
15/07/2017,06:45:00,,,,,,,,,0,0,32.976
15/07/2017,07:00:00,,,,,,,,,0,0,32.976
15/07/2017,07:15:00,,,,,,,,,0,0,32.976
15/07/2017,07:30:00,,,,,,,,,0,0,32.976
15/07/2017,07:45:00,,,,,,,,,0,0,32.976
15/07/2017,08:00:00,,,,,,,,,0,0,32.976
15/07/2017,08:15:00,,,,,,,,,0,0,32.976
15/07/2017,08:30:00,,,,,,,,,0,0,32.976
15/07/2017,08:45:00,,,,,,,,,420,0.42,33.081
15/07/2017,09:00:00,,,,,,,,,3468,3.468,33.948
15/07/2017,09:15:00,,,,,,,,,4188,4.188,34.995
15/07/2017,09:30:00,,,,,,,,,4356,4.356,36.084
15/07/2017,09:45:00,,,,,,,,,4092,4.092,37.107
15/07/2017,10:00:00,,,,,,,,,1992,1.992,37.605
15/07/2017,10:15:00,,,,,,,,,3372,3.372,38.448
15/07/2017,10:30:00,,,,,,,,,2304,2.304,39.024
