Fecha de la Medida,Hora de la Medida,FASE AB,FASE BC,FASE AC,FASE A,FASE B,FASE C,POTENA ATVA AB [W],POTENA ATVA B [W],POTENCIA ACTIVA  [W],,GENERACION [kWh]
15/03/2017,12:46:00,412.7,412.3,411.5,2.368,2.159,3.06,,,1272,1.272,0.318
15/03/2017,13:01:00,417.2,417,416.1,6.355,4.892,5.489,,,96,0.096,0.342
15/03/2017,13:16:00,416.4,416.5,415.7,5.603,4.546,5.113,,,1212,1.212,0.645
15/03/2017,13:31:00,418.1,417.8,417,6.568,5.242,5.693,,,0,0,0.645
15/03/2017,13:46:00,414.7,414.3,413.9,3.258,2.273,3.335,,,0,0,0.645
15/03/2017,14:01:00,412.1,411.5,411,0.711,1.169,2.168,,,0,0,0.645
15/03/2017,14:16:00,411.8,411.5,410.8,0.701,1.154,2.17,,,3768,3.768,1.587
15/03/2017,14:31:00,412.7,412.3,411.7,0.669,1.141,2.171,,,2100,2.1,2.112
15/03/2017,14:46:00,412.7,412.4,411.6,0.896,1.18,2.231,,,4236,4.236,3.171
15/03/2017,15:01:00,415.1,414.5,414,3.042,2.186,3.297,,,2748,2.748,3.858
15/03/2017,15:16:00,413.1,412.5,412,0.903,1.207,2.246,,,0,0,3.858
15/03/2017,15:31:00,414,413.2,412.3,1.031,1.195,2.291,,,0,0,3.858
15/03/2017,15:46:00,413.9,413.5,412.5,0.853,1.142,2.243,,,0,0,3.858
15/03/2017,16:01:00,413.8,413.2,412.1,0.969,1.193,2.279,,,0,0,3.858
15/03/2017,16:16:00,413.8,413.2,412.1,1.088,1.233,2.32,,,720,0.72,4.038
15/03/2017,16:31:00,414.4,413.5,412.6,1.075,1.24,2.321,,,0,0,4.038
15/03/2017,16:46:00,414.2,413.3,412.3,1.089,1.249,2.33,,,0,0,4.038
15/03/2017,17:01:00,414.7,413.8,412.9,1.031,1.224,2.289,,,0,0,4.038
15/03/2017,17:16:00,415.4,414.7,413.9,0.961,1.219,2.282,,,0,0,4.038
15/03/2017,17:31:00,412,411.4,410.8,0.869,1.185,2.22,,,0,0,4.038
15/03/2017,17:46:00,412.3,411.7,411.1,0.791,1.195,2.215,,,0,0,4.038
15/03/2017,18:01:00,412.9,411.9,411.5,0.839,1.21,2.23,,,0,0,4.038
15/03/2017,18:16:00,412.8,411.7,411.7,0.382,1.158,2.141,,,0,0,4.038
15/03/2017,18:31:00,412.2,411.1,410.8,0.167,1.103,2.121,,,0,0,4.038
15/03/2017,18:46:00,411.8,410.9,410.2,0.287,1.136,2.146,,,0,0,4.038
15/03/2017,19:01:00,411.8,410.8,410.4,0.086,1.085,2.088,,,0,0,4.038
15/03/2017,19:16:00,412.7,411.2,411.1,0.052,1.103,2.082,,,0,0,4.038
15/03/2017,19:31:00,412.9,411.7,411.5,0.025,1.01,2.048,,,0,0,4.038
15/03/2017,19:46:00,413.4,412.3,412.1,0.022,1.063,2.055,,,0,0,4.038
15/03/2017,20:01:00,414.8,413.4,413.1,0.108,1.12,2.145,,,0,0,4.038
15/03/2017,20:16:00,415.4,414.3,414,0.027,1.065,2.09,,,0,0,4.038
15/03/2017,20:31:00,415.5,414.4,414.3,0.034,1.07,2.096,,,0,0,4.038
15/03/2017,20:46:00,415.5,414.2,413.7,0.06,1.096,2.136,,,0,0,4.038
15/03/2017,21:01:00,416.2,414.9,414.5,0.031,0.958,2.147,,,0,0,4.038
15/03/2017,21:16:00,416.6,415,414.9,0.025,0.915,2.131,,,0,0,4.038
15/03/2017,21:31:00,417.2,415.5,415.6,0.012,0.716,2.112,,,0,0,4.038
15/03/2017,21:46:00,416.9,415.3,415.4,0.012,0.511,2.081,,,0,0,4.038
15/03/2017,22:01:00,415.1,414,413.6,0.014,0.307,2.069,,,0,0,4.038
15/03/2017,22:16:00,415.4,414.3,414,0.014,0.267,2.062,,,0,0,4.038
15/03/2017,22:31:00,415.2,414.5,414,0.012,0.314,2.066,,,0,0,4.038
15/03/2017,22:46:00,415,414.4,413.8,0.02,0.736,2.1,,,0,0,4.038
15/03/2017,23:01:00,415.8,415,414.6,0.019,0.655,2.107,,,0,0,4.038
15/03/2017,23:16:00,415.7,414.9,414.5,0.034,0.876,2.138,,,0,0,4.038
