Fecha de la Medida,Hora de la Medida,FASE AB,FASE BC,FASE AC,FASE A,FASE B,FASE C,POTENA ATVA AB [W],POTENA ATVA B [W],POTENCIA ACTIVA  [W],,GENERACION [kWh]
16/05/2017,13:15:00,410.9,410,413.4,6.542,2.475,2.542,,,3275,3.275,0.8188
16/05/2017,13:30:00,410,410,413.5,6.191,1.739,2.207,,,3152,3.152,1.6068
16/05/2017,13:45:00,409.7,410.6,414.7,6.863,2.634,3.183,,,2939,2.939,2.3415
16/05/2017,14:00:00,410.6,408.7,412.5,5.664,1.542,1.337,,,2597,2.597,2.9908
16/05/2017,14:15:00,406.9,406.7,410.6,4.996,1.17,0,,,2588,2.588,3.6378
16/05/2017,14:30:00,406.7,407.1,411.2,5.288,1.314,0.547,,,2388,2.388,4.2348
16/05/2017,14:45:00,411.5,410.6,414.1,6.455,2.041,2.614,,,264.3,0.2643,4.3008
16/05/2017,15:00:00,413,411.2,414.7,6.748,2.231,3.222,,,258.5,0.2585,4.3655
16/05/2017,15:15:00,412.7,410.8,414.5,6.49,1.901,2.856,,,266.2,0.2662,4.432
16/05/2017,15:30:00,404.2,406.8,412.2,5.266,1.145,0.642,,,268.8,0.2688,4.4992
16/05/2017,15:45:00,404.2,406.4,411.9,5.291,1.131,0.799,,,281.8,0.2818,4.5697
16/05/2017,16:00:00,410.7,409.1,413.1,5.858,1.472,1.929,,,281.9,0.2819,4.6401
16/05/2017,16:15:00,412.3,409.9,413.7,6.4,2.098,2.903,,,662.8,0.6628,4.8058
16/05/2017,16:30:00,411.3,409.1,413.2,5.918,1.591,2.045,,,218.3,0.2183,4.8604
16/05/2017,16:45:00,411.2,409.1,413.2,5.669,1.05,1.518,,,283.7,0.2837,4.9313
16/05/2017,17:00:00,410.5,409.2,413.4,5.698,0.882,1.534,,,285.4,0.2854,5.0027
16/05/2017,17:15:00,410.7,408.9,413.4,5.344,0.495,0.702,,,273.5,0.2735,5.0711
16/05/2017,17:30:00,408.7,408.3,412.9,5.076,1.101,0,,,249.5,0.2495,5.1334
16/05/2017,17:45:00,410.4,409.8,413.7,5.12,1.104,0.026,,,241.8,0.2418,5.1939
16/05/2017,18:00:00,413.3,412.6,416.4,5.353,0.785,0.296,,,261.5,0.2615,5.2593
16/05/2017,18:15:00,412.6,412.2,416.3,5.213,1.061,0.024,,,279.9,0.2799,5.3292
16/05/2017,18:30:00,412.3,412.8,416.6,5.247,0.894,0.02,,,270.2,0.2702,5.3968
16/05/2017,18:45:00,408.4,412.4,417.5,5.292,1.044,0.049,,,259.6,0.2596,5.4617
16/05/2017,19:00:00,411.5,414.1,418.2,5.361,1.159,0.037,,,252,0.252,5.5247
16/05/2017,19:15:00,415,414.2,418,5.388,1.206,0,,,256,0.256,5.5887
16/05/2017,19:30:00,413.1,411.4,414.9,5.225,1.181,0,,,258.2,0.2582,5.6532
16/05/2017,19:45:00,412.3,410.6,414.3,5.165,1.145,0,,,262.1,0.2621,5.7188
16/05/2017,20:00:00,412.9,411,414.7,5.212,1.165,0,,,274.8,0.2748,5.7875
16/05/2017,20:15:00,408.3,406,410,4.997,1.125,0,,,276.3,0.2763,5.8565
16/05/2017,20:30:00,410.7,408.1,412.3,5.098,1.127,0,,,279.3,0.2793,5.9264
16/05/2017,20:45:00,412.3,409.8,413.9,5.186,1.144,0,,,273.1,0.2731,5.9946
16/05/2017,21:00:00,413.5,410.9,415.3,5.24,1.149,0,,,268.1,0.2681,6.0617
16/05/2017,21:15:00,414.3,411.8,416.4,5.301,1.153,0,,,272.6,0.2726,6.1298
16/05/2017,21:30:00,413.2,410.9,415.1,5.255,1.167,0,,,273.4,0.2734,6.1982
