Fecha de la Medida,Hora de la Medida,FASE AB,FASE BC,FASE AC,FASE A,FASE B,FASE C,POTENA ATVA AB [W],POTENA ATVA B [W],POTENCIA ACTIVA  [W],,GENERACION [kWh]
21/11/2017,17:25:00,411.2,410.1,412.6,0.286,0,0,,,0,0,0
21/11/2017,17:40:00,411.5,410.2,412.8,0.143,0,0,,,0,0,0
21/11/2017,17:55:00,411.7,409.9,413,0.105,0,0,,,0,0,0
21/11/2017,18:10:00,409.8,407.8,411.5,0.088,0,0,,,0,0,0
21/11/2017,18:25:00,409.6,407.8,411.4,0.04,0,0,,,0,0,0
21/11/2017,18:40:00,410.2,408.3,411.6,0.03,0,0,,,0,0,0
21/11/2017,18:55:00,411,409.1,412.5,0.13,0,0,,,0,0,0
21/11/2017,19:10:00,411.9,409.8,413.5,0.333,0,0,,,0,0,0
21/11/2017,19:25:00,412.8,410.7,414.6,0.393,0,0,,,0,0,0
21/11/2017,19:40:00,413.9,411.8,415.4,0.121,0,0,,,0,0,0
21/11/2017,19:55:00,414.9,412.8,416.3,0.044,0,0,,,0,0,0
21/11/2017,20:10:00,415.6,413.3,417.1,0.33,0,0,,,0,0,0
21/11/2017,20:25:00,412.4,410.3,414.2,0.011,0,0,,,0,0,0
21/11/2017,20:40:00,413,411.1,414.9,0.004,0,0,,,0,0,0
21/11/2017,20:55:00,413.6,411.7,415.7,0.071,0,0,,,0,0,0
21/11/2017,21:10:00,414,412.1,416,0.011,0,0,,,0,0,0
21/11/2017,21:25:00,414.8,412.9,416.8,0.004,0,0,,,0,0,0
21/11/2017,21:40:00,415,413.3,417.1,0.001,0,0,,,0,0,0
21/11/2017,21:55:00,415.7,414.2,417.7,0.002,0,0,,,0,0,0
21/11/2017,22:10:00,414.7,413,416.6,0.002,0,0,,,0,0,0
21/11/2017,22:25:00,414.7,413.1,416.6,0.001,0,0,,,0,0,0
21/11/2017,22:40:00,415.5,413.8,417.2,0.025,0,0,,,0,0,0
21/11/2017,22:55:00,415.2,413.7,417,0.005,0,0,,,0,0,0
21/11/2017,23:10:00,413.8,412.3,415.7,0.002,0,0,,,0,0,0
21/11/2017,23:25:00,414.5,413,416.3,0.013,0,0,,,0,0,0
21/11/2017,23:40:00,415.1,413.9,416.8,0.006,0,0,,,0,0,0
21/11/2017,23:55:00,415,413.6,416.8,0.003,0,0,,,0,0,0
22/11/2017,00:10:00,415.2,413.8,417,0.017,0,0,,,0,0,0
22/11/2017,00:25:00,414.1,412.9,416,0.001,0,0,,,0,0,0
22/11/2017,00:40:00,413.5,412.2,415.3,0.002,0,0,,,0,0,0
22/11/2017,00:55:00,415,413.7,416.7,0.004,0,0,,,0,0,0
22/11/2017,01:10:00,414.8,413.4,416.6,0.002,0,0,,,0,0,0
22/11/2017,01:25:00,415.5,414.1,417.4,0.019,0,0,,,0,0,0
22/11/2017,01:40:00,415.4,414,417.2,0.005,0,0,,,0,0,0
22/11/2017,01:55:00,415.3,414.1,417.2,0.005,0,0,,,0,0,0
22/11/2017,02:10:00,415.5,414.1,417.3,0.02,0,0,,,0,0,0
22/11/2017,02:25:00,415.8,414.6,417.8,0.006,0,0,,,0,0,0
22/11/2017,02:40:00,415.5,414.1,417.5,0.012,0,0,,,0,0,0
22/11/2017,02:55:00,415.2,413.9,417.1,0.019,0,0,,,0,0,0
22/11/2017,03:10:00,415,413.8,417,0.009,0,0,,,0,0,0
22/11/2017,03:25:00,415.1,413.8,417.1,0.015,0,0,,,0,0,0
22/11/2017,03:40:00,415.8,414.5,417.6,0.003,0,0,,,0,0,0
22/11/2017,03:55:00,415.3,414.2,417.3,0.009,0,0,,,0,0,0
