Fecha de la Medida,Hora de la Medida,FASE AB,FASE BC,FASE AC,FASE A,FASE B,FASE C,POTENA ATVA AB [W],POTENA ATVA B [W],POTENCIA ACTIVA  [W],,GENERACION [kWh]
25/10/2017,13:55:00,419.7,418.5,421.2,9,12.2,4,,,5693.5,5.6935,0.4745
25/10/2017,14:00:00,422.7,421.2,423.4,12,16.1,9.8,,,8521.6,8.5216,1.1846
25/10/2017,14:05:00,422.9,421.6,423.8,11.7,15.9,2.5,,,6817.35,6.8174,1.7527
25/10/2017,14:10:00,419.2,417.8,419.9,7.5,6.8,19.6,,,3083.72,3.0837,2.0097
25/10/2017,14:15:00,411.3,410.1,413,0,0,0,,,4.14,0.0041,2.01
25/10/2017,14:20:00,420,418.4,421.1,9.1,8.8,4.3,,,4989.78,4.9898,2.4258
25/10/2017,14:25:00,422.5,421.1,423.5,12,11.7,2.2,,,5829.1,5.8291,2.9116
25/10/2017,14:30:00,423.2,421.1,424,11.9,11.6,2.5,,,5865.55,5.8656,3.4004
25/10/2017,14:35:00,422.8,421.8,423.6,11.8,11.4,0.1,,,5269.04,5.269,3.8395
25/10/2017,14:40:00,422.3,421.5,422.7,11.5,11.2,0,,,5102.26,5.1023,4.2647
25/10/2017,14:45:00,421.4,420.7,422.3,11.6,11.3,0,,,5149.7,5.1497,4.6938
25/10/2017,14:50:00,422.3,420.2,423.4,11.8,11.5,0.5,,,5386.93,5.3869,5.1427
25/10/2017,14:55:00,421.8,421.1,423,10.9,10.4,0,,,4743.68,4.7437,5.538
25/10/2017,15:00:00,422.7,421.9,423,11.3,10.8,0,,,4930.77,4.9308,5.9489
25/10/2017,15:05:00,423,422,423.3,11.6,11.2,0,,,5117.87,5.1179,6.3754
25/10/2017,15:10:00,422.8,421.8,423,11.7,11.4,0,,,5200.16,5.2002,6.8088
25/10/2017,15:15:00,422.3,421.3,423.1,11.6,11.3,0,,,5145.4,5.1454,7.2375
25/10/2017,15:20:00,422.6,421.3,423.5,11.6,11.2,0,,,5142.53,5.1425,7.6661
25/10/2017,15:25:00,422.2,420.7,423.1,11.1,10.7,0,,,4873.28,4.8733,8.0722
25/10/2017,15:30:00,422.8,421.5,423.1,11.3,10.9,0,,,4984.01,4.984,8.4875
25/10/2017,15:35:00,422.6,421.3,422.9,11.1,10.7,0,,,4889.42,4.8894,8.895
25/10/2017,15:40:00,422.4,420.8,422.7,11,10.6,0,,,4812.41,4.8124,9.296
25/10/2017,15:45:00,422.1,420.6,422.4,10.9,10.5,0,,,4740.43,4.7404,9.6911
25/10/2017,15:50:00,422.2,420.5,422.6,10.5,7.6,0,,,3964.32,3.9643,10.0214
25/10/2017,15:55:00,422.9,421,422.9,10.6,10.1,0,,,4558.69,4.5587,10.4013
25/10/2017,16:00:00,422,419.9,422.5,10.3,3.4,0,,,2942.37,2.9424,10.6465
25/10/2017,16:05:00,420.3,418.9,421.4,9.4,0,0,,,1932.49,1.9325,10.8075
25/10/2017,16:10:00,420.5,418.8,421.4,6.2,0,0,,,1278.27,1.2783,10.9141
25/10/2017,16:15:00,419.7,418.2,420.3,0,0,0,,,0,0,10.9141
25/10/2017,16:20:00,419.2,417.5,419.7,0,0,0,,,0,0,10.9141
25/10/2017,16:25:00,418.5,416.9,419.6,0,0,0,,,0,0,10.9141
25/10/2017,16:30:00,417.9,416.2,419.4,0,0,0,,,0,0,10.9141
25/10/2017,16:35:00,417.5,416,418.7,0,0,0,,,0,0,10.9141
25/10/2017,16:40:00,417.5,416,419.1,0,0,0,,,0,0,10.9141
25/10/2017,16:45:00,417.8,416,418.4,0,0,0,,,0,0,10.9141
25/10/2017,16:50:00,417.2,415.3,417.9,0,0,0,,,0,0,10.9141
25/10/2017,16:55:00,417.6,415.8,418.4,0,0,0,,,0,0,10.9141
25/10/2017,17:00:00,416.6,415.1,418,0,0,0,,,0,0,10.9141
25/10/2017,17:05:00,416,414.6,417.1,0,0,0,,,0,0,10.9141
25/10/2017,17:10:00,416,414.4,417.4,0,0,0,,,0,0,10.9141
25/10/2017,17:15:00,416.1,414.4,417.2,0,0,0,,,0,0,10.9141
25/10/2017,17:20:00,416.3,414.6,417.1,0,0,0,,,0,0,10.9141
25/10/2017,17:25:00,415.8,413.9,416.6,0,0,0,,,0,0,10.9141
25/10/2017,17:30:00,415.2,413.6,416.4,0,0,0,,,0,0,10.9141
25/10/2017,17:35:00,414.9,413.5,416,0,0,0,,,0,0,10.9141
25/10/2017,17:40:00,415.2,413.5,416.5,0,0,0,,,0,0,10.9141
25/10/2017,17:45:00,415.3,413.7,416.2,0,0,0,,,0,0,10.9141
25/10/2017,17:50:00,415.5,414,416.4,0,0,0,,,0,0,10.9141
25/10/2017,17:55:00,415.2,413.9,416.4,0,0,0,,,0,0,10.9141
25/10/2017,18:00:00,414.9,413.9,417,0,0,0,,,0,0,10.9141
25/10/2017,18:05:00,414.8,414,417,0,0,0,,,0,0,10.9141
25/10/2017,18:10:00,414.4,413.4,416.5,0,0,0,,,0,0,10.9141
25/10/2017,18:15:00,414.5,413.7,416.5,0,0,0,,,0,0,10.9141
25/10/2017,18:20:00,414.5,413.8,416.3,0,0,0,,,0,0,10.9141
25/10/2017,18:25:00,414.4,413.6,416.4,0,0,0,,,0,0,10.9141
25/10/2017,18:30:00,413.8,413.2,416.5,0,0,0,,,0,0,10.9141
25/10/2017,18:35:00,413.5,412.9,416.1,0,0,0,,,0,0,10.9141
25/10/2017,18:40:00,413.9,413.1,416.4,0,0,0,,,0,0,10.9141
25/10/2017,18:45:00,414.1,413.3,416.3,0,0,0,,,0,0,10.9141
25/10/2017,18:50:00,414.7,413.6,416.6,0,0,0,,,0,0,10.9141
25/10/2017,18:55:00,414.9,414.4,416.8,0,0,0,,,0,0,10.9141
25/10/2017,19:00:00,415,414.6,417.4,0,0,0,,,0,0,10.9141
25/10/2017,19:05:00,414,413.5,416.1,0,0,0,,,0,0,10.9141
25/10/2017,19:10:00,412.9,412.8,415.5,0,0,0,,,0,0,10.9141
25/10/2017,19:15:00,413.4,412.7,416.4,0,0,0,,,0,0,10.9141
25/10/2017,19:20:00,412.8,412.1,415.7,0,0,0,,,0,0,10.9141
25/10/2017,19:25:00,412.8,412,415.7,0,0,0,,,0,0,10.9141
25/10/2017,19:30:00,412.8,412,415.6,0,0,0,,,0,0,10.9141
25/10/2017,19:35:00,413,412.3,415.8,0,0,0,,,0,0,10.9141
25/10/2017,19:40:00,413.3,412.6,415.8,0,0,0,,,0,0,10.9141
25/10/2017,19:45:00,413.9,413.1,416.3,0,0,0,,,0,0,10.9141
25/10/2017,19:50:00,413.7,412.8,416.4,0,0,0,,,0,0,10.9141
25/10/2017,19:55:00,414.1,413.5,416.6,0,0,0,,,0,0,10.9141
25/10/2017,20:00:00,414.4,413.5,417.3,0,0,0,,,0,0,10.9141
25/10/2017,20:05:00,414.7,413.6,417.3,0,0,0,,,0,0,10.9141
25/10/2017,20:10:00,414.5,413.6,417,0,0,0,,,0,0,10.9141
25/10/2017,20:15:00,415.1,414.3,417.5,0,0,0,,,0,0,10.9141
25/10/2017,20:20:00,415.2,414.2,417.4,0,0,0,,,0,0,10.9141
25/10/2017,20:25:00,415.6,414.6,417.7,0,0,0,,,0,0,10.9141
25/10/2017,20:30:00,415.2,414.1,417.7,0,0,0,,,0,0,10.9141
25/10/2017,20:35:00,414.9,413.9,417.5,0,0,0,,,0,0,10.9141
25/10/2017,20:40:00,414.8,413.9,417.1,0,0,0,,,0,0,10.9141
25/10/2017,20:45:00,415.6,414.3,418.3,0,0,0,,,0,0,10.9141
25/10/2017,20:50:00,416,414.8,418.7,0,0,0,,,0,0,10.9141
25/10/2017,20:55:00,416.3,415.1,418.7,0,0,0,,,0,0,10.9141
25/10/2017,21:00:00,416.6,415.5,419.1,0,0,0,,,0,0,10.9141
25/10/2017,21:05:00,417,415.9,419.2,0,0,0,,,0,0,10.9141
25/10/2017,21:10:00,417.3,416.3,419.5,0,0,0,,,0,0,10.9141
25/10/2017,21:15:00,417.7,416.9,420,0,0,0,,,0,0,10.9141
25/10/2017,21:20:00,417.3,416.5,419.6,0,0,0,,,0,0,10.9141
25/10/2017,21:25:00,418,417.2,420.2,0,0,0,,,0,0,10.9141
25/10/2017,21:30:00,417.6,417,420.1,0,0,0,,,0,0,10.9141
25/10/2017,21:35:00,413.7,413.1,416.1,0,0,0,,,0,0,10.9141
25/10/2017,21:40:00,413.8,413.1,416.3,0,0,0,,,0,0,10.9141
25/10/2017,21:45:00,414.2,413.5,416.4,0,0,0,,,0,0,10.9141
25/10/2017,21:50:00,414.8,414.3,417.2,0,0,0,,,0,0,10.9141
25/10/2017,21:55:00,415,414.3,417.3,0,0,0,,,0,0,10.9141
25/10/2017,22:00:00,414.3,413.8,416.9,0,0,0,,,0,0,10.9141
25/10/2017,22:05:00,413.5,412.6,415.8,0,0,0,,,0,0,10.9141
25/10/2017,22:10:00,413.4,412.6,415.9,0,0,0,,,0,0,10.9141
25/10/2017,22:15:00,414,413.2,416,0,0,0,,,0,0,10.9141
25/10/2017,22:20:00,413.8,413.1,416,0,0,0,,,0,0,10.9141
25/10/2017,22:25:00,414,413.2,416,0,0,0,,,0,0,10.9141
25/10/2017,22:30:00,413.9,413.3,416.3,0,0,0,,,0,0,10.9141
25/10/2017,22:35:00,414.3,413.5,416.5,0,0,0,,,0,0,10.9141
25/10/2017,22:40:00,414.6,413.7,416.8,0,0,0,,,0,0,10.9141
25/10/2017,22:45:00,415.1,414,416.9,0,0,0,,,0,0,10.9141
25/10/2017,22:50:00,414.9,414.3,417.2,0,0,0,,,0,0,10.9141
25/10/2017,22:55:00,415.7,415,417.9,0,0,0,,,0,0,10.9141
25/10/2017,23:00:00,415.9,415.3,418.2,0,0,0,,,0,0,10.9141
25/10/2017,23:05:00,415.5,415,418,0,0,0,,,0,0,10.9141
25/10/2017,23:10:00,415.6,415.1,418,0,0,0,,,0,0,10.9141
25/10/2017,23:15:00,416.3,415.6,418.3,0,0,0,,,0,0,10.9141
25/10/2017,23:20:00,415.9,414.9,417.8,0,0,0,,,0,0,10.9141
25/10/2017,23:25:00,414.5,413.7,416.4,0,0,0,,,0,0,10.9141
25/10/2017,23:30:00,415,414.3,416.9,0,0,0,,,0,0,10.9141
25/10/2017,23:35:00,414.8,414.2,416.9,0,0,0,,,0,0,10.9141
25/10/2017,23:40:00,415.1,414.4,417.1,0,0,0,,,0,0,10.9141
25/10/2017,23:45:00,414.6,414.3,416.4,0,0,0,,,0,0,10.9141
25/10/2017,23:50:00,414.5,414.1,416.3,0,0,0,,,0,0,10.9141
25/10/2017,23:55:00,414.8,414.5,416.6,0,0,0,,,0,0,10.9141
26/10/2017,00:00:00,414.8,414.3,416.9,0,0,0,,,0,0,10.9141
26/10/2017,00:05:00,414.7,414.3,416.9,0,0,0,,,0,0,10.9141
26/10/2017,00:10:00,415.5,415,417.4,0,0,0,,,0,0,10.9141
26/10/2017,00:15:00,415.6,415.2,417.2,0,0,0,,,0,0,10.9141
26/10/2017,00:20:00,416.2,415.5,417.8,0,0,0,,,0,0,10.9141
26/10/2017,00:25:00,417,416.4,418.6,0,0,0,,,0,0,10.9141
26/10/2017,00:30:00,416.3,415.9,418.2,0,0,0,,,0,0,10.9141
26/10/2017,00:35:00,415.2,414.5,417,0,0,0,,,0,0,10.9141
26/10/2017,00:40:00,414.9,414.2,416.4,0,0,0,,,0,0,10.9141
26/10/2017,00:45:00,414.9,414.4,416.6,0,0,0,,,0,0,10.9141
26/10/2017,00:50:00,415.4,414.9,417,0,0,0,,,0,0,10.9141
