Fecha de la Medida,Hora de la Medida,FASE AB,FASE BC,FASE AC,FASE A,FASE B,FASE C,POTENA ATVA AB [W],POTENA ATVA B [W],POTENCIA ACTIVA  [W],,GENERACION [kWh],GEN [kWh]
17/04/2018,15:20:00,419,417.1,419.5,4.771,5.039,4.586,,,3180,3.18,0.795,0.8
17/04/2018,15:35:00,419.6,417.5,420.4,5.018,5.274,4.819,,,3362,3.362,1.6355,1.64
17/04/2018,15:50:00,418.8,417.2,419.5,4.73,4.968,4.55,,,3152,3.152,2.4235,2.42
17/04/2018,16:05:00,413.3,411.8,414.4,1.3,1.385,1.231,,,848.7,0.8487,2.6357,2.64
17/04/2018,16:20:00,416.8,415.2,418.1,3.526,3.72,3.37,,,2387,2.387,3.2324,3.23
17/04/2018,16:35:00,418.5,416.6,419.3,4.346,4.584,4.187,,,2880,2.88,3.9524,3.95
17/04/2018,16:50:00,415.8,414.1,416.6,2.166,2.318,2.084,,,1437,1.437,4.3117,4.31
17/04/2018,17:05:00,411.9,410.7,413.3,1.37,1.479,1.331,,,875,0.875,4.5304,4.53
17/04/2018,17:20:00,417.8,416,418.5,2.583,2.775,2.522,,,1618,1.618,4.9349,4.93
17/04/2018,17:35:00,417.5,416.1,418.5,1.839,2.026,1.828,,,1082,1.082,5.2054,5.21
17/04/2018,17:50:00,413.9,413.1,416,0.7,0.798,0.681,,,317.6,0.3176,5.2848,5.28
17/04/2018,18:05:00,415.3,414.3,416.8,0,0,0,,,0,0,5.2848,5.28
17/04/2018,18:20:00,415.6,414.7,416.8,0,0,0,,,0,0,5.2848,5.28
17/04/2018,18:35:00,414.6,414.1,417.5,0,0,0,,,0,0,5.2848,5.28
17/04/2018,18:50:00,414.5,414,417.5,0.04,0.034,0,,,0,0,5.2848,5.28
17/04/2018,19:05:00,411.4,411.7,416.6,0,0,0,,,0,0,5.2848,5.28
17/04/2018,19:20:00,415.1,414.4,416.7,0,0,0,,,0,0,5.2848,5.28
17/04/2018,19:35:00,414.5,413.6,416.4,0,0,0,,,0,0,5.2848,5.28
17/04/2018,19:50:00,413.6,412.9,415.3,0,0,0,,,0,0,5.2848,5.28
17/04/2018,20:05:00,412.6,411.8,414.6,0,0,0,,,0,0,5.2848,5.28
17/04/2018,20:20:00,413.5,412.3,415.1,0,0,0,,,0,0,5.2848,5.28
17/04/2018,20:35:00,414.2,413.4,416.4,0,0,0,,,0,0,5.2848,5.28
17/04/2018,20:50:00,415.5,414.5,417.6,0,0,0,,,0,0,5.2848,5.28
17/04/2018,21:05:00,416.9,415.7,419.3,0,0,0,,,0,0,5.2848,5.28
17/04/2018,21:20:00,417.7,416.8,419.9,0,0,0,,,0,0,5.2848,5.28
17/04/2018,21:35:00,416.5,415.6,419,0,0,0,,,0,0,5.2848,5.28
17/04/2018,21:50:00,417.2,416.1,419.3,0,0,0,,,0,0,5.2848,5.28
17/04/2018,22:05:00,417.7,416.8,420.2,0,0,0,,,0,0,5.2848,5.28
17/04/2018,22:20:00,418.2,417.2,420.1,0,0,0,,,0,0,5.2848,5.28
17/04/2018,22:35:00,418,416.8,420,0,0,0,,,0,0,5.2848,5.28
17/04/2018,22:50:00,417.2,416.2,418.9,0,0,0,,,0,0,5.2848,5.28
17/04/2018,23:05:00,417.6,416.6,419.7,0,0,0,,,0,0,5.2848,5.28
17/04/2018,23:20:00,416.3,415.1,418,0,0,0,,,0,0,5.2848,5.28
17/04/2018,23:35:00,416.5,415.5,418.5,0,0,0,,,0,0,5.2848,5.28
17/04/2018,23:50:00,416,414.9,417.5,0,0,0,,,0,0,5.2848,5.28
18/04/2018,00:05:00,415.4,414.4,417.3,0,0,0,,,0,0,5.2848,5.28
18/04/2018,00:20:00,416,415,417.6,0,0,0,,,0,0,5.2848,5.28
18/04/2018,00:35:00,416.6,415.6,418.5,0,0,0,,,0,0,5.2848,5.28
18/04/2018,00:50:00,417.1,416.2,418.8,0,0,0,,,0,0,5.2848,5.28
18/04/2018,01:05:00,416.6,415.9,418.7,0,0,0,,,0,0,5.2848,5.28
18/04/2018,01:20:00,417.6,416.6,419.2,0,0,0,,,0,0,5.2848,5.28
18/04/2018,01:35:00,417.4,416.6,419.4,0,0,0,,,0,0,5.2848,5.28
18/04/2018,01:50:00,417.3,416.5,419,0,0,0,,,0,0,5.2848,5.28
18/04/2018,02:05:00,417.8,417,419.7,0,0,0,,,0,0,5.2848,5.28
18/04/2018,02:20:00,418.2,417.5,420,0,0,0,,,0,0,5.2848,5.28
18/04/2018,02:35:00,417.8,417,419.8,0,0,0,,,0,0,5.2848,5.28
18/04/2018,02:50:00,418.4,417.7,420.2,0,0,0,,,0,0,5.2848,5.28
18/04/2018,03:05:00,418.1,417.6,420.2,0,0,0,,,0,0,5.2848,5.28
18/04/2018,03:20:00,418.1,417.4,419.8,0,0,0,,,0,0,5.2848,5.28
18/04/2018,03:35:00,417.8,417.1,419.8,0,0,0,,,0,0,5.2848,5.28
18/04/2018,03:50:00,418.2,417.4,420,0,0,0,,,0,0,5.2848,5.28
18/04/2018,04:05:00,417.8,417.1,419.8,0,0,0,,,0,0,5.2848,5.28
18/04/2018,04:20:00,417.9,417.2,419.8,0,0,0,,,0,0,5.2848,5.28
18/04/2018,04:35:00,417.6,416.8,419.6,0,0,0,,,0,0,5.2848,5.28
18/04/2018,04:50:00,417.3,416.6,419.2,0,0,0,,,0,0,5.2848,5.28
18/04/2018,05:05:00,416.8,416.1,418.9,0,0,0,,,0,0,5.2848,5.28
18/04/2018,05:20:00,417.7,416.9,419.6,0,0,0,,,0,0,5.2848,5.28
18/04/2018,05:35:00,416.9,416.1,419.3,0,0,0,,,0,0,5.2848,5.28
18/04/2018,05:50:00,416.4,415.5,418.7,0,0,0,,,0,0,5.2848,5.28
