Fecha de la Medida,Hora de la Medida,FASE AB,FASE BC,FASE AC,FASE A,FASE B,FASE C,POTENA ATVA AB [W],POTENA ATVA B [W],POTENCIA ACTIVA  [W],,GENERACION [kWh],GEN [kWh]
27/08/2018,14:00:00,412.4,412,414.3,0.819,1.503,1.978,,,2199,1.3579,0.3395,0.34
27/08/2018,14:15:00,410.6,410.5,413.6,0.455,0.877,1.139,,,1619,0.7779,0.534,0.53
27/08/2018,14:30:00,417.3,416.3,418,3.349,4.526,5.217,,,4666,3.8249,1.4902,1.49
27/08/2018,14:45:00,413,412.4,414.8,1.427,1.862,2.148,,,2441,1.5999,1.8902,1.89
27/08/2018,15:00:00,410.4,410,412.7,0.161,0.029,0.438,,,1130,0.2889,1.9624,1.96
27/08/2018,15:15:00,406.5,407.5,412.6,0.009,0.039,0.063,,,903.2,0.0621,1.9779,1.98
27/08/2018,15:30:00,410.9,410.3,412.5,0.021,0,0,,,901.5,0.0604,1.993,1.99
27/08/2018,15:45:00,394.8,400.5,410.9,0.022,0,0.003,,,841.1,0,1.993,1.99
27/08/2018,16:00:00,413.6,412.5,414.7,0.094,0,0.003,,,925.7,0.0846,2.0142,2.01
27/08/2018,16:15:00,413.6,412.3,414.6,0.086,0,0.001,,,921.6,0.0805,2.0343,2.03
27/08/2018,16:30:00,414.1,412.6,414.8,0.095,0,0.003,,,925.4,0.0843,2.0554,2.06
27/08/2018,16:45:00,414,412.3,415.1,0.095,0,0.019,,,928.3,0.0872,2.0772,2.08
27/08/2018,17:00:00,415.1,412.9,415.8,0.114,0,0.093,,,958.5,0.1174,2.1065,2.11
27/08/2018,17:15:00,414.6,412.5,415.6,0.112,0,0.058,,,944.5,0.1034,2.1324,2.13
27/08/2018,17:30:00,414.8,412.8,415.8,0.122,0,0.058,,,948.9,0.1078,2.1593,2.16
27/08/2018,17:45:00,407,410,416.4,0.134,0,0.046,,,929.5,0.0884,2.1814,2.18
27/08/2018,18:00:00,405.9,409.2,416.5,0.161,0,0.006,,,912.8,0.0717,2.1993,2.2
27/08/2018,18:15:00,413.4,412.8,417.4,0.171,0,0.031,,,948.5,0.1074,2.2262,2.23
27/08/2018,18:30:00,415.6,415.3,417.6,0.176,0,0.005,,,960.5,0.1194,2.256,2.26
27/08/2018,18:45:00,416.7,416,418.2,0.216,0,0.005,,,970.9,0.1298,2.2885,2.29
27/08/2018,19:00:00,415.6,414.7,417.3,0.209,0,0.009,,,966.8,0.1257,2.3199,2.32
27/08/2018,19:15:00,415,413.8,416.9,0.193,0,0.009,,,957.8,0.1167,2.3491,2.35
