Fecha de la Medida,Hora de la Medida,FASE AB,FASE BC,FASE AC,FASE A,FASE B,FASE C,POTENA ATVA AB [W],POTENA ATVA B [W],POTENCIA ACTIVA  [W],,GENERACION [kWh],GEN [kWh]
01/12/2018,00:00:00,413.4,412.5,416.3,0,0,0,,,0,0,0,0
01/12/2018,00:15:00,414.4,413.4,417.1,0,0,0,,,0,0,0,0
01/12/2018,00:30:00,415.2,414.2,417.8,0,0,0,,,0,0,0,0
01/12/2018,00:45:00,415.8,414.6,418.3,0,0,0,,,0,0,0,0
01/12/2018,01:00:00,415.9,414.9,418.2,0,0,0,,,0,0,0,0
01/12/2018,01:15:00,416.1,414.9,418.4,0,0,0,,,0,0,0,0
01/12/2018,01:30:00,415.7,414.3,417.9,0,0,0,,,0,0,0,0
01/12/2018,01:45:00,415.8,414.6,418.1,0,0,0,,,0,0,0,0
01/12/2018,02:00:00,416.1,414.9,418.3,0,0,0,,,0,0,0,0
01/12/2018,02:15:00,416.6,415.5,418.8,0,0,0,,,0,0,0,0
01/12/2018,02:30:00,415.4,414.2,417.6,0,0,0,,,0,0,0,0
01/12/2018,02:45:00,414.6,413.4,416.7,0,0,0,,,0,0,0,0
01/12/2018,03:00:00,414.7,413.4,416.6,0,0,0,,,0,0,0,0
01/12/2018,03:15:00,414.9,413.8,416.9,0,0,0,,,0,0,0,0
01/12/2018,03:30:00,415.5,414.2,417.6,0,0,0,,,0,0,0,0
01/12/2018,03:45:00,415.6,414.5,417.7,0,0,0,,,0,0,0,0
01/12/2018,04:00:00,415.6,414.2,417.5,0,0,0,,,0,0,0,0
01/12/2018,04:15:00,416,414.8,418,0,0,0,,,0,0,0,0
01/12/2018,04:30:00,416,414.7,418,0.001,0,0,,,0,0,0,0
01/12/2018,04:45:00,416.3,414.9,418.3,0,0,0,,,0,0,0,0
01/12/2018,05:00:00,416.3,415.1,418.3,0,0,0,,,0,0,0,0
01/12/2018,05:15:00,416.2,414.9,418.2,0,0,0,,,0,0,0,0
01/12/2018,05:30:00,416.3,415,418.4,0,0,0,,,0,0,0,0
01/12/2018,05:45:00,415.9,414.5,418,0,0,0,,,0,0,0,0
01/12/2018,06:00:00,415.4,414.2,417.6,0,0,0,,,0,0,0,0
01/12/2018,06:15:00,415.2,413.7,417.3,0,0,0,,,0,0,0,0
01/12/2018,06:30:00,414.8,413.5,417,0,0,0,,,0,0,0,0
01/12/2018,06:45:00,416.3,414.9,418.3,0,0,0,,,0,0,0,0
01/12/2018,07:00:00,416.6,415.9,418.4,0,0,0,,,0,0,0,0
01/12/2018,07:15:00,413.1,412.6,417,0,0,0,,,0,0,0,0
01/12/2018,07:30:00,412.6,412.4,416,0,0,0,,,0,0,0,0
01/12/2018,07:45:00,414.9,414.6,417.2,1.329,1.878,1.435,,,831,0.831,0.2078,0.21
01/12/2018,08:00:00,418.8,416.2,420.5,4.27,5.169,4.526,,,2967,2.967,0.9495,0.95
01/12/2018,08:15:00,420.2,419.5,421.7,6.046,7.147,6.376,,,4301,4.301,2.0248,2.02
01/12/2018,08:30:00,421.1,420.2,422.6,7.091,8.241,7.437,,,5080,5.08,3.2948,3.29
01/12/2018,08:45:00,421.5,420.8,422.9,7.719,8.973,8.101,,,5551,5.551,4.6825,4.68
01/12/2018,09:00:00,421.9,421.1,423.2,8.378,9.408,8.536,,,6020,6.02,6.1875,6.19
01/12/2018,09:15:00,422.5,421.8,423.8,8.834,9.567,8.678,,,6330,6.33,7.77,7.77
01/12/2018,09:30:00,422.7,421.8,424.4,8.777,9.642,8.762,,,6322,6.322,9.3505,9.35
01/12/2018,09:45:00,423.1,422.2,424.5,8.481,9.741,8.857,,,6143,6.143,10.8863,10.89
01/12/2018,10:00:00,423,422.2,424.5,8.6,9.908,9.006,,,6240,6.24,12.4463,12.45
01/12/2018,10:15:00,422.8,421.9,424.1,8.607,9.869,8.989,,,6233,6.233,14.0045,14
01/12/2018,10:30:00,422.8,422,424.1,8.847,10.16,9.24,,,6422,6.422,15.61,15.61
01/12/2018,10:45:00,423.4,422.2,424.4,9.055,10.03,9.138,,,6547,6.547,17.2468,17.25
01/12/2018,11:00:00,423.2,422.2,424.6,8.908,10.01,9.121,,,6462,6.462,18.8623,18.86
01/12/2018,11:15:00,422.8,421.9,423.9,8.776,10.04,9.151,,,6365,6.365,20.4535,20.45
