Fecha de la Medida,Hora de la Medida,FASE AB,FASE BC,FASE AC,FASE A,FASE B,FASE C,POTENA ATVA AB [W],POTENA ATVA B [W],POTENCIA ACTIVA  [W],,GENERACION [kWh],GEN [kWh]
19/02/2018,15:00:00,418.4,417.2,418.7,,,,,,0,0,0,0
19/02/2018,15:15:00,417.1,415.6,417,,,,,,0,0,0,0
19/02/2018,15:30:00,417.9,416.3,418,,,,,,0,0,0,0
19/02/2018,15:45:00,416.3,415,416.4,,,,,,0,0,0,0
19/02/2018,16:00:00,418,416.1,418,,,,,,0,0,0,0
19/02/2018,16:15:00,416.4,414.6,416.2,,,,,,0,0,0,0
19/02/2018,16:30:00,416.5,414.8,416.5,,,,,,0,0,0,0
19/02/2018,16:45:00,416.8,415.4,416.6,,,,,,0,0,0,0
19/02/2018,17:00:00,417.1,415.9,417.4,,,,,,0,0,0,0
19/02/2018,17:15:00,418.8,417.3,418.6,,,,,,0,0,0,0
19/02/2018,17:30:00,417.3,416,417.6,,,,,,0,0,0,0
19/02/2018,17:45:00,416.6,415.2,416.5,,,,,,0,0,0,0
19/02/2018,18:00:00,417.2,416,417.8,,,,,,0,0,0,0
19/02/2018,18:15:00,417.7,416.3,417.8,,,,,,0,0,0,0
19/02/2018,18:30:00,416,414.9,417.2,,,,,,0,0,0,0
19/02/2018,18:45:00,414.1,413.2,415.3,,,,,,0,0,0,0
19/02/2018,19:00:00,414.3,413.3,415.7,,,,,,0,0,0,0
19/02/2018,19:15:00,414.5,413.3,415.7,,,,,,0,0,0,0
19/02/2018,19:30:00,414.6,413.6,416.2,,,,,,0,0,0,0
19/02/2018,19:45:00,415.7,414.5,417,,,,,,0,0,0,0
19/02/2018,20:00:00,416.6,415.7,418.4,,,,,,0,0,0,0
19/02/2018,20:15:00,417.4,416.8,419.1,,,,,,0,0,0,0
19/02/2018,20:30:00,418.3,417.7,420.4,,,,,,0,0,0,0
19/02/2018,20:45:00,417.3,416.9,419.2,,,,,,0,0,0,0
19/02/2018,21:00:00,418,417.8,420.3,,,,,,0,0,0,0
19/02/2018,21:15:00,418.5,418.1,420.4,,,,,,0,0,0,0
19/02/2018,21:30:00,418.6,418.3,420.8,,,,,,0,0,0,0
19/02/2018,21:45:00,417.8,417.4,419.6,,,,,,0,0,0,0
19/02/2018,22:00:00,416.6,416.5,418.8,,,,,,0,0,0,0
19/02/2018,22:15:00,416.4,416.2,418.2,,,,,,0,0,0,0
19/02/2018,22:30:00,415.4,415.2,417.5,,,,,,0,0,0,0
19/02/2018,22:45:00,415.7,415.4,417.4,,,,,,0,0,0,0
19/02/2018,23:00:00,416.9,416.7,419.2,,,,,,0,0,0,0
19/02/2018,23:15:00,415.6,415.6,417.3,,,,,,0,0,0,0
19/02/2018,23:30:00,412.8,412.9,414.9,,,,,,0,0,0,0
19/02/2018,23:45:00,413.6,413.4,415.1,,,,,,0,0,0,0
20/02/2018,00:00:00,413.8,413.9,415.7,,,,,,0,0,0,0
20/02/2018,00:15:00,414.4,414.4,416,,,,,,0,0,0,0
20/02/2018,00:30:00,413.9,413.9,415.7,,,,,,0,0,0,0
20/02/2018,00:45:00,414.5,414.5,415.8,,,,,,0,0,0,0
20/02/2018,01:00:00,414.4,414.4,416.2,,,,,,0,0,0,0
20/02/2018,01:15:00,415.1,415.1,416.5,,,,,,0,0,0,0
20/02/2018,01:30:00,415,414.8,416.5,,,,,,0,0,0,0
20/02/2018,01:45:00,415.3,415.3,416.7,,,,,,0,0,0,0
20/02/2018,02:00:00,415,415.1,416.9,,,,,,0,0,0,0
