Fecha de la Medida,Hora de la Medida,FASE AB,FASE BC,FASE AC,FASE A,FASE B,FASE C,POTENA ATVA AB [W],POTENA ATVA B [W],POTENCIA ACTIVA  [W],,GENERACION [kWh],GEN [kWh]
23/07/2018,17:40:00,414.5,415.2,417.5,1.378,1.523,1.277,,,714.9,0.7149,0.1787,0.18
23/07/2018,17:55:00,420.1,418.5,421.6,2.005,2.841,2.594,,,1622,1.622,0.5842,0.58
23/07/2018,18:10:00,421,419.5,423,2.167,3.074,2.804,,,1783,1.783,1.03,1.03
23/07/2018,18:25:00,416,415.3,420.3,0.642,1.498,0.867,,,264.1,0.2641,1.096,1.1
23/07/2018,18:40:00,415.5,414.6,418.7,0.121,0.809,0.157,,,44.9,0.0449,1.1072,1.11
23/07/2018,18:55:00,408.7,410.1,418.7,0,0.411,0,,,0,0,1.1072,1.11
23/07/2018,19:10:00,413.6,413.2,418.9,0,0.152,0,,,0,0,1.1072,1.11
23/07/2018,19:25:00,414.5,413.4,420.2,0.001,0.153,0,,,0,0,1.1072,1.11
23/07/2018,19:40:00,415.5,414,420.1,0.001,0.703,0,,,0,0,1.1072,1.11
23/07/2018,19:55:00,418,416.3,419.8,0.001,0.34,0,,,0,0,1.1072,1.11
23/07/2018,20:10:00,416.8,415.5,419.2,0,0.876,0,,,0,0,1.1072,1.11
23/07/2018,20:25:00,415.9,414.5,418.3,0,1.053,0,,,0,0,1.1072,1.11
23/07/2018,20:40:00,415.4,413.9,417.7,0.001,0.532,0,,,0,0,1.1072,1.11
23/07/2018,20:55:00,416.3,414.8,418.5,0,0.838,0,,,0,0,1.1072,1.11
23/07/2018,21:10:00,417.3,415.6,419.3,0,0.296,0,,,0,0,1.1072,1.11
23/07/2018,21:25:00,418.2,416.5,420.1,0.001,0.237,0,,,0,0,1.1072,1.11
23/07/2018,21:40:00,419.2,417.5,421,0.001,0.5,0,,,0,0,1.1072,1.11
23/07/2018,21:55:00,418.6,416.8,420.2,0,0.395,0,,,0,0,1.1072,1.11
23/07/2018,22:10:00,416.3,414.6,418.3,0,0.063,0,,,0,0,1.1072,1.11
23/07/2018,22:25:00,417.7,416.1,419.6,0.001,0.101,0,,,0,0,1.1072,1.11
23/07/2018,22:40:00,418.8,417,420.7,0.002,0.115,0,,,0,0,1.1072,1.11
23/07/2018,22:55:00,418.2,416.4,420.1,0.002,0.029,0,,,0,0,1.1072,1.11
23/07/2018,23:10:00,418.3,416.6,419.8,0.001,0.142,0,,,0,0,1.1072,1.11
23/07/2018,23:25:00,419.3,417.6,420.8,0.001,0.105,0,,,0,0,1.1072,1.11
23/07/2018,23:40:00,420,418.2,421.4,0.001,0.1,0,,,0,0,1.1072,1.11
23/07/2018,23:55:00,419.1,417.4,420.6,0.002,0.139,0,,,0,0,1.1072,1.11
24/07/2018,00:10:00,417.8,416.1,419.4,0.001,0.044,0,,,0,0,1.1072,1.11
24/07/2018,00:25:00,418.2,416.6,419.9,0.008,0.062,0,,,0,0,1.1072,1.11
24/07/2018,00:40:00,418.2,416.5,419.8,0.007,0.112,0,,,0,0,1.1072,1.11
24/07/2018,00:55:00,418.8,417,420.3,0.011,0.08,0,,,0,0,1.1072,1.11
24/07/2018,01:10:00,419.4,417.9,421,0.012,0.149,0,,,0,0,1.1072,1.11
24/07/2018,01:25:00,419.3,417.8,420.8,0.012,0.102,0,,,0,0,1.1072,1.11
24/07/2018,01:40:00,419.7,418.1,421.2,0.014,0.077,0,,,0,0,1.1072,1.11
24/07/2018,01:55:00,419.6,418.1,421.4,0.01,0.142,0,,,0,0,1.1072,1.11
24/07/2018,02:10:00,418,416.6,419.5,0.009,0.12,0,,,0,0,1.1072,1.11
24/07/2018,02:25:00,417.8,416.2,419.3,0.009,0.046,0,,,0,0,1.1072,1.11
24/07/2018,02:40:00,417.3,415.6,418.7,0.007,0.048,0,,,0,0,1.1072,1.11
24/07/2018,02:55:00,417.4,415.8,419,0.008,0.06,0,,,0,0,1.1072,1.11
24/07/2018,03:10:00,418.2,416.7,419.6,0.01,0.083,0,,,0,0,1.1072,1.11
24/07/2018,03:25:00,417.6,416.2,419.1,0.006,0.075,0,,,0,0,1.1072,1.11
24/07/2018,03:40:00,417.5,415.9,418.9,0.015,0.014,0,,,0,0,1.1072,1.11
24/07/2018,03:55:00,417.8,416.3,419.3,0.015,0.133,0,,,0,0,1.1072,1.11
