Fecha de la Medida,Hora de la Medida,FASE AB,FASE BC,FASE AC,FASE A,FASE B,FASE C,POTENA ATVA AB [W],POTENA ATVA B [W],POTENCIA ACTIVA  [W],,GENERACION [kWh],GEN [kWh]
19/06/2018,17:30:00,413.5,413.7,417,0.899,0.485,0.445,,,1199,1.199,0.2998,0.3
19/06/2018,17:45:00,414.3,414.3,417.3,0.878,0,0,,,0,0,0.2998,0.3
19/06/2018,18:00:00,407.7,411.1,418.2,0.905,0,0,,,276.5,0.2765,0.3689,0.37
19/06/2018,18:15:00,412.5,413.8,418.8,0.938,0,0,,,0,0,0.3689,0.37
19/06/2018,18:30:00,413.9,414.8,419.6,0.97,0,0,,,0,0,0.3689,0.37
19/06/2018,18:45:00,414.1,415,420,0.957,0,0,,,0,0,0.3689,0.37
19/06/2018,19:00:00,413.3,414.3,419.5,0.879,0,0,,,0,0,0.3689,0.37
19/06/2018,19:15:00,414.6,415.1,419.7,0.857,0,0,,,0,0,0.3689,0.37
19/06/2018,19:30:00,417.4,417.1,420.1,0.935,0,0,,,0,0,0.3689,0.37
19/06/2018,19:45:00,417.6,417.3,420.3,0.933,0,0,,,0,0,0.3689,0.37
19/06/2018,20:00:00,418,417.5,420.6,1.004,0,0,,,0,0,0.3689,0.37
19/06/2018,20:15:00,416.6,416,419.4,1.01,0,0,,,0,0,0.3689,0.37
19/06/2018,20:30:00,416,415.5,418.8,0.98,0,0,,,0,0,0.3689,0.37
19/06/2018,20:45:00,416.5,416,419.4,0.941,0,0,,,0,0,0.3689,0.37
19/06/2018,21:00:00,417.3,417,420.1,1.01,0,0,,,0,0,0.3689,0.37
19/06/2018,21:15:00,418.3,417.9,421.2,0.997,0,0,,,0,0,0.3689,0.37
19/06/2018,21:30:00,418.4,418,421.2,1.057,0,0,,,0,0,0.3689,0.37
19/06/2018,21:45:00,416.9,416.6,419.8,1.038,0,0,,,0,0,0.3689,0.37
19/06/2018,22:00:00,417.3,416.9,419.9,1.024,0,0,,,0,0,0.3689,0.37
19/06/2018,22:15:00,417.3,417,420,1.007,0,0,,,0,0,0.3689,0.37
19/06/2018,22:30:00,418.2,417.8,420.8,1.032,0,0,,,0,0,0.3689,0.37
19/06/2018,22:45:00,418.8,418.4,421.5,1.025,0,0,,,0,0,0.3689,0.37
19/06/2018,23:00:00,418.9,418.5,421.3,0.971,0,0,,,0,0,0.3689,0.37
19/06/2018,23:15:00,416.5,416.1,418.7,0.882,0,0,,,0,0,0.3689,0.37
19/06/2018,23:30:00,417,416.4,418.9,0.945,0,0,,,0,0,0.3689,0.37
19/06/2018,23:45:00,418,417.5,420,0.974,0,0,,,0,0,0.3689,0.37
20/06/2018,00:00:00,418.3,417.9,420.5,0.991,0,0,,,0,0,0.3689,0.37
20/06/2018,00:15:00,419.2,418.8,421.2,1.077,0,0,,,0,0,0.3689,0.37
20/06/2018,00:30:00,419.3,419,421.3,1.096,0,0,,,0,0,0.3689,0.37
20/06/2018,00:45:00,419.3,419.1,421.3,1.093,0,0,,,0,0,0.3689,0.37
20/06/2018,01:00:00,418.7,418.5,420.7,1.091,0,0,,,0,0,0.3689,0.37
20/06/2018,01:15:00,417.2,417,419.2,1.017,0,0,,,0,0,0.3689,0.37
20/06/2018,01:30:00,417.2,416.7,418.7,0.976,0,0,,,0,0,0.3689,0.37
20/06/2018,01:45:00,417.3,416.8,418.8,0.989,0,0,,,0,0,0.3689,0.37
20/06/2018,02:00:00,417.3,416.8,418.8,0.984,0,0,,,0,0,0.3689,0.37
20/06/2018,02:15:00,417.4,416.8,418.9,1.01,0,0,,,0,0,0.3689,0.37
20/06/2018,02:30:00,418.1,417.5,419.6,1.058,0,0,,,0,0,0.3689,0.37
20/06/2018,02:45:00,417.7,417,419.3,1.027,0,0,,,0,0,0.3689,0.37
20/06/2018,03:00:00,417.7,416.9,419.2,1.033,0,0,,,0,0,0.3689,0.37
20/06/2018,03:15:00,417.7,417.2,419.4,1.019,0,0,,,0,0,0.3689,0.37
20/06/2018,03:30:00,417.7,417.2,419.4,1.03,0,0,,,0,0,0.3689,0.37
20/06/2018,03:45:00,417.7,417,419.2,1.023,0,0,,,0,0,0.3689,0.37
20/06/2018,04:00:00,417.2,416.3,418.6,1.002,0,0,,,0,0,0.3689,0.37
20/06/2018,04:15:00,417.4,416.6,418.8,0.995,0,0,,,0,0,0.3689,0.37
20/06/2018,04:30:00,417.7,416.9,419.1,1.009,0,0,,,0,0,0.3689,0.37
20/06/2018,04:45:00,417.6,416.8,419.1,1.007,0,0,,,0,0,0.3689,0.37
20/06/2018,05:00:00,416.9,416.1,418.4,0.999,0,0,,,0,0,0.3689,0.37
20/06/2018,05:15:00,416.1,415.2,417.8,0.952,0,0,,,0,0,0.3689,0.37
20/06/2018,05:30:00,415.7,414.8,417.3,0.919,0,0,,,0,0,0.3689,0.37
20/06/2018,05:45:00,416.5,415.6,418.1,0.975,0,0,,,0,0,0.3689,0.37
20/06/2018,06:00:00,416.5,415.6,418.1,0.988,0,0,,,0,0,0.3689,0.37
20/06/2018,06:15:00,415.2,414.3,417,0.916,0,0,,,0,0,0.3689,0.37
20/06/2018,06:30:00,414.4,413.5,416.2,0.864,0,0,,,0,0,0.3689,0.37
20/06/2018,06:45:00,413.8,413,415.8,0.86,0,0,,,0,0,0.3689,0.37
20/06/2018,07:00:00,413.9,413.2,415.9,0.883,0,0,,,0,0,0.3689,0.37
20/06/2018,07:15:00,413.5,412.7,415.1,0.883,0,0,,,0,0,0.3689,0.37
20/06/2018,07:30:00,412.6,411.7,414.4,0.755,0,0,,,0,0,0.3689,0.37
20/06/2018,07:45:00,410.3,410.1,415.4,0.625,0,0,,,0,0,0.3689,0.37
20/06/2018,08:00:00,397.7,404.9,415.3,0.714,0,0,,,718.9,0.7189,0.5486,0.55
20/06/2018,08:15:00,410.5,412.9,416.9,0.883,0,0,,,754.6,0.7546,0.7373,0.74
20/06/2018,08:30:00,415.3,414.7,416.9,0.94,0,0,,,0,0,0.7373,0.74
20/06/2018,08:45:00,415.8,415.3,417.5,0.963,0,0,,,0,0,0.7373,0.74
20/06/2018,09:00:00,414.5,414,416.3,0.836,0,0,,,0,0,0.7373,0.74
20/06/2018,09:15:00,413,412.7,415,0.845,0,0,,,0,0,0.7373,0.74
20/06/2018,09:30:00,412.5,411.7,414.1,0.739,0,0,,,0,0,0.7373,0.74
20/06/2018,09:45:00,412.2,411.8,414.1,0.842,0,0,,,0,0,0.7373,0.74
20/06/2018,10:00:00,411.6,411.1,413.5,0.821,0.002,0.006,,,0,0,0.7373,0.74
20/06/2018,10:15:00,412.7,412.2,414.2,0.444,1.341,1.425,,,0,0,0.7373,0.74
20/06/2018,10:30:00,412.2,412,413.8,0.378,1.663,1.733,,,16.77,0.0168,0.7414,0.74
20/06/2018,10:45:00,415.5,415.5,417.1,0.454,3.541,3.639,,,913.8,0.9138,0.9699,0.97
20/06/2018,11:00:00,417.6,417,418.6,1.624,5.888,6.001,,,2625,2.625,1.6261,1.63
20/06/2018,11:15:00,420.2,419.5,421.2,3.696,8.602,8.717,,,4593,4.593,2.7744,2.77
20/06/2018,11:30:00,421.6,420.8,422.5,3.395,8.151,8.185,,,4260,4.26,3.8394,3.84
20/06/2018,11:45:00,415.7,415.2,416.6,0.799,3.867,3.863,,,1445,1.445,4.2006,4.2
20/06/2018,12:00:00,411,410.6,413,0.841,0.202,0.224,,,579.7,0.5797,4.3456,4.35
20/06/2018,12:15:00,411.4,410.7,412.9,0.567,0.812,0.835,,,655.3,0.6553,4.5094,4.51
20/06/2018,12:30:00,406.1,407.2,411.6,0.729,0.072,0.092,,,227.4,0.2274,4.5662,4.57
20/06/2018,12:45:00,409.6,409.6,412.2,0.55,0.578,0.595,,,277.6,0.2776,4.6356,4.64
20/06/2018,13:00:00,412.3,411.5,413.5,0.449,0.821,0.874,,,288.3,0.2883,4.7077,4.71
20/06/2018,13:15:00,408.5,408.7,412,0.548,0.795,0.912,,,610,0.61,4.8602,4.86
20/06/2018,13:30:00,415.1,414.2,416.2,1.214,3.998,4.083,,,2408,2.408,5.4622,5.46
20/06/2018,13:45:00,415.8,414.6,416.4,0.737,4.039,4.02,,,1578,1.578,5.8567,5.86
20/06/2018,14:00:00,414,413.2,415,0.329,2.711,2.826,,,966.8,0.9668,6.0984,6.1
20/06/2018,14:15:00,410.8,410.1,413.3,0.453,1.406,1.475,,,646.9,0.6469,6.2601,6.26
20/06/2018,14:30:00,409.8,409.1,412.2,0.631,0,0,,,0,0,6.2601,6.26
20/06/2018,14:45:00,404,405.2,411.2,0.566,0,0,,,0,0,6.2601,6.26
20/06/2018,15:00:00,410.7,409.5,412,0.534,0,0,,,0,0,6.2601,6.26
20/06/2018,15:15:00,411.2,410.4,412.3,0.676,0,0,,,0,0,6.2601,6.26
20/06/2018,15:30:00,411,410.2,412.1,0.569,0,0,,,0,0,6.2601,6.26
20/06/2018,15:45:00,411.3,410.1,412.2,0.606,0,0,,,0,0,6.2601,6.26
20/06/2018,16:00:00,408.7,408.7,412.4,0.658,0.137,0.138,,,124.2,0.1242,6.2912,6.29
20/06/2018,16:15:00,410.3,410,413,0.659,0.195,0.183,,,291.6,0.2916,6.3641,6.36
20/06/2018,16:30:00,408.5,408.8,412.9,0.716,0.026,0.048,,,0,0,6.3641,6.36
20/06/2018,16:45:00,410.3,410.1,413.9,0.662,0.2,0.206,,,343.7,0.3437,6.45,6.45
20/06/2018,17:00:00,415.8,414.5,417,0.318,2.493,2.525,,,556.3,0.5563,6.5891,6.59
20/06/2018,17:15:00,413,412.2,415.3,0.616,0.629,0.678,,,490.2,0.4902,6.7116,6.71
20/06/2018,17:30:00,415.3,414.5,417.3,0.565,2.074,2.118,,,1407,1.407,7.0634,7.06
20/06/2018,17:45:00,413.1,413.4,417,0.569,1.176,1.266,,,657.5,0.6575,7.2278,7.23
20/06/2018,18:00:00,414.6,414.1,417.7,0.546,1.198,1.26,,,602.5,0.6025,7.3784,7.38
20/06/2018,18:15:00,412,412.4,416.7,0.702,0,0,,,460.9,0.4609,7.4936,7.49
20/06/2018,18:30:00,403.5,408,417.1,0.721,0,0,,,335,0.335,7.5774,7.58
20/06/2018,18:45:00,411,412.6,418.9,0.788,0,0,,,528.7,0.5287,7.7095,7.71
20/06/2018,19:00:00,402,408.2,419.5,0.806,0,0,,,610.6,0.6106,7.8622,7.86
20/06/2018,19:15:00,409.5,411.9,418.7,0.772,0,0,,,609.7,0.6097,8.0146,8.01
20/06/2018,19:30:00,415.8,415,418,0.783,0,0,,,0,0,8.0146,8.01
20/06/2018,19:45:00,416.1,415.5,418.3,0.882,0,0,,,0,0,8.0146,8.01
20/06/2018,20:00:00,416,415.4,418.6,0.855,0,0,,,0,0,8.0146,8.01
20/06/2018,20:15:00,415.6,414.7,418.2,0.828,0,0,,,0,0,8.0146,8.01
20/06/2018,20:30:00,414.9,414.3,417.7,0.855,0,0,,,0,0,8.0146,8.01
20/06/2018,20:45:00,415,414.5,418,0.874,0,0,,,0,0,8.0146,8.01
20/06/2018,21:00:00,415.6,415,418.6,0.901,0,0,,,0,0,8.0146,8.01
20/06/2018,21:15:00,416.3,415.8,419.4,0.992,0,0,,,0,0,8.0146,8.01
20/06/2018,21:30:00,417.7,417.2,420.5,1.027,0,0,,,0,0,8.0146,8.01
20/06/2018,21:45:00,417.8,417.2,420.5,1.053,0,0,,,0,0,8.0146,8.01
20/06/2018,22:00:00,414.7,414.3,417.6,0.921,0,0,,,0,0,8.0146,8.01
20/06/2018,22:15:00,414.6,414.2,417.5,0.916,0,0,,,0,0,8.0146,8.01
20/06/2018,22:30:00,415.8,415.3,418.6,0.915,0,0,,,0,0,8.0146,8.01
20/06/2018,22:45:00,416.3,415.7,419.1,0.948,0,0,,,0,0,8.0146,8.01
20/06/2018,23:00:00,417.7,417.2,420.2,1.005,0,0,,,0,0,8.0146,8.01
20/06/2018,23:15:00,417.7,417.2,420.3,0.965,0,0,,,0,0,8.0146,8.01
20/06/2018,23:30:00,418,417.4,420.3,0.966,0,0,,,0,0,8.0146,8.01
20/06/2018,23:45:00,418.2,417.7,420.5,0.96,0,0,,,0,0,8.0146,8.01
21/06/2018,00:00:00,418,417.5,420.3,0.983,0,0,,,0,0,8.0146,8.01
21/06/2018,00:15:00,418.1,417.6,420.4,0.946,0,0,,,0,0,8.0146,8.01
21/06/2018,00:30:00,418.4,418,420.7,0.966,0,0,,,0,0,8.0146,8.01
21/06/2018,00:45:00,418.3,417.9,420.5,0.995,0,0,,,0,0,8.0146,8.01
21/06/2018,01:00:00,417.3,416.9,419.5,0.98,0,0,,,0,0,8.0146,8.01
21/06/2018,01:15:00,417.1,416.7,419.2,0.943,0,0,,,0,0,8.0146,8.01
21/06/2018,01:30:00,417.4,417,419.6,0.98,0,0,,,0,0,8.0146,8.01
21/06/2018,01:45:00,417.6,417.4,419.9,1.001,0,0,,,0,0,8.0146,8.01
21/06/2018,02:00:00,417.6,417.2,419.8,1.014,0,0,,,0,0,8.0146,8.01
21/06/2018,02:15:00,417.9,417.4,420.1,1.007,0,0,,,0,0,8.0146,8.01
21/06/2018,02:30:00,417.9,417.6,420.2,0.982,0,0,,,0,0,8.0146,8.01
21/06/2018,02:45:00,417.5,417.1,419.9,0.963,0,0,,,0,0,8.0146,8.01
21/06/2018,03:00:00,418.4,417.9,420.6,0.996,0,0,,,0,0,8.0146,8.01
21/06/2018,03:15:00,418.5,418,420.6,1.005,0,0,,,0,0,8.0146,8.01
21/06/2018,03:30:00,418.5,418,420.6,0.988,0,0,,,0,0,8.0146,8.01
21/06/2018,03:45:00,418.9,418.3,420.9,1.023,0,0,,,0,0,8.0146,8.01
21/06/2018,04:00:00,418.9,418.2,420.8,1.024,0,0,,,0,0,8.0146,8.01
21/06/2018,04:15:00,418.6,418,420.7,1.012,0,0,,,0,0,8.0146,8.01
21/06/2018,04:30:00,418.3,417.8,420.4,0.977,0,0,,,0,0,8.0146,8.01
21/06/2018,04:45:00,418.2,417.5,420.2,1.004,0,0,,,0,0,8.0146,8.01
21/06/2018,05:00:00,417.6,416.9,419.5,0.97,0,0,,,0,0,8.0146,8.01
21/06/2018,05:15:00,417.3,416.6,419.2,0.969,0,0,,,0,0,8.0146,8.01
21/06/2018,05:30:00,416.8,416.2,419,0.957,0,0,,,0,0,8.0146,8.01
