Fecha de la Medida,Hora de la Medida,FASE AB,FASE BC,FASE AC,FASE A,FASE B,FASE C,POTENA ATVA AB [W],POTENA ATVA B [W],POTENCIA ACTIVA  [W],,GENERACION [kWh],GEN [kWh]
16/03/2018,18:00:00,413.1,413.4,417.5,0.003,0.027,0,,,0,0,0,0
16/03/2018,18:15:00,409,411.6,417.5,0,0,0,,,0,0,0,0
16/03/2018,18:30:00,417.3,415.7,418.5,0,0,0,,,0,0,0,0
16/03/2018,18:45:00,416.4,414.8,417.9,0,0,0,,,0,0,0,0
16/03/2018,19:00:00,415.2,413.6,416.7,0,0,0,,,0,0,0,0
16/03/2018,19:15:00,415.6,414.1,417.2,0,0,0,,,0,0,0,0
16/03/2018,19:30:00,416.3,415,417.9,0,0,0,,,0,0,0,0
16/03/2018,19:45:00,417.1,415.7,418.8,0,0,0,,,0,0,0,0
16/03/2018,20:00:00,417.4,416,419.1,0,0,0,,,0,0,0,0
16/03/2018,20:15:00,417.1,415.5,418.8,0,0,0,,,0,0,0,0
16/03/2018,20:30:00,417.7,416.3,419.3,0,0,0,,,0,0,0,0
16/03/2018,20:45:00,418.8,417.4,420.3,0,0,0,,,0,0,0,0
16/03/2018,21:00:00,417.5,416.5,419.4,0,0,0,,,0,0,0,0
16/03/2018,21:15:00,416.5,415.7,418.6,0,0,0,,,0,0,0,0
16/03/2018,21:30:00,417.2,416.1,419.4,0,0,0,,,0,0,0,0
16/03/2018,21:45:00,417.8,416.7,420.2,0,0,0,,,0,0,0,0
16/03/2018,22:00:00,418.5,417.3,420.8,0,0,0,,,0,0,0,0
16/03/2018,22:15:00,418.2,417,420.2,0,0,0,,,0,0,0,0
16/03/2018,22:30:00,418.4,417.1,420.4,0,0,0,,,0,0,0,0
16/03/2018,22:45:00,418.7,417.2,420.6,0,0,0,,,0,0,0,0
16/03/2018,23:00:00,418.4,417,420.2,0,0,0,,,0,0,0,0
16/03/2018,23:15:00,413.8,412.5,415.7,0,0,0,,,0,0,0,0
16/03/2018,23:30:00,413.9,412.5,415.5,0,0,0,,,0,0,0,0
16/03/2018,23:45:00,412.9,411.4,414.6,0,0,0,,,0,0,0,0
17/03/2018,00:00:00,413,411.6,414.8,0,0,0,,,0,0,0,0
17/03/2018,00:15:00,413.2,411.9,415.1,0,0,0,,,0,0,0,0
17/03/2018,00:30:00,413.4,411.9,415.1,0,0,0,,,0,0,0,0
17/03/2018,00:45:00,413.8,412.4,415.5,0,0,0,,,0,0,0,0
17/03/2018,01:00:00,414.8,413.4,416.6,0,0,0,,,0,0,0,0
17/03/2018,01:15:00,415,413.7,416.9,0,0,0,,,0,0,0,0
17/03/2018,01:30:00,414.5,413.1,416.3,0,0,0,,,0,0,0,0
17/03/2018,01:45:00,414,412.7,416,0,0,0,,,0,0,0,0
17/03/2018,02:00:00,414,412.7,415.8,0,0,0,,,0,0,0,0
17/03/2018,02:15:00,414.7,413.3,416.6,0,0,0,,,0,0,0,0
17/03/2018,02:30:00,414.6,413.4,416.5,0,0,0,,,0,0,0,0
17/03/2018,02:45:00,414.7,413.6,416.8,0,0,0,,,0,0,0,0
17/03/2018,03:00:00,415.1,414,417.1,0,0,0,,,0,0,0,0
17/03/2018,03:15:00,415.1,414,417,0,0,0,,,0,0,0,0
17/03/2018,03:30:00,414.5,413.2,416.4,0,0,0,,,0,0,0,0
17/03/2018,03:45:00,414.3,413.1,416.2,0,0,0,,,0,0,0,0
17/03/2018,04:00:00,414.5,413.1,416.2,0,0,0,,,0,0,0,0
17/03/2018,04:15:00,414.5,413.3,416.4,0,0,0,,,0,0,0,0
17/03/2018,04:30:00,414.3,413.1,416.1,0,0,0,,,0,0,0,0
17/03/2018,04:45:00,414.5,413.1,416.2,0,0,0,,,0,0,0,0
17/03/2018,05:00:00,414.8,413.4,416.3,0,0,0,,,0,0,0,0
17/03/2018,05:15:00,414.2,413,415.9,0,0,0,,,0,0,0,0
17/03/2018,05:30:00,414.2,412.8,415.7,0,0,0,,,0,0,0,0
17/03/2018,05:45:00,414,412.7,415.9,0,0,0,,,0,0,0,0
17/03/2018,06:00:00,413.9,412.6,415.7,0,0,0,,,0,0,0,0
17/03/2018,06:15:00,413.9,412.5,415.6,0,0,0,,,0,0,0,0
17/03/2018,06:30:00,415.2,414,417,0,0,0,,,0,0,0,0
17/03/2018,06:45:00,415,413.9,417.2,0,0,0,,,0,0,0,0
