Fecha de la Medida,Hora de la Medida,FASE AB,FASE BC,FASE AC,FASE A,FASE B,FASE C,POTENA ATVA AB [W],POTENA ATVA B [W],POTENCIA ACTIVA  [W],,GENERACION [kWh],GEN [kWh]
23/05/2018,15:26:00,413.2,412.1,415.2,2.194,2.297,2.682,,,1790,1.79,0.4475,0.45
23/05/2018,15:41:00,419.7,417.8,420.7,5.296,5.637,6.256,,,4167,4.167,1.4893,1.49
23/05/2018,15:56:00,420.3,418.4,420.9,5.504,5.797,6.424,,,4308,4.308,2.5663,2.57
23/05/2018,16:11:00,420.8,419.1,421.5,5.606,5.819,6.49,,,4358,4.358,3.6558,3.66
23/05/2018,16:26:00,420.9,419.7,421.9,5.819,6.099,6.788,,,4553,4.553,4.794,4.79
23/05/2018,16:41:00,420.5,418.9,421.5,5.432,5.675,6.314,,,4241,4.241,5.8543,5.85
23/05/2018,16:56:00,419.8,418.2,420.4,4.302,4.517,5.172,,,3385,3.385,6.7005,6.7
23/05/2018,17:11:00,416.2,414.7,417.5,2.122,2.166,2.657,,,1747,1.747,7.1373,7.14
23/05/2018,17:26:00,413.7,412.1,416.8,0.96,0.924,1.277,,,759.5,0.7595,7.3271,7.33
23/05/2018,17:41:00,415.3,413.9,417.2,0.784,0.849,1.411,,,799.7,0.7997,7.5271,7.53
23/05/2018,17:56:00,406.8,407.4,415.8,0.001,0,0,,,0,0,7.5271,7.53
23/05/2018,18:11:00,404.4,406.7,416.5,0.013,0,0,,,0,0,7.5271,7.53
23/05/2018,18:26:00,412.3,412.3,417.4,0.025,0,0,,,0,0,7.5271,7.53
23/05/2018,18:41:00,413.7,412,415.9,0.006,0,0,,,0,0,7.5271,7.53
23/05/2018,18:56:00,415.3,413.8,416.9,0.12,0,0,,,0,0,7.5271,7.53
23/05/2018,19:11:00,415.8,414.6,417.4,0.434,0,0,,,0,0,7.5271,7.53
23/05/2018,19:26:00,417,415.5,418.3,0.059,0,0,,,0,0,7.5271,7.53
23/05/2018,19:41:00,416.7,415.1,418.3,0.092,0,0,,,0,0,7.5271,7.53
23/05/2018,19:56:00,416.9,415.3,418.5,0.192,0,0,,,0,0,7.5271,7.53
