Fecha de la Medida,Hora de la Medida,FASE AB,FASE BC,FASE AC,FASE A,FASE B,FASE C,POTENA ATVA AB [W],POTENA ATVA B [W],POTENCIA ACTIVA  [W],,GENERACION [kWh],GEN [kWh]
23/11/2018,14:35:00,409.9,410.7,412,1.416,3.091,2.772,,,1420,1.42,0.355,0.36
23/11/2018,14:50:00,409.9,410.4,411.8,1.312,2.885,2.553,,,1312,1.312,0.683,0.68
23/11/2018,15:05:00,409.2,409.7,411.3,0.858,2.39,2.101,,,982.1,0.9821,0.9285,0.93
23/11/2018,15:20:00,408.4,408.9,410.9,0.405,1.82,1.58,,,586.8,0.5868,1.0752,1.08
23/11/2018,15:35:00,409.2,409.7,411.3,0.274,1.586,1.373,,,421.7,0.4217,1.1807,1.18
23/11/2018,15:50:00,409,409.7,411.4,0.172,1.309,1.119,,,201.7,0.2017,1.2311,1.23
23/11/2018,16:05:00,408.5,409.1,410.9,0.177,1.169,0.678,,,106.2,0.1062,1.2576,1.26
23/11/2018,16:20:00,408.5,409.2,411.3,0.188,0.347,0.002,,,0.327,0.0003,1.2577,1.26
23/11/2018,16:35:00,408.6,409.5,411.6,0.253,0,0,,,0,0,1.2577,1.26
23/11/2018,16:50:00,407.6,408.4,410.9,0.472,0.006,0,,,0,0,1.2577,1.26
23/11/2018,17:05:00,399.6,401.3,405,0.312,0,0,,,0,0,1.2577,1.26
23/11/2018,17:20:00,405.7,406.4,412.9,0.328,0,0,,,0,0,1.2577,1.26
23/11/2018,17:35:00,410.3,411.2,413.3,0.39,0,0,,,0,0,1.2577,1.26
23/11/2018,17:50:00,410.3,410.8,413.9,0.363,0,0,,,0,0,1.2577,1.26
23/11/2018,18:05:00,407.8,408.3,411.7,0.366,0,0,,,0,0,1.2577,1.26
23/11/2018,18:20:00,408.4,408.7,412.4,0.355,0,0,,,0,0,1.2577,1.26
23/11/2018,18:35:00,409.9,410.1,413.8,0.348,0,0,,,0,0,1.2577,1.26
23/11/2018,18:50:00,410.2,410.8,414.6,0.398,0,0,,,0,0,1.2577,1.26
23/11/2018,19:05:00,411.2,411.7,415.3,0.389,0,0,,,0,0,1.2577,1.26
23/11/2018,19:20:00,411.7,412.1,416,0.388,0,0,,,0,0,1.2577,1.26
23/11/2018,19:35:00,412.3,412.8,416.5,0.416,0,0,,,0,0,1.2577,1.26
23/11/2018,19:50:00,412.5,412.8,416.6,0.409,0,0,,,0,0,1.2577,1.26
23/11/2018,20:05:00,411.7,412.3,415.9,0.434,0,0,,,0,0,1.2577,1.26
23/11/2018,20:20:00,412.5,412.9,416.7,0.397,0,0,,,0,0,1.2577,1.26
23/11/2018,20:35:00,413.3,413.6,417.3,0.377,0,0,,,0,0,1.2577,1.26
23/11/2018,20:50:00,413.2,413.6,417.2,0.41,0,0,,,0,0,1.2577,1.26
23/11/2018,21:05:00,411.8,411.9,415.9,0.365,0,0,,,0,0,1.2577,1.26
23/11/2018,21:20:00,412.9,412.9,416.7,0.393,0,0,,,0,0,1.2577,1.26
23/11/2018,21:35:00,413.6,413.6,417.5,0.376,0,0,,,0,0,1.2577,1.26
23/11/2018,21:50:00,414.6,414.5,418.6,0.397,0,0,,,0,0,1.2577,1.26
23/11/2018,22:05:00,412.5,412.2,416.1,0.392,0,0,,,0,0,1.2577,1.26
23/11/2018,22:20:00,413.1,412.5,416.2,0.362,0,0,,,0,0,1.2577,1.26
23/11/2018,22:35:00,412.8,412.1,415.8,0.361,0,0,,,0,0,1.2577,1.26
23/11/2018,22:50:00,413.5,412.7,416.6,0.341,0,0,,,0,0,1.2577,1.26
23/11/2018,23:05:00,413,412.2,416.1,0.326,0,0,,,0,0,1.2577,1.26
23/11/2018,23:20:00,414.5,413.7,417.3,0.345,0,0,,,0,0,1.2577,1.26
23/11/2018,23:35:00,415.4,414.1,417.9,0.281,0,0,,,0,0,1.2577,1.26
23/11/2018,23:50:00,415.3,414.2,417.8,0.28,0,0,,,0,0,1.2577,1.26
24/11/2018,00:05:00,415.6,414.7,418,0.277,0,0,,,0,0,1.2577,1.26
24/11/2018,00:20:00,416.1,415.2,418.7,0.277,0,0,,,0,0,1.2577,1.26
24/11/2018,00:35:00,415.3,414.3,417.7,0.284,0,0,,,0,0,1.2577,1.26
24/11/2018,00:50:00,414.8,413.8,417.3,0.248,0,0,,,0,0,1.2577,1.26
24/11/2018,01:05:00,415.2,414.4,417.9,0.285,0,0,,,0,0,1.2577,1.26
24/11/2018,01:20:00,415.9,414.8,418.3,0.257,0,0,,,0,0,1.2577,1.26
24/11/2018,01:35:00,416.1,415.2,418.4,0.294,0,0,,,0,0,1.2577,1.26
24/11/2018,01:50:00,416.5,415.6,418.8,0.277,0,0,,,0,0,1.2577,1.26
24/11/2018,02:05:00,416,415.2,418.4,0.275,0,0,,,0,0,1.2577,1.26
24/11/2018,02:20:00,416.2,415.2,418.5,0.282,0,0,,,0,0,1.2577,1.26
24/11/2018,02:35:00,416.6,415.4,418.6,0.269,0,0,,,0,0,1.2577,1.26
24/11/2018,02:50:00,416.7,415.8,418.9,0.302,0,0,,,0,0,1.2577,1.26
24/11/2018,03:05:00,414.9,413.9,417.1,0.261,0,0,,,0,0,1.2577,1.26
24/11/2018,03:20:00,414.4,413.5,416.7,0.284,0,0,,,0,0,1.2577,1.26
24/11/2018,03:35:00,414.7,413.8,416.9,0.271,0,0,,,0,0,1.2577,1.26
24/11/2018,03:50:00,414.2,413.3,416.5,0.257,0,0,,,0,0,1.2577,1.26
