Fecha de la Medida,Hora de la Medida,FASE AB,FASE BC,FASE AC,FASE A,FASE B,FASE C,POTENA ATVA AB [W],POTENA ATVA B [W],POTENCIA ACTIVA  [W],,GENERACION [kWh],GEN [kWh]
21/09/2018,13:55:00,424,423.4,425.8,7.344,8.188,7.92,,,5563,5.563,1.3908,1.39
21/09/2018,14:10:00,423.1,422.3,425.7,6.267,6.941,6.732,,,4755,4.755,2.5795,2.58
21/09/2018,14:25:00,426,424.7,427,7.009,7.736,7.518,,,5269,5.269,3.8968,3.9
21/09/2018,14:40:00,424,423,425.5,6.033,6.637,6.417,,,4572,4.572,5.0398,5.04
21/09/2018,14:55:00,423.4,422.5,425.7,5.573,6.113,5.921,,,4245,4.245,6.101,6.1
21/09/2018,15:10:00,417.6,416.9,419.2,1.452,1.588,1.517,,,1075,1.075,6.3698,6.37
21/09/2018,15:25:00,415.6,415.5,418.8,0.848,0.942,0.915,,,609.1,0.6091,6.522,6.52
21/09/2018,15:40:00,411.6,412,416,0.087,0.025,0.011,,,0.773,0.0008,6.5222,6.52
21/09/2018,15:55:00,417.2,416.7,419.5,2.19,2.381,2.306,,,1620,1.62,6.9272,6.93
21/09/2018,16:10:00,416.5,415.1,417.7,0,0,0,,,0,0,6.9272,6.93
21/09/2018,16:25:00,419.1,418,421.6,2.713,2.951,2.871,,,2032,2.032,7.4352,7.44
21/09/2018,16:40:00,425.5,423.9,426.4,6.084,6.699,6.531,,,4519,4.519,8.565,8.56
21/09/2018,16:55:00,416.3,415.6,419.6,2.39,2.665,2.637,,,1789,1.789,9.0122,9.01
21/09/2018,17:10:00,421.7,420.1,422.9,4.377,4.926,4.888,,,3203,3.203,9.813,9.81
21/09/2018,17:25:00,420.7,419,421.9,3.308,3.745,3.808,,,2419,2.419,10.4177,10.42
21/09/2018,17:40:00,418.8,417.4,420.2,2.125,2.463,2.594,,,1580,1.58,10.8127,10.81
21/09/2018,17:55:00,417.4,415.9,419.2,0.161,0.153,0.325,,,76.09,0.0761,10.8317,10.83
21/09/2018,18:10:00,417.6,415.8,419.2,0.672,0.015,0.028,,,0,0,10.8317,10.83
21/09/2018,18:25:00,410.6,410.8,416.1,0.302,0.028,0.035,,,0,0,10.8317,10.83
21/09/2018,18:40:00,414.2,413,418.8,0,0,0,,,0,0,10.8317,10.83
21/09/2018,18:55:00,416.4,414.6,418.7,0,0,0,,,0,0,10.8317,10.83
21/09/2018,19:10:00,417.1,415.5,419.1,0,0,0,,,0,0,10.8317,10.83
21/09/2018,19:25:00,416.4,414.8,418.3,0,0,0,,,0,0,10.8317,10.83
21/09/2018,19:40:00,415.9,414.5,417.8,0,0,0,,,0,0,10.8317,10.83
21/09/2018,19:55:00,416.7,415.3,418.5,0,0,0,,,0,0,10.8317,10.83
21/09/2018,20:10:00,417.3,416,419.4,0,0,0,,,0,0,10.8317,10.83
21/09/2018,20:25:00,417.5,416.3,419.9,0,0,0,,,0,0,10.8317,10.83
21/09/2018,20:40:00,417.4,416.5,419.9,0,0,0,,,0,0,10.8317,10.83
21/09/2018,20:55:00,417.1,416.3,419.7,0,0,0,,,0,0,10.8317,10.83
21/09/2018,21:10:00,417.6,416.7,420.2,0,0,0,,,0,0,10.8317,10.83
21/09/2018,21:25:00,418,417.1,420.7,0,0,0,,,0,0,10.8317,10.83
21/09/2018,21:40:00,418.8,417.9,421.5,0,0,0,,,0,0,10.8317,10.83
21/09/2018,21:55:00,417.5,416.9,420.3,0,0,0,,,0,0,10.8317,10.83
21/09/2018,22:10:00,416.1,415.3,418.9,0,0,0,,,0,0,10.8317,10.83
21/09/2018,22:25:00,416.9,416,419.6,0,0,0,,,0,0,10.8317,10.83
21/09/2018,22:40:00,417.8,416.7,420.4,0,0,0,,,0,0,10.8317,10.83
21/09/2018,22:55:00,418.8,417.9,421.2,0,0,0,,,0,0,10.8317,10.83
21/09/2018,23:10:00,418.3,417.5,420.7,0,0,0,,,0,0,10.8317,10.83
21/09/2018,23:25:00,417.1,416.5,419.7,0,0,0,,,0,0,10.8317,10.83
21/09/2018,23:40:00,416.2,415.6,418.7,0,0,0,,,0,0,10.8317,10.83
21/09/2018,23:55:00,417,416.5,419.6,0,0,0,,,0,0,10.8317,10.83
22/09/2018,00:10:00,417.5,416.9,419.9,0,0,0,,,0,0,10.8317,10.83
22/09/2018,00:25:00,417.2,416.6,419.5,0,0,0,,,0,0,10.8317,10.83
22/09/2018,00:40:00,417.4,416.5,419.5,0,0,0,,,0,0,10.8317,10.83
22/09/2018,00:55:00,417.4,416.7,419.5,0,0,0,,,0,0,10.8317,10.83
22/09/2018,01:10:00,417.1,416.4,419.2,0,0,0,,,0,0,10.8317,10.83
22/09/2018,01:25:00,417.7,417.1,419.9,0,0,0,,,0,0,10.8317,10.83
22/09/2018,01:40:00,417.5,416.8,419.7,0,0,0,,,0,0,10.8317,10.83
