Fecha,Hora,V1-2 (5 min),V2-3 (5 min),V3-1 (5 min),I1 (5 min),I2 (5 min),I3 (5 min),IN (5 min),P1 (W) (5 min),P2 (W) (5 min),P3 (W) (5 min),PT (W) (5 min),Hora,ST (VA) (5 min),V1-2 THD (5 min),V2-3 THD (5 min),V3-1 THD (5 min),I1 THD (5 min),I2 THD (5 min),I3 THD (5 min),IN THD (5 min),kWh (5 min),I1-THD (5 min),I2-THD (5 min),I3-THD (5 min),Fecha y hora
04/04/2022,09:35:00,440.3,437.6,441.1,4.7443,4.2356,4.3375,0.2069,1197,1069,1079,3346,09:35:00,3380,1.82,1.57,1.62,11.29,10.07,10.26,114.33,0,11.29,10.07,10.26,04/04/2022 09:35
04/04/2022,09:40:00,440,437.1,440.8,4.9069,4.4132,4.4869,0.1891,1239,1113,1119,3471,09:40:00,3502,1.76,1.51,1.58,10.37,9.48,10.08,128.7,0.278833333,10.37,9.48,10.08,04/04/2022 09:40
04/04/2022,09:45:00,439.8,437.2,440.1,5.0498,4.5683,4.6681,0.1751,1274,1153,1166,3594,09:45:00,3621,1.81,1.51,1.45,10.04,9.27,9.07,200.13,0.568083333,10.04,9.27,9.07,04/04/2022 09:45
04/04/2022,09:50:00,439.3,436.8,439.9,5.275,4.7944,4.8806,0.1712,1331,1209,1220,3760,09:50:00,3787,1.84,1.55,1.44,9.16,9.06,9.13,437.24,0.867583333,9.16,9.06,9.13,04/04/2022 09:50
04/04/2022,09:55:00,439.3,436.7,439.7,5.3298,4.8639,4.9591,0.1689,1345,1227,1241,3812,09:55:00,3837,1.84,1.55,1.47,9.56,8.81,8.76,419.18,1.180916667,9.56,8.81,8.76,04/04/2022 09:55
04/04/2022,10:00:00,439.4,436.7,439.6,5.4317,4.9665,5.0556,0.1701,1369,1252,1264,3885,10:00:00,3910,1.87,1.59,1.5,9.53,8.79,8.76,197.63,1.498583333,9.53,8.79,8.76,04/04/2022 10:00
04/04/2022,10:05:00,439.9,437.2,440.1,5.6084,5.1408,5.2169,0.1698,1417,1298,1307,4022,10:05:00,4047,1.85,1.61,1.5,9.32,8.7,8.44,134.31,1.822333333,9.32,8.7,8.44,04/04/2022 10:05
04/04/2022,10:10:00,439.1,436.7,439.7,5.7101,5.2464,5.3186,0.1632,1441,1323,1332,4096,10:10:00,4121,1.88,1.66,1.55,9.11,8.8,8.51,139.83,2.1575,9.11,8.8,8.51,04/04/2022 10:10
04/04/2022,10:15:00,439.9,437.4,440.4,5.8457,5.3761,5.4377,0.1576,1478,1358,1364,4200,10:15:00,4224,1.89,1.68,1.55,8.97,8.77,8.52,215.15,2.498833333,8.97,8.77,8.52,04/04/2022 10:15
04/04/2022,10:20:00,441.4,438.8,441.7,6.0009,5.523,5.5823,0.1574,1522,1400,1405,4328,10:20:00,4352,1.91,1.65,1.58,8.81,8.39,8.64,423.93,2.848833333,8.81,8.39,8.64,04/04/2022 10:20
04/04/2022,10:25:00,442.2,439.1,442.4,6.1016,5.608,5.6966,0.1863,1551,1424,1434,4409,10:25:00,4434,1.91,1.59,1.62,9.04,8.11,8.28,319.63,3.2095,9.04,8.11,8.28,04/04/2022 10:25
