Fecha,Hora,V1-2 (5 min),V2-3 (5 min),V3-1 (5 min),I1 (5 min),I2 (5 min),I3 (5 min),IN (5 min),P1 (W) (5 min),P2 (W) (5 min),P3 (W) (5 min),PT (W) (5 min),Hora2,ST (VA) (5 min),V1-2 THD (5 min),V2-3 THD (5 min),V3-1 THD (5 min),I1 THD (5 min),I2 THD (5 min),I3 THD (5 min),IN THD (5 min),kWH(5 min),I1-THD(5min),I2-THD(5min),I3-THD(5min),Fecha y Hora
01/08/2022,14:10:00,249.1,249.4,249.2,0.2788,0.3824,0.5889,0.224,25,-86,-60,-120,02:10:00 p. m.,311,1.69,1.35,1.61,59.67,27.71,46.2,59.65,0,0,0,0,01/08/2022 14:10
01/08/2022,14:15:00,249.9,250,249.6,0.4142,0.5016,0.6657,0.2204,36,-83,-62,-109,02:15:00 p. m.,371,1.72,1.35,1.62,62.43,33.52,48.87,61.3,-0.009083333,0,0,0,01/08/2022 14:15
01/08/2022,14:20:00,249.9,249.9,249.5,0.4536,0.5297,0.6981,0.2165,37,-82,-63,-107,02:20:00 p. m.,380,1.68,1.31,1.59,58.17,28.09,44.21,64.46,-0.018,0,0,0,01/08/2022 14:20
01/08/2022,14:25:00,249.7,249.9,249.6,0.2869,0.4045,0.638,0.2086,26,-91,-74,-138,02:25:00 p. m.,332,1.61,1.27,1.54,58.35,24.93,39.04,68.26,-0.0295,0,0,0,01/08/2022 14:25
01/08/2022,14:30:00,249.7,250,249.6,0.281,0.3832,0.5898,0.2243,26,-87,-60,-121,02:30:00 p. m.,312,1.62,1.37,1.59,59,25.86,42.56,63.91,-0.039583333,0,0,0,01/08/2022 14:30
01/08/2022,14:35:00,249.8,250,249.6,0.281,0.3803,0.5808,0.2282,26,-86,-59,-118,02:35:00 p. m.,309,1.6,1.37,1.56,59.04,26.39,42.85,61.24,-0.049416667,0,0,0,01/08/2022 14:35
01/08/2022,14:40:00,250.2,250.1,250,0.2951,0.4309,0.7025,0.2063,27,-97,-88,-158,02:40:00 p. m.,357,1.63,1.35,1.57,55.87,22.55,33.99,72.46,-0.062583333,0,0,0,01/08/2022 14:40
01/08/2022,14:45:00,250.1,250.1,249.9,0.2954,0.4339,0.7096,0.2036,26,-97,-90,-161,02:45:00 p. m.,360,1.58,1.27,1.52,55.22,22.41,33.45,72.73,-0.076,0,0,0,01/08/2022 14:45
01/08/2022,14:50:00,250,249.9,249.8,0.296,0.4406,0.7283,0.2002,26,-98,-97,-169,02:50:00 p. m.,366,1.59,1.27,1.54,55.06,22.97,33.66,80.94,-0.090083333,0,0,0,01/08/2022 14:50
01/08/2022,14:55:00,250.4,250.2,250.3,0.3001,0.4464,0.7435,0.2014,27,-100,-98,-171,02:55:00 p. m.,373,1.63,1.34,1.58,54.82,22.23,32.7,79.91,-0.104333333,0,0,0,01/08/2022 14:55
01/08/2022,15:00:00,250,250,249.9,0.2952,0.4307,0.7021,0.1987,26,-97,-90,-161,03:00:00 p. m.,357,1.58,1.29,1.54,55.88,22.53,33.4,76.64,-0.11775,0,0,0,01/08/2022 15:00
01/08/2022,15:05:00,250.1,250.1,249.9,0.2896,0.4096,0.6475,0.2025,26,-92,-80,-146,03:05:00 p. m.,336,1.55,1.31,1.59,57.52,23.04,35.89,75.33,-0.129916667,0,0,0,01/08/2022 15:05
01/08/2022,15:10:00,250.3,250.3,250.1,0.287,0.3948,0.6098,0.2083,26,-89,-72,-134,03:10:00 p. m.,322,1.59,1.38,1.68,57.82,23.96,38.87,68.56,-0.141083333,0,0,0,01/08/2022 15:10
01/08/2022,15:15:00,250.5,250.7,250.3,0.2957,0.4292,0.6938,0.1949,26,-96,-93,-162,03:15:00 p. m.,355,1.71,1.38,1.72,56.14,23.04,34.45,82.34,-0.154583333,0,0,0,01/08/2022 15:15
01/08/2022,15:20:00,250.5,250.5,250.3,0.2924,0.4117,0.6528,0.2084,27,-93,-77,-143,03:20:00 p. m.,339,1.66,1.42,1.68,56.46,23.09,36.47,68.32,-0.1665,0,0,0,01/08/2022 15:20
01/08/2022,15:25:00,250.3,250.3,250.3,0.2951,0.4209,0.6727,0.1986,27,-95,-85,-153,03:25:00 p. m.,348,1.61,1.36,1.63,55.72,22.46,34.13,71.95,-0.17925,0,0,0,01/08/2022 15:25
01/08/2022,15:30:00,250.5,250.6,250.4,0.2935,0.416,0.6592,0.1968,27,-94,-84,-150,03:30:00 p. m.,343,1.56,1.33,1.57,56.22,22.39,34.36,78.25,-0.19175,0,0,0,01/08/2022 15:30
01/08/2022,15:35:00,250.4,250.4,250.5,0.2953,0.4226,0.6773,0.1954,27,-95,-88,-156,03:35:00 p. m.,349,1.58,1.32,1.54,55.54,22.38,34.16,82.1,-0.20475,0,0,0,01/08/2022 15:35
01/08/2022,15:40:00,250.4,250.5,250.4,0.2947,0.4218,0.6771,0.1988,27,-95,-87,-154,03:40:00 p. m.,349,1.57,1.27,1.52,56.34,22.83,34.09,79.98,-0.217583333,0,0,0,01/08/2022 15:40
01/08/2022,15:45:00,250.5,250.5,250.4,0.2952,0.4224,0.6772,0.2002,27,-95,-85,-154,03:45:00 p. m.,349,1.57,1.28,1.54,56.25,21.95,33.1,76.64,-0.230416667,0,0,0,01/08/2022 15:45
01/08/2022,15:50:00,250.8,250.7,250.7,0.2961,0.4161,0.6586,0.1998,28,-94,-82,-149,03:50:00 p. m.,344,1.55,1.31,1.53,56.31,21.94,33.25,72.17,-0.242833333,0,0,0,01/08/2022 15:50
01/08/2022,15:55:00,250.7,250.8,250.7,0.2945,0.414,0.6518,0.1987,27,-94,-81,-148,03:55:00 p. m.,341,1.53,1.29,1.51,56.37,21.3,33.03,71.38,-0.255166667,0,0,0,01/08/2022 15:55
01/08/2022,16:00:00,250.7,250.7,250.8,0.2969,0.4181,0.6638,0.2022,28,-95,-81,-148,04:00:00 p. m.,346,1.5,1.3,1.5,55.41,21.2,32.05,67.94,-0.2675,0,0,0,01/08/2022 16:00
01/08/2022,16:05:00,250.9,250.9,250.9,0.2957,0.4156,0.6549,0.1948,27,-94,-84,-150,04:05:00 p. m.,343,1.51,1.28,1.46,56.09,21.58,32.92,78.02,-0.28,0,0,0,01/08/2022 16:05
01/08/2022,16:10:00,251.1,251.3,250.9,0.2889,0.3899,0.5929,0.2113,28,-88,-68,-129,04:10:00 p. m.,319,1.52,1.27,1.38,57.15,24.8,39.48,72.55,-0.29075,0,0,0,01/08/2022 16:10
01/08/2022,16:15:00,251.2,251.2,251.1,0.2904,0.3912,0.5954,0.2101,28,-88,-69,-130,04:15:00 p. m.,320,1.53,1.28,1.41,57.87,24.46,38.59,72.05,-0.301583333,0,0,0,01/08/2022 16:15
01/08/2022,16:20:00,251.3,251.4,251.1,0.2894,0.3858,0.5832,0.2162,28,-88,-65,-125,04:20:00 p. m.,315,1.55,1.33,1.47,57.73,23.85,38.59,68.02,-0.312,0,0,0,01/08/2022 16:20
01/08/2022,16:25:00,251.2,251.3,251.1,0.2965,0.4108,0.6466,0.2099,28,-94,-75,-141,04:25:00 p. m.,340,1.57,1.34,1.47,56.6,22.49,34.14,67,-0.32375,0,0,0,01/08/2022 16:25
01/08/2022,16:30:00,251.2,251.2,251.2,0.2968,0.4119,0.6479,0.2049,28,-94,-78,-143,04:30:00 p. m.,341,1.54,1.32,1.45,56.03,22.54,35.06,71.28,-0.335666667,0,0,0,01/08/2022 16:30
01/08/2022,16:35:00,251.4,251.5,251.2,0.2944,0.4031,0.627,0.2102,28,-92,-72,-136,04:35:00 p. m.,333,1.52,1.29,1.44,56.13,23.22,36.17,66.65,-0.347,0,0,0,01/08/2022 16:35
01/08/2022,16:40:00,251.4,251.4,251.2,0.2957,0.4082,0.6396,0.2097,28,-93,-75,-139,04:40:00 p. m.,337,1.53,1.29,1.43,56.26,23.05,35.58,71.27,-0.358583333,0,0,0,01/08/2022 16:40
01/08/2022,16:45:00,251.2,251.4,251.2,0.2899,0.384,0.5803,0.2208,29,-88,-62,-121,04:45:00 p. m.,315,1.51,1.29,1.4,57.15,23.92,38.91,66.85,-0.368666667,0,0,0,01/08/2022 16:45
01/08/2022,16:50:00,251.3,251.5,251.2,0.2956,0.4098,0.6455,0.2105,29,-93,-76,-140,04:50:00 p. m.,339,1.53,1.29,1.43,56.14,23.09,34.88,73.05,-0.380333333,0,0,0,01/08/2022 16:50
01/08/2022,16:55:00,251.3,251.3,251.2,0.2922,0.3988,0.6188,0.2151,28,-91,-70,-132,04:55:00 p. m.,328,1.56,1.33,1.45,57.05,23.54,36.95,70.38,-0.391333333,0,0,0,01/08/2022 16:55
01/08/2022,17:00:00,251.3,251.5,251.3,0.2906,0.3887,0.5909,0.2157,28,-88,-67,-127,05:00:00 p. m.,318,1.58,1.33,1.48,57.59,24.38,38.85,68.97,-0.401916667,0,0,0,01/08/2022 17:00
01/08/2022,17:05:00,251.6,251.7,251.4,0.2912,0.386,0.5841,0.22,29,-88,-62,-122,05:05:00 p. m.,317,1.56,1.27,1.42,57.22,24,38.53,63.9,-0.412083333,0,0,0,01/08/2022 17:05
01/08/2022,17:10:00,251.9,251.9,251.8,0.2928,0.3902,0.593,0.2129,29,-89,-68,-128,05:10:00 p. m.,321,1.6,1.29,1.43,57.09,24.63,39.15,71.04,-0.42275,0,0,0,01/08/2022 17:10
01/08/2022,17:15:00,252,252.2,251.8,0.2893,0.3749,0.5574,0.2261,29,-86,-57,-114,05:15:00 p. m.,308,1.57,1.3,1.42,57.83,24.91,41.1,64.58,-0.43225,0,0,0,01/08/2022 17:15
01/08/2022,17:20:00,251.7,251.8,251.6,0.2869,0.3676,0.5441,0.2335,29,-85,-51,-106,05:20:00 p. m.,302,1.56,1.28,1.43,59.02,26.28,42.71,60.03,-0.441083333,0,0,0,01/08/2022 17:20
01/08/2022,17:25:00,251.6,251.7,251.5,0.2868,0.3673,0.537,0.2255,28,-84,-55,-110,05:25:00 p. m.,300,1.58,1.28,1.44,59.5,25.54,42.28,63.25,-0.45025,0,0,0,01/08/2022 17:25
01/08/2022,17:30:00,251.7,251.9,251.6,0.2883,0.3717,0.545,0.2216,28,-85,-58,-114,05:30:00 p. m.,303,1.59,1.28,1.47,58.9,25.18,41.02,62.11,-0.45975,0,0,0,01/08/2022 17:30
01/08/2022,17:35:00,251.6,251.7,251.5,0.2906,0.3855,0.5781,0.2106,28,-87,-67,-126,05:35:00 p. m.,315,1.56,1.25,1.45,57.81,24.18,39.19,69.47,-0.47025,0,0,0,01/08/2022 17:35
01/08/2022,17:40:00,251.7,251.8,251.6,0.29,0.3782,0.5573,0.2106,28,-85,-65,-122,05:40:00 p. m.,308,1.53,1.22,1.42,57.64,24.84,40.6,67.07,-0.480416667,0,0,0,01/08/2022 17:40
