Fecha,Hora,V1-2 (5 min),V2-3 (5 min),V3-1 (5 min),I1 (5 min),I2 (5 min),I3 (5 min),IN (5 min),P1 (W) (5 min),P2 (W) (5 min),P3 (W) (5 min),PT (W) (5 min),Hora,ST (VA) (5 min),V1-2 THD (5 min),V2-3 THD (5 min),V3-1 THD (5 min),I1 THD (5 min),I2 THD (5 min),I3 THD (5 min),IN THD (5 min),kWh,Fecha y hora,I1 THD (5 min),I2 THD (5 min),I3 THD (5 min)
01/01/2022,0:00:00,414.9,415.3,413.8,0,0.5339,0.2281,0.7318,0,-28,47,0,12:00:00 a. m.,183,2.16,2.29,2.06,# # #,18.86,56.74,14.85,0,01/01/2022 00:00,0,0,0
01/01/2022,0:05:00,414.9,415.3,414.2,0,0.5359,0.2269,0.7325,0,-29,47,0,12:05:00 a. m.,183,2.21,2.35,2.12,# # #,18.62,58.02,15.07,0,01/01/2022 00:05,0,0,0
01/01/2022,0:10:00,415.7,416.1,414.8,0,0.541,0.2279,0.7387,0,-29,47,0,12:10:00 a. m.,186,2.22,2.35,2.11,# # #,18.7,57.63,14.52,0,01/01/2022 00:10,0,0,0
01/01/2022,0:15:00,416.2,416.3,415.3,0,0.5455,0.2288,0.7439,0,-28,48,0,12:15:00 a. m.,187,2.23,2.38,2.15,# # #,18.3,58.27,14.73,0,01/01/2022 00:15,0,0,0
01/01/2022,0:20:00,416.7,417,415.8,0,0.5486,0.2285,0.7468,0,-28,48,0,12:20:00 a. m.,188,2.25,2.36,2.13,# # #,18.38,57.26,14.41,0,01/01/2022 00:20,0,0,0
01/01/2022,0:25:00,416.4,416.6,415.5,0,0.5466,0.2289,0.7444,0,-27,48,0,12:25:00 a. m.,187,2.23,2.37,2.15,# # #,18.19,57.43,14.4,0,01/01/2022 00:25,0,0,0
01/01/2022,0:30:00,416.3,416.5,415.3,0,0.5471,0.2275,0.7422,0,-27,47,0,12:30:00 a. m.,187,2.21,2.34,2.13,# # #,18.31,57.68,14.49,0,01/01/2022 00:30,0,0,0
01/01/2022,0:35:00,416.9,417.3,416.1,0,0.5427,0.2332,0.7448,0,-27,49,0,12:35:00 a. m.,187,2.22,2.35,2.1,# # #,18.52,56.69,14.6,0,01/01/2022 00:35,0,0,0
01/01/2022,0:40:00,417.4,417.4,416.2,0,0.5452,0.2342,0.7494,0,-29,49,0,12:40:00 a. m.,189,2.22,2.34,2.14,# # #,18.46,57.26,14.81,0,01/01/2022 00:40,0,0,0
01/01/2022,0:45:00,417.3,417.5,416.2,0,0.5454,0.2342,0.7494,0,-28,49,0,12:45:00 a. m.,189,2.2,2.31,2.07,# # #,18.64,56.75,14.37,0,01/01/2022 00:45,0,0,0
01/01/2022,0:50:00,416.8,417,415.8,0,0.5444,0.2328,0.7473,0,-28,49,0,12:50:00 a. m.,188,2.22,2.32,2.11,# # #,18.42,57.32,14.6,0,01/01/2022 00:50,0,0,0
01/01/2022,0:55:00,416,416.1,415,0,0.5354,0.2341,0.7403,0,-28,49,0,12:55:00 a. m.,185,2.18,2.29,2.06,# # #,18.82,55.55,14.73,0,01/01/2022 00:55,0,0,0
01/01/2022,1:00:00,416.1,416.4,414.9,0,0.5394,0.2319,0.7414,0,-28,48,0,01:00:00 a. m.,186,2.22,2.31,2.1,# # #,18.59,56.3,14.62,0,01/01/2022 01:00,0,0,0
01/01/2022,1:05:00,415.9,416.3,415,0,0.5397,0.2305,0.7394,0,-27,48,0,01:05:00 a. m.,186,2.19,2.3,2.07,# # #,18.58,56.63,14.57,0,01/01/2022 01:05,0,0,0
01/01/2022,1:10:00,416.1,416.3,415,0,0.5405,0.2308,0.7403,0,-28,48,0,01:10:00 a. m.,186,2.18,2.28,2.07,# # #,18.69,56.9,14.72,0,01/01/2022 01:10,0,0,0
01/01/2022,1:15:00,416,416.3,415.1,0,0.5407,0.2305,0.7402,0,-28,48,0,01:15:00 a. m.,186,2.19,2.32,2.09,# # #,18.54,57.78,15,0,01/01/2022 01:15,0,0,0
01/01/2022,1:20:00,416,416.2,414.8,0,0.5386,0.2318,0.7396,0,-27,48,0,01:20:00 a. m.,186,2.21,2.3,2.08,# # #,18.78,56.68,14.59,0,01/01/2022 01:20,0,0,0
01/01/2022,1:25:00,416.2,416.2,415.1,0,0.5395,0.2334,0.7429,0,-27,49,0,01:25:00 a. m.,187,2.19,2.31,2.1,# # #,18.52,56.92,14.83,0,01/01/2022 01:25,0,0,0
01/01/2022,1:30:00,417.3,417.8,416.3,0,0.5471,0.2335,0.7509,0,-29,49,0,01:30:00 a. m.,189,2.2,2.3,2.06,# # #,18.55,56.41,14.43,0,01/01/2022 01:30,0,0,0
01/01/2022,1:35:00,417.5,417.6,416.5,0,0.5486,0.234,0.7521,0,-28,49,0,01:35:00 a. m.,189,2.19,2.31,2.1,# # #,18.34,56.94,14.51,0,01/01/2022 01:35,0,0,0
01/01/2022,1:40:00,416.8,417,415.7,0,0.5427,0.2338,0.7463,0,-28,49,0,01:40:00 a. m.,188,2.19,2.29,2.08,# # #,18.5,56.29,14.5,0,01/01/2022 01:40,0,0,0
01/01/2022,1:45:00,416.8,417,416,0,0.5372,0.236,0.7426,0,-27,50,0,01:45:00 a. m.,187,2.17,2.3,2.07,# # #,18.69,55.91,14.69,0,01/01/2022 01:45,0,0,0
01/01/2022,1:50:00,415.6,415.5,414.4,0,0.5327,0.2324,0.7344,0,-27,49,0,01:50:00 a. m.,184,2.17,2.28,2.08,# # #,18.85,56.59,14.98,0,01/01/2022 01:50,0,0,0
