Fecha,Hora,V1-2 (5 min),V2-3 (5 min),V3-1 (5 min),I1 (5 min),I2 (5 min),I3 (5 min),IN (5 min),P1 (5 min),P2 (5 min),P3 (5 min),PT (5 min),Hora,ST (5 min),V1-THD (5 min),V2-THD (5 min),V3-THD (5 min),I1-THD (5 min),I2-THD (5 min),I3-THD (5 min),IN-THD (5 min),kWh (5 min),Fecha y hora,I1-THD (5 min),I2-THD (5 min),I3-THD (5 min)
22/02/2022,11:05:00,438,437,439.1,8.8023,8.3083,8.3004,0.2181,2233,2069,2103,6404,11:05:00 a. m.,6438,5.97,6.3,5.94,7.04,6.27,7.12,152.44,0,22/02/2022 11:05,7.04,6.27,7.12
22/02/2022,11:10:00,439.7,438.6,440.7,8.7554,8.2594,8.2625,0.2173,2230,2062,2100,6392,11:10:00 a. m.,6427,5.97,6.11,5.86,7.25,6.46,7.51,110.54,0.533666667,22/02/2022 11:10,7.25,6.46,7.51
22/02/2022,11:15:00,439.1,438,440.1,8.7024,8.2093,8.1951,0.2204,2213,2047,2080,6340,11:15:00 a. m.,6375,5.99,6.16,5.91,7.51,6.26,7.37,114.96,1.066333333,22/02/2022 11:15,7.51,6.26,7.37
22/02/2022,11:20:00,439.2,438.2,440.2,8.821,8.3138,8.317,0.2182,2243,2075,2111,6429,11:20:00 a. m.,6464,5.75,5.99,5.69,7.38,6.72,7.16,145.88,1.594666667,22/02/2022 11:20,7.38,6.72,7.16
22/02/2022,11:25:00,439.7,438.9,440.8,8.8761,8.3688,8.3854,0.2108,2259,2092,2133,6484,11:25:00 a. m.,6519,6.07,6.44,6.05,7.08,6.64,7.24,231.37,2.130416667,22/02/2022 11:25,7.08,6.64,7.24
22/02/2022,11:30:00,439.6,438.7,440.4,8.9233,8.4246,8.43,0.2108,2270,2105,2143,6518,11:30:00 a. m.,6553,5.87,6.27,5.92,7.29,6.54,7.26,444.65,2.67075,22/02/2022 11:30,7.29,6.54,7.26
22/02/2022,11:35:00,439.3,438.5,440.2,8.8798,8.3952,8.4017,0.2065,2258,2096,2135,6488,11:35:00 a. m.,6523,5.77,6.04,5.77,7.36,6.71,7.36,320.69,3.213916667,22/02/2022 11:35,7.36,6.71,7.36
22/02/2022,11:40:00,439.4,438.3,440.1,8.8772,8.3887,8.4027,0.2138,2257,2094,2135,6487,11:40:00 a. m.,6521,5.9,6.19,5.87,7.25,6.56,7.26,157.73,3.754583333,22/02/2022 11:40,7.25,6.56,7.26
22/02/2022,11:45:00,439.3,438.3,440.2,8.9131,8.4275,8.4379,0.2134,2266,2104,2143,6514,11:45:00 a. m.,6548,5.78,6.1,5.77,7.16,6.6,7.46,110.17,4.295166667,22/02/2022 11:45,7.16,6.6,7.46
22/02/2022,11:50:00,438.6,437.8,439.7,8.8111,8.3205,8.3101,0.2144,2237,2074,2108,6419,11:50:00 a. m.,6454,5.81,6.12,5.81,7.53,6.73,7.5,122.01,4.838,22/02/2022 11:50,7.53,6.73,7.5
22/02/2022,11:55:00,438.6,437.8,439.6,8.6272,8.1375,8.1344,0.2117,2190,2028,2063,6282,11:55:00 a. m.,6317,5.92,6.24,5.94,7.51,6.66,7.42,162.17,5.372916667,22/02/2022 11:55,7.51,6.66,7.42
22/02/2022,12:00:00,438.6,437.8,439.4,8.5979,8.1171,8.1171,0.2059,2183,2023,2059,6264,12:00:00 p. m.,6298,5.8,6.12,5.83,7.36,6.65,7.41,362.5,5.896416667,22/02/2022 12:00,7.36,6.65,7.41
22/02/2022,12:05:00,438.7,437.9,439.8,8.6166,8.1314,8.1373,0.2101,2188,2027,2064,6279,12:05:00 p. m.,6314,5.84,6.14,5.83,7.29,6.88,7.64,386.84,6.418416667,22/02/2022 12:05,7.29,6.88,7.64
22/02/2022,12:10:00,438.6,437.9,439.7,8.7372,8.2449,8.2431,0.2186,2218,2055,2091,6364,12:10:00 p. m.,6400,5.91,6.25,5.94,7.52,6.91,7.73,165.29,6.941666667,22/02/2022 12:10,7.52,6.91,7.73
22/02/2022,12:15:00,438.1,437.3,439.1,8.8942,8.4154,8.4219,0.2158,2255,2096,2135,6486,12:15:00 p. m.,6520,5.98,6.32,6.02,7.18,6.47,7.33,124.75,7.472,22/02/2022 12:15,7.18,6.47,7.33
22/02/2022,12:20:00,438.4,437.6,439.5,8.7935,8.3074,8.3037,0.2191,2231,2069,2105,6406,12:20:00 p. m.,6442,5.89,6.2,5.9,7.53,6.77,7.53,114.13,8.0125,22/02/2022 12:20,7.53,6.77,7.53
22/02/2022,12:25:00,438,437,438.9,8.5216,8.05,8.0411,0.2168,2160,2002,2036,6198,12:25:00 p. m.,6234,5.73,5.98,5.73,7.54,6.94,7.59,145.41,8.546333333,22/02/2022 12:25,7.54,6.94,7.59
22/02/2022,12:30:00,437.9,437.1,439,8.5069,8.0194,8.029,0.2186,2156,1995,2033,6184,12:30:00 p. m.,6220,6.04,6.39,6.04,7.34,6.87,7.69,227.74,9.062833333,22/02/2022 12:30,7.34,6.87,7.69
22/02/2022,12:35:00,437.3,436.6,438.4,8.4211,7.9283,7.9378,0.2217,2131,1970,2007,6108,12:35:00 p. m.,6144,5.84,6.22,5.92,7.56,7.02,7.87,455.02,9.578166667,22/02/2022 12:35,7.56,7.02,7.87
22/02/2022,12:40:00,437.5,436.6,438.3,8.3154,7.8285,7.829,0.2245,2104,1945,1980,6029,12:40:00 p. m.,6065,5.88,6.22,5.97,7.8,7.14,7.94,242.57,10.08716667,22/02/2022 12:40,7.8,7.14,7.94
22/02/2022,12:45:00,437.5,436.7,438.5,8.5964,8.1103,8.0865,0.2308,2177,2015,2045,6237,12:45:00 p. m.,6273,5.74,6,5.76,7.55,7.14,7.78,138.1,10.58958333,22/02/2022 12:45,7.55,7.14,7.78
