Fecha,Hora,V1-2 (5 min),V2-3 (5 min),V3-1 (5 min),I1 (5 min),I2 (5 min),I3 (5 min),IN (5 min),P1 (W) (5 min),P2 (W) (5 min),P3 (W) (5 min),PT (W) (5 min),Hora,ST (VA) (5 min),V1-2 THD (5 min),V2-3 THD (5 min),V3-1 THD (5 min),I1 THD (5 min),I2 THD (5 min),I3 THD (5 min),IN THD (5 min),kWH (5 min),I1-THD (5 min),I2-THD (5 min),I3-THD (5 min),Fecha y hora
01/07/2022,07:05:00,434.9,433.7,436.1,0.2943,0.4154,0.6441,0.1931,31,-96,-78,-143,07:05:00,340,1.46,1.32,1.47,54.58,17.21,25.39,71.46,0,0,0,0,01/07/2022 07:05
01/07/2022,07:10:00,434.1,432.8,435.2,0.2897,0.4079,0.6267,0.1972,30,-94,-73,-138,07:10:00,332,1.45,1.31,1.45,54.75,17.6,26.08,65.41,-0.011916667,0,0,0,01/07/2022 07:10
01/07/2022,07:15:00,433.9,432.5,434.7,0.2873,0.4049,0.6193,0.197,29,-93,-73,-137,07:15:00,328,1.42,1.25,1.42,55.31,17.67,26.4,65.55,-0.023416667,0,0,0,01/07/2022 07:15
01/07/2022,07:20:00,433.6,432.1,434.5,0.2863,0.4019,0.6132,0.1994,30,-93,-70,-133,07:20:00,326,1.42,1.25,1.43,54.75,17.98,26.97,62.7,-0.034833333,0,0,0,01/07/2022 07:20
01/07/2022,07:25:00,434.3,433,435.1,0.2881,0.4017,0.6147,0.204,30,-93,-68,-132,07:25:00,327,1.42,1.25,1.43,54.8,17.99,27.22,61.95,-0.045916667,0,0,0,01/07/2022 07:25
01/07/2022,07:30:00,433.7,432.5,435.1,0.288,0.4057,0.6238,0.194,29,-93,-74,-138,07:30:00,330,1.37,1.2,1.36,54.95,17.87,27.24,70.48,-0.056916667,0,0,0,01/07/2022 07:30
01/07/2022,07:35:00,433.4,432.5,434.2,0.2753,0.36,0.5073,0.2117,29,-83,-54,-108,07:35:00,286,1.41,1.23,1.39,57.47,19.84,32.78,59.23,-0.068416667,0,0,0,01/07/2022 07:35
01/07/2022,07:40:00,433.5,432.3,434.2,0.2736,0.3584,0.5024,0.211,28,-82,-54,-108,07:40:00,284,1.42,1.26,1.4,58.33,20.02,32.91,60.77,-0.077416667,0,0,0,01/07/2022 07:40
01/07/2022,07:45:00,433.5,432,433.9,0.2733,0.3605,0.5095,0.2127,28,-83,-54,-109,07:45:00,285,1.38,1.2,1.35,58.08,20.1,33.19,59.83,-0.086416667,0,0,0,01/07/2022 07:45
01/07/2022,07:50:00,433.9,432.5,434.5,0.2762,0.3654,0.5206,0.2115,28,-84,-56,-112,07:50:00,290,1.4,1.22,1.37,57.91,20.15,32.53,59.78,-0.0955,0,0,0,01/07/2022 07:50
01/07/2022,07:55:00,434,432.7,434.8,0.2775,0.3626,0.5141,0.2185,29,-84,-52,-107,07:55:00,289,1.38,1.2,1.35,57.62,19.92,33.25,57.01,-0.104833333,0,0,0,01/07/2022 07:55
01/07/2022,08:00:00,434,432.7,434.5,0.276,0.3586,0.5033,0.218,29,-83,-51,-105,08:00:00,285,1.4,1.22,1.38,57.31,20.26,33.75,54.34,-0.11375,0,0,0,01/07/2022 08:00
01/07/2022,08:05:00,433.5,432.3,434.2,0.2756,0.363,0.5151,0.2116,28,-83,-56,-111,08:05:00,288,1.37,1.21,1.34,57.48,20.41,34.33,60.66,-0.1225,0,0,0,01/07/2022 08:05
01/07/2022,08:10:00,432.9,431.4,433.5,0.2754,0.3741,0.5431,0.1991,28,-85,-63,-120,08:10:00,297,1.38,1.2,1.34,56.71,19.64,32.32,66.82,-0.13175,0,0,0,01/07/2022 08:10
01/07/2022,08:15:00,433.2,431.6,433.6,0.2784,0.3871,0.5751,0.1912,28,-88,-70,-130,08:15:00,310,1.39,1.19,1.36,56.22,19.42,29.93,70.41,-0.14175,0,0,0,01/07/2022 08:15
01/07/2022,08:20:00,432.7,431.5,433.7,0.2788,0.3864,0.575,0.1937,28,-88,-69,-129,08:20:00,310,1.39,1.21,1.37,56.92,19.12,29.92,69.96,-0.152583333,0,0,0,01/07/2022 08:20
01/07/2022,08:25:00,433.5,432.1,434.4,0.2819,0.3901,0.5838,0.1975,29,-89,-68,-129,08:25:00,314,1.41,1.24,1.4,56.06,19.16,29.67,66.02,-0.163333333,0,0,0,01/07/2022 08:25
01/07/2022,08:30:00,435.5,434.2,436.3,0.2866,0.3814,0.5634,0.2153,30,-88,-60,-118,08:30:00,308,1.27,1.1,1.27,56.77,19.6,31.44,61.46,-0.174083333,0,0,0,01/07/2022 08:30
01/07/2022,08:35:00,436.3,435,436.7,0.6806,0.3863,0.7388,0.2125,101,-9,27,119,08:35:00,447,1.43,1.29,1.43,65.94,324.23,61.8,50.86,-0.183916667,0,0,0,01/07/2022 08:35
01/07/2022,08:40:00,436.5,435.2,437,1.0741,0.5924,0.9304,0.1751,228,113,130,472,08:40:00,651,1.43,1.3,1.43,39.89,85.18,50.04,68.12,-0.174,0,0,0,01/07/2022 08:40
