Fecha,Hora,V1-2 (5 min),V2-3 (5 min),V3-1 (5 min),I1 (5 min),I2 (5 min),I3 (5 min),IN (5 min),P1 (W) (5 min),P2 (W) (5 min),P3 (W) (5 min),PT (W) (5 min),Hora,ST (VA) (5 min),V1-2 THD (5 min),V2-3 THD (5 min),V3-1 THD (5 min),I1 THD (5 min),I2 THD (5 min),I3 THD (5 min),IN THD (5 min),kWH (5 min),I1-THD (5 min),I2-THD (5 min),I3-THD (5 min),Fecha y hora
01/06/2022,00:05:00,438.1,436.9,438.9,0.2969,0.3987,0.6062,0.2038,29,-93,-72,-135,00:05:00,329,1.6,1.33,1.51,54.86,17.02,25.68,57.85,0,0,0,0,01/06/2022 00:05
01/06/2022,00:10:00,438.2,437.3,439.5,0.2991,0.403,0.6174,0.2025,30,-94,-74,-138,00:10:00,334,1.7,1.45,1.63,54.56,16.79,25.31,61.11,-0.01125,0,0,0,01/06/2022 00:10
01/06/2022,00:15:00,438.1,437.3,439.3,0.2987,0.4022,0.6142,0.199,30,-93,-75,-139,00:15:00,333,1.69,1.45,1.63,54.84,17.1,25.22,61.87,-0.02275,0,0,0,01/06/2022 00:15
01/06/2022,00:20:00,438.4,437.4,439.4,0.2975,0.3982,0.6055,0.207,30,-93,-71,-134,00:20:00,329,1.63,1.38,1.58,55.41,17.11,25.64,59.58,-0.034333333,0,0,0,01/06/2022 00:20
01/06/2022,00:25:00,438.7,437.9,439.9,0.2989,0.398,0.6015,0.2031,30,-93,-72,-135,00:25:00,329,1.69,1.46,1.64,55.07,17.1,25.64,58.94,-0.0455,0,0,0,01/06/2022 00:25
01/06/2022,00:30:00,438.7,437.9,439.7,0.2999,0.3993,0.6069,0.2081,30,-93,-70,-133,00:30:00,331,1.66,1.42,1.61,55.1,16.96,25.53,57.24,-0.05675,0,0,0,01/06/2022 00:30
01/06/2022,00:35:00,438.6,437.6,439.7,0.3005,0.4028,0.6173,0.2088,30,-94,-71,-135,00:35:00,334,1.74,1.52,1.71,54.1,16.99,25.21,55.05,-0.067833333,0,0,0,01/06/2022 00:35
01/06/2022,00:40:00,438.6,437.8,440,0.3008,0.4008,0.6144,0.2121,31,-94,-69,-132,00:40:00,333,1.69,1.44,1.65,54.58,16.98,25.47,55.32,-0.079083333,0,0,0,01/06/2022 00:40
01/06/2022,00:45:00,438.1,437.4,439.6,0.2995,0.4,0.6134,0.2111,31,-94,-68,-131,00:45:00,332,1.72,1.49,1.69,54.68,16.93,25.58,57.05,-0.090083333,0,0,0,01/06/2022 00:45
01/06/2022,00:50:00,438.1,437.4,439.5,0.299,0.4022,0.6169,0.2055,30,-94,-72,-136,00:50:00,334,1.71,1.48,1.68,54.43,17.08,25.33,58.7,-0.101,0,0,0,01/06/2022 00:50
01/06/2022,00:55:00,438.6,437.6,439.5,0.2986,0.4024,0.6167,0.2067,30,-94,-72,-136,00:55:00,334,1.7,1.45,1.68,55.15,17.02,25.16,59.86,-0.112333333,0,0,0,01/06/2022 00:55
01/06/2022,01:00:00,438.4,437.7,439.7,0.3005,0.4056,0.6239,0.2043,30,-95,-74,-138,01:00:00,337,1.69,1.45,1.64,54.55,16.91,25.05,59.2,-0.123666667,0,0,0,01/06/2022 01:00
01/06/2022,01:05:00,438.2,437.5,439.5,0.2994,0.4028,0.6159,0.2054,30,-94,-73,-137,01:05:00,334,1.65,1.42,1.6,55.06,17.12,25.05,58.19,-0.135166667,0,0,0,01/06/2022 01:05
01/06/2022,01:10:00,438.3,437.5,439.5,0.2974,0.3943,0.5935,0.2082,30,-92,-69,-131,01:10:00,325,1.63,1.38,1.57,55.09,17.17,26.14,56.93,-0.146583333,0,0,0,01/06/2022 01:10
01/06/2022,01:15:00,438.7,437.8,439.6,0.2997,0.403,0.6153,0.2051,30,-94,-73,-136,01:15:00,334,1.73,1.49,1.7,54.13,16.93,25.18,56.13,-0.1575,0,0,0,01/06/2022 01:15
01/06/2022,01:20:00,438.9,438,440.2,0.3017,0.4041,0.6204,0.2071,31,-95,-72,-135,01:20:00,336,1.79,1.57,1.75,54.46,16.86,25.12,59.06,-0.168833333,0,0,0,01/06/2022 01:20
01/06/2022,01:25:00,439.1,438.4,440.5,0.3024,0.4044,0.6215,0.2069,31,-95,-72,-136,01:25:00,337,1.81,1.58,1.76,54.33,16.93,25.01,58.49,-0.180083333,0,0,0,01/06/2022 01:25
01/06/2022,01:30:00,439.2,438.1,440.2,0.3002,0.4021,0.6135,0.2034,30,-94,-73,-137,01:30:00,334,1.85,1.59,1.79,55.15,16.92,25.15,61.51,-0.191416667,0,0,0,01/06/2022 01:30
01/06/2022,01:35:00,439.1,438.2,440.2,0.3009,0.404,0.6181,0.2045,30,-94,-73,-137,01:35:00,335,1.84,1.6,1.78,54.65,16.89,25.08,58.32,-0.202833333,0,0,0,01/06/2022 01:35
01/06/2022,01:40:00,439.3,438.4,440.5,0.3014,0.4003,0.6098,0.2109,31,-94,-69,-132,01:40:00,333,1.89,1.64,1.83,54.9,16.9,25.29,56.15,-0.21425,0,0,0,01/06/2022 01:40
01/06/2022,01:45:00,439.1,438.3,440.4,0.301,0.4002,0.6086,0.2061,31,-94,-71,-134,01:45:00,332,1.85,1.61,1.8,54.25,16.89,25.34,55.67,-0.22525,0,0,0,01/06/2022 01:45
01/06/2022,01:50:00,439.3,438.3,440.4,0.3018,0.4053,0.6215,0.204,31,-95,-74,-138,01:50:00,337,1.83,1.57,1.77,54.42,16.71,24.86,60.66,-0.236416667,0,0,0,01/06/2022 01:50
