Fecha,Hora,V1-2 (5 min),V2-3 (5 min),V3-1 (5 min),I1 (5 min),I2 (5 min),I3 (5 min),IN (5 min),PT (5 min),Hora,ST (5 min),V1-THD (5 min),V2-THD (5 min),V3-THD (5 min),I1-THD (5 min),I2-THD (5 min),I3-THD (5 min),IN-THD (5 min),kWh (5 min),Fecha y hora,I1-THD (5 min),I2-THD (5 min),I3-THD (5 min),,,,,,,,,,,,
01/03/2022,0:00:00,434.9,434.1,435.9,0.2758,0.4004,0.6253,0.2211,0,12:00:00 a. m.,327,2.26,2.17,2.23,52.56,17.45,24.08,48.35,0,01/03/2022 00:00,0,0,0,,,,,,,,,,,,
01/03/2022,0:05:00,434.4,433.4,435.2,0.2752,0.4013,0.6277,0.2186,0,12:05:00 a. m.,327,2.3,2.17,2.14,51.93,17.18,24.14,49.56,0,01/03/2022 00:05,0,0,0,,,,,,,,,,,,
01/03/2022,0:10:00,434.2,433.5,435.1,0.2744,0.4012,0.6266,0.2155,0,12:10:00 a. m.,327,2.18,2.28,2.21,51.65,17.2,23.99,48.71,0,01/03/2022 00:10,0,0,0,,,,,,,,,,,,
01/03/2022,0:15:00,434.6,433.6,435.4,0.2744,0.3998,0.6226,0.2137,0,12:15:00 a. m.,326,2.35,2.23,2.24,52.32,17.34,24.14,52.1,0,01/03/2022 00:15,0,0,0,,,,,,,,,,,,
01/03/2022,0:20:00,435,433.9,435.6,0.2738,0.3988,0.6209,0.2158,0,12:20:00 a. m.,325,2.46,2.38,2.36,51.82,17.29,24.4,51.23,0,01/03/2022 00:20,0,0,0,,,,,,,,,,,,
01/03/2022,0:25:00,435.5,434.5,436.1,0.276,0.4024,0.6296,0.2166,0,12:25:00 a. m.,329,2.42,2.4,2.42,52.29,17.33,23.84,51.44,0,01/03/2022 00:25,0,0,0,,,,,,,,,,,,
01/03/2022,0:30:00,435.8,434.9,436.6,0.2777,0.4013,0.6276,0.2224,0,12:30:00 a. m.,329,2.46,2.31,2.41,52.24,17.45,24.03,50.19,0,01/03/2022 00:30,0,0,0,,,,,,,,,,,,
01/03/2022,0:35:00,435.5,434.7,436.2,0.2767,0.3995,0.623,0.2221,0,12:35:00 a. m.,327,2.42,2.31,2.33,52.41,17.55,24.09,48.21,0,01/03/2022 00:35,0,0,0,,,,,,,,,,,,
01/03/2022,0:40:00,435.9,434.8,436.3,0.2779,0.4046,0.6348,0.2197,0,12:40:00 a. m.,332,2.51,2.38,2.37,51.65,17.12,23.86,50.06,0,01/03/2022 00:40,0,0,0,,,,,,,,,,,,
01/03/2022,0:45:00,435.6,434.9,436.5,0.2786,0.4031,0.6328,0.2223,0,12:45:00 a. m.,331,2.43,2.37,2.48,51.2,17.38,23.84,47.32,0,01/03/2022 00:45,0,0,0,,,,,,,,,,,,
01/03/2022,0:50:00,435,434.2,435.8,0.2762,0.3999,0.6265,0.2224,0,12:50:00 a. m.,327,2.4,2.3,2.23,52.1,17.38,24.02,49.45,0,01/03/2022 00:50,0,0,0,,,,,,,,,,,,
01/03/2022,0:55:00,435.5,434.8,436.3,0.2779,0.4047,0.6378,0.2216,0,12:55:00 a. m.,332,2.45,2.44,2.46,51.25,17,23.58,50.52,0,01/03/2022 00:55,0,0,0,,,,,,,,,,,,
01/03/2022,1:00:00,435.5,434.6,436.2,0.2765,0.4028,0.6334,0.2229,0,01:00:00 a. m.,330,2.49,2.32,2.41,51.76,17.47,23.58,49.55,0,01/03/2022 01:00,0,0,0,,,,,,,,,,,,
01/03/2022,1:05:00,435.9,435.2,436.7,0.2782,0.4038,0.635,0.2222,0,01:05:00 a. m.,332,2.52,2.39,2.41,52.14,17.26,23.52,51.46,0,01/03/2022 01:05,0,0,0,,,,,,,,,,,,
01/03/2022,1:10:00,436.1,435.4,437.1,0.2801,0.4042,0.636,0.2261,0,01:10:00 a. m.,333,2.46,2.39,2.4,51.69,17.42,23.59,47.91,0,01/03/2022 01:10,0,0,0,,,,,,,,,,,,
01/03/2022,1:15:00,435.5,434.7,436.1,0.2769,0.4009,0.6276,0.2244,0,01:15:00 a. m.,328,2.48,2.44,2.47,52.04,17.27,23.87,48.55,0,01/03/2022 01:15,0,0,0,,,,,,,,,,,,
01/03/2022,1:20:00,435.2,434.3,435.7,0.2751,0.3983,0.6207,0.224,0,01:20:00 a. m.,325,2.55,2.31,2.45,51.58,17.59,24.14,47.51,0,01/03/2022 01:20,0,0,0,,,,,,,,,,,,
01/03/2022,1:25:00,435.1,434.3,435.9,0.275,0.3983,0.6208,0.2212,0,01:25:00 a. m.,325,2.5,2.5,2.44,51.87,17.39,24.07,48.76,0,01/03/2022 01:25,0,0,0,,,,,,,,,,,,
01/03/2022,1:30:00,435.6,434.9,436.3,0.2768,0.4017,0.6298,0.2201,0,01:30:00 a. m.,329,2.48,2.44,2.46,51.51,17.1,23.79,50.74,0,01/03/2022 01:30,0,0,0,,,,,,,,,,,,
01/03/2022,1:35:00,435.6,434.9,436.2,0.2776,0.4051,0.6386,0.2199,0,01:35:00 a. m.,333,2.49,2.41,2.47,51.89,17.19,23.22,50.69,0,01/03/2022 01:35,0,0,0,,,,,,,,,,,,
01/03/2022,1:40:00,435.1,434.2,435.6,0.2747,0.4015,0.6314,0.2232,0,01:40:00 a. m.,329,2.57,2.36,2.47,52.3,17.25,23.51,49.84,0,01/03/2022 01:40,0,0,0,,,,,,,,,,,,
01/03/2022,1:45:00,435.3,434.5,436,0.2768,0.4052,0.6396,0.2223,0,01:45:00 a. m.,332,2.54,2.46,2.47,51.85,17.21,23.15,48.1,0,01/03/2022 01:45,0,0,0,,,,,,,,,,,,
01/03/2022,1:50:00,435.1,434.5,435.7,0.2763,0.4049,0.6387,0.2202,0,01:50:00 a. m.,332,2.53,2.52,2.44,51.68,16.91,23.43,49.7,0,01/03/2022 01:50,0,0,0,,,,,,,,,,,,
01/03/2022,1:55:00,435.2,434.5,435.8,0.2755,0.4013,0.6291,0.2206,0,01:55:00 a. m.,328,2.54,2.45,2.54,51.3,17.32,23.7,48.04,0,01/03/2022 01:55,0,0,0,,,,,,,,,,,,
01/03/2022,2:00:00,435.2,434.3,435.9,0.2753,0.402,0.6321,0.2208,0,02:00:00 a. m.,329,2.6,2.48,2.46,51.77,17.29,23.64,49.89,0,01/03/2022 02:00,0,0,0,,,,,,,,,,,,
01/03/2022,2:05:00,435.5,434.6,435.9,0.2759,0.4028,0.6347,0.2203,0,02:05:00 a. m.,330,2.52,2.47,2.52,51.4,17.14,23.67,50.83,0,01/03/2022 02:05,0,0,0,,,,,,,,,,,,
01/03/2022,2:10:00,435.4,434.6,436.1,0.2757,0.4017,0.6342,0.2252,0,02:10:00 a. m.,330,2.51,2.45,2.5,51.99,17.46,23.53,48.92,0,01/03/2022 02:10,0,0,0,,,,,,,,,,,,
01/03/2022,2:15:00,435.8,434.9,436.3,0.2758,0.4,0.6295,0.2263,0,02:15:00 a. m.,329,2.54,2.36,2.43,52.39,17.46,23.77,49.81,0,01/03/2022 02:15,0,0,0,,,,,,,,,,,,
01/03/2022,2:20:00,436.3,435.3,436.7,0.2764,0.3999,0.627,0.2252,0,02:20:00 a. m.,328,2.53,2.38,2.38,52.19,17.58,23.8,47.77,0,01/03/2022 02:20,0,0,0,,,,,,,,,,,,
