Fecha,Hora,V1-2 (5 min),V2-3 (5 min),V3-1 (5 min),I1 (5 min),I2 (5 min),I3 (5 min),IN (5 min),P1 (W) (5 min),P2 (W) (5 min),P3 (W) (5 min),PT (W) (5 min),Hora,ST (VA) (5 min),V1-2 THD (5 min),V2-3 THD (5 min),V3-1 THD (5 min),I1 THD (5 min),I2 THD (5 min),I3 THD (5 min),IN THD (5 min),kWH (5 min),I1-THD (5 min),I2-THD (5 min),I3-THD (5 min),Fecha y hora
01/05/2022,00:05:00,438,436.3,439.5,0.293,0.4055,0.6298,0.2176,29,-95,-69,-135,00:05:00,336,1.75,1.59,1.73,53.77,17.34,25.14,55.02,0,0,0,0,01/05/2022 00:05
01/05/2022,00:10:00,437.8,436.1,439.6,0.2928,0.4059,0.6305,0.2167,29,-95,-70,-136,00:10:00,336,1.75,1.62,1.73,54.5,17.31,24.87,55.4,-0.01125,0,0,0,01/05/2022 00:10
01/05/2022,00:15:00,438.2,436.6,439.8,0.2936,0.4059,0.6282,0.2147,29,-95,-71,-136,00:15:00,336,1.84,1.7,1.82,54.09,17.21,24.96,55.38,-0.022583333,0,0,0,01/05/2022 00:15
01/05/2022,00:20:00,438.6,437,440.3,0.2967,0.4109,0.6411,0.2176,29,-96,-72,-138,00:20:00,342,1.8,1.64,1.78,53.98,17.16,24.42,54.37,-0.033916667,0,0,0,01/05/2022 00:20
01/05/2022,00:25:00,438.3,436.6,440.1,0.2965,0.4138,0.6491,0.2165,29,-97,-73,-140,00:25:00,344,1.86,1.72,1.86,53.18,16.92,24.27,54.55,-0.045416667,0,0,0,01/05/2022 00:25
01/05/2022,00:30:00,438.3,436.8,440.2,0.2951,0.4057,0.6302,0.2198,30,-95,-68,-134,00:30:00,337,1.93,1.79,1.91,53.28,17.26,24.96,51.28,-0.057083333,0,0,0,01/05/2022 00:30
01/05/2022,00:35:00,438.6,437.1,440.5,0.2968,0.4075,0.6359,0.2223,30,-96,-68,-133,00:35:00,340,1.85,1.7,1.83,53.76,17.25,24.85,54.78,-0.06825,0,0,0,01/05/2022 00:35
01/05/2022,00:40:00,438.7,437.1,440.5,0.296,0.4062,0.6335,0.2234,30,-96,-66,-132,00:40:00,338,1.89,1.74,1.89,53.35,17.16,25.08,53.92,-0.079333333,0,0,0,01/05/2022 00:40
01/05/2022,00:45:00,438.7,437.1,440.4,0.2956,0.4041,0.6307,0.23,30,-96,-63,-128,00:45:00,337,1.93,1.76,1.91,54.02,17.58,24.93,51,-0.090333333,0,0,0,01/05/2022 00:45
01/05/2022,00:50:00,438.5,437.1,440.5,0.2939,0.3977,0.6129,0.2275,30,-94,-62,-126,00:50:00,330,1.92,1.77,1.9,54.73,17.63,25.73,52.32,-0.101,0,0,0,01/05/2022 00:50
01/05/2022,00:55:00,438.9,437.5,440.9,0.2977,0.4087,0.638,0.2226,30,-96,-68,-134,00:55:00,341,1.91,1.76,1.88,53.88,17.33,24.65,52.62,-0.1115,0,0,0,01/05/2022 00:55
01/05/2022,01:00:00,437.9,436.3,439.9,0.2952,0.4088,0.6388,0.2201,29,-96,-69,-136,01:00:00,340,1.89,1.74,1.87,53.72,17.03,24.6,53.42,-0.122666667,0,0,0,01/05/2022 01:00
