Fecha,Hora,V1-2 (5 min),V2-3 (5 min),V3-1 (5 min),I1 (5 min),I2 (5 min),I3 (5 min),IN (5 min),P1 (W) (5 min),P2 (W) (5 min),P3 (W) (5 min),PT (W) (5 min),Hora2,ST (VA) (5 min),V1-2 THD (5 min),V2-3 THD (5 min),V3-1 THD (5 min),I1 THD (5 min),I2 THD (5 min),I3 THD (5 min),IN THD (5 min),kWH(5 min),I1-THD(5min),I2-THD(5min),I3-THD(5min),Fecha y Hora
01/10/2022,0:05:00,446.6,445.8,448,0.3392,0.4268,0.6963,0.259,41,-105,-60,-125,12:05:00 a. m.,377,2.37,2.17,2.37,52.59,16.13,21.84,57.46,-0.010416667,0,0,0,01/10/2022 00:05
01/10/2022,0:10:00,446.2,445.3,447.4,0.3364,0.42,0.681,0.2614,41,-103,-56,-119,12:10:00 a. m.,371,2.35,2.15,2.33,53.13,16.25,22.34,57.21,-0.020333333,0,0,0,01/10/2022 00:10
01/10/2022,0:15:00,446.5,445.6,447.8,0.3372,0.4212,0.6877,0.2669,41,-104,-54,-117,12:15:00 a. m.,373,2.4,2.2,2.38,52.93,16.18,22.4,56.73,-0.030083333,0,0,0,01/10/2022 00:15
01/10/2022,0:20:00,446.8,445.9,447.9,0.339,0.4264,0.7,0.2661,41,-105,-57,-121,12:20:00 a. m.,378,2.43,2.21,2.43,52.71,16.44,21.81,56.84,-0.040166667,0,0,0,01/10/2022 00:20
01/10/2022,0:25:00,447,446.1,448.3,0.3392,0.4261,0.6971,0.2649,41,-105,-57,-121,12:25:00 a. m.,378,2.41,2.23,2.44,53.16,16.27,21.93,58.85,-0.05025,0,0,0,01/10/2022 00:25
01/10/2022,0:30:00,447.5,446.5,448.6,0.3409,0.4264,0.6952,0.2619,41,-105,-59,-123,12:30:00 a. m.,378,2.45,2.25,2.43,52.86,16.16,21.81,57.35,-0.0605,0,0,0,01/10/2022 00:30
01/10/2022,0:35:00,447.6,446.6,449,0.3421,0.4278,0.6981,0.2632,42,-106,-59,-123,12:35:00 a. m.,380,2.46,2.28,2.47,52.88,16.1,21.77,57.81,-0.07075,0,0,0,01/10/2022 00:35
01/10/2022,0:40:00,448.1,447,449.4,0.3436,0.4293,0.7026,0.2659,42,-106,-58,-122,12:40:00 a. m.,382,2.6,2.45,2.65,51.98,16.19,21.61,55.57,-0.080916667,0,0,0,01/10/2022 00:40
01/10/2022,0:45:00,447.7,446.8,449.1,0.3423,0.4278,0.6947,0.2574,42,-105,-61,-125,12:45:00 a. m.,379,2.61,2.45,2.63,52.31,15.98,21.65,59.22,-0.091333333,0,0,0,01/10/2022 00:45
01/10/2022,0:50:00,448.1,447,449.3,0.3429,0.4274,0.701,0.2705,42,-106,-55,-118,12:50:00 a. m.,381,2.58,2.4,2.63,52.33,16.03,21.69,57.24,-0.101166667,0,0,0,01/10/2022 00:50
