Fecha,Hora,V1-2 (5 min),V2-3 (5 min),V3-1 (5 min),I1 (5 min),I2 (5 min),I3 (5 min),IN (5 min),P1 (W) (5 min),P2 (W) (5 min),P3 (W) (5 min),PT (W) (5 min),Hora2,ST (VA) (5 min),V1-2 THD (5 min),V2-3 THD (5 min),V3-1 THD (5 min),I1 THD (5 min),I2 THD (5 min),I3 THD (5 min),IN THD (5 min),kWH,I1-THD(5 min),I2-THD(5 min),I3-THD(5 min),Fecha y Hora
01/09/2022,0:05:00,437.2,436.6,438.9,0.3106,0.4087,0.6082,0.2006,34,-96,-72,-134,12:05:00 a. m.,335,1.62,1.36,1.45,54.18,15.95,24.54,64.27,-0.011167,0,0,0,01/09/2022 00:10
01/09/2022,0:10:00,436.7,436.1,438.6,0.3097,0.4052,0.6027,0.2069,34,-95,-68,-129,12:10:00 a. m.,333,1.68,1.43,1.51,54.35,15.96,24.77,60.63,-0.021916667,0,0,0,01/09/2022 00:15
01/09/2022,0:15:00,436.6,436.1,438.5,0.3096,0.4071,0.6074,0.2034,34,-95,-70,-131,12:15:00 a. m.,334,1.62,1.38,1.45,54.34,15.87,24.76,64.98,-0.032833333,0,0,0,01/09/2022 00:20
01/09/2022,0:20:00,436.6,436.1,438,0.3044,0.3954,0.576,0.2054,33,-92,-67,-126,12:20:00 a. m.,322,1.74,1.49,1.59,54.97,16.45,25.61,62.75,-0.043333333,0,0,0,01/09/2022 00:25
01/09/2022,0:25:00,436.3,435.8,438,0.3047,0.3983,0.5834,0.2041,33,-93,-68,-128,12:25:00 a. m.,324,1.86,1.62,1.72,55.3,16.2,25.29,64.67,-0.054,0,0,0,01/09/2022 00:30
01/09/2022,0:30:00,436.8,436.1,438.1,0.306,0.4002,0.5893,0.2088,33,-94,-66,-127,12:30:00 a. m.,327,1.82,1.56,1.69,54.79,16.21,25.14,59.87,-0.064583333,0,0,0,01/09/2022 00:35
01/09/2022,0:35:00,436.5,436,438.3,0.3066,0.3986,0.5841,0.2078,33,-93,-66,-126,12:35:00 a. m.,325,1.76,1.52,1.61,55.04,16.11,25.38,60.71,-0.075083333,0,0,0,01/09/2022 00:40
01/09/2022,0:40:00,437,436.5,438.7,0.308,0.3995,0.5846,0.2054,34,-94,-68,-128,12:40:00 a. m.,326,1.77,1.54,1.62,54.43,16.19,25.27,60.64,-0.08575,0,0,0,01/09/2022 00:45
01/09/2022,0:45:00,436.8,436.4,438.6,0.3094,0.4028,0.5925,0.2021,34,-94,-70,-130,12:45:00 a. m.,330,1.8,1.57,1.64,54.13,15.98,24.94,61.63,-0.096583333,0,0,0,01/09/2022 00:50
01/09/2022,0:50:00,436.9,436.6,439,0.3105,0.4041,0.5988,0.2078,34,-95,-67,-128,12:50:00 a. m.,332,1.87,1.64,1.71,54.33,15.87,24.75,62.36,-0.10725,0,0,0,01/09/2022 00:55
01/09/2022,0:55:00,437.6,437.1,439.1,0.3108,0.4041,0.5963,0.2053,34,-95,-69,-129,12:55:00 a. m.,332,1.92,1.68,1.78,53.97,15.98,24.77,63.17,-0.118,0,0,0,01/09/2022 01:00
01/09/2022,1:00:00,437.5,437,439.2,0.3111,0.4053,0.5992,0.2047,34,-95,-69,-130,01:00:00 a. m.,333,1.91,1.67,1.77,54.57,15.94,24.57,65,-0.128833333,0,0,0,01/09/2022 01:05
01/09/2022,1:05:00,437.6,437.3,439.5,0.3137,0.4103,0.6122,0.2059,35,-97,-70,-132,01:05:00 a. m.,338,1.9,1.66,1.74,53.93,15.76,24.2,62.51,-0.139833333,0,0,0,01/09/2022 01:10
01/09/2022,1:10:00,437.9,437.6,439.6,0.3129,0.4035,0.5944,0.2134,35,-95,-66,-126,01:10:00 a. m.,332,1.93,1.71,1.79,54.5,16.05,24.62,59.7,-0.150333333,0,0,0,01/09/2022 01:15
01/09/2022,1:15:00,437.7,437.4,439.6,0.3133,0.4058,0.6001,0.2097,35,-96,-67,-128,01:15:00 a. m.,334,1.92,1.7,1.77,53.73,15.95,24.65,59.12,-0.161,0,0,0,01/09/2022 01:20
01/09/2022,1:20:00,438.5,438.1,440.2,0.316,0.4105,0.6101,0.2062,35,-97,-71,-132,01:20:00 a. m.,339,2,1.77,1.86,53.52,15.68,24.17,62.73,-0.172,0,0,0,01/09/2022 01:25
01/09/2022,1:25:00,438.6,438.1,440.4,0.3162,0.4096,0.6106,0.2118,36,-97,-67,-129,01:25:00 a. m.,339,1.95,1.71,1.83,53.5,15.64,24.23,61.8,-0.18275,0,0,0,01/09/2022 01:30
01/09/2022,1:30:00,439.1,438.7,440.5,0.3148,0.4049,0.5947,0.2076,35,-95,-69,-129,01:30:00 a. m.,334,1.94,1.71,1.82,54.18,16.08,24.49,63.44,-0.1935,0,0,0,01/09/2022 01:35
01/09/2022,1:35:00,439.1,438.6,440.8,0.3154,0.4065,0.5989,0.2077,35,-96,-69,-130,01:35:00 a. m.,335,1.92,1.7,1.8,54.41,15.93,24.52,65.14,-0.204333333,0,0,0,01/09/2022 01:40
01/09/2022,1:40:00,438.7,438.3,440.5,0.3158,0.4091,0.6061,0.2064,35,-96,-70,-132,01:40:00 a. m.,338,1.93,1.71,1.8,54.06,15.92,24.31,62.68,-0.215333333,0,0,0,01/09/2022 01:45
01/09/2022,1:45:00,438.4,438,439.9,0.3131,0.4036,0.5921,0.2086,35,-95,-68,-128,01:45:00 a. m.,332,1.92,1.7,1.8,54.31,15.87,24.85,61.55,-0.226,0,0,0,01/09/2022 01:50
01/09/2022,1:50:00,438.3,437.9,440,0.3149,0.4082,0.6039,0.205,35,-96,-70,-132,01:50:00 a. m.,336,1.92,1.69,1.81,53.45,15.93,24.42,60.84,-0.237,0,0,0,01/09/2022 01:55
01/09/2022,1:55:00,438.7,438.1,440.1,0.3154,0.4109,0.6121,0.206,35,-97,-71,-132,01:55:00 a. m.,339,1.95,1.71,1.85,53.71,15.77,24.11,64.5,-0.248,0,0,0,01/09/2022 02:00
01/09/2022,2:00:00,438.3,438,440.1,0.3144,0.4044,0.5978,0.2105,35,-96,-66,-127,02:00:00 a. m.,334,1.97,1.75,1.85,53.73,15.87,24.68,61.27,-0.258583333,0,0,0,01/09/2022 02:05
01/09/2022,2:05:00,438.3,438.1,440.2,0.3155,0.4118,0.6151,0.2047,35,-97,-72,-134,02:05:00 a. m.,340,1.98,1.75,1.84,54.17,15.75,23.88,66.36,-0.26975,0,0,0,01/09/2022 02:10
01/09/2022,2:10:00,438.6,438.3,440.2,0.3162,0.4124,0.6173,0.209,35,-98,-70,-132,02:10:00 a. m.,341,1.99,1.75,1.87,53.78,15.7,23.86,62.25,-0.28075,0,0,0,01/09/2022 02:15
01/09/2022,2:15:00,438.7,438.3,440.6,0.3171,0.4101,0.6111,0.2134,36,-97,-67,-129,02:15:00 a. m.,339,2,1.77,1.87,54.04,15.81,24.1,60.13,-0.2915,0,0,0,01/09/2022 02:20
01/09/2022,2:20:00,439.3,438.7,440.7,0.317,0.4091,0.6063,0.2122,36,-97,-67,-129,02:20:00 a. m.,338,2,1.75,1.87,53.52,15.83,24.35,59.61,-0.30225,0,0,0,01/09/2022 02:25
01/09/2022,2:25:00,438.9,438.5,440.7,0.3173,0.409,0.6069,0.21,36,-97,-68,-130,02:25:00 a. m.,338,1.98,1.75,1.85,53.39,15.78,24.32,59.4,-0.313083333,0,0,0,01/09/2022 02:30
01/09/2022,2:30:00,439.2,438.8,440.9,0.3161,0.4059,0.5957,0.206,35,-96,-70,-130,02:30:00 a. m.,335,1.99,1.77,1.86,54.07,15.93,24.66,65.09,-0.323916667,0,0,0,01/09/2022 02:35
01/09/2022,2:35:00,439.4,439,441,0.3179,0.4107,0.6101,0.2064,36,-97,-71,-132,02:35:00 a. m.,340,2.01,1.78,1.89,53.38,15.76,24.27,64.32,-0.334916667,0,0,0,01/09/2022 02:40
01/09/2022,2:40:00,439.2,438.9,441.1,0.3167,0.4063,0.5994,0.2095,36,-96,-68,-129,02:40:00 a. m.,336,1.99,1.77,1.87,54.3,15.92,24.46,63.79,-0.345666667,0,0,0,01/09/2022 02:45
01/09/2022,2:45:00,439.3,438.9,440.8,0.3161,0.4075,0.6001,0.2045,35,-96,-71,-132,02:45:00 a. m.,336,2.05,1.8,1.9,54.03,15.79,24.35,65.43,-0.356666667,0,0,0,01/09/2022 02:50
01/09/2022,2:50:00,439,438.6,440.7,0.3182,0.4142,0.6178,0.2039,35,-98,-73,-135,02:50:00 a. m.,343,2.04,1.79,1.9,53.8,15.67,23.69,64.32,-0.367916667,0,0,0,01/09/2022 02:55
01/09/2022,2:55:00,438.7,438.3,440.7,0.3181,0.4131,0.6176,0.2094,36,-98,-70,-132,02:55:00 a. m.,342,2.03,1.78,1.88,53.38,15.63,24.06,61.27,-0.378916667,0,0,0,01/09/2022 03:00
01/09/2022,3:00:00,438.6,438.2,440.4,0.3172,0.4107,0.6127,0.2123,36,-97,-67,-129,03:00:00 a. m.,340,1.98,1.74,1.85,53.27,15.74,24.14,58.41,-0.389666667,0,0,0,01/09/2022 03:05
01/09/2022,3:05:00,438.7,438.2,440.6,0.3166,0.408,0.6062,0.2115,36,-97,-67,-128,03:05:00 a. m.,338,1.97,1.74,1.83,53.7,15.82,24.51,62.24,-0.400333333,0,0,0,01/09/2022 03:10
01/09/2022,3:10:00,438.8,438.4,440.6,0.3166,0.4124,0.6154,0.2033,35,-97,-72,-134,03:10:00 a. m.,341,1.97,1.73,1.83,53.5,15.87,24.09,64.89,-0.4115,0,0,0,01/09/2022 03:15
01/09/2022,3:15:00,438.9,438.2,440.5,0.3162,0.4105,0.6119,0.2094,35,-97,-69,-131,03:15:00 a. m.,340,1.96,1.7,1.83,54.18,15.82,24.16,64.03,-0.422416667,0,0,0,01/09/2022 03:20
01/09/2022,3:20:00,438.9,438.2,440.6,0.3156,0.4081,0.604,0.2095,35,-96,-69,-130,03:20:00 a. m.,337,1.96,1.7,1.82,53.98,15.96,24.54,61.26,-0.43325,0,0,0,01/09/2022 03:25
01/09/2022,3:25:00,439,438.4,440.6,0.3175,0.4135,0.616,0.204,35,-97,-73,-135,03:25:00 a. m.,342,1.98,1.72,1.82,53.81,15.62,23.92,64.18,-0.4445,0,0,0,01/09/2022 03:30
01/09/2022,3:30:00,438.9,438.5,440.9,0.3186,0.4141,0.6173,0.2047,36,-98,-72,-134,03:30:00 a. m.,343,1.98,1.73,1.83,53.08,15.72,23.97,61.44,-0.455666667,0,0,0,01/09/2022 03:35
01/09/2022,3:35:00,439,438.6,440.7,0.3156,0.402,0.5871,0.2119,36,-95,-66,-126,03:35:00 a. m.,331,1.99,1.73,1.84,54.09,15.95,24.96,61.37,-0.466166667,0,0,0,01/09/2022 03:40
01/09/2022,3:40:00,439,438.4,440.6,0.3168,0.4134,0.6156,0.2003,35,-97,-74,-136,03:40:00 a. m.,341,1.98,1.72,1.84,53.23,15.55,24.2,67.12,-0.4775,0,0,0,01/09/2022 03:45
01/09/2022,3:45:00,438.8,438.1,440.5,0.3164,0.4142,0.6194,0.2039,35,-98,-72,-135,03:45:00 a. m.,342,1.97,1.71,1.83,53.56,15.94,23.79,64.78,-0.48875,0,0,0,01/09/2022 03:50
01/09/2022,3:50:00,439,438.6,440.7,0.3168,0.4104,0.6109,0.2105,36,-97,-68,-130,03:50:00 a. m.,340,1.98,1.73,1.84,54.07,15.83,24.19,63.56,-0.499583333,0,0,0,01/09/2022 03:55
01/09/2022,3:55:00,438.8,438.3,440.8,0.3163,0.41,0.6074,0.2069,35,-97,-70,-132,03:55:00 a. m.,338,2.01,1.77,1.86,53.88,15.98,24.3,62.5,-0.510583333,0,0,0,01/09/2022 04:00
