Fecha,I1,I2,I3,Ano,Month
14/01/2013,436.6,437.8,435.8,2013,Enero
15/01/2013,436.3,437.2,435.3,2013,Enero
16/01/2013,435,435.4,434,2013,Enero
13/01/2014,8.58,6.05,6.16,2014,Enero
14/01/2014,6.46,5.84,5.97,2014,Enero
15/01/2014,7.81,7.16,7.18,2014,Enero
16/01/2014,6.31,5.65,5.89,2014,Enero
17/01/2014,7.61,6.91,6.85,2014,Enero
18/01/2014,8.27,7.58,7.43,2014,Enero
19/01/2014,7.96,7.15,6.89,2014,Enero
20/01/2014,7.89,7.21,7.23,2014,Enero
19/01/2015,6.72,8.16,6.4,2015,Enero
20/01/2015,7.73,8.88,7.33,2015,Enero
21/01/2015,6.77,7.81,6.35,2015,Enero
22/01/2015,8.87,9.85,8.36,2015,Enero
23/01/2015,8.26,9.23,7.72,2015,Enero
24/01/2015,8.2,9.33,7.67,2015,Enero
25/01/2015,5.35,6.78,4.92,2015,Enero
26/01/2015,7.41,8.55,6.93,2015,Enero
27/01/2015,8.68,9.77,8.12,2015,Enero
28/01/2015,9.09,10.07,8.51,2015,Enero
29/01/2015,9.55,10.59,8.95,2015,Enero
30/01/2015,7.73,8.98,7.2,2015,Enero
31/01/2015,9.03,10.12,8.36,2015,Enero
22/01/2016,10.86,5.474,8.085,2016,Enero
23/01/2016,11.27,5.597,8.615,2016,Enero
24/01/2016,10.07,4.23,7.166,2016,Enero
25/01/2016,11.02,5.303,8.127,2016,Enero
26/01/2016,10.72,4.906,7.581,2016,Enero
27/01/2016,11.73,6.246,9.036,2016,Enero
28/01/2016,8.722,3.624,5.841,2016,Enero
29/01/2016,4.985,3.644,0,2016,Enero
30/01/2016,9.245,3.501,5.557,2016,Enero
31/01/2016,11.41,5.447,8.431,2016,Enero
13/01/2017,9.926,10.08,9.309,2017,Enero
14/01/2017,8.186,8.449,7.653,2017,Enero
15/01/2017,9.385,9.579,8.811,2017,Enero
16/01/2017,9.774,9.962,9.215,2017,Enero
17/01/2017,8.455,8.657,7.951,2017,Enero
18/01/2017,7.852,8.309,7.45,2017,Enero
19/01/2017,9.812,10.1,9.165,2017,Enero
20/01/2017,10.201,10.44,9.576,2017,Enero
21/01/2017,10.231,10.32,9.607,2017,Enero
22/01/2017,9.867,10.15,9.248,2017,Enero
23/01/2017,10.301,10.6,9.572,2017,Enero
24/01/2017,9.783,10.04,9.171,2017,Enero
25/01/2017,9.684,9.976,9.016,2017,Enero
26/01/2017,8.628,8.96,8.204,2017,Enero
27/01/2017,9.471,9.89,8.855,2017,Enero
28/01/2017,9.405,9.535,8.775,2017,Enero
29/01/2017,5.146,5.517,4.681,2017,Enero
30/01/2017,6.636,7.093,6.232,2017,Enero
31/01/2017,7.24,7.702,6.791,2017,Enero
16/01/2018,6.991,7.282,7.925,2018,Enero
17/01/2018,7.361,7.601,8.36,2018,Enero
18/01/2018,7.061,7.224,8.117,2018,Enero
19/01/2018,7.167,7.38,8.158,2018,Enero
20/01/2018,8.421,8.757,9.328,2018,Enero
21/01/2018,9.085,9.403,10.04,2018,Enero
22/01/2018,8.063,8.374,9.014,2018,Enero
23/01/2018,5.602,5.85,6.513,2018,Enero
01/01/2022,5.607,5.7294,5.9544,2022,Enero
02/01/2022,5.0089,5.1399,5.3459,2022,Enero
03/01/2022,5.7021,5.8577,6.0392,2022,Enero
04/01/2022,4.4373,4.5392,4.7501,2022,Enero
05/01/2022,6.3332,6.4857,6.6888,2022,Enero
06/01/2022,5.7158,5.8577,6.0574,2022,Enero
07/01/2022,5.9557,6.1136,6.3031,2022,Enero
08/01/2022,6.0197,6.1781,6.3631,2022,Enero
09/01/2022,4.9326,5.0443,5.2595,2022,Enero
10/01/2022,6.2377,6.4139,6.5945,2022,Enero
11/01/2022,6.3794,6.5647,6.7252,2022,Enero
12/01/2022,7.7753,7.9936,8.1555,2022,Enero
13/01/2022,6.8996,7.0998,7.2743,2022,Enero
14/01/2022,6.6584,6.8428,7.014,2022,Enero
19/02/2013,7.948,25.328,4.681,2013,Febrero
20/02/2013,13.732,37.092,7.527,2013,Febrero
21/02/2013,12.086,33.68,6.675,2013,Febrero
22/02/2013,12.798,35.628,7.099,2013,Febrero
23/02/2013,12.66,35.608,7.03,2013,Febrero
24/02/2013,13.28,36.412,7.239,2013,Febrero
25/02/2013,12.972,35.808,7.115,2013,Febrero
26/02/2013,13.728,36.928,7.452,2013,Febrero
05/02/2014,6.1,6.17,5.9,2014,Febrero
06/02/2014,6.21,6.43,6.21,2014,Febrero
07/02/2014,5.19,5.46,5.22,2014,Febrero
08/02/2014,6.22,6.56,6.33,2014,Febrero
09/02/2014,7.16,7.4,7.2,2014,Febrero
10/02/2014,6.8,7.08,6.89,2014,Febrero
11/02/2014,5.94,6.04,5.83,2014,Febrero
12/02/2014,6.41,6.72,6.47,2014,Febrero
13/02/2014,6.73,6.94,6.73,2014,Febrero
04/02/2015,8.15,7.76,8.04,2015,Febrero
05/02/2015,7.8,7.44,7.75,2015,Febrero
06/02/2015,7.23,6.88,7.19,2015,Febrero
07/02/2015,8.48,8.08,8.38,2015,Febrero
08/02/2015,8.39,8.06,8.27,2015,Febrero
09/02/2015,8.77,8.42,8.67,2015,Febrero
10/02/2015,7.9,7.56,7.8,2015,Febrero
11/02/2015,6.9,6.57,6.89,2015,Febrero
12/02/2015,8.03,7.74,7.97,2015,Febrero
13/02/2015,2.34,2.13,2.45,2015,Febrero
14/02/2015,2.54,2.34,2.66,2015,Febrero
15/02/2015,7.5,7.19,7.41,2015,Febrero
16/02/2015,8.07,7.77,8.01,2015,Febrero
17/02/2015,7.53,7.34,7.48,2015,Febrero
18/02/2015,7.07,6.85,7.05,2015,Febrero
19/02/2015,7.06,6.78,7,2015,Febrero
20/02/2015,6.43,6.21,6.48,2015,Febrero
05/02/2016,10.594,11.548,13.354,2016,Febrero
06/02/2016,12.432,13.326,14.548,2016,Febrero
07/02/2016,13.252,14.384,15.674,2016,Febrero
08/02/2016,13.246,14.568,16.04,2016,Febrero
09/02/2016,6.632,5.614,4.842,2016,Febrero
10/02/2016,5.158,3.74,3.02,2016,Febrero
11/02/2016,12.348,13.348,14.802,2016,Febrero
12/02/2016,13.118,14.844,16.002,2016,Febrero
13/02/2016,13.914,14.892,16.452,2016,Febrero
14/02/2016,10.552,11.596,13.162,2016,Febrero
15/02/2016,8.804,10.55,11.654,2016,Febrero
16/02/2016,9.886,11.37,12.318,2016,Febrero
17/02/2016,13.182,14.696,16.08,2016,Febrero
18/02/2016,12.234,13.452,14.776,2016,Febrero
19/02/2016,11.624,13.2,14.394,2016,Febrero
20/02/2016,10.046,11.09,12.662,2016,Febrero
21/02/2016,10.946,11.872,13.466,2016,Febrero
22/02/2016,9.18,10.42,11.624,2016,Febrero
23/02/2016,12.28,13.524,14.7,2016,Febrero
24/02/2016,8.86,10.246,11.356,2016,Febrero
25/02/2016,8.386,9.374,10.942,2016,Febrero
26/02/2016,6.842,8.066,9.018,2016,Febrero
27/02/2016,6.656,7.082,8.698,2016,Febrero
28/02/2016,7.904,8.972,10.22,2016,Febrero
29/02/2016,8.688,10.222,11.436,2016,Febrero
09/02/2017,8.665,6.19,8.667,2017,Febrero
10/02/2017,8.361,5.775,8.402,2017,Febrero
11/02/2017,9.019,6.353,9.031,2017,Febrero
12/02/2017,8.737,6.055,8.738,2017,Febrero
13/02/2017,7.447,4.802,7.457,2017,Febrero
14/02/2017,8.638,6.162,8.617,2017,Febrero
15/02/2017,8.653,6.102,8.661,2017,Febrero
16/02/2017,8.684,6.096,8.7,2017,Febrero
17/02/2017,9.501,6.86,9.571,2017,Febrero
18/02/2017,8.533,5.779,8.544,2017,Febrero
19/02/2017,9.063,6.278,9.081,2017,Febrero
20/02/2017,9.299,6.778,9.281,2017,Febrero
21/02/2017,4.574,3.009,4.872,2017,Febrero
22/02/2017,8.057,5.67,8.418,2017,Febrero
23/02/2017,7.866,5.668,8.37,2017,Febrero
24/02/2017,8.651,6.244,8.793,2017,Febrero
25/02/2017,6.841,4.206,6.967,2017,Febrero
26/02/2017,7.938,5.587,8.371,2017,Febrero
27/02/2017,7.342,5.016,7.904,2017,Febrero
28/02/2017,7.504,5.403,8.019,2017,Febrero
19/02/2018,NA,NA,NA,2018,Febrero
20/02/2018,NA,NA,NA,2018,Febrero
21/02/2018,NA,NA,NA,2018,Febrero
22/02/2018,NA,NA,NA,2018,Febrero
23/02/2018,NA,NA,NA,2018,Febrero
24/02/2018,NA,NA,NA,2018,Febrero
22/02/2022,8.9684,8.4793,8.4854,2022,Febrero
23/02/2022,8.6045,8.1061,8.0575,2022,Febrero
24/02/2022,8.7676,8.2847,8.2988,2022,Febrero
25/02/2022,7.6938,7.1996,7.27,2022,Febrero
26/02/2022,8.2183,7.6914,7.7271,2022,Febrero
27/02/2022,9.078,8.5343,8.5889,2022,Febrero
28/02/2022,9.2623,8.7558,8.7279,2022,Febrero
04/03/2014,6.42,6.23,6.25,2014,Marzo
