Fecha,P1,P2,P3,PT,Ano,Month
01/01/2022,799.3365385,845.44,345.9930556,2420.714286,2022,Enero
02/01/2022,521.6692308,566.4083333,291.3611111,1969.174757,2022,Enero
03/01/2022,905.9462366,956.6888889,347.6180556,3288.692308,2022,Enero
04/01/2022,665.8888889,715.2823529,260.7743056,2163.588235,2022,Enero
05/01/2022,1132.747475,1173.387755,448.3541667,3781.978022,2022,Enero
06/01/2022,864.4042553,908.9120879,338.6701389,2767.655556,2022,Enero
07/01/2022,1116.297872,1157.16129,421.21875,3701.149425,2022,Enero
08/01/2022,1005.950617,1113.493333,336.8854167,3760.166667,2022,Enero
09/01/2022,548.3580247,615.2916667,205.3229167,2018.430769,2022,Enero
10/01/2022,903.505618,957.0116279,333.9479167,2754.910112,2022,Enero
11/01/2022,833.25,899.0879121,332.9097222,2134.243478,2022,Enero
12/01/2022,1355.606061,1406.259542,687.3055556,4401.952,2022,Enero
13/01/2022,1311.116279,1418.5,450.5833333,4443.038462,2022,Enero
14/01/2022,1129.195652,1173.747253,497.2941176,2864.3125,2022,Enero
22/02/2022,907.6774194,1585.2,1609.6625,4991.696203,2022,Febrero
23/02/2022,748.4652778,1569.479675,1588.902439,4877.601626,2022,Febrero
24/02/2022,708.5347222,1530.823529,1553.882353,4881.982759,2022,Febrero
25/02/2022,582.4756944,1278.34188,1265.70339,4051.27193,2022,Febrero
26/02/2022,556.3645833,1203.581197,1200.59322,3774.387931,2022,Febrero
27/02/2022,785.5347222,1642.976,1648.168,5106.241935,2022,Febrero
28/02/2022,759.6736111,1599.584,1596.088,4951.298387,2022,Febrero
04/04/2022,780.1156069,1117.186916,1127.196262,3423.697248,2022,Abril
05/04/2022,630.4479167,1219.734848,1218.772727,3724.634328,2022,Abril
06/04/2022,509.5416667,1031.317073,1040.325203,3175.688,2022,Abril
07/04/2022,355.0833333,829.1764706,815.9134615,2561.759615,2022,Abril
08/04/2022,201.5694444,619.8,616.2428571,1949.056338,2022,Abril
09/04/2022,349.1909722,1096.454545,1068.860759,3332.265823,2022,Abril
10/04/2022,490.4444444,1165.847619,1158.09434,3563.64486,2022,Abril
11/04/2022,457.8958333,1177.030928,1177.896907,3620.704082,2022,Abril
12/04/2022,332.7430556,874.3444444,871.3186813,2697.858696,2022,Abril
13/04/2022,389.3298611,930.7029703,930.3663366,2807.257143,2022,Abril
14/04/2022,368.53125,859.0196078,858.6116505,2662.326923,2022,Abril
15/04/2022,516.59375,1013.555556,1018.873016,3175.619048,2022,Abril
16/04/2022,566.25,1135.616,1128.428571,3429.906977,2022,Abril
17/04/2022,812.0763889,1590.345865,1575.014925,4830.77037,2022,Abril
18/04/2022,971.2336449,1611.898305,1603.168067,4925.840336,2022,Abril
20/04/2022,643.78,1580.745455,1579.654545,4868.072727,2022,Abril
21/04/2022,534.46875,1164.215517,1166.913793,3616.155172,2022,Abril
22/04/2022,797.3958333,1569.856061,1557.371212,4795.879699,2022,Abril
23/04/2022,572.4513889,1358.616822,1354.626168,4128.284404,2022,Abril
24/04/2022,597.0972222,1576.896907,1573.134021,4867.525773,2022,Abril
25/04/2022,650.5729167,1593.113208,1566.373832,4803,2022,Abril
26/04/2022,147.2604167,592.78,594.66,1861.54902,2022,Abril
27/04/2022,879.8376963,1784.034884,1778.848837,5482.744186,2022,Abril
28/04/2022,783.5909091,1454.333333,1443.118421,4437.144737,2022,Abril
29/04/2022,418.1909722,1059.525773,1053.793814,3301.783505,2022,Abril
30/04/2022,495.2256944,1221.980198,1217.411765,3772.372549,2022,Abril
01/05/2022,372.4041812,1122.5375,1091.156627,3389.433735,2022,Mayo
02/05/2022,568.1736111,1353.906542,1339.425926,4111.587156,2022,Mayo
03/05/2022,416.1597222,821.2540984,820.0491803,2504.404762,2022,Mayo
04/05/2022,508.03125,1246.650485,1231.009615,3787.990476,2022,Mayo
05/05/2022,535.1388889,1259.719626,1243.614679,3812.818182,2022,Mayo
06/05/2022,462.3854167,1071.17757,1075.635514,3310.777778,2022,Mayo
07/05/2022,869.1410788,1665.938596,1650.815789,5121.640351,2022,Mayo
12/05/2022,1181.921466,1602.062016,1596.728682,4859.122137,2022,Mayo
13/05/2022,741.9375,1492.20155,1484.682171,4562.776923,2022,Mayo
14/05/2022,639.2986111,1408.818966,1402.094828,4317.863248,2022,Mayo
15/05/2022,783.6180556,1574.534884,1577.488372,4865.031008,2022,Mayo
16/05/2022,788.9131944,1595.643411,1584.96124,4906.170543,2022,Mayo
17/05/2022,677.7847222,1349.868217,1356.689922,4152.4,2022,Mayo
18/05/2022,654.8888889,1313.257813,1304.689922,4035.627907,2022,Mayo
19/05/2022,633.2777778,1363.605042,1363.184874,4219.067227,2022,Mayo
20/05/2022,453.9756944,1165.010309,1127.818182,3499.69,2022,Mayo
21/05/2022,572.1462451,1101.026316,1084.465517,3322.440678,2022,Mayo
24/05/2022,141.7647059,768.1875,760.8125,2405,2022,Mayo
25/05/2022,501.4583333,1033.157025,1028.02459,3146.516129,2022,Mayo
26/05/2022,661.1777778,1400.210526,1388.118421,4260.194805,2022,Mayo
31/05/2022,144.3706294,491.2857143,491.8275862,1415.71875,2022,Mayo
01/06/2022,444.6620209,1140.333333,1130.494845,3479.744898,2022,Junio
02/06/2022,567.2638889,1248.894737,1221.222222,3790.555556,2022,Junio
03/06/2022,626.3263889,1464.614679,1449.266055,4478.945455,2022,Junio
04/06/2022,626.3263889,1464.614679,1449.266055,4478.945455,2022,Junio
05/06/2022,465.96875,1323.568182,1321.670455,4104.852273,2022,Junio
06/06/2022,641.71875,1391.669492,1387.092437,4278.168067,2022,Junio
07/06/2022,679.7326389,1396.368,1397.064,4320.728,2022,Junio
08/06/2022,323.0804196,1127.676471,1130.838235,3467.782609,2022,Junio
09/06/2022,177.9861111,657.0892857,630.9827586,1867.936508,2022,Junio
10/06/2022,510.6388889,1444.640449,1437.640449,4272.387097,2022,Junio
