Fecha,P1,P2,P3,PT,Ano,Month
01/01/2022,1346,1386,1436,4167,2022,Enero
02/01/2022,1203,1239,1288,3730,2022,Enero
03/01/2022,1373,1418,1462,4254,2022,Enero
04/01/2022,1063,1095,1146,3304,2022,Enero
05/01/2022,1529,1578,1623,4730,2022,Enero
06/01/2022,1380,1421,1467,4267,2022,Enero
07/01/2022,1441,1488,1531,4460,2022,Enero
08/01/2022,1451,1499,1540,4490,2022,Enero
09/01/2022,1185,1218,1269,3672,2022,Enero
10/01/2022,1503,1556,1595,4654,2022,Enero
11/01/2022,1535,1593,1625,4753,2022,Enero
12/01/2022,1894,1963,1997,5854,2022,Enero
13/01/2022,1671,1732,1769,5170,2022,Enero
14/01/2022,1618,1672,1712,5002,2022,Enero
22/02/2022,2281,2116,2160,6555,2022,Febrero
23/02/2022,2193,2027,2049,6269,2022,Febrero
24/02/2022,2231,2070,2110,6410,2022,Febrero
25/02/2022,1944,1825,1829,5597,2022,Febrero
26/02/2022,2087,1958,1955,6000,2022,Febrero
27/02/2022,2316,2178,2183,6678,2022,Febrero
28/02/2022,2336,2215,2195,6747,2022,Febrero
04/04/2022,1734,1605,1612,4951,2022,Abril
05/04/2022,1871,1758,1754,5383,2022,Abril
06/04/2022,1798,1678,1681,5158,2022,Abril
07/04/2022,1447,1331,1324,4100,2022,Abril
08/04/2022,1055,927,925,2906,2022,Abril
09/04/2022,1755,1618,1614,4987,2022,Abril
10/04/2022,2128,1987,1984,6099,2022,Abril
11/04/2022,1858,1729,1724,5311,2022,Abril
12/04/2022,1800,1666,1661,5128,2022,Abril
13/04/2022,1878,1744,1729,5351,2022,Abril
14/04/2022,1909,1770,1771,5450,2022,Abril
15/04/2022,1739,1604,1600,4943,2022,Abril
16/04/2022,2024,1886,1879,5789,2022,Abril
17/04/2022,2227,2090,2081,6397,2022,Abril
18/04/2022,2100,1978,1962,6040,2022,Abril
20/04/2022,2063,1930,1917,5902,2022,Abril
21/04/2022,1843,1723,1724,5291,2022,Abril
22/04/2022,2222,2085,2065,6373,2022,Abril
23/04/2022,2124,1982,1970,6076,2022,Abril
24/04/2022,2222,2073,2063,6358,2022,Abril
25/04/2022,2136,2008,1987,6131,2022,Abril
26/04/2022,1789,1657,1646,5091,2022,Abril
27/04/2022,2374,2235,2223,6832,2022,Abril
28/04/2022,2124,1996,1985,6104,2022,Abril
29/04/2022,1844,1711,1696,5251,2022,Abril
30/04/2022,1928,1794,1785,5507,2022,Abril
01/05/2022,1823,1678,1679,5180,2022,Mayo
02/05/2022,2026,1891,1880,5793,2022,Mayo
03/05/2022,1981,1855,1847,5684,2022,Mayo
04/05/2022,1823,1694,1679,5196,2022,Mayo
05/05/2022,1932,1791,1789,5511,2022,Mayo
06/05/2022,1576,1454,1453,4482,2022,Mayo
07/05/2022,2179,2037,2016,6233,2022,Mayo
12/05/2022,2122,1992,1997,6112,2022,Mayo
13/05/2022,2028,1887,1861,5776,2022,Mayo
14/05/2022,1997,1853,1846,5696,2022,Mayo
15/05/2022,2140,1994,1999,6133,2022,Mayo
16/05/2022,2110,1986,1977,6073,2022,Mayo
17/05/2022,1893,1762,1777,5432,2022,Mayo
18/05/2022,1848,1723,1727,5297,2022,Mayo
19/05/2022,2065,1932,1937,5933,2022,Mayo
20/05/2022,1749,1621,1601,4971,2022,Mayo
21/05/2022,1627,1493,1492,4612,2022,Mayo
24/05/2022,1374,1267,1260,3901,2022,Mayo
25/05/2022,1979,1859,1857,5695,2022,Mayo
26/05/2022,1983,1853,1851,5687,2022,Mayo
31/05/2022,1799,1666,1681,5147,2022,Mayo
01/06/2022,2177,2045,2031,6253,2022,Junio
02/06/2022,2355,2206,2174,6736,2022,Junio
03/06/2022,2194,2063,2057,6315,2022,Junio
04/06/2022,2109,1964,1944,6017,2022,Junio
05/06/2022,2196,2051,2041,6288,2022,Junio
06/06/2022,2134,1996,1997,6127,2022,Junio
07/06/2022,2131,1997,1988,6115,2022,Junio
08/06/2022,1812,1677,1674,5164,2022,Junio
09/06/2022,1372,1239,1214,3825,2022,Junio
10/06/2022,2185,2046,2016,6247,2022,Junio
11/06/2022,2200,2056,2052,6308,2022,Junio
12/06/2022,1987,1843,1839,5665,2022,Junio
13/06/2022,1969,1814,1800,5582,2022,Junio
14/06/2022,1275,1142,1153,3570,2022,Junio
15/06/2022,2135,2002,2000,6136,2022,Junio
16/06/2022,2018,1879,1857,5754,2022,Junio
17/06/2022,1994,1858,1859,5711,2022,Junio
18/06/2022,1695,1556,1557,4809,2022,Junio
19/06/2022,2154,2008,1990,6151,2022,Junio
20/06/2022,2039,1910,1888,5836,2022,Junio
21/06/2022,1175,1036,1029,3240,2022,Junio
22/06/2022,1470,1346,1349,4164,2022,Junio
23/06/2022,1943,1807,1782,5531,2022,Junio
24/06/2022,2191,2059,2048,6297,2022,Junio
25/06/2022,1625,1488,1479,4591,2022,Junio
26/06/2022,2028,1882,1878,5789,2022,Junio
27/06/2022,2141,2003,2004,6148,2022,Junio
28/06/2022,1979,1834,1825,5638,2022,Junio
29/06/2022,1962,1834,1816,5611,2022,Junio
30/06/2022,2053,1916,1915,5884,2022,Junio
01/07/2022,1698,1576,1570,4845,2022,Julio
02/07/2022,1796,1659,1661,5116,2022,Julio
03/07/2022,1879,1737,1748,5364,2022,Julio
04/07/2022,1860,1720,1730,5309,2022,Julio
05/07/2022,2193,2048,2059,6301,2022,Julio
06/07/2022,1844,1704,1720,5268,2022,Julio
07/07/2022,1591,1452,1463,4506,2022,Julio
08/07/2022,1707,1564,1579,4850,2022,Julio
09/07/2022,2041,1901,1907,5850,2022,Julio
10/07/2022,2207,2065,2074,6346,2022,Julio
11/07/2022,1959,1824,1836,5618,2022,Julio
12/07/2022,1729,1593,1618,4940,2022,Julio
13/07/2022,1687,1551,1562,4800,2022,Julio
14/07/2022,2024,1883,1893,5798,2022,Julio
15/07/2022,944,808,835,2587,2022,Julio
16/07/2022,1929,1781,1794,5505,2022,Julio
17/07/2022,2222,2075,2087,6384,2022,Julio
18/07/2022,725,588,610,1923,2022,Julio
19/07/2022,2073,1927,1948,5948,2022,Julio
20/07/2022,2289,2146,2160,6593,2022,Julio
21/07/2022,2214,2070,2079,6363,2022,Julio
22/07/2022,1895,1752,1774,5421,2022,Julio
23/07/2022,2107,1964,1977,6048,2022,Julio
24/07/2022,2175,2023,2035,6233,2022,Julio
25/07/2022,1420,1284,1289,3986,2022,Julio
26/07/2022,2222,2086,2071,6367,2022,Julio
27/07/2022,1809,1683,1692,5184,2022,Julio
28/07/2022,1931,1796,1783,5510,2022,Julio
29/07/2022,1422,1279,1261,3962,2022,Julio
30/07/2022,2030,1884,1865,5778,2022,Julio
31/07/2022,2254,2105,2096,6455,2022,Julio
01/08/2022,37,-82,-51,-106,2022,Agosto
02/08/2022,1915,1772,1763,5450,2022,Agosto
03/08/2022,2268,2136,2127,6530,2022,Agosto
04/08/2022,1993,1858,1849,5699,2022,Agosto
05/08/2022,2106,1968,1944,6017,2022,Agosto
06/08/2022,2040,1899,1899,5838,2022,Agosto
07/08/2022,1946,1803,1798,5547,2022,Agosto
08/08/2022,2274,2135,2143,6551,2022,Agosto
09/08/2022,2131,2006,1994,6131,2022,Agosto
10/08/2022,1805,1685,1676,5164,2022,Agosto
11/08/2022,2036,1899,1878,5813,2022,Agosto
12/08/2022,1881,1735,1721,5338,2022,Agosto
13/08/2022,1816,1678,1665,5158,2022,Agosto
14/08/2022,1864,1726,1710,5300,2022,Agosto
15/08/2022,1792,1657,1642,5090,2022,Agosto
16/08/2022,1523,1400,1406,4329,2022,Agosto
17/08/2022,1715,1590,1587,4892,2022,Agosto
18/08/2022,1659,1520,1498,4678,2022,Agosto
19/08/2022,1825,1695,1681,5201,2022,Agosto
20/08/2022,2211,2067,2075,6352,2022,Agosto
21/08/2022,1825,1682,1688,5194,2022,Agosto
22/08/2022,1417,1293,1295,4005,2022,Agosto
23/08/2022,2380,2252,2235,6866,2022,Agosto
24/08/2022,1782,1643,1642,5066,2022,Agosto
25/08/2022,2120,1981,1967,6068,2022,Agosto
26/08/2022,2109,1983,1970,6063,2022,Agosto
27/08/2022,1784,1651,1631,5066,2022,Agosto
28/08/2022,1947,1802,1806,5554,2022,Agosto
29/08/2022,1868,1741,1735,5344,2022,Agosto
30/08/2022,2271,2150,2149,6567,2022,Agosto
31/08/2022,NA,NA,1698,5210,2022,Agosto
01/09/2022,2121,1991,1997,6109,2022,Septiembre
02/09/2022,2357,2220,2224,6801,2022,Septiembre
03/09/2022,2259,2112,2131,6502,2022,Septiembre
04/09/2022,2245,2092,2107,6443,2022,Septiembre
05/09/2022,2339,2195,2216,6750,2022,Septiembre
06/09/2022,1485,1348,1344,4176,2022,Septiembre
07/09/2022,2307,2173,2135,6615,2022,Septiembre
08/09/2022,1208,1080,1102,3390,2022,Septiembre
09/09/2022,1974,1841,1845,5659,2022,Septiembre
10/09/2022,2225,2081,2099,6405,2022,Septiembre
11/09/2022,1866,1718,1744,5328,2022,Septiembre
12/09/2022,974,852,866,2693,2022,Septiembre
23/09/2022,1294,1151,1158,3603,2022,Septiembre
24/09/2022,1820,1677,1701,5198,2022,Septiembre
25/09/2022,2103,1954,1973,6031,2022,Septiembre
26/09/2022,2087,1944,1958,5989,2022,Septiembre
27/09/2022,964,827,856,2648,2022,Septiembre
28/09/2022,2242,2082,2096,6420,2022,Septiembre
29/09/2022,2159,2010,2038,6207,2022,Septiembre
30/09/2022,NA,NA,1899,6109,2022,Septiembre
01/10/2022,2097,1941,1963,6000,2022,Octubre
02/10/2022,2116,1956,1979,6050,2022,Octubre
03/10/2022,1681,1542,1563,4785,2022,Octubre
