.index,.value,.conf_lo,.conf_hi,Month
12/05/2022,4.707935602,NA,NA,1 month
13/05/2022,3.025999306,NA,NA,1 month
14/05/2022,2.652584722,NA,NA,1 month
15/05/2022,3.176898611,NA,NA,1 month
16/05/2022,3.199274306,NA,NA,1 month
17/05/2022,2.775901389,NA,NA,1 month
18/05/2022,2.69595625,NA,NA,1 month
19/05/2022,2.640545139,NA,NA,1 month
20/05/2022,1.935965972,NA,NA,1 month
21/05/2022,2.38895415,NA,NA,1 month
24/05/2022,0.762715966,NA,NA,1 month
25/05/2022,2.151674306,NA,NA,1 month
26/05/2022,2.745491111,NA,NA,1 month
31/05/2022,0.794618182,NA,NA,1 month
01/06/2022,2.029339024,NA,NA,1 month
02/06/2022,2.484563542,NA,NA,1 month
03/06/2022,2.88139375,NA,NA,1 month
04/06/2022,2.595713194,NA,NA,1 month
05/06/2022,2.010494444,NA,NA,1 month
06/06/2022,2.638295833,NA,NA,1 month
07/06/2022,2.779093056,NA,NA,1 month
08/06/2022,1.428313986,NA,NA,1 month
09/06/2022,0.914211458,NA,NA,1 month
10/06/2022,2.171935069,NA,NA,1 month
11/06/2022,2.765937847,NA,NA,1 month
12/06/2022,2.286890625,NA,NA,1 month
13/06/2022,1.559672917,NA,NA,1 month
14/06/2022,0.494092014,NA,NA,1 month
15/06/2022,1.289817822,NA,NA,1 month
16/06/2022,1.545923684,NA,NA,1 month
17/06/2022,1.698937153,NA,NA,1 month
18/06/2022,1.368589583,NA,NA,1 month
19/06/2022,0.893864931,NA,NA,1 month
20/06/2022,2.145393056,NA,NA,1 month
21/06/2022,0.387551389,NA,NA,1 month
22/06/2022,0.623340278,NA,NA,1 month
23/06/2022,1.670668403,NA,NA,1 month
24/06/2022,1.394745833,NA,NA,1 month
25/06/2022,1.258885417,NA,NA,1 month
26/06/2022,1.804852431,NA,NA,1 month
27/06/2022,1.018317708,NA,NA,1 month
28/06/2022,1.217724306,NA,NA,1 month
29/06/2022,1.737663889,NA,NA,1 month
30/06/2022,2.712030061,NA,NA,1 month
01/07/2022,2.231082759,NA,NA,1 month
02/07/2022,1.901282986,NA,NA,1 month
03/07/2022,2.300810764,NA,NA,1 month
04/07/2022,0.824482986,NA,NA,1 month
05/07/2022,1.447805903,NA,NA,1 month
06/07/2022,1.542794444,NA,NA,1 month
07/07/2022,0.855107292,NA,NA,1 month
08/07/2022,1.538985417,NA,NA,1 month
09/07/2022,1.206404167,NA,NA,1 month
10/07/2022,2.258291667,NA,NA,1 month
11/07/2022,1.820593056,NA,NA,1 month
12/07/2022,1.849984028,NA,NA,1 month
13/07/2022,1.723466667,NA,NA,1 month
14/07/2022,1.156826042,NA,NA,1 month
15/07/2022,0.386513889,NA,NA,1 month
16/07/2022,1.292538542,NA,NA,1 month
17/07/2022,2.503977778,NA,NA,1 month
18/07/2022,0.450251042,NA,NA,1 month
19/07/2022,2.400854514,NA,NA,1 month
20/07/2022,1.86106875,NA,NA,1 month
21/07/2022,3.167716319,NA,NA,1 month
22/07/2022,2.406262847,NA,NA,1 month
23/07/2022,1.837045139,NA,NA,1 month
24/07/2022,1.641955556,NA,NA,1 month
25/07/2022,0.815207986,NA,NA,1 month
26/07/2022,2.833456944,NA,NA,1 month
27/07/2022,1.91151195,NA,NA,1 month
28/07/2022,1.945563366,NA,NA,1 month
29/07/2022,0.544959375,NA,NA,1 month
30/07/2022,1.5553875,NA,NA,1 month
31/07/2022,3.001889083,NA,NA,1 month
01/08/2022,0.30229661,NA,NA,1 month
02/08/2022,1.293307292,NA,NA,1 month
03/08/2022,2.780509375,NA,NA,1 month
04/08/2022,1.637516319,NA,NA,1 month
05/08/2022,2.548803819,NA,NA,1 month
06/08/2022,2.017529167,NA,NA,1 month
07/08/2022,1.309562153,NA,NA,1 month
08/08/2022,1.717640625,NA,NA,1 month
09/08/2022,1.532463542,NA,NA,1 month
10/08/2022,1.569150347,NA,NA,1 month
11/08/2022,1.485265278,NA,NA,1 month
12/08/2022,1.576089236,NA,NA,1 month
13/08/2022,1.639046875,NA,NA,1 month
14/08/2022,1.2397625,NA,NA,1 month
15/08/2022,0.802059722,NA,NA,1 month
16/08/2022,0.751621528,NA,NA,1 month
17/08/2022,1.469442014,NA,NA,1 month
18/08/2022,1.123939236,NA,NA,1 month
19/08/2022,0.783787847,NA,NA,1 month
20/08/2022,1.290105556,NA,NA,1 month
21/08/2022,0.955396181,NA,NA,1 month
22/08/2022,1.357744906,NA,NA,1 month
23/08/2022,2.597292014,NA,NA,1 month
24/08/2022,1.482247569,NA,NA,1 month
25/08/2022,2.006594097,NA,NA,1 month
26/08/2022,1.991759028,NA,NA,1 month
27/08/2022,1.388339583,NA,NA,1 month
28/08/2022,1.538382639,NA,NA,1 month
29/08/2022,1.116085069,NA,NA,1 month
30/08/2022,2.266723264,NA,NA,1 month
31/08/2022,1.41150722,NA,NA,1 month
01/09/2022,1.830452083,NA,NA,1 month
02/09/2022,1.542970213,NA,NA,1 month
03/09/2022,0.547424306,NA,NA,1 month
04/09/2022,1.745832292,NA,NA,1 month
05/09/2022,1.331801736,NA,NA,1 month
06/09/2022,0.619145833,NA,NA,1 month
07/09/2022,0.8949875,NA,NA,1 month
08/09/2022,0.491457292,NA,NA,1 month
09/09/2022,2.395101042,NA,NA,1 month
10/09/2022,2.84719375,NA,NA,1 month
11/09/2022,0.977669792,NA,NA,1 month
12/09/2022,0.421713793,NA,NA,1 month
13/09/2022,1.337136507,-4.514280804,7.188553818,1 month
14/09/2022,1.187470203,-4.663947108,7.038887514,1 month
15/09/2022,1.42866615,-4.422751161,7.280083462,1 month
16/09/2022,1.308365443,-4.543051868,7.159782754,1 month
17/09/2022,1.650901527,-4.200515785,7.502318838,1 month
18/09/2022,1.796135557,-4.055281754,7.647552868,1 month
19/09/2022,1.362291362,-4.489125949,7.213708674,1 month
20/09/2022,1.5917073,-4.259710011,7.443124611,1 month
21/09/2022,1.435865294,-4.415552017,7.287282606,1 month
22/09/2022,1.670661193,-4.180756118,7.522078504,1 month
23/09/2022,1.543787282,-4.307630029,7.395204593,1 month
24/09/2022,1.274937532,-4.576479779,7.126354844,1 month
25/09/2022,1.413413799,-4.438003513,7.26483111,1 month
26/09/2022,0.972803322,-4.878613989,6.824220634,1 month
27/09/2022,1.195501399,-4.655915912,7.046918711,1 month
28/09/2022,1.033047083,-4.818370228,6.884464394,1 month
29/09/2022,1.261393026,-4.590024285,7.112810338,1 month
30/09/2022,1.128287487,-4.723129824,6.979704798,1 month
01/10/2022,1.336398585,-4.515018726,7.187815896,1 month
02/10/2022,1.691728708,-4.159688603,7.54314602,1 month
03/10/2022,1.245861563,-4.605555748,7.097278874,1 month
04/10/2022,1.463726911,-4.387690401,7.315144222,1 month
05/10/2022,1.552201698,-4.299215614,7.403619009,1 month
06/10/2022,1.776692574,-4.074724737,7.628109885,1 month
