Fecha,Hora,P1,P2,P3,P3,Ano,Month
01/01/2022,00:00:00,0,-28,47,0,2022,Enero
01/01/2022,00:05:00,0,-29,47,0,2022,Enero
01/01/2022,00:10:00,0,-29,47,0,2022,Enero
01/01/2022,00:15:00,0,-28,48,0,2022,Enero
01/01/2022,00:20:00,0,-28,48,0,2022,Enero
01/01/2022,00:25:00,0,-27,48,0,2022,Enero
01/01/2022,00:30:00,0,-27,47,0,2022,Enero
01/01/2022,00:35:00,0,-27,49,0,2022,Enero
01/01/2022,00:40:00,0,-29,49,0,2022,Enero
01/01/2022,00:45:00,0,-28,49,0,2022,Enero
01/01/2022,00:50:00,0,-28,49,0,2022,Enero
01/01/2022,00:55:00,0,-28,49,0,2022,Enero
01/01/2022,01:00:00,0,-28,48,0,2022,Enero
01/01/2022,01:05:00,0,-27,48,0,2022,Enero
01/01/2022,01:10:00,0,-28,48,0,2022,Enero
01/01/2022,01:15:00,0,-28,48,0,2022,Enero
01/01/2022,01:20:00,0,-27,48,0,2022,Enero
01/01/2022,01:25:00,0,-27,49,0,2022,Enero
01/01/2022,01:30:00,0,-29,49,0,2022,Enero
01/01/2022,01:35:00,0,-28,49,0,2022,Enero
01/01/2022,01:40:00,0,-28,49,0,2022,Enero
01/01/2022,01:45:00,0,-27,50,0,2022,Enero
01/01/2022,01:50:00,0,-27,49,0,2022,Enero
01/01/2022,01:55:00,0,-26,49,0,2022,Enero
01/01/2022,02:00:00,0,-26,48,0,2022,Enero
01/01/2022,02:05:00,0,-27,47,0,2022,Enero
01/01/2022,02:10:00,0,-27,47,0,2022,Enero
01/01/2022,02:15:00,0,-26,48,0,2022,Enero
01/01/2022,02:20:00,0,-27,47,0,2022,Enero
01/01/2022,02:25:00,0,-27,47,0,2022,Enero
01/01/2022,02:30:00,0,-27,48,0,2022,Enero
01/01/2022,02:35:00,0,-27,48,0,2022,Enero
01/01/2022,02:40:00,0,-27,48,0,2022,Enero
01/01/2022,02:45:00,0,-26,49,0,2022,Enero
01/01/2022,02:50:00,0,-25,49,0,2022,Enero
01/01/2022,02:55:00,0,-25,49,0,2022,Enero
01/01/2022,03:00:00,0,-25,49,0,2022,Enero
01/01/2022,03:05:00,0,-27,49,0,2022,Enero
01/01/2022,03:10:00,0,-28,49,0,2022,Enero
01/01/2022,03:15:00,0,-27,48,0,2022,Enero
01/01/2022,03:20:00,0,-28,48,0,2022,Enero
01/01/2022,03:25:00,0,-28,48,0,2022,Enero
01/01/2022,03:30:00,0,-26,48,0,2022,Enero
01/01/2022,03:35:00,0,-27,48,0,2022,Enero
01/01/2022,03:40:00,0,-27,48,0,2022,Enero
01/01/2022,03:45:00,0,-26,48,0,2022,Enero
01/01/2022,03:50:00,0,-26,47,0,2022,Enero
01/01/2022,03:55:00,0,-26,47,0,2022,Enero
01/01/2022,04:00:00,0,-26,47,0,2022,Enero
01/01/2022,04:05:00,0,-25,47,0,2022,Enero
01/01/2022,04:10:00,0,-24,48,0,2022,Enero
01/01/2022,04:15:00,0,-24,48,0,2022,Enero
01/01/2022,04:20:00,0,-25,48,0,2022,Enero
01/01/2022,04:25:00,0,-25,48,0,2022,Enero
01/01/2022,04:30:00,0,-25,48,0,2022,Enero
01/01/2022,04:35:00,0,-24,47,0,2022,Enero
01/01/2022,04:40:00,0,-25,48,0,2022,Enero
01/01/2022,04:45:00,0,-24,48,0,2022,Enero
01/01/2022,04:50:00,0,-23,48,0,2022,Enero
01/01/2022,04:55:00,0,-23,48,0,2022,Enero
01/01/2022,05:00:00,0,-23,48,0,2022,Enero
01/01/2022,05:05:00,0,-24,47,0,2022,Enero
01/01/2022,05:10:00,0,-24,48,0,2022,Enero
01/01/2022,05:15:00,0,-25,48,0,2022,Enero
01/01/2022,05:20:00,0,-25,48,0,2022,Enero
01/01/2022,05:25:00,0,-23,48,0,2022,Enero
01/01/2022,05:30:00,0,-24,48,0,2022,Enero
01/01/2022,05:35:00,0,-24,49,0,2022,Enero
01/01/2022,05:40:00,0,-24,49,0,2022,Enero
01/01/2022,05:45:00,0,-22,49,0,2022,Enero
01/01/2022,05:50:00,0,-22,49,0,2022,Enero
01/01/2022,05:55:00,0,-23,50,0,2022,Enero
01/01/2022,06:00:00,0,-25,50,0,2022,Enero
01/01/2022,06:05:00,0,-24,49,0,2022,Enero
01/01/2022,06:10:00,0,-24,49,0,2022,Enero
01/01/2022,06:15:00,0,-23,48,0,2022,Enero
